,Edge,U,pval,adj_pvals
0,MYC;CCND1,5384.0,9.56226747667945e-05,0.006527757567133872
1,MYC;SKP1,5579.0,0.0003318631601337593,0.011026532802712439
2,MYC;H4C6,5816.0,0.0013300494494669884,0.018505035818671144
3,MYC;CDK4,8000.0,0.7736974398229542,0.873309279517973
4,MYC;EP300,7268.0,0.3769929705096855,0.5464903762767808
5,MYC;CDK2,8051.0,0.7119495772415529,0.8322332957709477
6,MYC;TP53,7936.0,0.8532133613254999,0.9200615859280874
7,MYC;SKP2,8164.0,0.582145007252795,0.7370381892023519
8,MYC;CDC25A,6897.0,0.13947282786240697,0.27255758727310064
9,MYC;EZH2,6211.0,0.009975898925878031,0.04873721612642702
10,MYC;CUL1,5451.0,0.00014817332319085885,0.007294686680165358
11,MYC;E2F1,8683.5,0.16683546128192428,0.30682383684032055
12,MYC;HDAC1,8003.0,0.7700208729947233,0.8706949800647048
13,MYC;CDKN1A,6808.0,0.10516215385764824,0.22585160560031836
14,MYC;BRCA1,6711.0,0.07578051827204035,0.1779799328224067
15,MYC;CTNNB1,6365.0,0.019807722338288956,0.07443724110729374
16,ARRB2;TAB1,9150.0,0.03319372939242929,0.09950345110611121
17,ARRB2;SMO,6639.0,0.058617882769708696,0.14971171337486774
18,ARRB2;SRC,8520.0,0.2624870034463268,0.4158209955585375
19,ARRB2;CXCR4,8325.0,0.41899797354224744,0.5887128497629822
20,ARRB2;ARRB1,7415.0,0.5170040825488242,0.6773441409032702
21,ARRB2;TRAF6,8403.0,0.35076346435151773,0.516659648296827
22,LRP6;CTNNB1,7557.0,0.6741202561853838,0.8064242316984032
23,CXCR4;CD74,7906.0,0.891060163528763,0.9441697096993515
24,CXCR4;CD4,7235.0,0.34911192724676265,0.5154132259237095
25,CXCR4;VCAM1,7949.0,0.8369121889325165,0.9109248314911744
26,CXCR4;CXCL12,7123.0,0.2645391939889058,0.4175217858271263
27,CXCR4;ARRB1,9000.0,0.05883202486528006,0.14971171337486774
28,CXCR4;CD44,7575.0,0.6953052513738185,0.8240654831097108
29,CD74;CD44,7566.0,0.6846817472330863,0.8160080413951121
30,CD44;CD4,7564.0,0.6823293254031824,0.8139622893905624
31,CD44;MMP2,6823.0,0.11042228624917906,0.23362070479165156
32,CD44;HGF,6909.0,0.14469336692693327,0.27934767672168115
33,CD44;COL1A1,7063.0,0.22557330915040652,0.37449265332363213
34,CD44;HBEGF,6488.0,0.03292997629995528,0.09950345110611121
35,CD44;SRGN,7822.0,0.9980827993960729,0.9980827993960729
36,CD44;MMP7,6092.0,0.005652435381138938,0.037823912970723086
37,CD44;SELP,7309.0,0.4134870004693647,0.5854683192486579
38,CD44;EPCAM,8858.0,0.09651757759438753,0.21154537554934255
39,CD44;LAMC2,6996.0,0.18711280126014274,0.3312647103914007
40,CD44;NID1,5842.0,0.0015361490291867183,0.019662707573589993
41,CD44;ICAM1,8172.0,0.5733875765285608,0.7302846745836395
42,CD44;VCAN,7266.0,0.37526509909432726,0.5446024113840576
43,CD44;IQGAP1,7859.0,0.9508229807344943,0.9772946268244701
44,CD44;ERBB2,8970.0,0.06556452044821065,0.16295647800720317
45,CD44;EGFR,6156.0,0.00770413743923081,0.04363405275316565
46,CD44;ANK3,7961.0,0.8219266862706189,0.9046140657148687
47,CD44;LY96,7791.0,0.9635858036780015,0.9812170475002719
48,CD44;TIAM1,8279.0,0.4626603458741724,0.6286679859012109
49,CD44;VCAM1,7102.0,0.25040486021446196,0.4041843897534821
50,CD44;COL1A2,7854.0,0.9572030207797229,0.9783521490215248
51,CD44;MET,7058.0,0.22252160285022626,0.3728110623668712
52,CD44;PKM,7844.0,0.96997092097658,0.9830267449327177
53,CD44;BSG,7955.0,0.8294116795141478,0.907292323616599
54,CD44;ARHGEF1,7678.0,0.8206807421719938,0.9040200946472909
55,CD44;EZR,8303.0,0.43957033114124733,0.608270296065726
56,CD44;NF2,7269.0,0.37785874302519007,0.5471257817559313
57,CD44;FN1,6873.0,0.1294680992788836,0.2581295437335997
58,CD44;ANK2,6931.0,0.1546514507295767,0.28898373275015793
