,Gene,U,pval,adj_pvals
0,FKBP4,2868.0,0.9369671380827287,0.9930428622735367
1,STIP1,2928.0,0.8979201803525282,0.9930428622735367
2,FKBP5,3580.0,0.015523951873493034,0.13806563113054665
3,PTGES3,3030.0,0.6264031349339125,0.9048143286557455
4,DNAJB1,2774.0,0.6821942419454583,0.9254238345378263
5,HSP90AB1,3460.0,0.04570073938946759,0.26237120917346124
6,HSPA4,2917.0,0.9285839133815988,0.9930428622735367
7,NR3C1,3384.0,0.08344742423369128,0.37786404072016544
8,HSP90AA1,3411.0,0.06786184140086637,0.3382570854322254
9,AHSA1,2948.0,0.8425877655401692,0.9761872671032952
10,PRKACA,3616.0,0.010882448006971624,0.10765252413050391
11,HSPA8,2723.0,0.5560464270983609,0.8735845049360793
12,PRKACB,3702.0,0.004389531850138356,0.06135802129649919
13,STUB1,2634.0,0.3673020401400826,0.7914040903419497
14,TP53BP1,3088.0,0.4897840413765623,0.8534719203391045
15,UBC,2683.0,0.46580910805160003,0.8389783094598847
16,UBA52,3204.0,0.27204483587709294,0.683300115113167
17,MYC,2805.0,0.7637859931076117,0.946505249906052
18,FBXW7,3473.0,0.04096946631055973,0.2485223286574519
19,ARRB2,3190.0,0.2941049858493229,0.7136207769853381
20,GSK3B,2455.0,0.12584789762626528,0.4845520848723866
21,CX3CL1,3335.0,0.119043583549821,0.47116604219647706
22,CCR5,3109.0,0.4445916616004485,0.822143284140922
23,CCL5,3168.0,0.3311331547755335,0.7604236375738145
24,FGF13,2744.5,0.607839572902602,0.8912034107315652
25,FGF2,2796.0,0.7397791783726153,0.9427573028770591
26,CXCR4,2907.0,0.9565535883352432,0.9930428622735367
27,CX3CR1,3170.0,0.32764742543895287,0.7578319948102399
28,CCR2,3067.0,0.5373388311846363,0.8681127348033194
29,EGF,2682.0,0.463662370493098,0.8374575961434326
30,HLA-DPB1,2286.0,0.033613440291658234,0.2224773635631397
31,HLA-DQB1,2531.0,0.20638803583083265,0.5795087643634297
32,HLA-DOA,2893.0,0.9957934481430167,1.0
33,CD44,3062.0,0.5489939679796959,0.8735845049360793
34,HLA-DQA2,2873.0,0.9509542619975224,0.9930428622735367
35,RPL11,3646.0,0.008004163414597656,0.08873581164803954
36,HLA-DMA,2527.0,0.2013838062848209,0.5764992557010578
37,HLA-DQA1,2537.0,0.21406273275865795,0.5907396444799015
38,HLA-DRB1,2356.0,0.06029302544846893,0.32040012696996295
39,CTSB,2792.0,0.7291887572805535,0.9392569413469727
40,APP,2674.0,0.4466882742550137,0.822143284140922
