"","Gene","Count","Thresh.Name","Thresh.Value"
"1","RPN1",3,"narrow",0.002
"2","BMP1",3,"narrow",0.002
"3","ATP6V0E2",1,"narrow",0.002
"4","TEP1",12,"narrow",0.002
"5","SSTR5",1,"narrow",0.002
"6","LGR5",1,"narrow",0.002
"7","EHD2",5,"narrow",0.002
"8","ITIH2",182,"narrow",0.002
"9","B4GALNT2",168,"narrow",0.002
"10","LRP2",39,"narrow",0.002
"11","DEPDC1B",23,"narrow",0.002
"12","CPSF6",1,"narrow",0.002
"13","CP",106,"narrow",0.002
"14","PRDM6",3,"narrow",0.002
"15","CEP78",28,"narrow",0.002
"16","KIAA1958",9,"narrow",0.002
"17","GLRA4",1,"narrow",0.002
"18","MSMB",3,"narrow",0.002
"19","KIF1A",182,"narrow",0.002
"20","PTHLH",185,"narrow",0.002
"21","LDLR",5,"narrow",0.002
"22","RNF145",1,"narrow",0.002
"23","PDE1A",13,"narrow",0.002
"24","EREG",15,"narrow",0.002
"25","ANP32E",78,"narrow",0.002
"26","CEP85L",1,"narrow",0.002
"27","MDGA2",69,"narrow",0.002
"28","PHF14",1,"narrow",0.002
"29","TTC23L",6,"narrow",0.002
"30","NPHS2",4,"narrow",0.002
"31","FAP",1,"narrow",0.002
"32","UACA",3,"narrow",0.002
"33","CEACAM7",6,"narrow",0.002
"34","MAOB",2,"narrow",0.002
"35","AURKA",4,"narrow",0.002
"36","ING1",55,"narrow",0.002
"37","PPM1H",12,"narrow",0.002
"38","CRABP1",89,"narrow",0.002
"39","CENPI",42,"narrow",0.002
"40","ADH4",63,"narrow",0.002
"41","SYNM",1,"narrow",0.002
"42","PAX2",68,"narrow",0.002
"43","LRRN3",15,"narrow",0.002
"44","HNF1A",38,"narrow",0.002
"45","KCNJ1",9,"narrow",0.002
"46","PDZK1",43,"narrow",0.002
"47","KCNK10",12,"narrow",0.002
"48","CKAP5",6,"narrow",0.002
"49","HOXD8",1,"narrow",0.002
"50","FOXO1",4,"narrow",0.002
"51","MUC19",116,"narrow",0.002
"52","SHISA6",20,"narrow",0.002
"53","SLC13A2",1,"narrow",0.002
"54","HLA-G",12,"narrow",0.002
"55","TRIB2",1,"narrow",0.002
"56","IFNGR1",35,"narrow",0.002
"57","HACE1",3,"narrow",0.002
"58","MAZ",2,"narrow",0.002
"59","ZNF474",1,"narrow",0.002
"60","ZNF527",27,"narrow",0.002
"61","NCR1",2,"narrow",0.002
"62","LRRC55",3,"narrow",0.002
"63","PDZD4",52,"narrow",0.002
"64","GPR162",2,"narrow",0.002
"65","AKR1B10",1,"narrow",0.002
"66","LEKR1",6,"narrow",0.002
"67","SCTR",39,"narrow",0.002
"68","ZDHHC8",25,"narrow",0.002
"69","ZNF679",5,"narrow",0.002
"70","MFGE8",6,"narrow",0.002
"71","AZIN2",2,"narrow",0.002
"72","LINGO1",1,"narrow",0.002
"73","CYP1A2",6,"narrow",0.002
"74","HUNK",16,"narrow",0.002
"75","KIF12",43,"narrow",0.002
"76","SLC7A3",11,"narrow",0.002
"77","SLC46A3",1,"narrow",0.002
"78","HRG",194,"narrow",0.002
"79","TNNT3",10,"narrow",0.002
"80","ADRA1A",3,"narrow",0.002
"81","COL26A1",78,"narrow",0.002
"82","UBTD1",20,"narrow",0.002
"83","ARSI",2,"narrow",0.002
"84","CPNE9",2,"narrow",0.002
"85","MYLK4",5,"narrow",0.002
"86","HDGFL2",1,"narrow",0.002
"87","CETN2",3,"narrow",0.002
"88","B4GALT3",2,"narrow",0.002
"89","GRIA1",1,"narrow",0.002
"90","KRT77",11,"narrow",0.002
"91","MKI67",39,"narrow",0.002
"92","SMARCD3",3,"narrow",0.002
"93","CYP19A1",140,"narrow",0.002
"94","ATAD2",15,"narrow",0.002
"95","LAMA2",1,"narrow",0.002
