"","Gene","Count","Thresh.Name","Thresh.Value"
"1","CAPG",3,"narrow",0.002
"2","IGKV1D-33",64,"narrow",0.002
"3","ZNF729",1,"narrow",0.002
"4","FGD3",6,"narrow",0.002
"5","XKR4",1,"narrow",0.002
"6","LRRC2",45,"narrow",0.002
"7","UCP2",1,"narrow",0.002
"8","KIR2DL4",3,"narrow",0.002
"9","TVP23A",1,"narrow",0.002
"10","ABCC3",1,"narrow",0.002
"11","CALHM6",41,"narrow",0.002
"12","OR52K1",6,"narrow",0.002
"13","TMEM39B",1,"narrow",0.002
"14","CEMIP2",1,"narrow",0.002
"15","COL11A2",20,"narrow",0.002
"16","WNT2",1,"narrow",0.002
"17","NASP",4,"narrow",0.002
"18","RRAD",1,"narrow",0.002
"19","GRID2",35,"narrow",0.002
"20","CES4A",1,"narrow",0.002
"21","KRT17",3,"narrow",0.002
"22","RIPK4",1,"narrow",0.002
"23","CHRNB2",7,"narrow",0.002
"24","WDFY4",9,"narrow",0.002
"25","PRKCH",24,"narrow",0.002
"26","ACSL5",18,"narrow",0.002
"27","ARHGAP8",17,"narrow",0.002
"28","SPTB",6,"narrow",0.002
"29","COL26A1",1,"narrow",0.002
"30","PAGE5",11,"narrow",0.002
"31","TC2N",2,"narrow",0.002
"32","PRPF38A",2,"narrow",0.002
"33","FRMD3",2,"narrow",0.002
"34","REEP5",3,"narrow",0.002
"35","CP",2,"narrow",0.002
"36","KRT5",4,"narrow",0.002
"37","PLD4",3,"narrow",0.002
"38","BCL2A1",1,"narrow",0.002
"39","HSH2D",9,"narrow",0.002
"40","PTK2B",9,"narrow",0.002
"41","C11orf54",1,"narrow",0.002
"42","ZKSCAN7",1,"narrow",0.002
"43","SUPT20H",1,"narrow",0.002
"44","NCF1",6,"narrow",0.002
"45","UBASH3A",5,"narrow",0.002
"46","MAT1A",18,"narrow",0.002
"47","RHOQ",3,"narrow",0.002
"48","APOBEC3D",3,"narrow",0.002
"49","SNRPD1",1,"narrow",0.002
"50","PTPRE",12,"narrow",0.002
"51","OR4F15",2,"narrow",0.002
"52","LY6K",1,"narrow",0.002
"53","SHTN1",3,"narrow",0.002
"54","ETV7",88,"narrow",0.002
"55","DAAM2",1,"narrow",0.002
"56","RHOG",5,"narrow",0.002
"57","HCLS1",4,"narrow",0.002
"58","GRIP2",1,"narrow",0.002
"59","RASA4",7,"narrow",0.002
"60","STEAP3",26,"narrow",0.002
"61","KCNJ11",1,"narrow",0.002
"62","TMBIM1",5,"narrow",0.002
"63","RNF182",22,"narrow",0.002
"64","SPOCK3",1,"narrow",0.002
"65","CCR6",2,"narrow",0.002
"66","GALNT14",6,"narrow",0.002
"67","TMEM100",4,"narrow",0.002
"68","NYAP2",2,"narrow",0.002
"69","ACTN2",5,"narrow",0.002
"70","SH2D2A",2,"narrow",0.002
"71","MNDA",38,"narrow",0.002
"72","OGFRL1",1,"narrow",0.002
"73","DOCK8",8,"narrow",0.002
"74","MYL6",1,"narrow",0.002
"75","RAB31",2,"narrow",0.002
"76","CXCL10",122,"narrow",0.002
"77","ST20",1,"narrow",0.002
"78","SLC7A8",1,"narrow",0.002
"79","LRATD2",1,"narrow",0.002
"80","RIPOR2",4,"narrow",0.002
"81","CASS4",1,"narrow",0.002
"82","P2RY14",4,"narrow",0.002
"83","CD300LF",1,"narrow",0.002
"84","LY9",1,"narrow",0.002
"85","PDE3A",1,"narrow",0.002
"86","CDC42EP3",12,"narrow",0.002
"87","GZMK",29,"narrow",0.002
"88","ADAMTS16",2,"narrow",0.002
"89","NUP133",13,"narrow",0.002
"90","CSAG2",5,"narrow",0.002
"91","GNLY",1,"narrow",0.002
"92","PRKDC",6,"narrow",0.002
"93","GMPPA",1,"narrow",0.002
"94","PPAT",2,"narrow",0.002
"95","HLA-DMB",9,"narrow",0.002
"96","SCML4",1,"narrow",0.002
"97","IL31RA",3,"narrow",0.002
"98","RYR2",10,"narrow",0.002
"99","CRAMP1",3,"narrow",0.002
"100","TSPY1",52,"narrow",0.002
"101","UTRN",2,"narrow",0.002
"102","MYO1D",1,"narrow",0.002
"103","APOL2",1,"narrow",0.002
"104","ANKRD22",59,"narrow",0.002
"105","SLC14A1",1,"narrow",0.002
"106","NKG7",24,"narrow",0.002
"107","NDUFS2",1,"narrow",0.002
"108","PIK3R5",1,"narrow",0.002
"109","PCDH9",11,"narrow",0.002
"110","PACSIN1",1,"narrow",0.002
"111","ASPA",1,"narrow",0.002
"112","STAT2",1,"narrow",0.002
"113","ST3GAL1",1,"narrow",0.002
"114","RNF148",11,"narrow",0.002
"115","CASTOR3",3,"narrow",0.002
"116","GSTM1",1,"narrow",0.002
"117","PCMTD2",4,"narrow",0.002
"118","CADPS2",33,"narrow",0.002
"119","CNIH2",1,"narrow",0.002
"120","BPNT1",1,"narrow",0.002
"121","S100A11",1,"narrow",0.002
"122","LIFR",61,"narrow",0.002
"123","ABCD2",15,"narrow",0.002
"124","PDS5A",1,"narrow",0.002
"125","GBP2",5,"narrow",0.002
"126","CAMKV",1,"narrow",0.002
"127","LILRB3",2,"narrow",0.002
"128","SCIMP",5,"narrow",0.002
"129","SULT1E1",1,"narrow",0.002
"130","DGLUCY",1,"narrow",0.002
"131","BTK",22,"narrow",0.002
"132","FCRL5",1,"narrow",0.002
"133","IL4R",1,"narrow",0.002
"134","CLDN11",1,"narrow",0.002
"135","ALS2CL",1,"narrow",0.002
"136","LXN",4,"narrow",0.002
"137","IFI35",2,"narrow",0.002
"138","FERMT3",4,"narrow",0.002
"139","PRKX",2,"narrow",0.002
"140","HORMAD1",67,"narrow",0.002
"141","TSPAN7",2,"narrow",0.002
"142","PPM1M",1,"narrow",0.002
"143","RGS2",9,"narrow",0.002
"144","PLEKHB2",2,"narrow",0.002
"145","MYO1G",9,"narrow",0.002
"146","FAM153B",1,"narrow",0.002
"147","CASP10",1,"narrow",0.002
