"","Gene","Count","Thresh.Name","Thresh.Value"
"1","NPIPA8",1,"narrow",0.002
"2","SULT1B1",6,"narrow",0.002
"3","TF",1,"narrow",0.002
"4","IGFN1",3,"narrow",0.002
"5","FAM83A",12,"narrow",0.002
"6","H3C14",36,"narrow",0.002
"7","STEAP3",2,"narrow",0.002
"8","HBA2",4,"narrow",0.002
"9","INHBC",1,"narrow",0.002
"10","CMPK2",1,"narrow",0.002
"11","CTAGE6",6,"narrow",0.002
"12","SERPINC1",3,"narrow",0.002
"13","UGT8",3,"narrow",0.002
"14","NPIPB2",17,"narrow",0.002
"15","NTSR1",1,"narrow",0.002
"16","CFTR",2,"narrow",0.002
"17","KLB",1,"narrow",0.002
"18","OR4F3",26,"narrow",0.002
"19","RTL1",13,"narrow",0.002
"20","AGR2",1,"narrow",0.002
"21","ORM2",1,"narrow",0.002
"22","CPN1",4,"narrow",0.002
"23","TRIM6-TRIM34",7,"narrow",0.002
"24","H1-3",4,"narrow",0.002
"25","H4C5",1,"narrow",0.002
"26","ZFY",2,"narrow",0.002
"27","AHSG",2,"narrow",0.002
"28","CILP",3,"narrow",0.002
"29","KNDC1",2,"narrow",0.002
"30","ADGRG2",8,"narrow",0.002
"31","NPIPB13",7,"narrow",0.002
"32","ANXA8",5,"narrow",0.002
"33","VSTM2L",10,"narrow",0.002
"34","CACNA1D",1,"narrow",0.002
"35","TAS2R30",6,"narrow",0.002
"36","FGA",8,"narrow",0.002
"37","IGKV2D-28",3,"narrow",0.002
"38","NR2E1",13,"narrow",0.002
"39","S100P",1,"narrow",0.002
"40","H2AC15",3,"narrow",0.002
"41","FGG",9,"narrow",0.002
"42","UGT2B15",1,"narrow",0.002
"43","LTBP3",4,"narrow",0.002
"44","STMN2",1,"narrow",0.002
"45","IVL",11,"narrow",0.002
"46","GATD3B",3,"narrow",0.002
"47","ALB",4,"narrow",0.002
"48","S100A8",1,"narrow",0.002
"49","NLGN4Y",1,"narrow",0.002
"50","ADPRHL1",21,"narrow",0.002
"51","ANKRD20A1",1,"narrow",0.002
"52","OASL",3,"narrow",0.002
"53","AMBP",2,"narrow",0.002
"54","EEF1A2",1,"narrow",0.002
"55","ZNF620",6,"narrow",0.002
"56","RSC1A1",11,"narrow",0.002
"57","SLC30A10",12,"narrow",0.002
"58","ARHGAP40",2,"narrow",0.002
"59","PRR5-ARHGAP8",19,"narrow",0.002
"60","HMGCS2",1,"narrow",0.002
"61","EPHA7",1,"narrow",0.002
"62","DNAH5",7,"narrow",0.002
"63","CHAT",20,"narrow",0.002
"64","TUBB4A",1,"narrow",0.002
"65","ADH4",2,"narrow",0.002
"66","COMMD3-BMI1",9,"narrow",0.002
"67","ADH1A",2,"narrow",0.002
"68","SLC22A12",1,"narrow",0.002
"69","GRIA4",1,"narrow",0.002
"70","APOC3",1,"narrow",0.002
"71","EIF1AY",3,"narrow",0.002
"72","PCDH10",1,"narrow",0.002
"73","ALDOB",2,"narrow",0.002
"74","CCN4",1,"narrow",0.002
"75","TKTL1",6,"narrow",0.002
"76","EPHA6",1,"narrow",0.002
"77","SVOPL",4,"narrow",0.002
"78","OAS2",1,"narrow",0.002
"79","RGPD1",1,"narrow",0.002
"80","SLC22A6",5,"narrow",0.002
"81","PLIN1",1,"narrow",0.002
"82","SLC5A8",3,"narrow",0.002
"83","UGT2B4",3,"narrow",0.002
"84","KNG1",6,"narrow",0.002
"85","POF1B",2,"narrow",0.002
"86","FOXP2",3,"narrow",0.002
"87","REG3G",1,"narrow",0.002
"88","CCL8",1,"narrow",0.002
"89","MYH8",27,"narrow",0.002
"90","ORM1",3,"narrow",0.002
"91","IFI6",2,"narrow",0.002
"92","UTY",4,"narrow",0.002
"93","APOA2",2,"narrow",0.002
"94","SYT14",23,"narrow",0.002
"95","RSAD2",3,"narrow",0.002
"96","CRP",1,"narrow",0.002
"97","BMP7",1,"narrow",0.002
"98","OR4F21",56,"narrow",0.002
