"","Gene","Count","Thresh.Name","Thresh.Value"
"1","BEX2",4,"narrow",0.002
"2","SLAMF1",17,"narrow",0.002
"3","GIPR",2,"narrow",0.002
"4","TRIB3",3,"narrow",0.002
"5","RAB6D",6,"narrow",0.002
"6","ERBB4",2,"narrow",0.002
"7","CSRP1",29,"narrow",0.002
"8","NBEAL2",22,"narrow",0.002
"9","HS6ST2",30,"narrow",0.002
"10","SULT1B1",1,"narrow",0.002
"11","LRTOMT",25,"narrow",0.002
"12","PRDM8",1,"narrow",0.002
"13","RRAD",32,"narrow",0.002
"14","CHST4",17,"narrow",0.002
"15","CYP2C19",7,"narrow",0.002
"16","GABRR1",24,"narrow",0.002
"17","COX7C",14,"narrow",0.002
"18","HEMGN",12,"narrow",0.002
"19","BEX1",2,"narrow",0.002
"20","PXMP2",6,"narrow",0.002
"21","HROB",1,"narrow",0.002
"22","TSC22D1",1,"narrow",0.002
"23","TMEM18",2,"narrow",0.002
"24","PROCR",1,"narrow",0.002
"25","L1TD1",9,"narrow",0.002
"26","SPNS3",1,"narrow",0.002
"27","KLK6",76,"narrow",0.002
"28","TMEM141",18,"narrow",0.002
"29","GJA3",3,"narrow",0.002
"30","ZNF738",1,"narrow",0.002
"31","GAREM2",1,"narrow",0.002
"32","TF",60,"narrow",0.002
"33","FUT3",5,"narrow",0.002
"34","DMAC2L",1,"narrow",0.002
"35","FYB2",1,"narrow",0.002
"36","CBS",1,"narrow",0.002
"37","RBP4",10,"narrow",0.002
"38","CP",26,"narrow",0.002
"39","GNG7",2,"narrow",0.002
"40","FGF14",1,"narrow",0.002
"41","PIGP",1,"narrow",0.002
"42","TECPR1",4,"narrow",0.002
"43","ATP6V1G2",24,"narrow",0.002
"44","CLDN10",64,"narrow",0.002
"45","WNT9B",1,"narrow",0.002
"46","FCER2",5,"narrow",0.002
"47","ZDHHC22",4,"narrow",0.002
"48","NOCT",5,"narrow",0.002
"49","PWWP3B",1,"narrow",0.002
"50","NUDT6",1,"narrow",0.002
"51","DOK6",5,"narrow",0.002
"52","CNBP",1,"narrow",0.002
"53","TMEM101",11,"narrow",0.002
"54","IGFN1",31,"narrow",0.002
"55","TGM5",5,"narrow",0.002
"56","MYL6",5,"narrow",0.002
"57","MUTYH",4,"narrow",0.002
"58","ZNF560",104,"narrow",0.002
"59","CCR3",1,"narrow",0.002
"60","CD19",6,"narrow",0.002
"61","PTGER3",18,"narrow",0.002
"62","CLDN11",4,"narrow",0.002
"63","SAA1",21,"narrow",0.002
"64","KRT4",1,"narrow",0.002
"65","ATP8A2",46,"narrow",0.002
"66","SCNN1A",29,"narrow",0.002
"67","TOP2A",1,"narrow",0.002
"68","HCN4",33,"narrow",0.002
"69","SMIM24",13,"narrow",0.002
"70","DUSP8",35,"narrow",0.002
"71","KRT13",41,"narrow",0.002
"72","UGT2A3",5,"narrow",0.002
"73","MGAM2",1,"narrow",0.002
"74","C4B",36,"narrow",0.002
"75","TRMT112",2,"narrow",0.002
"76","RAB2A",1,"narrow",0.002
"77","ARSL",1,"narrow",0.002
"78","CCNI",10,"narrow",0.002
"79","WFDC1",1,"narrow",0.002
"80","DPY30",3,"narrow",0.002
"81","PIANP",1,"narrow",0.002
"82","CPXM2",6,"narrow",0.002
"83","ZNF711",3,"narrow",0.002
"84","CHRM1",5,"narrow",0.002
"85","FMNL1",1,"narrow",0.002
"86","MN1",1,"narrow",0.002
"87","SLPI",119,"narrow",0.002
"88","MUC13",25,"narrow",0.002
"89","VTI1B",1,"narrow",0.002
"90","GPER1",9,"narrow",0.002
"91","FCGR3B",1,"narrow",0.002
"92","ITIH1",15,"narrow",0.002
"93","NDUFC1",12,"narrow",0.002
"94","PTH1R",5,"narrow",0.002
"95","TMC4",5,"narrow",0.002
"96","CD5L",2,"narrow",0.002
"97","ENPP5",3,"narrow",0.002
"98","GPRIN2",5,"narrow",0.002
"99","RAB3IP",1,"narrow",0.002
"100","IGFBPL1",7,"narrow",0.002
"101","RRAS",6,"narrow",0.002
"102","SLC13A5",1,"narrow",0.002
"103","MSRB1",6,"narrow",0.002
"104","PDE8B",1,"narrow",0.002
"105","FOLR1",34,"narrow",0.002
"106","USP6",1,"narrow",0.002
"107","STEAP3",1,"narrow",0.002
"108","SLC1A1",3,"narrow",0.002
"109","ADAM21",1,"narrow",0.002
"110","CFAP300",31,"narrow",0.002
"111","HBA2",27,"narrow",0.002
"112","WDR62",10,"narrow",0.002
"113","KRT8",15,"narrow",0.002
"114","HHIP",1,"narrow",0.002
"115","RPS13",9,"narrow",0.002
"116","HS3ST1",5,"narrow",0.002
"117","CALML3",11,"narrow",0.002
"118","SLC7A2",22,"narrow",0.002
"119","TPD52L1",1,"narrow",0.002
"120","TDRD12",45,"narrow",0.002
"121","KCNK7",1,"narrow",0.002
"122","CERKL",15,"narrow",0.002
"123","EEF1A1",1,"narrow",0.002
"124","MAB21L4",3,"narrow",0.002
"125","SLC8A2",3,"narrow",0.002
"126","HSPE1",1,"narrow",0.002
"127","RNF114",1,"narrow",0.002
"128","EFHC2",10,"narrow",0.002
"129","TMED3",4,"narrow",0.002
"130","KBTBD3",49,"narrow",0.002
"131","CFAP221",40,"narrow",0.002
"132","TERT",1,"narrow",0.002
"133","MYO16",1,"narrow",0.002
"134","MYRIP",1,"narrow",0.002
"135","SULT2B1",47,"narrow",0.002
"136","INHBC",2,"narrow",0.002
"137","DERL2",17,"narrow",0.002
"138","CYS1",2,"narrow",0.002
"139","SSR3",1,"narrow",0.002
"140","HIPK1",10,"narrow",0.002
"141","PIK3CD",151,"narrow",0.002
"142","PINLYP",9,"narrow",0.002
"143","TIMM22",6,"narrow",0.002
"144","GLOD4",6,"narrow",0.002
"145","TEX15",1,"narrow",0.002
"146","UPK2",4,"narrow",0.002
"147","BCL2L12",4,"narrow",0.002
"148","C19orf48",15,"narrow",0.002
"149","RNF34",6,"narrow",0.002
"150","SULT4A1",9,"narrow",0.002
"151","HACD2",2,"narrow",0.002
"152","FMO1",3,"narrow",0.002
"153","GFAP",4,"narrow",0.002
"154","COX4I1",3,"narrow",0.002
"155","DYNLRB1",41,"narrow",0.002
"156","ASTN1",58,"narrow",0.002
"157","TSEN54",3,"narrow",0.002
"158","VDAC1",1,"narrow",0.002
"159","MAP3K15",64,"narrow",0.002
"160","DPP10",87,"narrow",0.002
"161","ADGRB1",1,"narrow",0.002
"162","GTPBP4",1,"narrow",0.002
"163","C14orf28",2,"narrow",0.002
"164","ZBED9",1,"narrow",0.002
"165","C11orf1",31,"narrow",0.002
"166","PEMT",6,"narrow",0.002
"167","SAT2",32,"narrow",0.002
"168","SCTR",19,"narrow",0.002
"169","TRAPPC12",2,"narrow",0.002
"170","ZNF750",68,"narrow",0.002
"171","TM4SF18",4,"narrow",0.002
"172","TPSG1",1,"narrow",0.002
"173","TM4SF4",52,"narrow",0.002
"174","RPL37",2,"narrow",0.002
"175","WIPF1",1,"narrow",0.002
"176","PPIG",4,"narrow",0.002
"177","MYT1L",3,"narrow",0.002
"178","SERPINC1",94,"narrow",0.002
"179","UGT8",1,"narrow",0.002
"180","SLC16A6",7,"narrow",0.002
"181","SEZ6L2",4,"narrow",0.002
"182","ZBTB44",7,"narrow",0.002
"183","ORC1",62,"narrow",0.002
"184","TP63",1,"narrow",0.002
"185","HSPB2",13,"narrow",0.002
"186","SDF2",3,"narrow",0.002
"187","H4C15",2,"narrow",0.002
"188","LNP1",108,"narrow",0.002
"189","ALDH3A1",22,"narrow",0.002
"190","IGFBP3",16,"narrow",0.002
"191","KCNH6",3,"narrow",0.002
"192","CES2",10,"narrow",0.002
"193","ABCA12",1,"narrow",0.002
"194","TWIST2",2,"narrow",0.002
"195","IL20RB",43,"narrow",0.002
"196","IKZF3",8,"narrow",0.002
"197","DNPH1",5,"narrow",0.002
"198","SPCS2",4,"narrow",0.002
"199","CYB5B",1,"narrow",0.002
"200","NEFL",22,"narrow",0.002
"201","KLRD1",1,"narrow",0.002
"202","IQUB",119,"narrow",0.002
"203","RNF220",7,"narrow",0.002
"204","SCAND1",21,"narrow",0.002
"205","SHANK2",7,"narrow",0.002
"206","AIF1L",71,"narrow",0.002
"207","NR0B1",4,"narrow",0.002
"208","LDOC1",7,"narrow",0.002
"209","PAEP",12,"narrow",0.002
"210","SLC5A1",4,"narrow",0.002
"211","CD36",5,"narrow",0.002
"212","TRIM55",6,"narrow",0.002
"213","PCP4L1",3,"narrow",0.002
"214","SLC38A4",17,"narrow",0.002
"215","INCENP",6,"narrow",0.002
"216","SLC22A2",76,"narrow",0.002
"217","KIF12",81,"narrow",0.002
"218","SLC3A1",27,"narrow",0.002
"219","KCNK2",21,"narrow",0.002
"220","RASGEF1C",6,"narrow",0.002
"221","KRT77",23,"narrow",0.002
"222","BUB1B",1,"narrow",0.002
"223","ACAT1",4,"narrow",0.002
"224","SPIRE2",3,"narrow",0.002
"225","LRRC19",17,"narrow",0.002
"226","HEYL",1,"narrow",0.002
"227","FAHD1",33,"narrow",0.002
"228","PF4V1",2,"narrow",0.002
"229","SHC3",9,"narrow",0.002
"230","USB1",2,"narrow",0.002
"231","OAF",3,"narrow",0.002
"232","GID4",5,"narrow",0.002
"233","ONECUT1",1,"narrow",0.002
"234","TMEM74B",6,"narrow",0.002
"235","RPL17-C18orf32",8,"narrow",0.002
"236","LRRC17",7,"narrow",0.002
"237","LRRC6",2,"narrow",0.002
"238","RNF175",19,"narrow",0.002
"239","HLA-G",10,"narrow",0.002
"240","TIMM21",1,"narrow",0.002
"241","PRKCH",1,"narrow",0.002
"242","NTSR1",2,"narrow",0.002
"243","CUL1",2,"narrow",0.002
"244","S100A14",9,"narrow",0.002
"245","GSG1L",5,"narrow",0.002
"246","FZD4",1,"narrow",0.002
"247","SPINT2",7,"narrow",0.002
"248","GOLT1A",5,"narrow",0.002
"249","UBALD1",5,"narrow",0.002
"250","PCOLCE2",1,"narrow",0.002
"251","PCSK1N",8,"narrow",0.002
"252","CEBPD",1,"narrow",0.002
"253","FMNL3",8,"narrow",0.002
"254","ZC3H4",8,"narrow",0.002
"255","CYP4A11",3,"narrow",0.002
"256","XYLT1",7,"narrow",0.002
"257","GNL2",73,"narrow",0.002
"258","SERPINB3",8,"narrow",0.002
"259","HDDC2",1,"narrow",0.002
"260","C16orf89",26,"narrow",0.002
"261","CFTR",89,"narrow",0.002
"262","SPRR2E",13,"narrow",0.002
"263","RHCG",27,"narrow",0.002
"264","GSTA2",23,"narrow",0.002
"265","POLR2E",4,"narrow",0.002
"266","PRDM15",26,"narrow",0.002
"267","BAZ1A",2,"narrow",0.002
"268","NDUFA2",5,"narrow",0.002
"269","WNT7B",11,"narrow",0.002
"270","PRR3",1,"narrow",0.002
"271","EBPL",6,"narrow",0.002
"272","COA5",6,"narrow",0.002
"273","FOXA1",7,"narrow",0.002
"274","KIF2C",53,"narrow",0.002
"275","SLC17A2",2,"narrow",0.002
"276","KLB",13,"narrow",0.002
"277","NOTCH1",1,"narrow",0.002
"278","GATA5",4,"narrow",0.002
"279","MUC5B",2,"narrow",0.002
"280","SERPINA1",47,"narrow",0.002
