"","Gene","Count","Thresh.Name","Thresh.Value"
"1","EFS",189,"narrow",0.002
"2","MAN2B1",33,"narrow",0.002
"3","GPR37",19,"narrow",0.002
"4","CBLN2",151,"narrow",0.002
"5","BEX2",5,"narrow",0.002
"6","AMER3",192,"narrow",0.002
"7","SLAMF1",3,"narrow",0.002
"8","NPIPA8",5,"narrow",0.002
"9","SSTR3",131,"narrow",0.002
"10","PTPRF",2,"narrow",0.002
"11","BRSK1",129,"narrow",0.002
"12","RAB6D",171,"narrow",0.002
"13","TMCC3",9,"narrow",0.002
"14","ERBB4",103,"narrow",0.002
"15","HS6ST2",90,"narrow",0.002
"16","ZFP90",1,"narrow",0.002
"17","SLC14A2",2,"narrow",0.002
"18","KLHL1",5,"narrow",0.002
"19","LRRTM2",200,"narrow",0.002
"20","TP53TG5",61,"narrow",0.002
"21","SULT1B1",146,"narrow",0.002
"22","TMEM38A",6,"narrow",0.002
"23","PRDM8",89,"narrow",0.002
"24","ARHGEF17",11,"narrow",0.002
"25","RRAD",3,"narrow",0.002
"26","CHST4",1,"narrow",0.002
"27","CYP2C19",5,"narrow",0.002
"28","KSR2",195,"narrow",0.002
"29","GABRR1",4,"narrow",0.002
"30","CBX5",46,"narrow",0.002
"31","CAMK1",8,"narrow",0.002
"32","BEX1",21,"narrow",0.002
"33","CEP70",4,"narrow",0.002
"34","FSIP1",9,"narrow",0.002
"35","GOLM1",97,"narrow",0.002
"36","EFCAB14",8,"narrow",0.002
"37","NACAD",200,"narrow",0.002
"38","KCNG1",15,"narrow",0.002
"39","KLK6",2,"narrow",0.002
"40","PDXK",5,"narrow",0.002
"41","PGM2L1",64,"narrow",0.002
"42","LZTR1",4,"narrow",0.002
"43","PCDHGA3",1,"narrow",0.002
"44","IMPG1",2,"narrow",0.002
"45","DIO2",19,"narrow",0.002
"46","FER1L5",17,"narrow",0.002
"47","ELOVL4",23,"narrow",0.002
"48","ATP1B4",1,"narrow",0.002
"49","GAREM2",135,"narrow",0.002
"50","TF",1,"narrow",0.002
"51","FUT3",5,"narrow",0.002
"52","CT55",8,"narrow",0.002
"53","ATP1A3",179,"narrow",0.002
"54","CSRP3",17,"narrow",0.002
"55","CBS",41,"narrow",0.002
"56","RBP4",23,"narrow",0.002
"57","GNG7",6,"narrow",0.002
"58","FGF14",200,"narrow",0.002
"59","HTR4",20,"narrow",0.002
"60","CASQ1",9,"narrow",0.002
"61","HRH3",120,"narrow",0.002
"62","LGR6",4,"narrow",0.002
"63","TRIM3",50,"narrow",0.002
"64","FRMPD4",83,"narrow",0.002
"65","SCRT1",193,"narrow",0.002
"66","LAP3",122,"narrow",0.002
"67","ATP6V1G2",196,"narrow",0.002
"68","CD247",110,"narrow",0.002
"69","ITGAE",8,"narrow",0.002
"70","CLDN10",83,"narrow",0.002
"71","WNT9B",197,"narrow",0.002
"72","FCER2",5,"narrow",0.002
"73","ZDHHC22",178,"narrow",0.002
"74","GASK1A",147,"narrow",0.002
"75","SLC7A3",15,"narrow",0.002
"76","TMEM204",30,"narrow",0.002
"77","DOK6",196,"narrow",0.002
"78","ODAM",16,"narrow",0.002
"79","ERICH3",190,"narrow",0.002
"80","IGFN1",4,"narrow",0.002
"81","HPCAL4",197,"narrow",0.002
"82","TGM5",5,"narrow",0.002
"83","ADTRP",33,"narrow",0.002
"84","SMOC1",171,"narrow",0.002
"85","TFCP2L1",26,"narrow",0.002
"86","NPL",2,"narrow",0.002
"87","SCNN1D",112,"narrow",0.002
"88","CD19",41,"narrow",0.002
"89","PTGER3",1,"narrow",0.002
"90","PCDH9",199,"narrow",0.002
