"","Gene","Count","Thresh.Name","Thresh.Value"
"1","SLC16A7",1,"narrow",0.002
"2","CBLN2",4,"narrow",0.002
"3","BEX2",29,"narrow",0.002
"4","AMER3",2,"narrow",0.002
"5","SLC36A1",8,"narrow",0.002
"6","RAB6D",10,"narrow",0.002
"7","HS6ST2",36,"narrow",0.002
"8","ARHGEF17",4,"narrow",0.002
"9","NBEA",1,"narrow",0.002
"10","KIFAP3",3,"narrow",0.002
"11","BEX1",1,"narrow",0.002
"12","H2AC20",15,"narrow",0.002
"13","NUDT4",5,"narrow",0.002
"14","SRSF12",5,"narrow",0.002
"15","NACAD",4,"narrow",0.002
"16","KLK6",142,"narrow",0.002
"17","HSBP1L1",101,"narrow",0.002
"18","PDXK",2,"narrow",0.002
"19","SEMA5A",19,"narrow",0.002
"20","SEC31A",2,"narrow",0.002
"21","FANCG",3,"narrow",0.002
"22","CALHM6",52,"narrow",0.002
"23","GJA3",2,"narrow",0.002
"24","GAREM2",8,"narrow",0.002
"25","TF",10,"narrow",0.002
"26","PLEKHF1",1,"narrow",0.002
"27","RBP4",3,"narrow",0.002
"28","CP",52,"narrow",0.002
"29","PRXL2A",2,"narrow",0.002
"30","LAP3",174,"narrow",0.002
"31","DPY19L2",12,"narrow",0.002
"32","IGFN1",13,"narrow",0.002
"33","PPP2R2A",1,"narrow",0.002
"34","TPI1",1,"narrow",0.002
"35","SMOC1",1,"narrow",0.002
"36","AHNAK",12,"narrow",0.002
"37","TFCP2L1",2,"narrow",0.002
"38","PCSK1",31,"narrow",0.002
"39","SHOX2",2,"narrow",0.002
"40","MAGEA4",1,"narrow",0.002
"41","PTGER3",8,"narrow",0.002
"42","TBX10",80,"narrow",0.002
"43","DLGAP3",5,"narrow",0.002
"44","SAA1",64,"narrow",0.002
"45","GTF2F1",3,"narrow",0.002
"46","THBD",1,"narrow",0.002
"47","MEP1B",55,"narrow",0.002
"48","KRT13",2,"narrow",0.002
"49","MGAM2",14,"narrow",0.002
"50","CCL4L2",2,"narrow",0.002
"51","HAS1",1,"narrow",0.002
"52","KIF26A",58,"narrow",0.002
"53","DPY30",1,"narrow",0.002
"54","ENTR1",2,"narrow",0.002
"55","CSPG4",24,"narrow",0.002
"56","ZHX3",5,"narrow",0.002
"57","DAAM2",43,"narrow",0.002
"58","MN1",3,"narrow",0.002
"59","SSC5D",20,"narrow",0.002
"60","FZD10",57,"narrow",0.002
"61","GPER1",2,"narrow",0.002
"62","SCIN",1,"narrow",0.002
"63","ITIH1",8,"narrow",0.002
"64","PTH1R",1,"narrow",0.002
"65","PARD6A",1,"narrow",0.002
"66","SLC13A5",12,"narrow",0.002
"67","PDE8B",1,"narrow",0.002
"68","FOLR1",1,"narrow",0.002
"69","KLRC1",1,"narrow",0.002
"70","CFAP300",2,"narrow",0.002
"71","HBA2",23,"narrow",0.002
"72","NRXN3",1,"narrow",0.002
"73","DAZ3",3,"narrow",0.002
"74","COLEC11",2,"narrow",0.002
"75","HHIP",70,"narrow",0.002
"76","EXOSC2",1,"narrow",0.002
"77","SLC7A2",2,"narrow",0.002
"78","SOGA1",101,"narrow",0.002
"79","CAPS",2,"narrow",0.002
"80","SGIP1",2,"narrow",0.002
"81","TFF3",10,"narrow",0.002
"82","EFHC2",17,"narrow",0.002
"83","HIPK2",4,"narrow",0.002
"84","INHBC",5,"narrow",0.002
"85","EVC2",3,"narrow",0.002
"86","LAMA4",74,"narrow",0.002
"87","SHROOM4",33,"narrow",0.002
"88","KCNE2",5,"narrow",0.002
"89","PDE3A",17,"narrow",0.002
"90","LYPLA2",2,"narrow",0.002
"91","TEX15",1,"narrow",0.002
"92","TMPRSS6",2,"narrow",0.002
"93","CTNNAL1",16,"narrow",0.002
"94","DNTTIP1",13,"narrow",0.002
"95","SYNPO2",14,"narrow",0.002
"96","SULT4A1",72,"narrow",0.002
"97","SLC19A3",5,"narrow",0.002
"98","ARHGEF15",1,"narrow",0.002
"99","SLC35F2",3,"narrow",0.002
"100","TMPRSS15",4,"narrow",0.002
"101","PROZ",2,"narrow",0.002
"102","FAM135B",16,"narrow",0.002
"103","PTGFR",1,"narrow",0.002
"104","NPR1",1,"narrow",0.002
"105","C1QC",3,"narrow",0.002
"106","TMEM237",1,"narrow",0.002
"107","TEX19",3,"narrow",0.002
"108","PARM1",32,"narrow",0.002
"109","CCDC80",12,"narrow",0.002
"110","MYPN",10,"narrow",0.002
"111","ZNF366",3,"narrow",0.002
"112","UGT1A8",8,"narrow",0.002
"113","EIF5AL1",3,"narrow",0.002
"114","ATP7A",3,"narrow",0.002
"115","SERPINC1",2,"narrow",0.002
"116","AP3B2",9,"narrow",0.002
"117","MMP23B",2,"narrow",0.002
"118","HSPB2",4,"narrow",0.002
"119","SMARCD3",1,"narrow",0.002
"120","ZC3H12B",39,"narrow",0.002
"121","THSD7A",9,"narrow",0.002
"122","KCNH6",5,"narrow",0.002
"123","SLC17A7",7,"narrow",0.002
"124","TWIST2",11,"narrow",0.002
"125","TM6SF2",2,"narrow",0.002
"126","RNF220",1,"narrow",0.002
"127","ACKR1",3,"narrow",0.002
"128","SLC5A1",20,"narrow",0.002
"129","CD36",12,"narrow",0.002
"130","MAP4K3",1,"narrow",0.002
"131","SLC38A4",5,"narrow",0.002
"132","MDK",5,"narrow",0.002
"133","KLKB1",6,"narrow",0.002
"134","SLC3A1",74,"narrow",0.002
"135","ACAT1",5,"narrow",0.002
"136","LRRC19",6,"narrow",0.002
"137","COMP",7,"narrow",0.002
"138","SHC3",13,"narrow",0.002
"139","RIMS4",12,"narrow",0.002
"140","PLEKHD1",10,"narrow",0.002
"141","LINGO2",3,"narrow",0.002
"142","ISX",14,"narrow",0.002
"143","ZNF541",2,"narrow",0.002
"144","ENAH",5,"narrow",0.002
"145","LRRC6",4,"narrow",0.002
"146","STK32B",12,"narrow",0.002
"147","HLA-G",7,"narrow",0.002
"148","DCLRE1B",2,"narrow",0.002
"149","SKAP2",14,"narrow",0.002
"150","CCT7",4,"narrow",0.002
"151","PSME2",10,"narrow",0.002
"152","AKR1E2",13,"narrow",0.002
"153","PCSK1N",12,"narrow",0.002
"154","THSD7B",1,"narrow",0.002
"155","CYP4A11",1,"narrow",0.002
"156","ZNF134",12,"narrow",0.002
"157","CT45A10",21,"narrow",0.002
"158","FILIP1",56,"narrow",0.002
"159","C16orf89",8,"narrow",0.002
"160","MS4A8",1,"narrow",0.002
"161","RHOBTB1",1,"narrow",0.002
"162","GALNT16",4,"narrow",0.002
"163","GSTA2",6,"narrow",0.002
"164","APOA5",2,"narrow",0.002
"165","OSBP2",2,"narrow",0.002
"166","CNTN1",1,"narrow",0.002
"167","PTRH1",1,"narrow",0.002
"168","CARD19",1,"narrow",0.002
"169","PTPRB",34,"narrow",0.002
"170","LAMA2",33,"narrow",0.002
"171","SERPINA1",57,"narrow",0.002
"172","SRSF3",1,"narrow",0.002
"173","MSI1",13,"narrow",0.002
"174","SCN3A",25,"narrow",0.002
"175","HSPB8",7,"narrow",0.002
"176","SAMD1",1,"narrow",0.002
"177","LINGO1",8,"narrow",0.002
"178","MAEL",3,"narrow",0.002
"179","TTC28",44,"narrow",0.002
"180","DST",1,"narrow",0.002
"181","EBF2",10,"narrow",0.002
"182","TRIM71",1,"narrow",0.002
"183","KL",8,"narrow",0.002
"184","ENPP7",1,"narrow",0.002
"185","UBD",112,"narrow",0.002
"186","VGLL3",5,"narrow",0.002
"187","TRHDE",47,"narrow",0.002
"188","PMM1",1,"narrow",0.002
"189","NHSL2",20,"narrow",0.002
"190","CBWD3",1,"narrow",0.002
"191","U2AF1L5",3,"narrow",0.002
"192","MSMB",1,"narrow",0.002
"193","PKM",6,"narrow",0.002
"194","SOBP",41,"narrow",0.002
"195","IFIH1",3,"narrow",0.002
"196","NCAM1",3,"narrow",0.002
"197","NUCB1",1,"narrow",0.002
"198","NPR3",2,"narrow",0.002
"199","MGAT3",6,"narrow",0.002
"200","ALDH4A1",11,"narrow",0.002
"201","ANKRD1",3,"narrow",0.002
"202","SCG5",1,"narrow",0.002
"203","TMEM132D",5,"narrow",0.002
"204","MYBL1",2,"narrow",0.002
"205","FUZ",4,"narrow",0.002
"206","DACT1",5,"narrow",0.002
