"","Gene","Count","Thresh.Name","Thresh.Value"
"1","A1CF",80,"narrow",0.002
"2","AADAC",33,"narrow",0.002
"3","AADACL3",3,"narrow",0.002
"4","AARD",51,"narrow",0.002
"5","AATK",5,"narrow",0.002
"6","ABAT",3,"narrow",0.002
"7","ABCA12",47,"narrow",0.002
"8","ABCA4",1,"narrow",0.002
"9","ABCA8",24,"narrow",0.002
"10","ABCB1",54,"narrow",0.002
"11","ABCB11",1,"narrow",0.002
"12","ABCC11",198,"narrow",0.002
"13","ABCC12",31,"narrow",0.002
"14","ABCC2",1,"narrow",0.002
"15","ABCC9",3,"narrow",0.002
"16","ABHD6",1,"narrow",0.002
"17","ABI3BP",36,"narrow",0.002
"18","ABLIM2",23,"narrow",0.002
"19","ACADL",67,"narrow",0.002
"20","ACAN",2,"narrow",0.002
"21","ACBD5",3,"narrow",0.002
"22","ACE2",22,"narrow",0.002
"23","ACER1",59,"narrow",0.002
"24","ACHE",13,"narrow",0.002
"25","ACKR2",36,"narrow",0.002
"26","ACOT6",99,"narrow",0.002
"27","ACOXL",1,"narrow",0.002
"28","ACP5",3,"narrow",0.002
"29","ACSM1",51,"narrow",0.002
"30","ACTG2",4,"narrow",0.002
"31","ACTN2",176,"narrow",0.002
"32","ACVR1C",1,"narrow",0.002
"33","ACVRL1",65,"narrow",0.002
"34","ADAMTS1",1,"narrow",0.002
"35","ADAMTS12",25,"narrow",0.002
"36","ADAMTS14",1,"narrow",0.002
"37","ADAMTS18",46,"narrow",0.002
"38","ADAMTS19",47,"narrow",0.002
"39","ADAMTS2",16,"narrow",0.002
"40","ADAMTS20",12,"narrow",0.002
"41","ADAMTS4",1,"narrow",0.002
"42","ADAMTS5",68,"narrow",0.002
"43","ADAMTS7",2,"narrow",0.002
"44","ADAMTS8",11,"narrow",0.002
"45","ADAMTS9",1,"narrow",0.002
"46","ADAMTSL2",90,"narrow",0.002
"47","ADAMTSL3",52,"narrow",0.002
"48","ADARB2",2,"narrow",0.002
"49","ADCY2",65,"narrow",0.002
"50","ADCY5",21,"narrow",0.002
"51","ADCY8",5,"narrow",0.002
"52","ADCYAP1",7,"narrow",0.002
"53","ADH1C",7,"narrow",0.002
"54","ADRA1D",3,"narrow",0.002
"55","ADRA2A",22,"narrow",0.002
"56","ADRA2B",3,"narrow",0.002
"57","AEBP1",6,"narrow",0.002
"58","AFF3",3,"narrow",0.002
"59","AGO3",1,"narrow",0.002
"60","AGR3",41,"narrow",0.002
"61","AGT",3,"narrow",0.002
"62","AGTR1",21,"narrow",0.002
"63","AGXT",1,"narrow",0.002
"64","AJAP1",105,"narrow",0.002
"65","AK2",1,"narrow",0.002
"66","AK5",34,"narrow",0.002
"67","AKAP6",1,"narrow",0.002
"68","AKR1B10",29,"narrow",0.002
"69","AKR1B15",16,"narrow",0.002
"70","AKR1C1",4,"narrow",0.002
"71","AKR7A3",2,"narrow",0.002
"72","AKTIP",6,"narrow",0.002
"73","ALDH1A1",17,"narrow",0.002
"74","ALDH1A2",1,"narrow",0.002
"75","ALDH3A1",5,"narrow",0.002
"76","ALDH3B1",1,"narrow",0.002
"77","ALDH3B2",6,"narrow",0.002
"78","ALK",108,"narrow",0.002
"79","ALOX15",1,"narrow",0.002
"80","ALOX15B",2,"narrow",0.002
"81","ALPI",7,"narrow",0.002
"82","ALPK2",15,"narrow",0.002
"83","ALPL",50,"narrow",0.002
"84","ALPP",23,"narrow",0.002
"85","ALX4",4,"narrow",0.002
"86","AMBP",1,"narrow",0.002
"87","AMTN",7,"narrow",0.002
"88","AMZ1",1,"narrow",0.002
"89","ANGPT1",2,"narrow",0.002
"90","ANGPTL1",80,"narrow",0.002
"91","ANGPTL2",1,"narrow",0.002
"92","ANGPTL6",21,"narrow",0.002
"93","ANK1",2,"narrow",0.002
"94","ANKK1",12,"narrow",0.002
"95","ANKRD1",6,"narrow",0.002
"96","ANKRD2",20,"narrow",0.002
"97","ANKRD30A",199,"narrow",0.002
"98","ANKRD30B",170,"narrow",0.002
"99","ANKRD33",74,"narrow",0.002
"100","ANKRD65",99,"narrow",0.002
"101","ANKS4B",121,"narrow",0.002
"102","ANO2",200,"narrow",0.002
"103","ANO3",16,"narrow",0.002
