,Gene,U,pval,adj_pvals
0,CD44,6851.0,0.12079516766085852,0.36574092430648825
1,APP,8768.0,0.12895083347178177,0.37481708929131236
2,ERVW-1,8011.5,0.3267325554239371,0.5911857768545112
3,SLC7A9,8673.5,0.06592551887635961,0.3342270491871255
4,SLC3A1,8891.5,0.08160484644108922,0.34015318576076475
5,FN1,8745.0,0.138617013470803,0.37773136170793814
6,PFKL,7977.0,0.5328227166337145,0.7126095228598145
7,FBP2,8003.0,0.39070659162702903,0.6551848998053257
8,PFKP,7944.5,0.6304604719933596,0.7510403436860787
9,PFKM,7983.0,0.5172340999624503,0.7126095228598145
10,CPB2,7707.0,0.5432790313611856,0.7131806726500849
11,PLG,8711.0,0.15341979247721277,0.3844312041383033
12,F2,7934.5,0.7265289298947467,0.8111672777441903
13,HBB,8418.0,0.3384669324240619,0.5950467037777862
14,CYP1A1,7691.5,0.5471665051018492,0.7131806726500849
15,CETP,7304.0,0.039933751379864935,0.25529960934320883
16,APOC3,7403.5,0.06912851611231796,0.3363541204241813
17,APOB,7091.0,0.06583696568178435,0.3342270491871255
18,LCAT,7302.5,0.1434333582008235,0.3844312041383033
19,APOE,8799.0,0.07722568804638073,0.34015318576076475
20,APOC1,7370.0,0.05735568783140707,0.3049643889572376
21,APOA2,7227.0,0.0935832728622111,0.34015318576076475
22,APOA1,9005.0,0.032828019148830705,0.24677614394638253
23,PON1,7696.5,0.562929706810103,0.7131806726500849
24,LAG3,7642.0,0.4378510069087296,0.6757988208032277
25,FGL1,7642.0,0.4378510069087296,0.6757988208032277
26,APOH,7537.5,0.10665751296690205,0.34764582283817774
27,APOM,7831.5,0.9498190093319644,0.9736774790006777
28,AHSG,8107.0,0.30095928115590753,0.5513371705209063
29,CYP2E1,7548.0,0.16330094931867456,0.3877463160862114
30,CDK2,6753.5,0.0856501808696131,0.34015318576076475
31,CCNA1,7260.0,0.3566617937928963,0.6122226066681212
32,CCNA2,6758.0,0.0890516223519032,0.34015318576076475
33,SERPIND1,7651.0,0.5238780870172208,0.7126095228598145
34,FGA,6790.0,0.008111977209472794,0.1345834647774489
35,FGB,7057.0,0.039252503420991486,0.25529960934320883
36,FGG,7283.0,0.1554551523405919,0.3851048092073754
37,RBBP4,8185.0,0.5592914722164841,0.7131806726500849
38,MYD88,10320.0,6.229026435584729e-05,0.013579277629574707
39,CD163,7457.0,0.5610742897673413,0.7131806726500849
40,LTF,7758.0,0.8376439156504207,0.9130318680589585
41,BDKRB1,7998.0,0.5803237650832272,0.7131806726500849
42,BDKRB2,8089.0,0.3954871465661218,0.6581389156596532
43,AGT,9653.0,0.000910468079687511,0.036993229582424056
44,KNG1,8852.0,0.026165482955659552,0.22816301137335127
45,PKLR,7413.0,0.0955062204973208,0.34015318576076475
46,ENO1,8591.5,0.21639991185188412,0.4492874360353404
47,PROC,7272.5,0.17094310231667842,0.389145528181788
48,MYBL2,6981.0,0.17920818452247977,0.389145528181788
49,LIN54,7932.0,0.8582420844693801,0.9262216555164597
50,LIN52,8302.0,0.4405190135358251,0.6757988208032277
51,FOXM1,8943.0,0.07215515146574827,0.34015318576076475
52,LIN9,9397.0,0.011556579920719573,0.14005297859577945
53,LIN37,8184.0,0.5603697908410301,0.7131806726500849
54,ATP1B4,7820.0,1.0,1.0
55,ATP1A3,6780.0,0.09289671063144189,0.34015318576076475
56,ATP1A4,6828.0,0.10911887662978834,0.34764582283817774
57,ATP1A1,6491.0,0.031872925954426215,0.24677614394638253
58,FXYD2,6486.0,0.03117714554426935,0.24677614394638253
59,ATP1A2,6755.0,0.08530108141838322,0.34015318576076475
60,F11,7815.0,0.9918413870400625,1.0
61,SERPINC1,7588.0,0.4032636792455585,0.665996076329786
62,TIMP1,6607.0,0.05209966126959005,0.2839431539192658
63,MMP3,7055.0,0.2199613555719102,0.4504800373719488
64,MMP2,8229.0,0.5128682800055402,0.7126095228598145
65,MMP10,6499.0,0.03415130450571669,0.2481661460748746
66,ATP1B1,7543.5,0.657085486923823,0.7640131383452908
67,A2M,9098.0,0.04071377287214287,0.25529960934320883
68,MMP7,6802.0,0.10311457219379822,0.34583041135766174
69,TIMP2,6913.0,0.14646642364861695,0.3844312041383033
70,LRP2,8067.0,0.4494992156718717,0.6757988208032277
71,MB,8085.0,0.4427468520785144,0.6757988208032277
72,PLAT,7594.0,0.7178659214384491,0.8067311927825198
73,S100A10,7309.5,0.41387438929195586,0.6757988208032277
74,ANXA2,7377.5,0.4788529679587622,0.6959329801000678
75,SERPINB2,8224.0,0.5045051557096591,0.7126095228598145
76,SERPINE1,8327.0,0.4155201870259779,0.6757988208032277
77,CYP2J2,7544.5,0.33120003213101545,0.5918164508570605
78,CYP2C19,7684.0,0.523938845023624,0.7126095228598145
79,CYP2C9,7378.0,0.04567286589167498,0.25529960934320883
80,CYP2C8,7514.0,0.13408806770329376,0.37773136170793814
81,CYP2B6,7616.0,0.1802921942493605,0.389145528181788
82,GAPDHS,7786.0,0.592136246558098,0.7131806726500849
83,ALDOA,7840.0,0.9438731257316201,0.9736774790006777
84,ALDOC,7940.0,0.6429197890176068,0.7617201848143385
85,GPI,7455.0,0.2838112461399708,0.5366394596841372
86,TALDO1,7872.0,0.8491521255714173,0.9209709620625322
87,TPI1,6335.0,0.0025105088517944343,0.05472909296911867
88,ALDOB,6514.0,0.0065732112006342885,0.13026909470347953
89,HPR,8837.0,0.06943089641783559,0.3363541204241813
90,CLU,8187.5,0.44697272399751065,0.6757988208032277
91,CYP3A5,7487.5,0.14690024952856318,0.3844312041383033
92,CYP2A6,7684.0,0.3723179342827322,0.6341039818252783
93,CYP4A11,7687.0,0.6588737156372233,0.7640131383452908
94,CYP2C18,7801.0,0.9277118072744821,0.9630532094563672
95,CYP3A4,7507.5,0.2895348682002299,0.5366394596841372
96,CYP1A2,8921.5,0.020055579750309978,0.18675869129491407
97,PLAUR,7449.5,0.5418449901988138,0.7131806726500849
98,PLAU,7431.0,0.5269478347120525,0.7126095228598145
99,VTN,8212.5,0.503826571263783,0.7126095228598145
100,AGTR1,8150.5,0.5595716945748088,0.7131806726500849
101,C5,7038.0,0.16363605999968556,0.3877463160862114
102,C8A,7695.5,0.5243231784885733,0.7126095228598145
103,C3,7256.5,0.3342750820458731,0.5924550234634174
104,C6,7662.0,0.4398888074048318,0.6757988208032277
105,C9,7642.0,0.4217231193091281,0.6757988208032277
106,C7,7492.5,0.17991569256846063,0.389145528181788
107,C8B,7662.0,0.4398888074048318,0.6757988208032277
108,C8G,7695.5,0.5243231784885733,0.7126095228598145
109,PLGRKT,8876.0,0.08057553703140227,0.34015318576076475
110,GC,7909.5,0.7531585435503805,0.8292351641110249
111,CYCS,7724.0,0.7179167495404075,0.8067311927825198
112,C1QBP,7171.0,0.1504838618728522,0.3844312041383033
113,F12,7632.0,0.6758011796647898,0.7753929324574956
114,SPARC,8093.0,0.6624049170540576,0.7640437667607648
115,ALB,9266.0,0.02056058986732999,0.18675869129491407
116,ITGB3,8250.0,0.2904745699207715,0.5366394596841372
117,APOC2,7571.0,0.17936928761815507,0.389145528181788
