,Gene,U,pval,adj_pvals
0,MYC,6631.0,0.056927945162218226,0.14880175765173873
1,CXCR4,7843.0,0.9712481885879997,0.9887845255007995
2,CD74,8602.0,0.21061050953947413,0.36340636940144555
3,CD44,6648.0,0.06056864921815245,0.15375118647684854
4,CD4,7561.0,0.6788064788955899,0.8036094638046445
5,SKP1,7478.0,0.5843440873775316,0.7416674955176363
6,IL1B,7432.0,0.5347719955651651,0.6989099347980375
7,ICAM1,8343.0,0.4025952857589612,0.5683698151891217
8,ATM,6879.0,0.13191544952677794,0.2678898359620721
9,KDM1A,9567.0,0.005146368222750715,0.03774003363350524
10,BECN1,9053.0,0.04834224932105487,0.13872123718215743
11,TP53,9156.0,0.032407849201750556,0.11111262583457333
12,CTNNB1,7462.0,0.566860770479968,0.7292454209160023
13,BTK,7578.0,0.6988598802286865,0.8236562874123805
14,SRC,8010.0,0.7614624241662753,0.8664917240512788
15,VAV2,7282.0,0.38922497118467514,0.5584532195258382
16,ERBB2,8940.0,0.07291981768551412,0.17500756244523388
17,TLR4,6293.0,0.014472872433979286,0.06621247051921302
18,VCAN,7265.0,0.37440300115522207,0.5460905652208764
19,EGFR,7102.0,0.25040486021446196,0.40556369997925124
20,TGFB1,6389.0,0.021933092955479648,0.08642293343651683
21,FN1,8190.0,0.5539150372664895,0.7168312246978099
22,TLR2,6045.0,0.004475003351526302,0.035800026812210416
23,MET,7482.0,0.5887538044929601,0.7436890162016339
24,PCNA,6187.0,0.008919890725830838,0.05119241633955089
25,TRAF3,8874.0,0.09148678693146556,0.20262850826655623
26,CYBB,9843.0,0.0011959171397813782,0.016978661253601233
27,TRAF6,6849.0,0.12002982147888923,0.24756150680020902
28,IKBKB,7134.0,0.2721583722565848,0.4248220545703314
29,CHUK,7919.0,0.8746241658561446,0.9286509035154511
30,TAB2,8570.0,0.2298957231450527,0.38412956272337917
31,TBK1,8512.0,0.267984035202706,0.42111776960425223
32,IKBKG,7969.0,0.8119719680216386,0.8894630687042017
33,MAP3K7,8874.0,0.09148678693146556,0.20262850826655623
34,FADD,8616.0,0.20255175764425282,0.3613085406627213
35,NFKB1,6029.0,0.004128011439901915,0.03440256536158509
36,MAD2L1,9282.0,0.0192227111888478,0.0768908447553912
37,CDC20,9204.0,0.02667540895585906,0.09646997211433962
38,EZR,8630.0,0.19472004470307613,0.352096519189124
39,RDX,8953.0,0.06965356051193523,0.168702201606889
40,LAMC2,6996.0,0.18711280126014274,0.3478716868498429
41,LGALS9,8215.0,0.5274186522940841,0.6927289761474538
42,SELP,7506.0,0.61552872318191,0.7502174927736827
43,CDC6,9163.0,0.031511185946685276,0.10945990907795937
44,CDK1,9448.0,0.009131274910039582,0.05129056545213723
45,CDK2,8751.0,0.13607383421652747,0.27422513155086453
46,MCM4,9769.0,0.001800476835325535,0.02160572202390642
47,ORC1,7866.0,0.9418963092407278,0.9751397083904004
48,CCNA2,10175.0,0.0001621492415258134,0.006115342823259248
49,E2F1,9940.0,0.0006856925502567711,0.012068188884519172
50,CCNB2,9891.0,0.0009107318026423511,0.014143129170445924
51,CDC45,8205.0,0.5379391845908394,0.6995859346403035
52,MCM3,9192.0,0.028019575678619915,0.09996172944804943
53,CDT1,9493.0,0.0073801500214953145,0.04618529334333636
54,ORC2,7317.0,0.42084445201474596,0.581690760899963
55,RANBP2,5308.0,5.741673626976008e-05,0.003789504593804165
56,NUP98,6398.0,0.02277981169307927,0.08795583330362354
57,CHAF1A,10827.0,1.4637193678810285e-06,0.00019321095656029576
58,H3-3B,8424.0,0.33366930547280726,0.49725998336766786
59,H3C12,8974.0,0.06463171773726978,0.1609695611569738
60,H3C13,9577.0,0.0048967984050413945,0.03730560289678097
61,RBX1,7109.0,0.25505650263745105,0.4080904042199217
62,ITGB1,9077.0,0.044136394043956945,0.13100720319304804
63,MSN,6329.0,0.016956996456918106,0.07025304209193133
64,FOXO3,9018.0,0.055075417519283465,0.14686778005142256
65,HDAC1,9018.0,0.055075417519283465,0.14686778005142256
66,EP300,7998.0,0.7761513136031801,0.867756609828847
67,RRP8,6403.0,0.023262373224323545,0.08795583330362354
68,CDCA8,9533.0,0.0060832189694627475,0.04152457795475402
69,CUL1,7038.0,0.21061050953947413,0.36340636940144555
70,CCNB1,8854.0,0.09780924849129037,0.21165280001393982
71,SELL,7507.0,0.6166560451965498,0.7502174927736827
