,Edge,U,pval,adj_pvals
0,PTGES3;PTGIS,3910.0,0.00033921573563022505,0.14962569185239336
1,PTGES3;PTGES,3254.0,0.20016391441934844,0.8919060287846392
2,PTGES3;PTGES2,3277.5,0.17438383953559633,0.8836874322478685
3,PTGES3;PTGS2,3068.0,0.5341587483385131,1.0
4,CCL11;CSF3,2891.0,1.0,1.0
5,CCL11;CCL2,2866.0,0.9304403760199171,1.0
6,CCL11;IFNG,2891.0,1.0,1.0
7,CCL11;IL4,2891.0,1.0,1.0
8,CCL11;IL1A,2891.0,1.0,1.0
9,CCL11;IL1B,2891.0,1.0,1.0
10,CCL11;CSF2,2891.0,1.0,1.0
11,CCL11;CXCL10,3170.5,0.20196777919853326,0.8919060287846392
12,CCL11;CXCL2,3067.0,0.5327381982120415,1.0
13,CCL11;CXCL1,2891.0,1.0,1.0
14,CSF2;CSF3,2891.0,1.0,1.0
15,CSF2;IL2,2891.0,1.0,1.0
16,CSF2;IFNG,2891.0,1.0,1.0
17,CSF2;IL4,2891.0,1.0,1.0
18,CSF2;IL5,2891.0,1.0,1.0
19,CSF2;IL1A,2891.0,1.0,1.0
20,CSF2;IL1B,2891.0,1.0,1.0
21,CSF2;IL3,2891.0,1.0,1.0
22,CSF2;CXCL8,2891.0,1.0,1.0
23,CSF2;IL10,2891.0,1.0,1.0
24,CSF2;TNF,2891.0,1.0,1.0
25,CSF2;IL6,2891.0,1.0,1.0
26,CD4;IL10,2866.5,0.5278763113006275,1.0
27,CD4;IFNG,2866.5,0.5278763113006275,1.0
28,CD4;TNF,2866.5,0.5278763113006275,1.0
29,CD4;IL1B,2915.5,0.5278763113006275,1.0
30,CD4;IL2,2866.5,0.5278763113006275,1.0
31,CD4;IL6,2915.5,0.5278763113006275,1.0
32,CD4;IL4,2866.5,0.5278763113006275,1.0
33,CD4;IL17A,2866.5,0.5278763113006275,1.0
34,IL10;TNFRSF1A,2616.0,0.3343408944553059,1.0
35,IL10;TIMP1,3390.0,0.07975361069635072,0.8540369588229287
36,IL10;CCL2,2722.0,0.5482751019918737,1.0
37,IL10;IL2,2891.0,1.0,1.0
38,IL10;IFNG,2891.0,1.0,1.0
39,IL10;IL4,2891.0,1.0,1.0
40,IL10;IL5,2891.0,1.0,1.0
41,IL10;TLR2,3044.0,0.5236363638091952,1.0
42,IL10;IL1A,2891.0,1.0,1.0
43,IL10;IL1B,2891.0,1.0,1.0
44,IL10;IL18,2814.0,0.7516625990080439,1.0
45,IL10;IL13,2891.0,1.0,1.0
46,IL10;CXCL10,2771.5,0.5862839426796254,1.0
47,IL10;CXCL8,2891.0,1.0,1.0
48,IL10;CD163,2300.5,0.038101495573127954,0.8261407782485598
49,IL10;IL6,2891.0,1.0,1.0
50,IL10;TNF,2891.0,1.0,1.0
51,IL10;IL17A,2915.5,0.5278763113006275,1.0
52,IL10;CCL3,2315.0,0.0422212846850976,0.8261407782485598
53,IFNG;CSF3,2891.0,1.0,1.0
54,IFNG;IL2,2891.0,1.0,1.0
55,IFNG;CXCL8,2891.0,1.0,1.0
