,Gene,U,pval,adj_pvals
0,PTGES3,3482.5,0.03766084799732337,0.5564608023669181
1,CCL11,3101.0,0.4596225390386577,0.9543665316126376
2,CSF2,2891.0,1.0,1.0
3,CD4,2915.5,0.5278763113006275,0.9543665316126376
4,IL10,2303.0,0.038929356544187686,0.5564608023669181
5,IFNG,3314.0,0.05531815178319199,0.6665858088591938
6,TNF,3029.0,0.6287158211816002,0.9884037582913463
7,IL1B,3029.0,0.6288962958130533,0.9884037582913463
8,IL2,2866.5,0.5278763113006275,0.9543665316126376
9,IL6,2594.0,0.29735045812132743,0.8500760446696457
10,IL4,2866.5,0.5278763113006275,0.9543665316126376
11,IL17A,2915.5,0.5278763113006275,0.9543665316126376
12,TP53,2993.0,0.7212795862193309,1.0
13,OTC,2793.0,0.6722486097180678,1.0
14,ARG1,2836.0,0.8441003999067753,1.0
15,OAT,2679.0,0.45183678212586165,0.9543665316126376
16,ASL,2810.0,0.7679902942171918,1.0
17,PTPN6,2533.0,0.2085892560715985,0.8204382204063226
18,WAS,3673.0,0.0060179818661055,0.2718233126973216
19,TLR4,3159.0,0.3469404513503489,0.8968779752993061
20,TLR2,3174.0,0.32060580851637055,0.8656356829942006
21,PKP2,2522.0,0.1867292013069809,0.8204382204063226
22,DSG2,2904.5,0.9631156724271398,1.0
23,DSP,2605.5,0.31067173482005794,0.8656356829942006
24,DSC3,2710.0,0.49594259472535884,0.9543665316126376
25,JUP,2506.5,0.17126528612888836,0.7941330946569357
26,DSG1,2597.5,0.2279329552532271,0.8204382204063226
27,CALM3,2986.0,0.7395300380130277,1.0
28,TNFRSF1A,2942.0,0.8590577848570892,1.0
29,TRAF6,3247.0,0.2114819557827149,0.8204382204063226
30,RELA,2830.0,0.8316049623473567,1.0
31,NFKB1,2823.0,0.8124651838902046,1.0
32,KRT14,2893.0,0.9939687559586499,1.0
33,KRT5,2893.0,0.9939687559586499,1.0
34,PTPN11,2551.0,0.23242254014864194,0.8204382204063226
35,HBB,3188.0,0.29735170286798307,0.8500760446696457
36,SULT1E1,2988.5,0.6238780872871339,0.9884037582913463
37,CYP1A1,2787.0,0.35255595820963326,0.9018010299467462
38,PPP1CA,3259.0,0.1964444447120005,0.8204382204063226
39,APOA1,2582.5,0.26069489832635784,0.8204382204063226
40,MT-CYB,3029.0,0.5987419846008908,0.9839279173661519
41,LAG3,2848.5,0.8219900648044342,1.0
42,FGL1,2848.5,0.8219900648044342,1.0
43,IVL,2973.0,0.37431320813236,0.918768783597611
44,CYP2E1,3288.0,0.16254695632009553,0.7941330946569357
45,JUN,3027.0,0.6338953094651181,0.9884037582913463
46,VASP,3074.0,0.5212329681473681,0.9543665316126376
47,WASL,3002.0,0.6977325411371504,1.0
48,TPM1,2979.0,0.7525186453961802,1.0
49,PFN1,3279.0,0.17320598360830286,0.7941330946569357
50,PLA2G4A,2879.0,0.967758399132034,1.0
51,MYD88,2936.5,0.874272424705157,1.0
52,IRAK1,3288.0,0.15452193602182956,0.7941330946569357
53,MYH9,2741.0,0.5992647397950226,0.9839279173661519
54,CD163,2717.0,0.5419859315331028,0.9543665316126376
55,MYL2,2934.0,0.8744789223798126,1.0
56,MYH10,2475.0,0.132212077999965,0.7941330946569357
57,MYL9,2497.0,0.16628237572250648,0.7941330946569357
58,MYL12B,2396.0,0.06944467473875003,0.7327736691826022
59,CTSG,3363.5,0.09615320566394768,0.7327736691826022
60,SERPINB4,3004.5,0.4905078877255906,0.9543665316126376
61,MMP9,3083.0,0.5008973526042545,0.9543665316126376
62,NOS1,3195.0,0.20436002194909197,0.8204382204063226
63,TIMP1,2830.0,0.8316048555005887,1.0
64,MMP3,2743.5,0.5872092612555635,0.9839279173661519
65,MMP1,2892.5,0.9971951080953422,1.0
66,MMP10,2622.5,0.270103117829242,0.8204382204063226
67,A2M,2758.0,0.6412498330957732,0.9884037582913463
68,TIMP2,3065.0,0.5270447594861998,0.9543665316126376
69,CXCL10,3240.0,0.22057819098015075,0.8204382204063226
70,PYCARD,3386.0,0.08220132113282534,0.7327736691826022
71,NLRP3,2584.0,0.28135650152529657,0.8440695045758897
72,CASP1,3375.0,0.08924546070084893,0.7327736691826022
73,TG,2770.0,0.5815726905287835,0.9839279173661519
74,MB,2992.5,0.7155321521284367,1.0
75,HBS1L,2876.0,0.9591966248013594,1.0
76,CKM,2648.0,0.2639671935618222,0.8204382204063226
77,CKB,2648.0,0.2639671935618222,0.8204382204063226
78,CAP1,2932.0,0.886804908301452,1.0
79,HPR,2941.0,0.8606988315593529,1.0
80,CYP3A5,2922.0,0.8175095336576405,1.0
81,UGT1A1,2829.0,0.8286969204774391,1.0
82,UGT1A8,2809.0,0.7743126659129853,1.0
83,UGT1A9,2896.5,0.9834096709684554,1.0
84,UGT1A3,2985.0,0.6941352306804238,1.0
85,UGT1A7,2829.0,0.8286969204774391,1.0
86,UGT1A6,2892.0,0.9985964172410581,1.0
87,CYP2A6,2890.0,0.9968681715115498,1.0
88,UGT2B15,2973.5,0.7270765196944283,1.0
89,UGT1A10,2709.5,0.5246193296860011,0.9543665316126376
90,UGT1A4,2697.5,0.4975036803038987,0.9543665316126376
91,CYP3A4,3283.0,0.16791155137173153,0.7941330946569357
92,CYP1A2,2996.0,0.2901258377486744,0.849404561119613
93,GSN,3503.0,0.03161194347049118,0.5486930188092397
94,ACTA1,2808.0,0.7718323002912431,1.0
95,ACTR2,2633.0,0.3654368247949439,0.9142863415507063
96,CFL2,2944.0,0.8536011808950104,1.0
97,CFL1,2482.0,0.15106365428163548,0.7941330946569357
98,C3,2715.0,0.5362710187700964,0.9543665316126376
99,ACTG2,3082.5,0.5017488931051228,0.9543665316126376
100,MYH11,2995.0,0.715880351258238,1.0
101,ACTC1,2970.0,0.7731888611215739,1.0
102,CYCS,2941.0,0.8584237147253997,1.0
103,CSF3,2915.5,0.8080439866950297,1.0
104,CXCL1,3062.0,0.5489929384762586,0.9597502449620925
105,CXCL8,2950.0,0.837086600965606,1.0
106,IL3,2891.0,1.0,1.0
107,IL1A,3021.0,0.6317580910580269,0.9884037582913463
108,CCL2,2978.0,0.7611062487063569,1.0
109,CCL20,3053.0,0.5702815773046017,0.9839279173661519
110,AGXT,2897.5,0.9707954232310331,1.0
111,CYP1B1,2604.0,0.3133118522099472,0.8656356829942006
112,MYH1,2692.5,0.16057128134288334,0.7941330946569357
113,MYH2,2695.5,0.16700458779770233,0.7941330946569357
114,MYH7,2997.5,0.6385240486906226,0.9884037582913463
115,MYL1,2923.0,0.8628637649870768,1.0
116,MYLPF,2796.0,0.5154173486444508,0.9543665316126376
117,ALB,2789.0,0.7212788980176474,1.0
118,CXCL2,3237.0,0.22461171770017097,0.8204382204063226
