,Edge,U,pval,adj_pvals
0,CD44;MMP2,7618.0,0.746858996697891,0.9564278322949585
1,CD44;MMP7,6487.0,0.032798754147782994,0.5406504312747455
2,CD44;FN1,9055.0,0.04797935279569807,0.6570063461208704
3,APP;APOA1,8740.0,0.029481752101952807,0.5102472167955587
4,APP;TTR,8696.0,0.06836801169444481,0.6570063461208704
5,APP;APOE,8481.0,0.11786865431195133,0.7546684149700482
6,APP;CLU,8142.5,0.47264129390914433,0.8406504102530571
7,APP;F11,7648.5,0.6877288443521856,0.9103917536094781
8,APP;GAPDH,7876.5,0.9284839700093459,1.0
9,ERVW-1;PLG,7888.0,0.4445139533910145,0.8406504102530571
10,ERVW-1;FN1,8011.5,0.3267325554239371,0.8172147316057066
11,SLC7A9;SLC3A1,8673.5,0.06592551887635961,0.6570063461208704
12,SLC3A1;AGT,9680.0,0.00046434257088721664,0.23727905372336772
13,SLC3A1;PREPL,6274.5,0.011998963330142531,0.37934913057494596
14,SLC3A1;PPM1B,6442.5,0.02418053463506156,0.5102472167955587
15,FN1;TIMP1,9415.0,0.010642081674854725,0.37934913057494596
16,FN1;VTN,8110.0,0.3433994635962099,0.8210332371733888
17,FN1;SPARC,8103.0,0.6508244968050076,0.8931330014285473
18,FN1;MYOM2,8524.0,0.12730217803291166,0.7546684149700482
19,FN1;ALB,8198.0,0.16326110115838988,0.7546684149700482
20,FN1;PLG,7909.0,0.5889364785045412,0.8528584014577263
21,FN1;SERPINF2,8862.0,0.007401207249611209,0.36400220801663585
22,FN1;FGG,8201.0,0.15994196575484787,0.7546684149700482
23,FN1;ITGB3,8499.5,0.07220392778150332,0.6570063461208704
24,FN1;ERVFRD-1,8078.5,0.22496570638426416,0.7546684149700482
25,FN1;ERV3-1,7570.5,0.6873169154392273,0.9103917536094781
26,PFKL;TALDO1,7820.0,1.0,1.0
27,PFKL;PFKM,7786.0,0.592136246558098,0.8528584014577263
28,PFKL;TKT,7883.0,0.797711366862607,0.97753119536401
29,PFKL;GPI,7820.0,1.0,1.0
30,PFKL;ALDOC,7820.0,1.0,1.0
31,PFKL;ALDOA,7786.0,0.592136246558098,0.8528584014577263
32,PFKL;TKTL2,7820.0,1.0,1.0
33,PFKL;ALDOB,7820.0,1.0,1.0
34,PFKL;TKTL1,7867.0,0.6666218191758728,0.8940780829366693
35,PFKL;FBP2,7820.0,1.0,1.0
36,PFKL;PFKP,7786.0,0.592136246558098,0.8528584014577263
37,PFKL;FBP1,7752.0,0.4445139533910145,0.8406504102530571
38,FBP2;TKTL2,7820.0,1.0,1.0
39,FBP2;TALDO1,7820.0,1.0,1.0
40,FBP2;TKTL1,7752.0,0.4445139533910145,0.8406504102530571
41,FBP2;TKT,8011.0,0.3702728574050943,0.8308055214780619
42,FBP2;PFKM,7820.0,1.0,1.0
43,FBP2;GPI,7820.0,1.0,1.0
44,FBP2;ALDOC,7820.0,1.0,1.0
45,FBP2;ALDOA,7820.0,1.0,1.0
46,FBP2;ALDOB,7820.0,1.0,1.0
47,FBP2;PFKP,7820.0,1.0,1.0
48,FBP2;FBP1,7820.0,1.0,1.0
49,PFKP;TKTL2,7820.0,1.0,1.0
