,Gene,U,pval,adj_pvals
0,CD44,7478.0,0.5843440873775316,0.7640467697523845
1,APP,8775.0,0.12614825903816232,0.42944088183204193
2,ERVW-1,8011.5,0.3267325554239371,0.5873843693014599
3,SLC7A9,8673.5,0.06592551887635961,0.3253106640579669
4,SLC3A1,7389.5,0.48443871059037136,0.7525261523733924
5,FN1,8382.0,0.3684026636444435,0.6270617840551279
6,PFKL,7975.0,0.5380712432084707,0.7640467697523845
7,FBP2,8002.0,0.39330812081940547,0.6555135346990092
8,PFKP,7941.5,0.6387552854454258,0.7826790608833548
9,PFKM,7982.0,0.5198157077876088,0.7640467697523845
10,CPB2,7707.0,0.5432790313611856,0.7640467697523845
11,PLG,8776.0,0.12558245820656588,0.42944088183204193
12,F2,7750.5,0.8323499124997447,0.9151140976344185
13,HBB,8725.0,0.1473334709581084,0.4437961704599643
14,CYP1A1,7691.5,0.5471665051018492,0.7640467697523845
15,CETP,7304.0,0.039933751379864935,0.3101169773152797
16,APOC3,7403.5,0.06912851611231796,0.3253106640579669
17,APOB,7023.0,0.04430026446849433,0.3101169773152797
18,LCAT,7314.5,0.15295709946080346,0.4437961704599643
19,APOE,8888.0,0.05388809697001282,0.3253106640579669
20,APOC1,7370.0,0.05735568783140707,0.3253106640579669
21,APOA2,7234.0,0.09752326747910776,0.40117590717117324
22,APOA1,9050.0,0.026742264709803853,0.26742264709803854
23,PON1,7696.5,0.562929706810103,0.7640467697523845
24,APOH,7694.5,0.474510293792506,0.747991893081546
25,APOM,7831.5,0.9498190093319644,0.9804583322136406
26,AHSG,8177.0,0.19805729139064232,0.480138888219739
27,CYP2E1,7548.0,0.16330094931867456,0.4437961704599643
28,SERPIND1,7453.0,0.16564117614673313,0.4437961704599643
29,FGA,6727.0,0.004963724089362271,0.13534317341595636
30,FGB,7048.0,0.03699105065524577,0.3101169773152797
31,FGG,7421.0,0.29136449584115764,0.5549799920783955
32,CD163,7457.0,0.5610742897673413,0.7640467697523845
33,LTF,7757.0,0.8350416140914069,0.9151140976344185
34,BDKRB1,7792.0,0.9317347918621085,0.9746063114746324
35,BDKRB2,8156.0,0.28835368964100694,0.5549799920783955
36,AGT,9539.0,0.0018678071395676866,0.09961638077694329
37,KNG1,8575.0,0.10382638991304802,0.40117590717117324
38,PKLR,7418.0,0.0996533826548424,0.40117590717117324
39,ENO1,8982.5,0.06245453516812292,0.3253106640579669
40,PROC,7189.5,0.11481057413540666,0.4082153747036681
41,F11,7803.0,0.9700915719918929,0.9823712121436889
42,SERPINC1,7806.0,0.9611262232668722,0.9823712121436889
43,TIMP1,7185.0,0.30943490782021066,0.5762717971706215
44,MMP3,6767.0,0.09127245744290623,0.40117590717117324
45,MMP2,8315.0,0.4282779787264367,0.6992293530227537
46,MMP10,6665.0,0.06402701517175548,0.3253106640579669
47,A2M,8985.0,0.062122845705445816,0.3253106640579669
48,MMP7,6659.0,0.06302564657855379,0.3253106640579669
49,TIMP2,6576.0,0.046374525406562464,0.3101169773152797
50,LRP2,8123.0,0.35337878782567356,0.6145718049142149
51,MB,8024.0,0.5548255343580764,0.7640467697523845
52,PLAT,7869.0,0.9380585747943337,0.9746063114746324
53,S100A10,8186.5,0.5576164790380433,0.7640467697523845
54,ANXA2,8441.5,0.31976895254450455,0.5813980955354627
55,SERPINB2,8145.0,0.5914428404864835,0.7640467697523845
56,SERPINE1,8237.0,0.5031514438041567,0.7640467697523845
57,CYP2J2,7544.5,0.33120003213101545,0.5888000571218053
58,CYP2C19,7480.0,0.11032337447207265,0.40117590717117324
59,CYP2C9,7378.0,0.04567286589167498,0.3101169773152797
60,CYP2C8,7514.0,0.13408806770329376,0.4378385884189184
61,CYP2B6,7616.0,0.1802921942493605,0.4437961704599643
62,GAPDHS,7786.0,0.592136246558098,0.7640467697523845
63,ALDOA,7832.0,0.9668817050163393,0.9823712121436889
64,ALDOC,7936.0,0.6540798343743757,0.7826790608833548
65,GPI,7447.0,0.27337620224967163,0.5549799920783955
66,TALDO1,7868.0,0.8607437175842302,0.9305337487397083
67,TPI1,6443.0,0.005075369003098363,0.13534317341595636
68,ALDOB,6640.0,0.014071772810676961,0.1731910499775626
69,HPR,8844.0,0.06753326582437233,0.3253106640579669
70,CLU,8067.5,0.6087797544086666,0.7669666197274541
71,CYP3A5,7487.5,0.14690024952856318,0.4437961704599643
72,CYP2A6,7684.0,0.3723179342827322,0.6270617840551279
73,CYP4A11,7636.0,0.5409397647566945,0.7640467697523845
74,CYP2C18,7599.0,0.2795488392143417,0.5549799920783955
75,CYP3A4,7522.5,0.31334778971152544,0.5762717971706215
76,CYP1A2,8897.5,0.022928821190825687,0.24720647155527276
77,PLAUR,7580.5,0.6935489781950442,0.812495519712633
78,PLAU,7496.0,0.5983188901477849,0.7648353931717942
79,VTN,8053.5,0.6911190005866663,0.812495519712633
80,AGTR1,8034.5,0.7051509115545591,0.8175662742661555
81,C5,7189.0,0.2610963179965686,0.5549799920783955
82,C8A,7760.5,0.7619326559850327,0.8585156687155299
83,C3,6883.5,0.10844331656193629,0.40117590717117324
84,C6,7726.0,0.6465756002535955,0.7826790608833548
85,C9,7641.0,0.4191125732742227,0.6913197084935633
86,C7,7556.5,0.280787009019977,0.5549799920783955
87,C8B,7727.0,0.6501019357783557,0.7826790608833548
88,C8G,7692.5,0.5143370088262408,0.7640467697523845
89,PLGRKT,8876.0,0.08057553703140227,0.36834531214355326
90,GC,7908.5,0.7558432994036046,0.8585156687155299
91,CYCS,7649.0,0.5189633469304191,0.7640467697523845
92,C1QBP,7265.0,0.21891737810858014,0.5052218975431143
93,F12,7530.0,0.5184735307467887,0.7640467697523845
94,SPARC,8130.0,0.6199818584006749,0.7749773230008435
95,ALB,9426.0,0.010102326868065763,0.16163722988905221
96,ITGB3,8311.0,0.22734985389440143,0.5052218975431143
97,APOC2,7571.0,0.17936928761815507,0.4437961704599643
98,LPA,7671.5,0.44729825957239544,0.7229062780968006
99,APOA4,7606.5,0.22298377135664083,0.5052218975431143
100,APOA5,7740.5,0.651282665748036,0.7826790608833548
101,TKTL1,7800.0,0.9052228243838956,0.9591765026584325
102,TKTL2,7752.0,0.5874931857123875,0.7640467697523845
103,GAPDH,7975.0,0.8044817719656393,0.9001194651363796
104,TKFC,6269.0,0.00131430762951959,0.09961638077694329
105,TKT,7974.0,0.6023078721227879,0.7648353931717942
106,LALBA,7671.5,0.09365186442357933,0.40117590717117324
107,HRG,7773.0,0.8529800317279786,0.9284136399760312
108,FBP1,7974.0,0.5407052026767265,0.7640467697523845
109,PLTP,7311.5,0.15053222473376568,0.4437961704599643
110,SCARB1,7299.0,0.15482861024178043,0.4437961704599643
111,INS,7440.0,0.10857875278566557,0.40117590717117324
112,SERPINA5,8026.0,0.47684483183948556,0.747991893081546
113,SERPINF2,9509.5,0.0016695246236852258,0.09961638077694329
114,APOL1,7205.0,0.10721311318642816,0.40117590717117324
115,NAXE,7173.0,0.1699899784531318,0.4437961704599643
116,APOD,7500.5,0.3127236977651904,0.5762717971706215
117,CUBN,7934.0,0.7150017262915306,0.8230235698319777
118,ABCG1,7259.5,0.17500345562617348,0.4437961704599643
119,ABCA7,7678.0,0.6956992887539419,0.812495519712633
120,TTR,9214.0,0.02317560670830682,0.24720647155527276
121,ABCA1,6507.0,0.008583488708338553,0.16163722988905221
122,HP,9613.0,0.004077886168459729,0.13534317341595636
123,SERPINA1,8520.0,0.2065224864121742,0.4931880272529533
124,B2M,8482.0,0.2891571657438545,0.5549799920783955
125,HPX,9173.5,0.007183969805966623,0.16163722988905221
126,C4BPB,8295.5,0.3653880428059526,0.6270617840551279
127,C4A,6976.0,0.16148569175566163,0.4437961704599643
128,C4B,6915.0,0.1332666751524259,0.4378385884189184
129,C4BPA,7884.0,0.9021046113423974,0.9591765026584325
130,SERPING1,7040.0,0.1736524855333601,0.4437961704599643
131,HBA2,9063.0,0.04651754659729195,0.3101169773152797
132,HBA1,8736.0,0.14247488564540453,0.4437961704599643
133,KLKB1,9164.0,0.011676596847316666,0.1627526968391321
134,SERPINF1,6201.0,0.00926033014523731,0.16163722988905221
135,TAC1,8102.0,0.2747774845199521,0.5549799920783955
136,ORM1,7886.0,0.8852014958703402,0.9505519418741909
137,ORM2,7820.0,1.0,1.0
138,KLK4,8870.5,0.04125805087275746,0.3101169773152797
139,KHK,6882.0,0.028662718687705504,0.2697667641195812
140,PREPL,7838.0,0.9775887218407542,0.983737078581891
141,PPM1B,7870.0,0.9366664156388312,0.9746063114746324
142,AMOT,9296.0,0.012206452262934908,0.1627526968391321
143,MYOM2,8391.0,0.22592555433213013,0.5052218975431143
144,F13B,7874.5,0.7573602901395813,0.8585156687155299
145,AMBP,7959.0,0.5700463253776411,0.7640467697523845
146,MBL2,8024.0,0.1802921942493605,0.4437961704599643
147,REN,7603.0,0.5845964154627008,0.7640467697523845
148,ACE,7364.0,0.28084196176557863,0.5549799920783955
149,FCGRT,8998.0,0.05918737853366387,0.3253106640579669
150,SHBG,8329.0,0.2448352646013262,0.5366252374823588
151,CLEC3B,8134.0,0.584247107084443,0.7640467697523845
152,SPINK1,8406.0,0.34577357318110646,0.607953535263484
153,PRSS2,8699.0,0.15772498831957582,0.4437961704599643
154,KLK1,8058.0,0.2823661318513039,0.5549799920783955
155,THOP1,7331.0,0.26073313623205907,0.5549799920783955
156,ERV3-1,7543.5,0.6554937134898097,0.7826790608833548
157,ERVFRD-1,8079.5,0.22317359649619484,0.5052218975431143
158,CYP4A22,7922.0,0.46488215949805256,0.7438114551968841
159,PRSS3,7685.0,0.8246399583432402,0.9151140976344185
