,Edge,U,pval,adj_pvals
0,MTOR;RPS6KB1,56.0,0.3802071371873732,0.6623462007470838
1,MTOR;PIK3CA,44.0,0.11949875979004544,0.4593300623168533
2,MTOR;PPARG,91.0,0.2949352987570909,0.6036868782398964
3,MTOR;HSP90AA1,77.0,0.7989066696432697,0.9122448958433282
4,MTOR;PIK3R1,61.0,0.5522142220341504,0.7798750985323983
5,MTOR;UBC,45.0,0.13354523580261685,0.4789285592184299
6,MTOR;AKT1,45.0,0.13354523580261685,0.4789285592184299
7,MTOR;RHOA,57.0,0.4117027470058471,0.6822411620274911
8,MTOR;AKT2,37.0,0.05079852073883995,0.355423636934171
9,MTOR;HSP90AB1,72.0,1.0,1.0
10,MTOR;CHUK,49.0,0.20273017064652255,0.5412036101673376
11,HSP90AB1;RIPK3,87.0,0.4117027470058471,0.6822411620274911
12,HSP90AB1;NR3C1,77.0,0.7989066696432697,0.9122448958433282
13,HSP90AB1;LRP1,54.0,0.3218113791981505,0.6212787762517946
14,HSP90AB1;RIPK1,96.0,0.18337811248945035,0.5186427197356845
15,HSP90AB1;TLR2,91.0,0.2949352987570909,0.6036868782398964
16,HSP90AB1;TP53,80.0,0.6711254583898127,0.8462188494773787
17,HSP90AB1;EGFR,85.0,0.47914825725759425,0.7301469172871952
18,HSP90AB1;HSP90B1,86.0,0.4446962318497091,0.7016172677894084
19,HSP90AB1;HSPA4,61.0,0.5522142220341504,0.7798750985323983
20,HSP90AB1;CALR,52.0,0.269606104568209,0.5963085432650159
21,HSP90AB1;HSPA5,40.0,0.07453157105461942,0.4019448202215118
22,HSP90AB1;HSP90AA1,89.0,0.35023758481899414,0.6436555099549068
23,HSP90AB1;NLRP3,87.0,0.4117027470058471,0.6822411620274911
24,HSP90AB1;CAV1,85.0,0.47914825725759425,0.7301469172871952
25,HSP90AB1;HSPD1,79.0,0.7128806637550735,0.8652366786278982
26,HSP90AB1;CHUK,88.0,0.3802071371873732,0.6623462007470838
27,HSP90AB1;SRC,88.0,0.3802071371873732,0.6623462007470838
28,HSP90AB1;HIF1A,71.0,0.9774173567823232,0.9894328893006875
29,HSP90AB1;IKBKB,91.0,0.2949352987570909,0.6036868782398964
30,HSP90AB1;ESR1,82.0,0.5906933198847109,0.8065525496640089
31,HSP90AB1;TLR4,92.0,0.269606104568209,0.5963085432650159
32,HSP90AB1;AKT1,64.0,0.6711254583898127,0.8462188494773787
33,HSPA4;NR3C1,29.0,0.016124349318736395,0.30019332079490973
34,HSPA4;LRP1,45.0,0.13354523580261685,0.4789285592184299
