,Edge,U,pval,adj_pvals
0,CACNA2D1;CACNB3,86.5,0.35635595702904566,1.0
1,CACNA2D1;CACNA1B,94.5,0.07473417886511836,1.0
2,CACNA2D1;CACNA1E,94.5,0.07473417886511836,1.0
3,CACNA2D1;CACNA1A,93.0,0.16118737415900186,1.0
4,CX3CL1;CCL11,76.5,0.5049850750938458,1.0
5,CX3CL1;CCR5,72.0,1.0,1.0
6,CX3CL1;CCL5,67.5,0.5049850750938458,1.0
7,CX3CL1;CXCR4,72.0,1.0,1.0
8,CX3CL1;CXCR1,76.5,0.5049850750938458,1.0
9,CX3CL1;CX3CR1,76.5,0.6883876751718593,1.0
10,CX3CL1;CCR2,76.5,0.5049850750938458,1.0
11,CX3CL1;CXCR3,76.5,0.5049850750938458,1.0
12,CCL11;CCL2,72.0,1.0,1.0
13,CCL11;CCL13,72.0,1.0,1.0
14,CCL11;CXCL6,72.0,1.0,1.0
15,CCL11;PF4V1,72.0,1.0,1.0
16,CCL11;IFNG,63.0,0.30659583036396365,1.0
17,CCL11;CCL27,72.0,1.0,1.0
18,CCL11;IL1A,67.5,0.5049850750938458,1.0
19,CCL11;IL1B,58.5,0.19244054341266714,1.0
20,CCL11;CCR2,72.0,1.0,1.0
21,CCL11;CCR5,72.0,1.0,1.0
22,CCL11;CXCL3,81.0,0.30659583036396365,1.0
23,CCL11;CXCL5,76.5,0.5049850750938458,1.0
24,CCL11;PF4,72.0,1.0,1.0
25,CCL11;CCR1,72.0,1.0,1.0
26,CCL11;CXCL10,72.0,1.0,1.0
27,CCL11;CXCL14,72.0,1.0,1.0
28,CCL11;CXCL2,76.5,0.5049850750938458,1.0
29,CCL11;CXCL9,72.0,1.0,1.0
30,CCL11;CXCL11,72.0,1.0,1.0
31,CCL11;XCL1,72.0,1.0,1.0
32,CCL11;CCL26,72.0,1.0,1.0
33,CCL11;CXCR3,72.0,1.0,1.0
34,CCL11;CCL8,72.0,1.0,1.0
35,CCL11;CCL5,72.0,1.0,1.0
36,CCL11;CXCL1,72.0,1.0,1.0
37,CCL11;CCR3,72.0,1.0,1.0
38,CCL11;CXCL12,72.0,1.0,1.0
39,CCL11;CCL28,72.0,1.0,1.0
40,CCR5;CCL22,72.0,1.0,1.0
41,CCR5;CCL17,72.0,1.0,1.0
42,CCR5;CCL2,72.0,1.0,1.0
43,CCR5;CCL13,72.0,1.0,1.0
44,CCR5;CCR7,72.0,1.0,1.0
45,CCR5;CCL21,72.0,1.0,1.0
46,CCR5;CCR2,72.0,1.0,1.0
47,CCR5;CXCL12,72.0,1.0,1.0
48,CCR5;CXCL8,72.0,1.0,1.0
49,CCR5;CCL19,72.0,1.0,1.0
50,CCR5;CCL8,72.0,1.0,1.0
51,CCR5;CXCL1,81.0,0.30659583036396365,1.0
52,CCR5;CCL5,72.0,1.0,1.0
53,CCR5;CCL20,72.0,1.0,1.0
54,CCR5;CCL4L2,76.5,0.5049850750938458,1.0
55,CCR5;CCR3,72.0,1.0,1.0
56,CCR5;CXCR4,72.0,1.0,1.0
57,CCR5;CXCR3,72.0,1.0,1.0
58,CCR5;CCR1,72.0,1.0,1.0
59,CCR5;CCL4,74.0,0.8804557252298884,1.0
60,CCR5;CXCL11,72.0,1.0,1.0
61,CCR5;CCL3,76.5,0.5049850750938458,1.0
62,CCR5;CXCL10,72.0,1.0,1.0
63,CCR5;CCL16,76.5,0.5049850750938458,1.0
64,CCR5;CXCL2,76.5,0.5049850750938458,1.0
65,CCR5;CXCL9,72.0,1.0,1.0
66,CCL5;CCL17,72.0,1.0,1.0
67,CCL5;CCL2,72.0,1.0,1.0
68,CCL5;CCL13,72.0,1.0,1.0
69,CCL5;CXCL6,72.0,1.0,1.0
70,CCL5;NFKB1,82.5,0.5686858551586675,1.0
71,CCL5;CCR7,72.0,1.0,1.0
72,CCL5;CCL21,72.0,1.0,1.0
73,CCL5;CCL27,72.0,1.0,1.0
74,CCL5;CXCL13,72.0,1.0,1.0
75,CCL5;CXCR5,59.5,0.33102549889154165,1.0
76,CCL5;CCR2,72.0,1.0,1.0
77,CCL5;CXCR1,67.5,0.5049850750938458,1.0
78,CCL5;PPBP,76.5,0.5049850750938458,1.0
79,CCL5;PF4,72.0,1.0,1.0
