,Gene,U,pval,adj_pvals
0,CACNA2D1,90.0,0.26335751524368234,0.7523741699304238
1,CX3CL1,76.0,0.7563096246483585,1.0
2,CCL11,63.0,0.4510535063267863,0.9410869452990973
3,CCR5,85.0,0.3449797401209692,0.7779929844861134
4,CCL5,100.0,0.11949875979004544,0.5384787998588356
5,CXCR4,80.0,0.5434982638083425,0.9823600370923307
6,CXCR1,81.0,0.30659583036396365,0.7523741699304238
7,CX3CR1,85.5,0.19244054341266714,0.7391466326531988
8,CCR2,80.0,0.6316874395848213,1.0
9,CXCR3,80.0,0.5434982638083425,0.9823600370923307
10,CXCR2,82.0,0.44157288935936356,0.9328227287716556
11,APP,96.0,0.18337811248945035,0.7378785954932645
12,CTRB1,72.0,1.0,1.0
13,IL10,90.0,0.28536491201662695,0.7523741699304238
14,IFNG,70.5,0.9533499303082605,1.0
15,CD8A,113.0,0.013418838274946047,0.1370831185994166
16,TNF,79.0,0.7098793031419675,1.0
17,IL1B,45.0,0.13354523580261685,0.5642286212660562
18,IL6,75.0,0.8874476051803057,1.0
19,ANPEP,92.0,0.269606104568209,0.7523741699304238
20,GRB2,54.0,0.31654288696900124,0.7642249699680173
21,SRC,25.0,0.008474801892153836,0.11017242459799986
22,ERBB2,40.0,0.0714106124919512,0.4641689811976828
23,TLR4,52.5,0.27881856572687314,0.7523741699304238
24,EGFR,41.0,0.08421751691148897,0.4744253452680546
25,CD79B,55.0,0.349866667579554,0.7779929844861134
26,CD79A,81.0,0.6300984146475543,1.0
27,CALM3,97.0,0.10651024354470823,0.5142923188301626
28,NFKB1,89.5,0.3357379476605432,0.7772563445839973
29,NTRK1,103.0,0.07438036304203673,0.46556597607793354
30,NTRK2,99.0,0.12107807334103997,0.5384787998588356
31,RHOA,127.0,0.0020324103214656576,0.09179638057652327
32,HSD3B1,72.0,1.0,1.0
33,HSD3B2,72.0,1.0,1.0
34,APOE,80.0,0.6401611509227212,1.0
35,APOA1,97.5,0.09955401422384128,0.4948420118773287
36,AHSG,72.0,1.0,1.0
37,UNC13D,53.0,0.2949352987570909,0.7523741699304238
38,RAB27A,78.0,0.7555146567388422,1.0
39,JUN,113.0,0.021856009098313683,0.19440344934815854
40,ITGB1,51.0,0.2458111315298186,0.7523741699304238
41,ACKR2,72.0,1.0,1.0
42,STAT1,103.0,0.08421751691148897,0.4744253452680546
43,ELANE,76.5,0.6883876751718593,1.0
44,LTF,74.5,0.9007930434199632,1.0
45,SOS1,35.0,0.036705450885197645,0.295391485695162
46,A2M,59.0,0.45950758785639667,0.9470339310698908
47,CCL22,80.0,0.5434982638083425,0.9823600370923307
48,CCR8,78.0,0.6257890982857004,1.0
49,CXCL10,72.0,1.0,1.0
50,PF4V1,76.5,0.5049850750938458,0.9698008828506812
51,CCR3,73.0,0.9600183874643179,1.0
52,CCR4,69.0,0.8245749453478984,1.0
53,CCL17,76.0,0.7563096246483585,1.0
54,CCR7,74.0,0.9097732121285552,1.0
55,CCR1,74.0,0.9032900296016632,1.0
56,CCL28,81.0,0.30659583036396365,0.7523741699304238
57,CCL25,72.0,1.0,1.0
58,PF4,76.5,0.5049850750938458,0.9698008828506812
59,CCL26,81.0,0.30659583036396365,0.7523741699304238
60,CCL21,76.5,0.7749404779511667,1.0
61,CXCL17,67.5,0.5049850750938458,0.9698008828506812
62,CXCL14,72.0,1.0,1.0
63,CCR6,80.0,0.5434982638083425,0.9823600370923307
64,PYCARD,32.0,0.025335586736179114,0.21408570792071352
65,AIM2,27.0,0.011758294400597138,0.1324767835800611
66,NLRC4,24.5,0.0033950719181364145,0.09179638057652327
67,NLRP3,22.0,0.005072619410816561,0.09179638057652327
68,CASP1,19.0,0.0029564779954394976,0.09179638057652327
69,NLRP6,28.0,0.005431738495652264,0.09179638057652327
70,NLRP1,31.0,0.021856009098313683,0.19440344934815854
71,TG,61.5,0.5585440683678543,0.9832702870225768
72,LRP2,61.0,0.5522142220341504,0.9823600370923307
73,CXCL9,89.0,0.349866667579554,0.7779929844861134
74,ERBB3,42.0,0.09133633793753859,0.4815873260403707
75,HPR,72.0,1.0,1.0
76,CLU,83.0,0.5286220226000921,0.9823600370923307
77,CACNA1B,99.0,0.04527741914138303,0.30607535339574926
78,GC,72.0,1.0,1.0
79,CXCL1,81.0,0.6302959719422486,1.0
