,Edge,U,pval,adj_pvals
0,MTOR;RPS6KB1,52.0,0.269606104568209,0.5914542224783547
1,MTOR;PIK3CA,42.0,0.09489787392476422,0.42670391537801783
2,MTOR;PPARG,91.0,0.2949352987570909,0.6077648301581656
3,MTOR;HSP90AA1,69.0,0.8874476051803057,0.944029835040795
4,MTOR;PIK3R1,60.0,0.5150082114768838,0.7552394897679514
5,MTOR;AKT1,43.0,0.10663705780256338,0.4343119570459862
6,MTOR;RHOA,57.0,0.4117027470058471,0.6899194932203712
7,MTOR;AKT2,42.0,0.09489787392476422,0.42670391537801783
8,MTOR;HSP90AB1,68.0,0.8429288944105098,0.9294207287935012
9,MTOR;CHUK,50.0,0.22352896258794108,0.5631153468109457
10,HSP90AB1;NR3C1,78.0,0.7555146567388422,0.8930943922419379
11,HSP90AB1;LRP1,52.0,0.269606104568209,0.5914542224783547
12,HSP90AB1;RIPK1,99.0,0.13354523580261685,0.4643565603228103
13,HSP90AB1;TLR2,91.0,0.2949352987570909,0.6077648301581656
14,HSP90AB1;TP53,80.0,0.6711254583898127,0.8504201344819613
15,HSP90AB1;EGFR,87.0,0.4117027470058471,0.6899194932203712
16,HSP90AB1;HSP90B1,83.0,0.5522142220341504,0.7780084817103363
17,HSP90AB1;HSPA4,58.0,0.4446962318497091,0.7161830931229015
18,HSP90AB1;CALR,53.0,0.2949352987570909,0.6077648301581656
19,HSP90AB1;HSPA5,41.0,0.08421751691148897,0.4117781932278972
20,HSP90AB1;HSP90AA1,93.0,0.2458111315298186,0.577914427898288
21,HSP90AB1;NLRP3,85.0,0.47914825725759425,0.7385251096466323
22,HSP90AB1;CAV1,88.0,0.3802071371873732,0.6689675993805586
23,HSP90AB1;HSPD1,77.0,0.7989066696432697,0.9131733687869585
24,HSP90AB1;CHUK,87.0,0.4117027470058471,0.6899194932203712
25,HSP90AB1;SRC,90.0,0.3218113791981505,0.6271365197078711
26,HSP90AB1;HIF1A,76.0,0.8429288944105098,0.9294207287935012
27,HSP90AB1;IKBKB,87.0,0.4117027470058471,0.6899194932203712
28,HSP90AB1;ESR1,83.0,0.5522142220341504,0.7780084817103363
29,HSP90AB1;TLR4,93.0,0.2458111315298186,0.577914427898288
30,HSP90AB1;AKT1,63.0,0.6303617542453392,0.8297218384599552
31,HSPA4;NR3C1,30.0,0.0187999143247778,0.286059496365819
32,HSPA4;LRP1,41.0,0.08421751691148897,0.4117781932278972
33,HSPA4;TLR2,56.0,0.3802071371873732,0.6689675993805586
34,HSPA4;CD81,69.0,0.8874476051803057,0.944029835040795
35,HSPA4;TP53,54.0,0.3218113791981505,0.6271365197078711
36,HSPA4;EGFR,41.0,0.08421751691148897,0.4117781932278972
37,HSPA4;HSP90B1,61.0,0.5522142220341504,0.7780084817103363
38,HSPA4;TLR4,51.0,0.2458111315298186,0.577914427898288
39,HSPA4;CD63,51.0,0.2458111315298186,0.577914427898288
40,HSPA4;AKT1,18.0,0.002454937957197063,0.2596889237603121
41,HSPA4;HSP90AA1,60.0,0.5150082114768838,0.7552394897679514
42,HSPA4;CALR,29.0,0.016124349318736395,0.2839677074466354
43,HSPA4;SNCA,83.0,0.5522142220341504,0.7780084817103363
44,NR3C1;FOS,62.0,0.5906933198847109,0.8094370997267435
45,NR3C1;NCOA1,50.0,0.22352896258794108,0.5631153468109457
46,NR3C1;JUN,60.0,0.5150082114768838,0.7552394897679514
47,NR3C1;STAT3,55.0,0.35023758481899414,0.6499042793421725
48,NR3C1;HSP90AA1,79.0,0.7128806637550735,0.8708407337586062
49,HSP90AA1;LRP1,59.0,0.47914825725759425,0.7385251096466323
50,HSP90AA1;RIPK1,99.0,0.13354523580261685,0.4643565603228103
51,HSP90AA1;TLR2,91.0,0.2949352987570909,0.6077648301581656
52,HSP90AA1;STAT3,84.0,0.5150082114768838,0.7552394897679514
53,HSP90AA1;TP53,81.0,0.6303617542453392,0.8297218384599552
54,HSP90AA1;EGFR,87.0,0.4117027470058471,0.6899194932203712
55,HSP90AA1;HSP90B1,81.0,0.6303617542453392,0.8297218384599552
56,HSP90AA1;CALR,52.0,0.269606104568209,0.5914542224783547
57,HSP90AA1;HSPA5,51.0,0.2458111315298186,0.577914427898288
58,HSP90AA1;ACTB,108.0,0.04445323585465808,0.34230791334234684
59,HSP90AA1;MYC,84.0,0.5150082114768838,0.7552394897679514
60,HSP90AA1;HSPD1,70.0,0.9323243733483333,0.9668925616731352
61,HSP90AA1;CAV1,92.0,0.269606104568209,0.5914542224783547
62,HSP90AA1;NLRP3,91.0,0.2949352987570909,0.6077648301581656
63,HSP90AA1;CHUK,84.0,0.5150082114768838,0.7552394897679514
64,HSP90AA1;IKBKB,88.0,0.3802071371873732,0.6689675993805586
65,HSP90AA1;ESR1,80.0,0.6711254583898127,0.8504201344819613
66,HSP90AA1;SRC,90.0,0.3218113791981505,0.6271365197078711
67,HSP90AA1;HIF1A,71.0,0.9774173567823232,0.9867557391719634
68,HSP90AA1;AKT1,70.0,0.9323243733483333,0.9668925616731352
69,HSP90AA1;TLR4,92.0,0.269606104568209,0.5914542224783547
70,HSP90AA1;TGFBR2,65.0,0.7128806637550735,0.8708407337586062
71,PRKACA;NFKBIA,89.0,0.35023758481899414,0.6499042793421725
72,PRKACA;MAPK3,93.0,0.2458111315298186,0.577914427898288
73,PRKACA;FOS,104.0,0.07453157105461942,0.40044928854770095
74,PRKACA;ESR1,92.0,0.269606104568209,0.5914542224783547
75,PRKACA;RELA,87.0,0.4117027470058471,0.6899194932203712
76,PRKACA;PRKACB,64.0,0.6711254583898127,0.8504201344819613
77,PRKACA;JUN,99.0,0.13354523580261685,0.4643565603228103
78,PRKACA;CREB1,39.0,0.06577555183717868,0.3885251540196082
79,PRKACA;RHOA,73.0,0.9774173567823232,0.9867557391719634
80,PRKACA;CTNNB1,88.0,0.3802071371873732,0.6689675993805586
81,FLNA;VCL,42.0,0.09489787392476422,0.42670391537801783
82,FLNA;PXN,59.0,0.47914825725759425,0.7385251096466323
83,FLNA;TLN1,54.0,0.3218113791981505,0.6271365197078711
84,FLNA;TLN2,41.0,0.08421751691148897,0.4117781932278972
85,FLNA;ITGB3,57.0,0.4117027470058471,0.6899194932203712
86,FLNA;ITGB1,45.0,0.13354523580261685,0.4643565603228103
87,FLNA;CDC42,58.0,0.4446962318497091,0.7161830931229015
88,PRKACB;NFKBIA,71.0,0.9774173567823232,0.9867557391719634
89,PRKACB;MAPK3,93.0,0.2458111315298186,0.577914427898288
90,PRKACB;FOS,102.0,0.09489787392476422,0.42670391537801783
91,PRKACB;ESR1,72.0,1.0,1.0
