,Gene,U,pval,adj_pvals
0,FKBP4,1062.0,0.1313182151952718,0.3617910305602296
1,FKBP5,1027.0,0.08255078502779672,0.27562410868785026
2,MTOR,1432.0,0.37567982791771504,0.6131639714359602
3,HSP90AB1,1219.0,0.6241376751973584,0.7929296250934993
4,HSPA4,1117.0,0.24933167187186012,0.49017029409358387
5,HSP90AA1,1252.0,0.7826826266301716,0.8882128684230037
6,PHLPP1,1430.0,0.38271518768348045,0.6131639714359602
7,TJP1,1290.0,0.9767011095164627,0.9981731653203524
8,PRKACA,1077.0,0.15807542356580606,0.3953425172702569
9,FLNA,1628.0,0.030933778717919108,0.18244155623415065
10,PRKAA1,1133.0,0.2945767444982005,0.5324787685784026
11,PRKACB,1469.0,0.2601594976978011,0.495775646556187
12,SLC9A3R1,1483.0,0.22365209696265465,0.4681629387197538
13,CYP51A1,1401.0,0.4935367017700407,0.6971637325702673
14,NSDHL,1361.0,0.6707676355928653,0.8187012833218055
15,DHCR24,1397.0,0.5100662442154976,0.7093520229365269
16,SIGMAR1,920.0,0.015077867498537949,0.1338782081188864
17,HMGCS1,1239.0,0.7187014986077813,0.851482127382826
18,POR,1426.0,0.39702610280686956,0.6253354601714437
19,ERG28,1042.0,0.10127077962337955,0.3208893722968262
20,SC5D,1320.0,0.8736650205945058,0.9475454183092089
21,FDFT1,1227.0,0.6613321345604537,0.8133278001900253
22,HSD17B7,1617.0,0.03693031793877087,0.1961885272535221
23,DHCR7,1304.0,0.9560070426066022,0.991596521728029
24,LBR,1779.0,0.0017015546390252566,0.08332566328269213
25,LSS,1416.0,0.4341884437172354,0.6606859934529684
26,FAXDC2,814.0,0.001818093931000679,0.08332566328269213
27,SQLE,1343.0,0.7578732485866948,0.8698317966733656
28,TM7SF2,1367.0,0.6426228983218527,0.8075261303951119
29,MSMO1,1183.0,0.4692901533336492,0.684452064789871
30,UBC,1415.0,0.4380120938448574,0.6623726731774368
31,MYC,1081.0,0.16586478632321966,0.4024587007482327
32,RASA1,1311.0,0.919872020864274,0.9741239749126257
33,RALBP1,940.0,0.02140840070056547,0.16016655338941574
34,RGL2,955.5,0.027798837238527142,0.17312560750493938
35,RALGDS,943.0,0.022534637398307307,0.16257131265921698
36,RGL1,1184.5,0.47528829789948257,0.6907067350769459
37,DVL2,1146.0,0.335164089884495,0.5713345667229366
38,ARRB2,1598.0,0.04962019234911026,0.2239838850172128
39,GSK3B,1214.0,0.6013607811313999,0.7799350098782842
40,RUVBL1,1002.0,0.05765345436901631,0.2317611499013193
41,RUVBL2,975.0,0.038120790567825455,0.1961885272535221
42,CCL5,1352.0,0.7138541845852209,0.8469811764241681
43,CXCR4,1503.0,0.178085225483413,0.4182932040424352
44,CRY1,1129.0,0.28278043603304637,0.5192877098061397
45,CRY2,1285.0,0.9508376102840901,0.9900474086463207
46,CLOCK,1281.0,0.930182727600553,0.9811849137091996
47,TIMELESS,1225.0,0.6519501327286534,0.8133278001900253
48,PER3,1461.0,0.28278043603304637,0.5192877098061397
