,Gene,U,pval,adj_pvals
0,MTOR,1426.0,0.39702610280686956,0.6664719304649032
1,PRKACG,1312.5,0.5040819735246215,0.6976494513580761
2,TJP1,1004.0,0.05938344916711429,0.2935239058831649
3,PRKACA,1008.0,0.06297276738070616,0.30261913213506014
4,PRKACB,1312.5,0.5040819735246215,0.6976494513580761
5,CYP51A1,1628.0,0.030933778717919108,0.20582860454615406
6,SC5D,1544.0,0.10679581361564887,0.3845806034854481
7,FAXDC2,979.0,0.040599837650962714,0.22707274252711643
8,ARRB2,1403.0,0.48538076596835444,0.6976494513580761
9,TIMELESS,1293.0,0.9922327218219092,1.0
10,CXCR2,1359.0,0.6725245424941358,0.8193432806442641
11,FYN,1278.0,0.9147216053720648,0.9768323316627606
12,SYK,1425.0,0.40065364605982623,0.6664719304649032
13,CD81,1026.0,0.0813851372772068,0.3434055792428482
14,BRAF,1530.0,0.12803314822150635,0.3935723845665868
15,GNB1,1054.0,0.11856058003679551,0.3910556327276896
16,RB1CC1,909.0,0.012353115523308401,0.12686592484038953
17,BECN1,1197.0,0.5268808686189279,0.7121124239927697
18,ULK2,791.0,0.0010842034275879895,0.04689179824318055
19,ULK1,781.0,0.0008603461418024212,0.04689179824318055
20,ATG5,1187.0,0.48538076596835444,0.6976494513580761
21,ATG12,814.0,0.001818093931000679,0.052421708343852916
22,BECN2,1295.0,1.0,1.0
23,ATG14,1179.0,0.4534989734025352,0.6976494513580761
24,PIK3C3,956.0,0.02803019699287828,0.2020510033236643
25,PIK3R4,1173.0,0.43038415115846484,0.6894116495408742
26,ATG101,1076.0,0.15617207296319624,0.3973201268034257
27,ATG13,1013.0,0.06770973180933999,0.30469686278347413
28,RPTOR,1519.0,0.14691523706284842,0.3973201268034257
29,ATG3,1343.0,0.7578732485866948,0.8682918675860809
30,LYN,1591.0,0.05513717716880927,0.28055093088835303
31,PLCG2,1783.0,0.0015568480768875972,0.052421708343852916
32,BTK,1545.0,0.10539264783821398,0.3845806034854481
33,SRC,1458.0,0.29159719687928287,0.5865850588385574
34,OCLN,905.0,0.011460156446099818,0.12686592484038953
35,GNA11,1387.0,0.5526227500218104,0.7297995095707878
36,EDNRA,1570.5,0.07429536599167469,0.32132745791399303
37,EDNRB,1732.0,0.004613025926311726,0.08144054591708014
38,GNAQ,1498.0,0.18877080157413306,0.43543131563100024
39,CD19,1365.0,0.6488516213976243,0.7961087269630426
40,APOA1,1455.0,0.1364990929132671,0.3935723845665868
41,VASP,1091.0,0.1865967133392038,0.43543131563100024
42,FLNC,1666.0,0.016190217774833746,0.1474386643687994
43,FOXO3,1418.0,0.4265992775909634,0.6894116495408742
44,KAT2B,1371.5,0.6218424497701716,0.7795561145669542
45,DLG1,1244.0,0.7431040719757129,0.8682918675860809
46,AKT1,1508.0,0.1678565091259413,0.414845372554112
47,NRAS,1549.0,0.09992571429987067,0.3841588571972806
48,KRAS,1208.0,0.5745353703148479,0.7431368947032905
49,RAF1,1089.0,0.18230413453902838,0.43543131563100024
50,HRAS,1737.5,0.004123128184623207,0.08144054591708014
51,ARRB1,1386.0,0.5569722953340986,0.7299712658545384
52,GAD1,1161.0,0.0974194119206274,0.38303541505155775
53,SYMPK,1297.0,0.9922327218219092,1.0
54,RRAS,1401.0,0.4935367017700407,0.6976494513580761
55,AGT,1407.5,0.46546333272961626,0.6976494513580761
56,PTEN,1246.0,0.752940252061858,0.8682918675860809
57,SNTA1,1234.0,0.6443932691526764,0.7961087269630426
58,SGCD,1329.0,0.8278850588662428,0.9007805986406289
59,NOS1,1348.0,0.57990451320777,0.7431368947032905
60,SSPN,1143.0,0.32549212502962555,0.5990440173417577
61,DAG1,1170.0,0.41908802339605056,0.6894116495408742
62,DMD,1134.0,0.2975766291729751,0.5917328373209735
63,SGCA,1263.0,0.7813215788259289,0.8834551185417366
64,CAV3,1289.0,0.9455577166577344,0.9914029392835639
65,SLC32A1,1295.0,1.0,1.0
66,GAD2,1156.0,0.12206360790344069,0.3910556327276896
67,SGCG,1430.0,0.2286684710880399,0.5007550063067203
68,SGCB,1283.0,0.9405051666019068,0.9914029392835639
69,EDN1,1495.0,0.16547849426182248,0.414845372554112
70,CDC42,1173.0,0.43038415115846484,0.6894116495408742
71,YWHAZ,1073.0,0.15056631563071612,0.3973201268034257
72,AKT3,1345.0,0.748017322449768,0.8682918675860809
73,AKT2,1459.0,0.2886379730904599,0.5865850588385574
74,YWHAB,1072.0,0.14873222222760743,0.3973201268034257
75,DLG4,1251.5,0.7801093407559708,0.8834551185417366
76,PIK3R2,1154.0,0.36185064767236697,0.620428941637249
77,PIK3R3,1234.0,0.6945812255202366,0.8374389199769423
78,PIK3R1,1731.0,0.004707546006767638,0.08144054591708014
79,PIK3R5,1576.0,0.06868888814193926,0.30469686278347413
80,PIK3CB,1139.0,0.3128814565779743,0.5948185932746104
81,PIK3CD,1800.0,0.0010596055421277363,0.04689179824318055
82,PIK3CA,1518.0,0.14873222222760743,0.3973201268034257
83,PIK3CG,1720.0,0.005869157810621292,0.08879101198899873
84,ERBB3,971.0,0.03577122565946378,0.22101507282454405
85,IGF1R,1255.0,0.7976768678344476,0.8846031931753809
86,RAC2,1409.0,0.4613568183325317,0.6976494513580761
87,KAT2A,1047.5,0.1089274541663986,0.3845806034854481
88,USP22,909.5,0.012466593770442902,0.12686592484038953
89,TAF6,1153.5,0.3601436014576501,0.620428941637249
90,TRRAP,1628.5,0.03068193793699332,0.20582860454615406
91,TADA2A,1186.5,0.48335222935888655,0.6976494513580761
92,TAF9,928.5,0.017532607930512662,0.15165705859893452
93,SUPT20H,1050.5,0.11329329491620053,0.3910556327276896
94,ENY2,1074.5,0.15334876292506186,0.3973201268034257
95,SGF29,1216.5,0.6127016372566478,0.7737035273386866
96,TAF6L,1064.5,0.13551509633166328,0.3935723845665868
97,TAF10,874.5,0.006414499045930328,0.08879101198899873
98,TAF12,968.5,0.03436663317219215,0.2202010199551571
99,SUPT7L,1125.5,0.2727236763204802,0.575380439066379
100,TAF5L,1120.5,0.25878739336867207,0.552718753738028
101,TAF5,1083.5,0.17087670123610654,0.41636153963163985
102,TADA1,939.5,0.021225239697350375,0.16212721434333774
103,SUPT3H,1107.5,0.2248882901716277,0.49879069486784094
104,TADA2B,1030.5,0.08664581699720801,0.3568982462027854
105,TAF9B,896.5,0.009793845025620437,0.12102394210230968
106,ATXN7L3,1063.5,0.13382371489747216,0.3935723845665868
107,TADA3,1136.5,0.3051642670892052,0.5931844742295787
108,SMO,1141.0,0.3191460252693886,0.5990440173417577
109,CNOT1,878.0,0.006672156970271581,0.08879101198899873
110,CDC25C,1397.0,0.5100623234848307,0.7003236663720295
111,CDC25B,1353.0,0.7090183923595964,0.8428009895592273
112,GRIN3B,1295.0,1.0,1.0
113,GRIN3A,1312.5,0.5040819735246215,0.6976494513580761
114,GRIN1,1330.0,0.3354815411279436,0.6013775377119794
115,GRIN2C,1312.5,0.5040819735246215,0.6976494513580761
116,GRIN2B,1328.0,0.7886812294701739,0.8846031931753809
117,GRIN2A,1367.0,0.5456463053810818,0.7297995095707878
118,GRIN2D,1330.0,0.3354815411279436,0.6013775377119794
119,PDYN,1312.5,0.5040819735246215,0.6976494513580761
120,OPRM1,1347.5,0.23373982086782374,0.5054623626266689
121,ABCA7,1455.0,0.1364990929132671,0.3935723845665868
122,PFN2,1102.0,0.21154654146677032,0.4752928788798866
123,SGCE,1203.0,0.5526227500218104,0.7297995095707878
124,DDX11,1326.5,0.8225895616232692,0.9006835073469973
125,YWHAE,1059.0,0.12641475607341215,0.3935723845665868
126,YWHAQ,1215.0,0.6058860865662841,0.7707227424703466
127,YWHAG,1101.0,0.209183364786248,0.4752928788798866
128,ARAF,1346.0,0.7431046461323412,0.8682918675860809
129,YAP1,1318.0,0.8839017320204405,0.9497826064567466
130,KIF17,1151.0,0.14024487575528083,0.3973201268034257
131,BAD,979.0,0.040599837650962714,0.22707274252711643
132,GRK2,1292.0,0.9870548998650515,1.0
133,ARHGEF7,1408.0,0.46531408784728834,0.6976494513580761
134,GIT1,1666.0,0.01619268568212248,0.1474386643687994
135,PUM2,1139.0,0.3111488773763965,0.5948185932746104
136,RRAS2,1286.0,0.9560070426066022,0.9963205925960372
137,TFRC,1236.5,0.3406647323455144,0.6013775377119794
138,ATG2A,1514.0,0.15617207296319624,0.3973201268034257
139,ATG2B,1601.0,0.04740166069482416,0.24849961515771457
140,GNA13,1300.0,0.9767011095164627,1.0
141,ADRB2,1335.5,0.7951720099586266,0.8846031931753809
142,CLDN7,1092.0,0.18839775007839188,0.43543131563100024
143,EPCAM,1167.0,0.36221574049342287,0.620428941637249
144,MRAS,1534.0,0.1216550589839105,0.3910556327276896
145,MLF1,1223.0,0.6426198174297324,0.7961087269630426
146,PAFAH1B1,1547.0,0.10263022642413208,0.3845806034854481
147,NDEL1,1448.0,0.32230888448447603,0.5990440173417577
148,WWTR1,1454.0,0.3036374544369569,0.5931844742295787
149,TJP2,1282.0,0.935342588413638,0.9914029392835639
150,MARVELD2,1317.0,0.8697096950945047,0.9403736078209333
151,F11R,982.0,0.04200189457148974,0.22707274252711643
152,TJP3,1413.0,0.36607250312672324,0.6208876768717952
153,CAMK2A,1312.5,0.6970589854143335,0.8374389199769423
154,CLDN4,1383.5,0.4824074797140886,0.6976494513580761
155,RASGRF1,1761.0,0.002479241245324243,0.06127267649158487
156,PTPRN,1280.0,0.8118116872475438,0.8945440884957011
157,ELF4,1198.5,0.46642614040523367,0.6976494513580761
158,ELF3,1198.5,0.46642614040523367,0.6976494513580761
159,GRK3,1394.0,0.522650838963973,0.711957442053286
160,ABAT,1161.0,0.0974194119206274,0.38303541505155775
161,EDN2,1448.0,0.0685440114853793,0.30469686278347413
162,EDN3,1524.0,0.040843963080164775,0.22707274252711643
163,NANOS1,1082.0,0.11823470182888805,0.3910556327276896
164,PLK3,1999.0,4.973002803690799e-06,0.0008603294850385083
165,DLG2,1334.0,0.711265575003741,0.8428009895592273
166,DLG3,1356.5,0.5789152115674034,0.7431368947032905
167,GSTA2,1196.0,0.2840261766748654,0.5849586733899014
168,TACSTD2,1203.0,0.49184964489745275,0.6976494513580761
169,GSTA4,1196.0,0.2840261766748654,0.5849586733899014
170,TF,1236.5,0.3406647323455144,0.6013775377119794
171,TFAP2B,996.0,0.021554485143911953,0.16212721434333774
172,TFAP2A,996.0,0.021554485143911953,0.16212721434333774
