,Gene,U,pval,adj_pvals
0,HSP90AB1,254.0,0.15430686720109812,0.5227538766404548
1,HSPA4,265.0,0.08785694870412951,0.39416901310501345
2,HSP90AA1,261.0,0.10868167993340119,0.4625938171524256
3,UBC,171.0,0.4964042468530516,0.7467013834074588
4,ARRB2,128.0,0.07445432739566725,0.3733712009152347
5,CX3CL1,187.0,0.7875474996229869,0.8489148372559469
6,CCL11,146.0,0.18622908570183228,0.5778528646038217
7,CCR5,310.0,0.00421245239005631,0.07769634408326083
8,CCL5,306.0,0.005795500698235304,0.09620531159070606
9,CXCR4,229.0,0.43373066072581457,0.7422607183555177
10,CCR2,204.0,0.8877396538403752,0.9210298908593894
11,CXCR3,324.0,0.0012768757881634826,0.04484607865386356
12,CD74,210.0,0.7678693450669731,0.8489148372559469
13,CD44,120.0,0.04668551682643292,0.2767784211852809
14,MIF,227.0,0.4644793130390542,0.7467013834074588
15,CD4,235.0,0.3488502403235172,0.7238642486712982
16,CD8A,294.0,0.014240596416140122,0.13905523559289767
17,ITIH4,218.0,0.6167274014648405,0.7936182065361513
18,TNF,246.0,0.22278664659424452,0.5778528646038217
19,IL1B,204.0,0.8877396538403752,0.9210298908593894
20,SYK,163.0,0.37589290717697466,0.7340967363691504
21,GNB1,154.0,0.2642140611342779,0.6265647735470019
22,DCN,167.0,0.43373066072581457,0.7422607183555177
23,TLR4,169.0,0.4644793130390542,0.7467013834074588
24,FN1,169.0,0.4644793130390542,0.7467013834074588
25,BGN,171.0,0.4964042468530516,0.7467013834074588
26,TLR2,216.0,0.6533154273221111,0.8033360069294107
27,GNAQ,157.0,0.2985782174190261,0.6789586861857306
28,CD79B,161.0,0.3488502403235172,0.7238642486712982
29,CD79A,181.0,0.6719343085196707,0.8141685782063163
30,TRAF3,214.0,0.6907566615121672,0.8249324159066169
31,TNFRSF1A,211.0,0.7483396960554589,0.8489148372559469
32,CASP8,200.0,0.9692894100597967,0.9871290924535353
33,BIRC2,209.0,0.7875474996229869,0.8489148372559469
34,CYLD,228.0,0.4489556115683859,0.7467013834074588
35,TNIP1,131.0,0.08785694870412951,0.39416901310501345
36,TRADD,231.0,0.4041928685005086,0.7395980669374241
37,TRAF6,148.0,0.20391216085864194,0.5778528646038217
38,IKBKB,198.0,1.0,1.0
39,CHUK,224.0,0.5127949259545199,0.7467013834074588
40,RIPK1,238.0,0.3106682542003675,0.6969044621251487
41,TAB2,208.0,0.8073622322086782,0.8591162214528242
42,TRAF2,236.0,0.3358044632350785,0.7146607807310645
43,BIRC3,246.0,0.22278664659424452,0.5778528646038217
44,TANK,99.0,0.011467009102735364,0.11897021944087939
45,SHARPIN,202.0,0.9284205395352744,0.9513445034744169
46,RBCK1,249.0,0.19492357717693687,0.5778528646038217
47,TBK1,205.0,0.8675028090454214,0.9172322694365602
48,TNFAIP3,174.0,0.5464027684061007,0.768668301317057
49,TNFRSF1B,202.0,0.9284205395352744,0.9513445034744169
50,IKBKG,216.0,0.6533154273221111,0.8033360069294107
51,IKBKE,134.0,0.10314097625228479,0.4505632120494546
52,FAS,256.0,0.1399935274492911,0.5164205679240517
53,MAP3K7,240.0,0.286806458751541,0.6705615796162789
54,FADD,230.0,0.41880854392842093,0.7395980669374241
55,RNF31,232.0,0.38988676824177415,0.7395980669374241
56,RIPK3,163.0,0.37589290717697466,0.7340967363691504
57,RELA,218.0,0.6167274014648405,0.7936182065361513
58,NFKB1,209.0,0.7875474996229869,0.8489148372559469
59,NUP85,185.0,0.7483396960554589,0.8489148372559469
60,JUN,260.0,0.11445525709054205,0.4634042116348776
61,ARRB1,116.0,0.03645573609800801,0.24206608769077315
62,TAB1,170.0,0.4802972042742021,0.7467013834074588
63,MYD88,181.0,0.6719343085196707,0.8141685782063163
64,IRAK1,186.0,0.7678693450669731,0.8489148372559469
65,NFKBIA,178.0,0.6167274014648405,0.7936182065361513
66,MLKL,204.0,0.8877396538403752,0.9210298908593894
67,TICAM1,199.0,0.9897608888027161,0.9957594396439446
68,CD14,247.0,0.21319866517955166,0.5778528646038217
69,LY96,186.0,0.7678693450669731,0.8489148372559469
70,A2M,96.0,0.009183819057075857,0.10950751357493484
71,CCL14,106.5,0.01947001056765314,0.17010640811739058
72,CXCL10,334.0,0.0005055650065338309,0.04196189554230796
73,CCR7,226.0,0.4802972042742021,0.7467013834074588
74,CCR1,318.0,0.0021612568025958343,0.04484607865386356
75,ACKR4,152.5,0.24808068029695074,0.609606377779584
76,CCL28,172.0,0.5127949259545199,0.7467013834074588
77,CXCL14,128.0,0.07445432739566725,0.3733712009152347
78,PYCARD,214.0,0.6907566615121672,0.8249324159066169
79,NLRP3,188.0,0.8073622322086782,0.8591162214528242
80,CASP1,212.0,0.7289701952433362,0.8489148372559469
81,MARS2,169.0,0.4644793130390542,0.7467013834074588
82,MARS1,210.0,0.7678693450669731,0.8489148372559469
83,ANXA2,222.0,0.5464027684061007,0.768668301317057
84,TNFRSF10A,246.0,0.22278664659424452,0.5778528646038217
85,TNFRSF25,178.0,0.6167274014648405,0.7936182065361513
86,TNFRSF10B,275.0,0.049590915598319414,0.28386524101106975
87,CXCL9,338.0,0.000342995308589508,0.04196189554230796
88,HSP90B1,216.0,0.6533154273221111,0.8033360069294107
89,KIT,97.0,0.009895257250747124,0.10950751357493484
90,CD36,75.0,0.0016658262085674862,0.04484607865386356
91,CAV1,138.0,0.12672425515020772,0.5008625322603448
92,KARS1,233.0,0.37589290717697466,0.7340967363691504
93,QARS1,163.0,0.37589290717697466,0.7340967363691504
94,LARS1,187.0,0.7875474996229869,0.8489148372559469
95,EPRS1,125.0,0.06277095864768725,0.3361283592101963
96,IARS1,213.0,0.7097721797596039,0.8356183109226543
97,CXCL1,237.0,0.3230769978711293,0.7056681795606246
98,CXCL8,322.0,0.001525469199983024,0.04484607865386356
99,CCL2,219.0,0.5987769201960162,0.7936182065361513
100,CCL4L2,247.0,0.21319866517955166,0.5778528646038217
101,CCRL2,142.0,0.15430686720109812,0.5227538766404548
102,CCL20,149.0,0.21319866517955166,0.5778528646038217
103,CCL8,299.0,0.009895257250747124,0.10950751357493484
104,CCL15,151.0,0.23267937351869394,0.5942273231400492
105,CXCL11,319.0,0.001982809267841795,0.04484607865386356
106,CXCL12,183.0,0.7097721797596039,0.8356183109226543
107,VWF,92.0,0.006773083796368738,0.10119670022708743
108,CXCL2,288.0,0.021610879491163883,0.17082885693015262
109,CXCL3,180.0,0.6533154273221111,0.8033360069294107
110,CCL19,209.0,0.7875474996229869,0.8489148372559469
111,IL18,231.0,0.4041928685005086,0.7395980669374241
112,TLR5,129.0,0.07872284356646515,0.3733712009152347
113,VCAM1,160.0,0.3358044632350785,0.7146607807310645
114,LTBR,225.0,0.4964042468530516,0.7467013834074588
115,GNG2,93.0,0.007315424112801501,0.10119670022708743
116,ADAM17,164.0,0.38988676824177415,0.7395980669374241
117,IARS2,174.0,0.5464027684061007,0.768668301317057
118,LARS2,231.0,0.4041928685005086,0.7395980669374241
119,GNAI1,77.0,0.001982809267841795,0.04484607865386356
120,SCARB2,148.0,0.20391216085864194,0.5778528646038217
121,SCARB1,168.0,0.4489556115683859,0.7467013834074588
122,HSPD1,248.0,0.20391216085864194,0.5778528646038217
123,IL1RAP,221.0,0.5636065486302271,0.7796557256051475
124,WARS2,167.0,0.43373066072581457,0.7422607183555177
125,WARS1,257.0,0.13323107282522215,0.5143339090462065
126,YARS1,159.0,0.3230769978711293,0.7056681795606246
127,YARS2,230.0,0.41880854392842093,0.7395980669374241
128,IDE,141.0,0.14701703428651042,0.5227538766404548
129,KITLG,177.0,0.5987769201960162,0.7936182065361513
130,CALR,197.0,0.9897608888027161,0.9957594396439446
131,PTGS2,216.5,0.6440744934461737,0.8033360069294107
132,HMGB1,225.0,0.4964042468530516,0.7467013834074588
133,GNA12,153.0,0.25339060281199577,0.609606377779584
134,CCL3,285.0,0.026409314189791904,0.19060635458719374
135,CCL4,293.0,0.015288575663285961,0.14099464222808164
136,CD40,256.0,0.1399935274492911,0.5164205679240517
137,SARM1,136.0,0.11445525709054205,0.4634042116348776
138,CLEC7A,280.0,0.03645573609800801,0.24206608769077315
139,TIRAP,152.0,0.24287981051924,0.609606377779584
140,IL1R1,109.0,0.02311842100311346,0.17443899484167427
141,NARS1,178.0,0.6167274014648405,0.7936182065361513
142,AZI2,222.0,0.5464027684061007,0.768668301317057
143,TBKBP1,118.0,0.0413030550527783,0.25393730143559995
144,IL1RN,162.0,0.3622134844502446,0.7340967363691504
145,IL1R2,216.0,0.6533154273221111,0.8033360069294107
146,TLR6,146.0,0.18622908570183228,0.5778528646038217
147,TLR1,129.0,0.07872284356646515,0.3733712009152347
148,TOLLIP,224.0,0.5127949259545199,0.7467013834074588
149,AARS1,219.0,0.5987769201960162,0.7936182065361513
150,GARS1,142.0,0.15430686720109812,0.5227538766404548
151,RARS2,172.0,0.5127949259545199,0.7467013834074588
152,GNA13,149.0,0.21319866517955166,0.5778528646038217
153,CCL18,230.0,0.4187472382838111,0.7395980669374241
154,IL6R,157.0,0.2985782174190261,0.6789586861857306
155,CASP4,221.0,0.5636065486302271,0.7796557256051475
156,NARS2,148.0,0.20391216085864194,0.5778528646038217
157,ACKR3,177.0,0.5987769201960162,0.7936182065361513
158,CXCL5,122.0,0.052646476394086095,0.29131050271394304
159,CCL3L3,230.0,0.41880854392842093,0.7395980669374241
160,CXCL16,171.0,0.4964042468530516,0.7467013834074588
161,CXCR6,279.0,0.03881515045831202,0.2478198067722998
162,PARS2,185.0,0.7483396960554589,0.8489148372559469
163,VARS1,147.0,0.19492357717693687,0.5778528646038217
164,DPP4,108.0,0.021610879491163883,0.17082885693015262
165,S100A9,243.0,0.25339060281199577,0.609606377779584
