,Edge,U,pval,adj_pvals
0,HSP90AB1;RIPK3,174.0,0.5464027684061007,0.8133714214106023
1,HSP90AB1;RIPK1,237.0,0.3230769978711293,0.6657086561397217
2,HSP90AB1;TLR2,246.0,0.22278664659424452,0.5537839501056935
3,HSP90AB1;HSP90B1,237.0,0.3230769978711293,0.6657086561397217
4,HSP90AB1;HSPA4,263.0,0.09782725468345203,0.3849182935534821
5,HSP90AB1;CALR,209.0,0.7875474996229869,0.924512282166115
6,HSP90AB1;HSP90AA1,244.0,0.24287981051924,0.5745465004125829
7,HSP90AB1;NLRP3,180.0,0.6533154273221111,0.8670270840562933
8,HSP90AB1;CAV1,244.0,0.24287981051924,0.5745465004125829
9,HSP90AB1;HSPD1,211.0,0.7483396960554589,0.9056413941443962
10,HSP90AB1;CHUK,242.0,0.2642140611342779,0.601394214732964
11,HSP90AB1;IKBKB,218.0,0.6167274014648405,0.8516711734514464
12,HSP90AB1;TLR4,228.0,0.4489556115683859,0.7527457041928184
13,HSPA4;TLR2,282.0,0.03210183954955019,0.20932801169847037
14,HSPA4;HSP90B1,190.0,0.8473524274124318,0.9464721122167391
15,HSPA4;TLR4,269.0,0.07037682414434905,0.3299703790720078
16,HSPA4;CD40,291.0,0.017590004183371293,0.1419894152121621
17,HSPA4;HSP90AA1,287.0,0.02311842100311346,0.17239736805178896
18,HSPA4;CALR,185.0,0.7483396960554589,0.9056413941443962
19,HSP90AA1;RIPK3,184.0,0.7289701952433362,0.8974585894269375
20,HSP90AA1;RIPK1,250.0,0.18622908570183228,0.5116399091387182
21,HSP90AA1;TLR2,269.0,0.07037682414434905,0.3299703790720078
22,HSP90AA1;HSP90B1,260.0,0.11445525709054205,0.407356665008611
23,HSP90AA1;CALR,226.0,0.4802972042742021,0.7722232257632449
24,HSP90AA1;HSPD1,240.0,0.286806458751541,0.629046098606321
25,HSP90AA1;CAV1,266.0,0.08318837823372353,0.35789285800552484
26,HSP90AA1;NLRP3,191.0,0.8675028090454214,0.9566967598345986
27,HSP90AA1;CHUK,251.0,0.17782460227288033,0.5081630057652018
28,HSP90AA1;IKBKB,221.0,0.5636065486302271,0.8217950234217277
29,HSP90AA1;TLR4,241.0,0.27535214705005073,0.6160020889719706
30,UBC;NFKBIA,201.0,0.948838148950299,0.9724349091990631
31,UBC;IDE,136.0,0.11445525709054205,0.407356665008611
32,UBC;RNF31,210.0,0.7678693450669731,0.9235663551266359
33,UBC;TNIP1,159.0,0.3230769978711293,0.6657086561397217
34,UBC;RBCK1,250.0,0.18622908570183228,0.5116399091387182
35,UBC;TAB2,217.0,0.6349099465172365,0.8571284277982694
36,UBC;CYLD,204.0,0.8877396538403752,0.9587588261476052
37,UBC;TNF,137.0,0.1204675335555139,0.42109856595521156
38,UBC;TRAF6,173.0,0.5294632528012939,0.8034297033787077
39,UBC;TNFAIP3,186.0,0.7678693450669731,0.9235663551266359
40,UBC;IKBKG,232.0,0.38988676824177415,0.7083093724670747
41,UBC;BIRC2,188.0,0.8073622322086782,0.9365401893620667
42,ARRB2;TAB1,173.0,0.5294632528012939,0.8034297033787077
43,ARRB2;NFKBIA,159.0,0.3230769978711293,0.6657086561397217
44,ARRB2;ACKR3,115.0,0.03421964942197217,0.20932801169847037
45,ARRB2;CXCR4,174.0,0.5464027684061007,0.8133714214106023
46,ARRB2;ARRB1,112.0,0.028201427592094954,0.20142086820684368
47,ARRB2;TRAF6,166.0,0.41880854392842093,0.7319801113748964
48,CX3CL1;CCL11,98.0,0.010565480304639727,0.10297720315753404
49,CX3CL1;CCR5,142.0,0.15383155175836252,0.47567825597818836
50,CX3CL1;CCL5,281.0,0.0341014401304176,0.20932801169847037
51,CX3CL1;CXCR4,205.0,0.8675028090454214,0.9566967598345986
52,CX3CL1;CCR2,136.0,0.11378656839614984,0.407356665008611
53,CX3CL1;CXCR3,162.0,0.36165941296935733,0.6934307049499793
54,CCL11;CCL2,190.0,0.8473325590543686,0.9464721122167391
55,CCL11;IL1B,124.0,0.05906345574989609,0.29921077453549494
56,CCL11;CCR2,88.0,0.004777874909813595,0.062351267573067415
57,CCL11;CCR5,149.0,0.21070145423326492,0.5402412777850775
58,CCL11;CXCL3,109.5,0.02385956285564704,0.17624563882992103
59,CCL11;CXCL5,77.5,0.0020632258850498577,0.03240938612633035
60,CCL11;CCR1,209.0,0.7869714458008797,0.924512282166115
61,CCL11;CXCL10,250.0,0.18593893801767425,0.5116399091387182
62,CCL11;CXCL14,84.0,0.003573850953239873,0.05182083882197816
63,CCL11;CXCL2,193.0,0.9079895858104978,0.9660368348484767
64,CCL11;CXCL9,237.5,0.3162742306718106,0.6657086561397217
65,CCL11;CXCL11,270.0,0.06541069003977279,0.31936961267464903
66,CCL11;CCL14,75.0,0.0016540619361992046,0.02963364445276939
67,CCL11;CXCR3,166.0,0.4169610890972033,0.7319801113748964
68,CCL11;CCL8,169.5,0.4711221286300479,0.7701223939818945
69,CCL11;CCL5,233.0,0.3755782008804941,0.6991072359134707
70,CCL11;CXCL1,140.5,0.1430105772550723,0.45998181354815915
71,CCL11;CCL18,140.5,0.14334043742752342,0.45998181354815915
72,CCL11;CXCL12,123.0,0.05582554079077005,0.2877413940217827
73,CCL11;CCL28,116.0,0.03643107465923566,0.21462286740406217
74,CCR5;CD4,230.0,0.41880854392842093,0.7319801113748964
75,CCR5;CCL2,219.0,0.5987287500290663,0.8417276993060696
76,CCR5;CCR7,194.5,0.9386041144285387,0.9724349091990631
77,CCR5;ITIH4,221.0,0.5635551557404945,0.8217950234217277
78,CCR5;CCR2,183.5,0.7186024328526335,0.8959644982860063
79,CCR5;CXCL12,177.0,0.5987287500290663,0.8417276993060696
80,CCR5;CXCL8,356.0,5.27754820285757e-05,0.008046388534437364
81,CCR5;CCL3L3,213.0,0.7097721797596039,0.8863662149151035
82,CCR5;GNAI1,109.0,0.02311842100311346,0.17239736805178896
83,CCR5;CCL19,193.0,0.9079895858104978,0.9660368348484767
84,CCR5;CCL8,238.5,0.3032417772860935,0.654100031997276
85,CCR5;CXCL1,263.0,0.09760619344790479,0.3849182935534821
86,CCR5;CCL5,280.0,0.03633247368846319,0.21462286740406217
87,CCR5;CCL14,120.5,0.04804612477008973,0.26307773213272906
88,CCR5;GNB1,246.0,0.22278664659424452,0.5537839501056935
89,CCR5;CCL20,172.0,0.5127393791553803,0.7982473698258232
90,CCR5;CCL4L2,250.0,0.18622908570183228,0.5116399091387182
91,CCR5;CXCR4,254.0,0.15430686720109812,0.47567825597818836
92,CCR5;CXCR3,266.5,0.08009055915540035,0.3503402671434552
93,CCR5;CCR1,257.0,0.13215624966598652,0.4458116667613202
94,CCR5;CCL4,250.0,0.18621458400300528,0.5116399091387182
95,CCR5;GNG2,200.0,0.9692894100597967,0.9805602171535153
96,CCR5;CXCL11,351.5,8.22108662522336e-05,0.008046388534437364
97,CCR5;CCL3,297.0,0.011456132037998654,0.10817672442700951
98,CCR5;CXCL10,346.5,0.0001447710616825664,0.009446311774787457
99,CCR5;CXCL2,325.0,0.0011583824248010961,0.02519481773942384
100,CCR5;CXCL9,322.5,0.0014410368504116629,0.028931585996726464
101,CCL5;CCL2,249.0,0.19486474935802978,0.5226889072929506
102,CCL5;NFKB1,281.0,0.03421964942197217,0.20932801169847037
103,CCL5;CCR7,247.0,0.21319866517955166,0.5402412777850775
104,CCL5;CCR2,292.0,0.016333088517245464,0.13379401903535695
105,CCL5;CCR1,307.5,0.005133196881941125,0.0637983041041254
106,CCL5;CXCL10,309.0,0.004561020296977535,0.0606010326016564
107,CCL5;CXCL8,329.5,0.0007726737406297617,0.02160726924689655
108,CCL5;CXCL11,340.0,0.0002788624632171129,0.013617679699684916
109,CCL5;CXCL14,150.0,0.2227714076726609,0.5537839501056935
110,CCL5;CCRL2,168.0,0.4489556115683859,0.7527457041928184
111,CCL5;CCL20,200.0,0.9692894100597967,0.9805602171535153
112,CCL5;CCL28,180.0,0.6533154273221111,0.8670270840562933
113,CCL5;CXCL9,311.0,0.0038718751029315434,0.05430112913367917
114,CCL5;JUN,283.0,0.03009737111136745,0.20142086820684368
115,CCL5;CXCR3,322.5,0.0014410368504116629,0.028931585996726464
116,CCL5;CCL8,290.5,0.018172604278311407,0.1451953994889575
117,CCL5;CXCL1,293.0,0.015275118451402394,0.13011907330818379
118,CCL5;CXCL12,216.0,0.6533047551714917,0.8670270840562933
119,CCL5;CD8A,306.0,0.005795500698235304,0.06875571282906429
120,CCL5;CXCR4,228.0,0.4489556115683859,0.7527457041928184
121,CCL5;CXCR6,260.0,0.11445525709054205,0.407356665008611
122,CCL5;TNF,287.5,0.02234918416919814,0.17156285494590337
123,CCL5;CXCL2,319.5,0.0018921912876648194,0.032208386483512035
124,CCL5;CCL4,237.0,0.32306105948494745,0.6657086561397217
125,CXCR4;CD74,263.0,0.09782725468345203,0.3849182935534821
126,CXCR4;CD4,237.0,0.3230769978711293,0.6657086561397217
127,CXCR4;MIF,249.0,0.19492357717693687,0.5226889072929506
128,CXCR4;CCL2,185.0,0.7483396960554589,0.9056413941443962
129,CXCR4;CCR7,230.0,0.41880854392842093,0.7319801113748964
130,CXCR4;ITIH4,238.0,0.3106682542003675,0.6592228808641944
131,CXCR4;ACKR3,183.0,0.7097721797596039,0.8863662149151035
132,CXCR4;GNA12,199.0,0.9897608888027161,0.991026567688653
133,CXCR4;GNAQ,201.0,0.948838148950299,0.9724349091990631
134,CXCR4;CCR2,188.0,0.8073622322086782,0.9365401893620667
135,CXCR4;VCAM1,204.0,0.8877396538403752,0.9587588261476052
136,CXCR4;CXCL5,134.0,0.10314097625228479,0.3882662711804759
137,CXCR4;CXCL10,247.0,0.21319866517955166,0.5402412777850775
138,CXCR4;CXCL8,267.0,0.07872284356646515,0.3462920590592259
139,CXCR4;CXCL11,294.0,0.014240596416140122,0.12528524712177208
140,CXCR4;CCL19,213.0,0.7097721797596039,0.8863662149151035
141,CXCR4;CXCL14,129.0,0.07872284356646515,0.3462920590592259
142,CXCR4;CCL20,171.0,0.4964042468530516,0.7820614190863973
143,CXCR4;DPP4,115.0,0.03421964942197217,0.20932801169847037
144,CXCR4;CXCL9,268.0,0.07445432739566725,0.3429278726518086
145,CXCR4;CXCR3,255.0,0.1470037171300678,0.46230657769613515
146,CXCR4;CXCL1,204.0,0.8877396538403752,0.9587588261476052
147,CXCR4;CXCL12,202.0,0.9284205395352744,0.9705651301149797
148,CXCR4;CCL3,242.0,0.2642140611342779,0.601394214732964
149,CXCR4;KITLG,249.0,0.19492357717693687,0.5226889072929506
150,CXCR4;CCL4,217.0,0.6349099465172365,0.8571284277982694
151,CXCR4;ARRB1,148.0,0.20391216085864194,0.5357826240010626
152,CXCR4;CXCL2,245.0,0.23267937351869394,0.5571496925539369
153,CXCR4;GNA13,207.0,0.8273013520254238,0.9429067811294132
154,CXCR4;CD44,211.0,0.7483396960554589,0.9056413941443962
155,CCR2;CCL2,223.0,0.5294089979850531,0.8034297033787077
156,CCR2;NUP85,185.0,0.7483396960554589,0.9056413941443962
157,CCR2;CXCL12,177.0,0.5987287500290663,0.8417276993060696
158,CCR2;CXCL8,308.0,0.004941301204706373,0.062475718093263036
159,CCR2;GNAI1,74.0,0.001525469199983024,0.029132741063090432
160,CCR2;CCL19,161.0,0.34795948537422683,0.6880346049705641
161,CCR2;CXCL1,187.0,0.7874107677899411,0.924512282166115
162,CCR2;CCL8,213.0,0.7082545299395613,0.8863662149151035
163,CCR2;CCL20,113.0,0.030075670593624884,0.20142086820684368
164,CCR2;CCRL2,130.5,0.08548660547396097,0.36577055784760354
165,CCR2;CXCL5,77.5,0.0020632258850498577,0.03240938612633035
166,CCR2;CXCR3,241.5,0.26841527706105683,0.6091859766342247
167,CCR2;CCR1,256.0,0.13926199498015182,0.45295426443303693
168,CCR2;CCL4,238.0,0.31065231661292214,0.6592228808641944
169,CCR2;CCL3,280.0,0.03643107465923566,0.21462286740406217
170,CCR2;CXCL10,344.5,0.00017787972842348433,0.010713832873506787
171,CCR2;CXCL9,300.5,0.008767457143065793,0.093571487274452
172,CXCR3;CCL2,239.0,0.2985145470375018,0.6458197354671201
173,CXCR3;CXCL16,262.0,0.1030955779456995,0.3882662711804759
174,CXCR3;CCR1,299.5,0.009335868786903661,0.09493487350838398
175,CXCR3;CXCL10,354.0,6.374528355417497e-05,0.008046388534437364
176,CXCR3;CXCL8,355.5,5.583627505799397e-05,0.008046388534437364
177,CXCR3;CXCL11,355.5,5.326631317416349e-05,0.008046388534437364
178,CXCR3;CCL19,194.0,0.9282884992246456,0.9705651301149797
179,CXCR3;CCL20,185.0,0.7483076552062715,0.9056413941443962
180,CXCR3;CXCL9,337.0,0.00036893233252160377,0.014443700818220787
181,CXCR3;CXCL2,337.0,0.00036893233252160377,0.014443700818220787
182,CXCR3;CCL3,327.0,0.0009718189704371998,0.023085402006803042
183,CXCR3;CCL4,285.0,0.026404351901841438,0.19322063120693314
184,CXCR3;CXCL1,273.5,0.05395479977693651,0.2835342833915523
185,CXCR3;CCL8,260.0,0.1130215962200195,0.407356665008611
186,CXCR3;CXCL12,232.0,0.38982430334975393,0.7083093724670747
187,CD74;CD44,159.0,0.3230769978711293,0.6657086561397217
188,CD74;MIF,234.0,0.3622134844502446,0.6934307049499793
189,CD44;CD4,126.0,0.06648435104210446,0.31936961267464903
190,CD44;LY96,158.0,0.3106682542003675,0.6592228808641944
191,CD44;VCAM1,99.0,0.011467009102735364,0.10817672442700951
192,CD44;FN1,191.0,0.8675028090454214,0.9566967598345986
193,CD44;TLR4,131.0,0.08785694870412951,0.3718485991099103
194,CD44;CXCL12,103.0,0.015288575663285961,0.13011907330818379
195,CD4;CD8A,265.0,0.08785694870412951,0.3718485991099103
196,CD4;ITIH4,216.5,0.6440744934461737,0.8670270840562933
197,CD4;TNF,218.5,0.6077107727683777,0.8497098840672138
198,CD4;IL1B,231.0,0.4041928685005086,0.7242174279997672
199,CD4;SYK,160.0,0.3358044632350785,0.6741920377258115
200,CD8A;SYK,216.0,0.6533154273221111,0.8670270840562933
201,CD8A;TNF,314.5,0.002907095016267944,0.043774142264188465
202,TNF;TNFRSF1A,83.0,0.0032948870903839575,0.04867729418435167
203,TNF;TAB1,206.0,0.8473524274124318,0.9464721122167391
204,TNF;RIPK3,182.0,0.6907566615121672,0.8808834950554184
205,TNF;NFKBIA,176.0,0.5810672105592795,0.8363522534336688
206,TNF;TNFRSF10A,270.0,0.06648435104210446,0.31936961267464903
207,TNF;CCL2,209.0,0.7875474996229869,0.924512282166115
208,TNF;NFKB1,202.0,0.9284205395352744,0.9705651301149797
209,TNF;LTBR,151.0,0.23267937351869394,0.5571496925539369
210,TNF;TRAF2,228.0,0.4489556115683859,0.7527457041928184
211,TNF;TANK,64.0,0.0006115089077282629,0.019152458990049193
212,TNF;RIPK1,208.0,0.8073622322086782,0.9365401893620667
213,TNF;TLR2,251.5,0.17371559830825134,0.5081630057652018
214,TNF;IL1B,214.5,0.681310766287049,0.8808834950554184
215,TNF;BIRC3,221.0,0.5636065486302271,0.8217950234217277
216,TNF;TNFRSF10B,270.0,0.06648435104210446,0.31936961267464903
217,TNF;IL18,245.5,0.2276794092516874,0.5571496925539369
218,TNF;FADD,201.0,0.948838148950299,0.9724349091990631
219,TNF;CXCL10,339.5,0.00029565843536991516,0.013617679699684916
220,TNF;CXCL8,294.5,0.013737664949364127,0.1250766471552571
221,TNF;MLKL,262.0,0.10314097625228479,0.3882662711804759
222,TNF;ADAM17,164.0,0.38988676824177415,0.7083093724670747
223,TNF;RNF31,204.0,0.8877396538403752,0.9587588261476052
224,TNF;TNIP1,133.0,0.09782725468345203,0.3849182935534821
225,TNF;TBK1,165.0,0.4041928685005086,0.7242174279997672
226,TNF;TRADD,178.0,0.6167274014648405,0.8516711734514464
227,TNF;FN1,240.0,0.286806458751541,0.629046098606321
228,TNF;RBCK1,223.0,0.5294632528012939,0.8034297033787077
229,TNF;CASP8,180.0,0.6533154273221111,0.8670270840562933
230,TNF;TBKBP1,143.0,0.16181285860265715,0.4856044278962228
231,TNF;TAB2,159.0,0.3230769978711293,0.6657086561397217
232,TNF;IL6R,115.0,0.03421964942197217,0.20932801169847037
233,TNF;MAP3K7,232.0,0.38988676824177415,0.7083093724670747
234,TNF;CHUK,214.0,0.6907566615121672,0.8808834950554184
235,TNF;JUN,195.0,0.948838148950299,0.9724349091990631
236,TNF;CD40,257.0,0.13323107282522215,0.4458116667613202
237,TNF;TLR4,232.0,0.38982430334975393,0.7083093724670747
238,TNF;TNFRSF1B,201.5,0.9386222827316959,0.9724349091990631
239,TNF;TNFRSF25,164.0,0.38988676824177415,0.7083093724670747
240,TNF;TRAF3,224.0,0.5127949259545199,0.7982473698258232
241,TNF;CXCL1,252.5,0.16573818274753183,0.493433449016416
242,TNF;SHARPIN,159.0,0.3230769978711293,0.6657086561397217
243,TNF;RELA,140.0,0.1399935274492911,0.45295426443303693
244,TNF;IL1R1,133.0,0.09782725468345203,0.3849182935534821
245,TNF;CYLD,197.5,1.0,1.0
246,TNF;TRAF6,157.5,0.30456748528758326,0.655154782912576
247,TNF;IKBKB,213.0,0.7097721797596039,0.8863662149151035
