,Gene,U,pval,adj_pvals
0,HSP90AB1,217.0,0.6349099465172365,0.7922807879616798
1,HSPA4,310.0,0.00421245239005631,0.06666887545730119
2,HSP90AA1,237.0,0.3230769978711293,0.6551283567942344
3,UBC,166.0,0.41880854392842093,0.7449961937172815
4,ARRB2,135.0,0.10868167993340119,0.3690122155878273
5,CX3CL1,166.0,0.41880854392842093,0.7449961937172815
6,CCL11,117.0,0.03881515045831202,0.18890039889711852
7,CCR5,287.0,0.02311842100311346,0.14063706110227356
8,CCL5,304.0,0.006773083796368738,0.0821578400360784
9,CXCR4,226.0,0.4802972042742021,0.7622107806960164
10,CCR2,181.0,0.6719343085196707,0.8107637111063796
11,CXCR3,316.0,0.0025630551872566675,0.05345800819135335
12,CD74,229.0,0.43373066072581457,0.7449961937172815
13,CD44,112.0,0.028201427592094954,0.15249660846095792
14,MIF,258.0,0.12672425515020772,0.39365406919000695
15,CD4,232.0,0.38988676824177415,0.7297880533756285
16,CD8A,309.0,0.004566361332691862,0.06666887545730119
17,ITIH4,222.0,0.5464027684061007,0.7821059234048108
18,TNF,240.0,0.286806458751541,0.6442114304265382
19,IL1B,199.0,0.9897608888027161,0.9897608888027161
20,SYK,139.0,0.13323107282522215,0.4052445131767174
21,GNB1,192.0,0.8877396538403752,0.9530146283874616
22,DCN,127.0,0.07037682414434905,0.28541712014097115
23,TLR4,170.0,0.4802972042742021,0.7622107806960164
24,FN1,197.0,0.9897608888027161,0.9897608888027161
25,BGN,179.0,0.6349099465172365,0.7922807879616798
26,TLR2,223.0,0.5294632528012939,0.7821059234048108
27,GNAQ,176.0,0.5810672105592795,0.7922807879616798
28,CD79B,155.0,0.27535214705005073,0.6281470854579283
29,CD79A,187.0,0.7875474996229869,0.8982963667574695
30,TRAF3,221.0,0.5636065486302271,0.7922807879616798
31,TNFRSF1A,207.0,0.8273013520254238,0.922030514471083
32,CASP8,193.0,0.9080499494872015,0.953779083634039
33,BIRC2,202.0,0.9284205395352744,0.9545732307897892
34,CYLD,231.0,0.4041928685005086,0.7449961937172815
