,Edge,U,pval,adj_pvals
0,MLLT1;TCEA1,1181.5,8.112454058569993e-21,1.4322677510302885e-20
1,MLLT1;CDC73,7993.5,1.677312820817082e-13,2.4543702893922437e-13
2,MLLT1;BRD4,9759.0,7.588605128326798e-32,2.3293560106135015e-31
3,MLLT1;BCOR,9940.5,1.0035852996449755e-33,4.2819639451518956e-33
4,MLLT1;POLR2A,1606.5,7.90454440750406e-17,1.2522050546541085e-16
5,MLLT1;TRRAP,865.0,1.2657757753791436e-24,2.5070684603254216e-24
6,MLLT1;MLLT6,3620.5,0.0005830633735618192,0.0006767817893077565
7,MLLT1;AFDN,230.5,1.1527457516869267e-31,3.4656830585067903e-31
8,MLLT1;AFF1,120.0,2.9602228694449055e-33,1.1285436404734114e-32
9,MLLT1;PBX1,195.0,4.626895898530812e-32,1.4551417076460537e-31
10,MLLT1;ABL1,7263.5,2.463510670960874e-08,3.192400565760484e-08
11,MLLT1;KMT2A,4019.0,0.015153806499033608,0.016844873919898407
12,MLLT1;KAT6A,907.0,9.326319858888935e-24,1.799199611059207e-23
13,MLLT1;SMARCB1,7746.5,1.2666032128331024e-11,1.7776887197657575e-11
14,MLLT1;MEN1,8485.5,4.363886537439963e-18,7.163545710706192e-18
15,MLLT1;MLLT10,6265.0,0.001581320127400125,0.0018096466366313456
16,MLLT1;AFF4,2595.5,2.2065812587879073e-09,2.9359916956845334e-09
17,MLLT1;ELL,2074.0,2.1515189151232312e-13,3.1419785640133895e-13
18,MUTYH;NTHL1,6598.0,5.009291871323734e-05,5.986828753776265e-05
19,MUTYH;MLH1,5339.0,0.35325414363018204,0.36768880166426754
20,MUTYH;MSH2,5119.5,0.7557169922674052,0.7661922773087355
21,MUTYH;MSH6,9716.0,1.4507942947141541e-31,4.318643481939808e-31
22,MUTYH;KRAS,3393.5,7.951382679109946e-05,9.458893893364992e-05
23,MUTYH;BARD1,9702.0,2.4124530118453123e-31,7.0541173161896055e-31
24,MUTYH;PALB2,9911.5,1.058653955308191e-34,1.3226632480413447e-33
25,MUTYH;PIK3CA,2638.5,6.744591721063994e-09,8.858981429411916e-09
26,MUTYH;PMS2,2426.5,1.617203330163513e-12,2.3206505186202876e-12
27,MUTYH;TP53,9909.0,1.8697482113902058e-33,7.455693802428234e-33
28,MUTYH;ATM,1305.5,1.0951695024912625e-19,1.8747134245253306e-19
29,MUTYH;ERCC3,9557.0,2.0946128291399685e-30,5.635532151968806e-30
30,MUTYH;WRN,1336.5,1.6615904485269767e-19,2.826359832710339e-19
31,MUTYH;FEN1,5951.5,0.01599729117098952,0.01775935186371777
32,MUTYH;POLE,9276.0,5.276687261213037e-29,1.281016537572819e-28
33,MUTYH;STK11,4098.0,0.022206873958749734,0.024514703464596516
34,MUTYH;MEN1,628.5,4.763736307168343e-27,1.0441065878725136e-26
35,MUTYH;SMAD4,6052.5,0.009186844940870928,0.010270010064903745
36,MUTYH;PTEN,1656.5,2.5154464912557534e-16,3.9277481046750406e-16
37,MUTYH;BMPR1A,9865.0,7.688413900707425e-33,2.701762468882774e-32
38,MUTYH;BRCA2,3792.0,0.002517125446784508,0.0028645659674453616
39,MUTYH;CHEK2,1866.5,5.197976240156156e-15,7.834453444097592e-15
40,MUTYH;ERCC2,9581.5,2.5305621809195296e-30,6.730638112367788e-30
41,MUTYH;PMS1,9693.5,4.718785430187863e-32,1.4804032722158003e-31
42,MUTYH;BRCA1,4720.0,0.4856387282218029,0.5000945873885018
43,MUTYH;POLD1,7920.5,2.260750712752136e-14,3.358005120188842e-14
44,SS18;RB1,76.0,1.7916172282225036e-33,7.172072094213619e-33
45,SS18;ARID1A,3733.0,0.0015796328869600712,0.001808674051316259
46,SS18;SMARCE1,2647.0,2.8369590704179767e-09,3.759117608835414e-09
47,SS18;ARID2,3547.5,0.00028008375859647273,0.0003281530535501008
48,SS18;SMARCB1,200.5,5.824544434883478e-32,1.809121994907531e-31
49,SS18;SMARCA4,5818.0,0.04316256411905076,0.04707974612048145
50,SS18;SMARCD1,3765.0,0.0016208878099060078,0.0018545129802723485
51,SS18;PBRM1,1611.0,5.726278822461151e-17,9.116463796953075e-17
52,SS18;ARID1B,1393.5,1.5324279815196588e-19,2.6101235081106627e-19
53,PRKAR1A;ATIC,658.5,1.7539271246043572e-26,3.762089182226355e-26
54,PRKAR1A;TFG,9656.0,2.7993307845961146e-30,7.41851636497521e-30
55,PRKAR1A;RARA,151.0,1.1145010117723526e-32,3.8322667429647047e-32
56,PRKAR1A;RANBP2,2492.0,3.5005490929445237e-10,4.73772438696166e-10
57,PRKAR1A;NPM1,2985.5,5.513485371227973e-07,6.944414538914446e-07
58,PRKAR1A;KIF5B,249.0,4.471933325634219e-32,1.4107392869530007e-31
59,PRKAR1A;PRKACA,9496.5,3.975954996752752e-28,9.178038585831419e-28
