,Gene,U,pval,adj_pvals
0,NSD1,9.0,3.3568758082015105e-34,2.6277768230673206e-33
1,DICER1,254.0,4.3634567023270405e-31,1.4473155681662227e-30
2,BIRC6,5920.0,0.024659456842677844,0.027136925637619776
3,SDHC,62.0,1.6317623900204506e-33,8.176171124464173e-33
4,TFG,9891.0,6.540088192304534e-33,2.87886125100508e-32
5,MAP2K2,138.0,1.5302560323079166e-32,6.108055857771429e-32
6,TFRC,6717.0,2.7398487842124713e-05,3.3781905166598793e-05
7,CREB1,9630.0,1.1488336270235093e-29,3.3608735299880305e-29
8,FAS,10000.0,2.562143669163401e-34,2.6123154908118678e-33
9,POLG,0.0,2.2855394320171267e-34,2.6123154908118678e-33
10,SETD2,10.0,3.459069278772269e-34,2.6277768230673206e-33
11,HIF1A,3362.0,6.30622154753185e-05,7.655232857957477e-05
12,FLCN,9999.0,2.640284031487027e-34,2.6123154908118678e-33
13,MAP2K4,1658.0,3.225449093364409e-16,5.406357733005824e-16
14,PTPN6,3959.0,0.011011106896002834,0.012318839306454476
15,ID3,9039.0,5.750955247188492e-23,1.1625321551183604e-22
16,CNOT3,2363.0,1.179133213129325e-10,1.7464520232198493e-10
17,CIITA,9616.0,1.695687634554013e-29,4.840417429545092e-29
18,LSM14A,562.0,2.163829038138838e-27,5.280639777012397e-27
19,AKAP9,7294.0,2.0956663670771835e-08,2.8445500256292607e-08
20,RAD51B,24.0,5.260470429413558e-34,3.394084345553131e-33
21,MSN,10000.0,2.562143669163401e-34,2.6123154908118678e-33
22,BCR,3717.0,0.0017264885889391286,0.002002896860567314
23,TRRAP,2532.0,1.6491393720070212e-09,2.360925970259292e-09
24,SDC4,1933.0,6.749567933591654e-14,1.0849988043418666e-13
25,ACVR1,9410.0,4.560863851720241e-27,1.0904400376447885e-26
26,PPP6C,913.0,1.7746440274885542e-23,3.682190911661273e-23
27,NCOA4,9787.0,1.3474061345181026e-31,4.666384480573723e-31
28,BCL9,647.0,2.0515830950212907e-26,4.736743322328568e-26
29,LARP4B,0.0,2.5539298834509582e-34,2.6123154908118678e-33
30,PRCC,8908.0,1.328097531068581e-21,2.5636636767758267e-21
31,CHD2,2320.0,5.867865847611624e-11,8.746091184256567e-11
32,ASXL1,9857.0,1.770912143261014e-32,6.893385284925104e-32
33,SMARCA4,645.0,1.9467825382453875e-26,4.5392800767998885e-26
34,ERC1,1603.0,1.0501756784242259e-16,1.7921476251369942e-16
35,BCL2L12,2405.5,2.3253562845007628e-10,3.411971370716073e-10
36,DCTN1,10000.0,2.562143669163401e-34,2.6123154908118678e-33
37,ZEB1,8819.0,1.0579056284059066e-20,1.985153589558494e-20
38,PIK3R1,8723.0,9.413913438858886e-20,1.7252736302344495e-19
39,SPECC1,4692.0,0.4524407058856226,0.4632599401568005
40,FANCE,5731.0,0.07427825541247417,0.08079690138400769
41,EED,2799.0,7.587300469544136e-08,1.0066531045507853e-07
42,CNBP,9044.0,2.0015810986455065e-24,4.2852031702819706e-24
43,SGK1,5050.0,0.9037324207897961,0.9075862903880468
44,MLLT10,4361.0,0.11873535267436296,0.12768116691695194
45,KNL1,1441.0,3.474432083955039e-18,6.152095908055727e-18
46,KDR,9999.0,2.640284031487027e-34,2.6123154908118678e-33
47,BRD4,145.0,1.877379867400371e-32,7.188991199557518e-32
48,RANBP2,8814.0,1.1870643292601483e-20,2.2186797582600392e-20
