,Gene,U,pval,adj_pvals
0,XPC,4346.0,0.10918059442681083,0.1179450916858438
1,PABPC1,721.5,1.3427864047793976e-25,2.9011577828031937e-25
2,CUL3,2314.0,5.2249789131261596e-11,7.59557119778525e-11
3,FANCA,84.5,2.2218694112187956e-33,1.0187333201162156e-32
4,TRAF7,3815.0,0.0008500904865221361,0.0009935300723372855
5,FOXO4,9188.0,1.1044259072410035e-24,2.3119315658245006e-24
6,MDM4,8235.5,2.500789391050763e-15,3.926239343949698e-15
7,BCL10,9996.0,2.6061112864639667e-34,2.1534709051307513e-33
8,CDKN2C,1980.5,1.4662648241708878e-13,2.2495463589071276e-13
9,SMAD3,9664.5,4.364662177332259e-30,1.2768670096419219e-29
10,GOLPH3,3865.5,0.004631183792083836,0.005268810546066392
11,KAT7,9989.5,1.0508306075358466e-34,2.1534709051307513e-33
12,MEN1,10000.0,2.4477982048985516e-34,2.1534709051307513e-33
13,FAS,9984.5,3.846312421264481e-34,2.625149469562166e-33
14,TRIM24,562.0,2.053151464451447e-27,4.9338486722277124e-27
15,CHD4,6903.5,3.3147339700604443e-06,4.219566756482349e-06
16,MAF,10000.0,2.4588667207656077e-34,2.1534709051307513e-33
17,TCF3,0.0,2.292005132228079e-34,2.1534709051307513e-33
18,FBXO11,432.5,2.732294403512245e-29,7.570062729730985e-29
19,CHEK2,9825.0,4.1581120786345124e-32,1.5065159915668118e-31
20,CBFB,1590.5,7.486795003762066e-17,1.2159587747489425e-16
21,PBRM1,422.5,3.9544040505595474e-29,1.0766036461349983e-28
22,TPM4,9881.5,5.7510615114040594e-33,2.3760964665537824e-32
23,TNC,1606.0,7.184941856433648e-17,1.1709714928651378e-16
24,KDM6A,262.5,5.403665255773166e-31,1.743237216074768e-30
25,SDHA,9.5,3.0640466926567946e-34,2.2428083434462822e-33
26,SMARCA4,2227.0,1.2059513432695482e-11,1.7750096333748663e-11
27,DDX6,9999.0,1.9872620196063586e-34,2.1534709051307513e-33
28,ZMYM3,6700.5,1.4669458205577408e-05,1.8327094999541005e-05
29,CREBBP,441.0,7.849138140959568e-29,2.0769348676359304e-28
30,PMS2,642.5,1.6225794501278456e-26,3.691956140145967e-26
31,CDKN1B,7471.5,1.4493330937196595e-09,2.0438200213831127e-09
32,FNBP1,10000.0,2.0507176130390166e-34,2.1534709051307513e-33
33,CCNE1,5190.0,0.6428183265121721,0.6581900691026805
34,PPM1D,8889.5,8.789616595520365e-22,1.6626142234899967e-21
35,ZNF384,4444.0,0.16911301089250064,0.18102779120538137
36,LPP,5536.0,0.18503315622664895,0.19762044576587678
37,CXCR4,5339.5,0.40745569556553074,0.42364598810455845
38,ARHGEF10L,4046.0,0.0007167298727191008,0.0008439494251267412
39,LMNA,3228.5,1.5020479236625964e-05,1.8715993969446636e-05
40,MAML2,118.5,8.239363211144829e-33,3.288762773262046e-32
41,SDHB,10000.0,2.2241138031269213e-34,2.1534709051307513e-33
42,CREB3L2,7.0,2.9523143175094148e-34,2.2428083434462822e-33
43,MLH1,9068.0,2.254201839940217e-23,4.5567771099220695e-23
44,STAG2,4347.5,0.11008129102325916,0.11864596812804362
45,JAK1,10000.0,2.2537311059711937e-34,2.1534709051307513e-33
46,LYN,3077.0,2.5525307706682986e-06,3.26696193745861e-06
47,PPP2R1A,1160.0,6.392944451909083e-21,1.1948717606544358e-20
48,GMPS,8198.0,3.2926123087361995e-15,5.152227233936047e-15
49,NACA,6.0,3.2241448750080784e-38,7.592861180644024e-36
50,RUNX1,9379.5,1.0110467920043375e-26,2.3574407872972422e-26
51,BRD3,9998.0,2.146370149719023e-34,2.1534709051307513e-33
52,GOLGA5,4129.5,0.030412935704051784,0.03362556975729669
53,SH3GL1,2661.5,1.0927226672540263e-08,1.504889989113001e-08
54,RPN1,23.5,4.0129673420058586e-34,2.625149469562166e-33
55,BRIP1,9591.0,2.58049356577378e-29,7.191789760233434e-29
56,CTNNA1,3311.5,3.124679578900661e-05,3.852680842047674e-05
57,HIP1,8999.0,3.7016192657846844e-23,7.418990102913134e-23
58,MYH11,192.5,5.731915561402994e-32,2.029873856707376e-31
59,SDC4,4382.5,0.13106461177154186,0.14093934279542514
60,POLR2A,1985.5,1.7643875465484665e-13,2.680730756207509e-13
61,CSF1R,10000.0,2.2799931340834994e-34,2.1534709051307513e-33
62,CALR,946.5,3.727801865239491e-23,7.43980795986356e-23
63,GPHN,2113.5,3.0051732792582715e-16,4.830841687817904e-16
64,MSN,10000.0,2.4905395639815644e-34,2.1534709051307513e-33
65,SETD1B,12.5,2.190157029319998e-34,2.1534709051307513e-33
66,BCL6,2672.5,1.2916711578145388e-08,1.773694213791976e-08
67,SRSF2,3798.0,0.003317755887928592,0.0037928714155688516
68,ATIC,3600.0,0.000623404571395598,0.0007358986293917961
69,ETNK1,2105.5,3.0052925611027124e-18,5.091700706040927e-18
70,RAP1GDS1,9336.5,2.7877038649706337e-26,6.222789196214068e-26
71,TPM3,8511.0,9.435848658794534e-18,1.592933590785744e-17
72,NSD3,9744.0,3.786667730934952e-31,1.2472171337554981e-30
73,NCOA1,1741.0,1.5265430216628462e-15,2.412757594641613e-15
74,STK11,0.0,2.4007537580041656e-34,2.1534709051307513e-33
75,LATS1,3244.0,1.4552182698752115e-05,1.8228930987000656e-05
76,XPO1,25.0,5.0584811272092455e-34,2.8999423504371214e-33
77,FOXP1,5899.5,0.027850292528313614,0.030864677131378145
78,PREX2,7967.0,1.579917343589092e-13,2.4160424312677346e-13
79,MET,879.5,6.959660099492381e-24,1.4377192573951365e-23
80,TRIM33,93.0,3.114243347691053e-33,1.3708491745443794e-32
81,STIL,7000.0,1.7686613469406572e-12,2.6445698235207925e-12
82,BUB1B,9336.5,2.801528146141767e-26,6.224149796381001e-26
83,SMAD2,0.0,2.4965838453644544e-34,2.1534709051307513e-33
84,RPL5,6319.5,0.0012628610602704782,0.0014578616651651844
85,MAP2K2,238.5,1.97916875994663e-31,6.611265857694063e-31
86,NIN,7.0,2.2353631378002615e-34,2.1534709051307513e-33
87,HSP90AB1,9996.0,2.8088925094527827e-34,2.2428083434462822e-33
88,FADD,1182.0,1.0582287299837377e-20,1.93188268148194e-20
89,AFDN,57.5,1.326350225308885e-33,6.463103563887912e-33
90,ELL,1352.5,4.886926998702197e-19,8.462289030840936e-19
91,CASP3,380.5,1.4559389350159288e-29,4.1062708885778595e-29
92,MYD88,2794.0,6.842782632246644e-08,9.130171727445238e-08
93,GNAQ,9912.5,2.9662890532570295e-33,1.3180397585698688e-32
94,PTPN11,334.5,4.0990300313144856e-30,1.2142409715403288e-29
95,ATP1A1,498.5,2.096648488513628e-28,5.396292011420321e-28
96,CAMTA1,759.0,6.656174601251964e-26,1.4514158505507753e-25
97,PRDM1,557.0,1.7767932860789066e-27,4.336112112658886e-27
98,DCTN1,10000.0,2.2159542442137266e-34,2.1534709051307513e-33
99,DGCR8,10000.0,2.250167034280028e-34,2.1534709051307513e-33
100,CDK12,9473.0,6.915301764831226e-28,1.732503793210376e-27
101,FLCN,10000.0,1.5953189101801445e-34,2.1534709051307513e-33
102,SUFU,4792.0,0.6102339780916672,0.6261878075842598
103,PRPF40B,4326.5,0.09610289648331348,0.10405623964055322
104,JUN,10000.0,2.5297271091010966e-34,2.1534709051307513e-33
105,MECOM,559.5,1.766939414739783e-27,4.3345232517835305e-27
106,VHL,9364.0,1.4918768098641024e-26,3.411038725465981e-26
107,RABEP1,9487.0,5.443673849909405e-29,1.4651259333184741e-28
108,KLF6,7307.0,9.744381332375259e-09,1.345924811597873e-08
109,FEN1,6467.5,0.00031238852814741765,0.00037249366267704735
110,MSH6,905.5,1.3211325692120589e-23,2.6937378359258864e-23
111,HOOK3,3.0,5.733070210603267e-35,2.1534709051307513e-33
112,ERCC3,9815.0,5.093103565198322e-32,1.8173119539457648e-31
113,SGK1,4853.0,0.720301217480535,0.7327470268538487
114,CASP8,1064.5,6.630884070874603e-22,1.2593332247507815e-21
115,TFG,9721.5,5.7759675995185e-31,1.850667169641642e-30
116,B2M,59.5,1.3783419040504966e-33,6.624479967426366e-33
117,PER1,8817.0,7.926736110354306e-21,1.4527208980454778e-20
118,BCL2L12,4107.5,0.004220820000808045,0.004813574383488109
119,FANCG,9691.0,1.0975684463179732e-30,3.4010180145774044e-30
120,BRCA2,1.0,2.3936974592325464e-34,2.1534709051307513e-33
121,PHF6,6474.5,0.0002937238397890764,0.00035112672218440353
122,ZEB1,9567.0,6.13807225088711e-29,1.6333514294733496e-28
123,PDGFRA,9981.0,4.4554865867146735e-34,2.70448388261814e-33
124,PTPRC,9996.0,2.868467844867354e-34,2.2428083434462822e-33
125,CIC,6582.0,4.175747648368103e-05,5.108512058133445e-05
126,KMT2A,4957.5,0.9182275066994786,0.9241135804603727
127,EZH2,904.5,1.4137709340242464e-23,2.870198749678535e-23
128,LRIG3,7598.5,1.8684076319843293e-10,2.682987788611644e-10
129,CCDC6,3618.5,0.0007205180462344654,0.000846294263781629
130,DNM2,8241.0,2.260074043934273e-15,3.560183527401481e-15
131,ERCC4,5000.0,1.0,1.0
132,ZCCHC8,6326.5,0.0009745093321647352,0.0011305268360827347
133,NCOR2,5408.0,0.31924869261599786,0.3348911675325946
134,BCL9,3648.5,0.000915092619627186,0.001066853029317833
135,FUS,8661.0,3.7059208905418512e-19,6.44091785773141e-19
136,CDH1,9980.5,4.472374650147712e-34,2.70448388261814e-33
137,KIF5B,3526.0,0.00031512737252621594,0.0003748105870198174
138,AXIN1,6737.5,2.1634151738831017e-05,2.688571363849448e-05
139,ITGAV,7472.5,1.2062611997888232e-09,1.7061532285301373e-09
140,NTHL1,7032.5,5.821000370650921e-07,7.615808818268287e-07
141,ARID1B,1302.0,1.156337323568332e-19,2.0246649791847005e-19
142,FLI1,9589.0,2.0740365858606475e-29,5.814709713930745e-29
143,GOPC,1175.0,6.2801000795531934e-21,1.1784570268803005e-20
