,Gene,U,pval,adj_pvals
0,CHD4,5506.0,0.21678097888320502,0.22791035949551242
1,CEP89,7883.0,1.880517636118816e-12,2.7940814088705437e-12
2,SMC1A,9482.0,6.641292912317161e-28,1.489547124619706e-27
3,ATP1A1,209.0,1.2008210963884436e-31,3.602463289165331e-31
4,CSF1R,10000.0,2.562143669163401e-34,2.12466538155938e-33
5,CCNC,2200.0,7.904561029368952e-12,1.1490889644545607e-11
6,JAK2,9871.0,1.1760414145658931e-32,3.9284787678052177e-32
7,BCLAF1,7746.0,1.9687217279696718e-11,2.8356817549654907e-11
8,ELK4,4584.0,0.30999675413936445,0.32160456211374594
9,DDR2,4486.0,0.20959487865126547,0.22184087156122703
10,SPECC1,6334.5,0.0011161442092185432,0.0013012473330245888
11,PCM1,8997.0,1.5910622058340987e-22,3.0217350764026634e-22
12,ATIC,3934.0,0.009229588179077784,0.010424786648310879
13,TNFRSF14,4211.0,0.05402798489285436,0.05931743795928766
14,CCNB1IP1,9974.0,5.584608078283929e-34,2.7982451115656708e-33
15,PER1,8438.0,4.497247253757492e-17,7.3548731129159e-17
16,XPC,5263.0,0.5212695993616865,0.5348975627436914
17,LMNA,5866.0,0.03445099760498204,0.03817981146340362
18,FOXP1,4227.0,0.05909069901306533,0.06472492845384598
19,SPEN,5176.0,0.6680580440501828,0.6796011636018058
20,DDX3X,7847.0,3.5229587654208897e-12,5.185354932853872e-12
21,FUBP1,6806.0,1.0263863470969876e-05,1.2556570635913796e-05
22,EIF4A2,7416.0,3.5910841340010887e-09,4.846420134998604e-09
23,NCOA1,4119.0,0.03144433244507643,0.03501248364451773
24,PIK3CA,8687.0,2.1070497716823694e-19,3.6756312683792445e-19
25,PTCH1,9849.0,2.2364323964711812e-32,7.214792183136482e-32
26,NSD2,98.0,4.7313279534086494e-33,1.7686154492503762e-32
27,RB1,986.0,1.0552354147759609e-22,2.0203897575588518e-22
28,GATA3,2068.0,7.904879284380891e-13,1.1819676644264761e-12
29,SDC4,1949.0,9.085616620364067e-14,1.4030575174398282e-13
30,PSIP1,9998.0,2.7207913829411556e-34,2.12466538155938e-33
31,SRSF3,6643.0,5.9884302374535286e-05,7.195282249593398e-05
32,GOLPH3,3132.0,5.042090778714058e-06,6.2826051766516435e-06
33,FBXO11,303.0,1.754136869289211e-30,4.888748316184725e-30
34,USP9X,7181.0,9.940431801291975e-08,1.3005398273357e-07
35,SFPQ,1648.0,2.633664711024866e-16,4.2774347548024544e-16
36,IDH1,112.0,7.14290915829921e-33,2.6079924136115724e-32
37,BLM,1154.0,5.6648874221585605e-21,1.0301783690489119e-20
38,BTG1,30.0,6.059710572360888e-34,3.0043407153494508e-33
39,CANT1,324.0,3.170505292706795e-30,8.582229844051153e-30
40,ATF1,451.0,1.075409369698088e-28,2.532589065638997e-28
41,PIK3R1,8230.0,2.9995630187636917e-15,4.7568827671302995e-15
42,KDM5A,18.0,4.396007364960204e-34,2.326426369546355e-33
43,MALT1,8573.0,2.5691878022232895e-18,4.321740910168462e-18
44,EED,1477.0,7.510389061418506e-18,1.2455610027915903e-17
45,LATS2,2927.0,4.1071458371596074e-07,5.271023676572684e-07
46,CDH1,9089.0,1.6892994906524522e-23,3.329121590365293e-23
47,FOXO3,9998.0,2.7207913829411556e-34,2.12466538155938e-33
48,ARHGEF12,7741.0,2.140446649103838e-11,3.0736291820972796e-11
49,DGCR8,9950.0,1.1423690450516021e-33,4.981998335363931e-33
50,LARP4B,0.0,2.562143669163401e-34,2.12466538155938e-33
51,CBLB,172.0,4.119442218920243e-32,1.2681420164127023e-31
52,NOTCH1,9314.0,5.676507825095247e-26,1.1882823047199383e-25
53,COL3A1,9547.0,1.1359085957739727e-28,2.661755963231548e-28
54,TSC1,2229.0,1.2930959378280727e-11,1.868245971524608e-11
55,PREX2,6659.0,5.070346364678217e-05,6.123418301957538e-05
56,EXT1,4355.0,0.11531089711001273,0.12343507395185453
57,SUZ12,19.0,4.529593338305166e-34,2.370487180379703e-33
58,LPP,5232.0,0.5716354520453335,0.5853049954638089
59,AXIN1,7634.0,1.237462459244038e-10,1.7398352785192298e-10
60,NSD3,9744.0,4.619704767299835e-31,1.3267566740233063e-30
61,SETBP1,9999.0,2.640284031487027e-34,2.12466538155938e-33
62,BRD4,92.0,3.964245072235026e-33,1.5304585483792601e-32
63,CTCF,13.0,3.7845631983265776e-34,2.2266016731313993e-33
64,RPN1,2333.0,7.254623016581062e-11,1.0261043365794836e-10
65,AFDN,940.0,3.4440379745995394e-23,6.675481012495404e-23
66,XPA,6294.0,0.0015748588673184004,0.00182699144459844
67,RUNX1,9501.0,3.9737753937013187e-28,9.04177879436387e-28
68,NFE2L2,9842.0,2.74226548246105e-32,8.610713614927698e-32
69,NACA,0.0,2.562143669163401e-34,2.12466538155938e-33
70,HRAS,9991.0,3.3568758082015105e-34,2.195956257865155e-33
71,MSN,10000.0,2.562143669163401e-34,2.12466538155938e-33
