,Edge,U,pval,adj_pvals
0,CHD4;EP300,1343.5,2.3447330066538396e-19,3.9994628396874755e-19
1,CHD4;BRD4,5339.5,0.40237274128639433,0.41496760468745114
2,CHD4;EZH2,9830.5,2.7008451052216767e-32,8.993239552493455e-32
3,CHD4;SMARCA4,5245.0,0.539469852458718,0.552412422528611
4,CHD4;TRIM27,5133.0,0.7431998449161101,0.752009325836452
5,SMC1A;STAG2,9999.5,4.3783724222247967e-35,1.4347094617464965e-33
6,SMC1A;BRD4,26.5,4.184322427912977e-34,2.0463951874011903e-33
7,SMC1A;ATM,732.5,1.6443915119410007e-25,3.427488634212208e-25
8,SMC1A;RAD21,9964.0,1.0741352154539296e-34,1.4347094617464965e-33
9,SMC1A;CTCF,10000.0,6.190191383374372e-35,1.4347094617464965e-33
10,SMC1A;STAG1,9178.5,4.514983216680021e-25,9.216454870570739e-25
11,SMC1A;BRCA1,360.0,3.45618744483502e-30,9.180650666761198e-30
12,ATP1A1;MAPK1,306.5,1.3708726922272962e-30,3.786027817651268e-30
13,CSF1R;CBL,0.0,1.394374860336027e-34,1.4347094617464965e-33
14,CSF1R;PTPN11,2994.0,8.826247143323283e-07,1.0999132140120189e-06
15,CSF1R;PIK3R1,8018.5,1.3551440181037364e-13,1.9960474243127977e-13
16,CSF1R;RUNX1,8530.0,4.477149112498264e-18,7.349725553559213e-18
17,CCNC;CDK4,2170.0,4.229588114247832e-12,6.02668169845025e-12
18,CCNC;MED12,3289.5,2.821809077098664e-05,3.407946911119801e-05
19,JAK2;CCND1,9984.5,3.5238022446435056e-34,1.774182470627481e-33
20,JAK2;PLCG1,559.5,9.394819492508337e-28,2.138602546294625e-27
21,JAK2;KRAS,9728.5,5.407352718081631e-31,1.5456633796890872e-30
22,JAK2;PDGFRA,227.0,1.7770384554658173e-32,6.067778580663281e-32
23,JAK2;PDGFRB,1119.5,1.57339654030351e-22,2.9607602231362647e-22
24,JAK2;KDR,9846.0,7.436893549665769e-33,2.6552254916867516e-32
25,JAK2;PIK3CA,550.0,3.6297771322490972e-28,8.457470787051866e-28
26,JAK2;STAT3,9930.5,7.76669510287936e-34,3.448192293902467e-33
27,JAK2;ERBB3,10000.0,2.2721476018251813e-34,1.4347094617464965e-33
28,JAK2;ERBB2,10000.0,2.0378586405998996e-34,1.4347094617464965e-33
29,JAK2;EGFR,6620.0,6.778180868455157e-05,8.107913166215786e-05
30,JAK2;STAT5B,1731.5,4.929590599774774e-16,7.638425038264874e-16
31,JAK2;STAT6,9620.0,1.279927088438554e-29,3.2570502331810355e-29
32,JAK2;IL7R,819.0,2.4738428730210036e-25,5.10535924783895e-25
33,JAK2;MET,9709.5,5.504498654788321e-31,1.5710408014730193e-30
34,JAK2;EML4,7449.0,1.2313713888959602e-09,1.6447478437742626e-09
35,JAK2;SH2B3,611.5,2.7605254011077135e-27,6.1135220557550536e-27
36,JAK2;NRAS,7342.0,9.403741239709144e-09,1.237577158246235e-08
37,JAK2;SRC,9997.5,2.4794046185734607e-34,1.4522436072307258e-33
38,JAK2;ASXL1,1002.0,1.1888899031257013e-22,2.246212513148961e-22
39,JAK2;IL6ST,124.0,3.3300435994740273e-34,1.694802677455887e-33
