,Edge,U,pval,adj_pvals
0,MLLT1;TCEA1,386.0,1.5100620122184353e-29,4.035120796122615e-29
1,MLLT1;CDC73,6076.5,0.007989528424273733,0.008973138572144683
2,MLLT1;BRD4,9331.0,1.3887605913478333e-26,3.0999637209952676e-26
3,MLLT1;BCOR,9995.0,2.1393507624446053e-34,1.660442380727053e-33
4,MLLT1;AFF3,2342.0,4.9365938010544156e-11,6.862788111278919e-11
5,MLLT1;POLR2A,844.0,2.2243201301090145e-24,4.469506302714361e-24
6,MLLT1;TRRAP,8443.5,2.317490610450102e-17,3.76407710614507e-17
7,MLLT1;MLLT6,5397.0,0.3193621034989995,0.3320101075979698
8,MLLT1;AFDN,50.0,7.664870426039405e-34,3.807549270078016e-33
9,MLLT1;AFF1,2201.5,5.345703429888682e-12,7.601232572239482e-12
10,MLLT1;ABL1,8162.5,4.380574499978212e-15,6.733058681797739e-15
11,MLLT1;KMT2A,6872.0,3.391954542548759e-06,4.183290439437777e-06
12,MLLT1;MLLT3,5522.5,0.19464818259440497,0.2051044899238565
13,MLLT1;KAT6A,8955.5,1.6869572536878426e-22,3.1564137293844853e-22
14,MLLT1;SMARCB1,140.0,1.0096109297361505e-32,3.746685051099852e-32
15,MLLT1;MEN1,9984.5,2.6233262125446925e-34,1.7321716236962798e-33
16,MLLT1;MLLT10,8998.0,5.757596151265002e-23,1.0960514536091036e-22
17,MLLT1;AFF4,9996.5,1.6557717300061926e-34,1.660442380727053e-33
18,MLLT1;ELL,8262.0,8.458726783991979e-17,1.3517302873254863e-16
19,MUTYH;NTHL1,6298.5,0.001141767594122112,0.0013214103018205988
20,MUTYH;MLH1,4198.0,0.03305699421753686,0.03621526269126635
21,MUTYH;MSH2,4.5,3.589653563621092e-35,1.660442380727053e-33
22,MUTYH;MSH6,2462.5,2.785306904580809e-10,3.802987882210666e-10
23,MUTYH;KRAS,318.5,2.269159826890001e-30,6.422489890589829e-30
24,MUTYH;BARD1,0.0,3.774252729075992e-35,1.660442380727053e-33
25,MUTYH;PALB2,87.5,5.793581694032295e-34,3.043141626836513e-33
26,MUTYH;PIK3CA,1240.0,3.149272430589878e-20,5.489698524026301e-20
27,MUTYH;PMS2,0.0,4.208369424108637e-36,1.660442380727053e-33
28,MUTYH;TP53,8271.5,9.991293998616616e-16,1.5557830579410287e-15
29,MUTYH;ATM,0.0,1.2842980680311294e-34,1.660442380727053e-33
30,MUTYH;ERCC3,548.0,1.0712641331459476e-28,2.7123496137099523e-28
31,MUTYH;WRN,733.0,6.821093368954062e-26,1.4651807056056558e-25
32,MUTYH;MGMT,1166.5,2.5189003004578546e-21,4.553920023278802e-21
33,MUTYH;FEN1,7137.0,1.358503374962487e-07,1.7353973217853335e-07
34,MUTYH;POLE,5419.5,0.2719962605316708,0.2841474785694688
35,MUTYH;STK11,9457.0,2.7051246340856165e-28,6.6357958843465305e-28
36,MUTYH;MEN1,2169.5,3.080505924591373e-12,4.411904045516663e-12
37,MUTYH;SMAD4,138.0,9.844806945303593e-33,3.666129429214238e-32
38,MUTYH;PTEN,193.5,6.127394159854158e-32,2.055901987845803e-31
39,MUTYH;BMPR1A,5744.0,0.06627829415060427,0.07162871143824134
40,MUTYH;BRCA2,591.0,1.873476048180726e-27,4.3657372663219266e-27
41,MUTYH;CHEK2,9801.5,4.200263315747322e-32,1.4299052800907125e-31
42,MUTYH;ERCC2,875.0,1.4643672516190363e-24,2.9613620213066237e-24
43,MUTYH;PMS1,4.0,3.108415366481875e-35,1.660442380727053e-33
44,MUTYH;BRCA1,3899.0,0.006454179890777274,0.007285441255293487
45,MUTYH;POLD1,8981.0,2.2287066542397895e-23,4.314795420626924e-23
46,SS18;RB1,10000.0,1.1240554039440709e-34,1.660442380727053e-33
47,SS18;ARID1A,9244.5,1.8361466630781563e-25,3.874139235927316e-25
48,SS18;SMARCE1,9976.0,6.038955076583035e-35,1.660442380727053e-33
49,SS18;ARID2,5227.0,0.5694390763397411,0.5821585058799759
50,SS18;SMARCB1,7647.0,5.298486583019229e-11,7.358245760391072e-11
51,SS18;SMARCA4,8105.0,1.9915401377714184e-14,3.004140123314351e-14
52,SS18;SMARCD1,9994.0,7.127954669865152e-35,1.660442380727053e-33
53,SS18;PBRM1,1966.0,6.427001156193858e-14,9.57346069302312e-14
54,SS18;ARID1B,6139.5,0.003479076853392331,0.00395887304503101
55,SS18;BCL7A,2369.0,1.3665388966240281e-11,1.9247279830146424e-11
56,PRKAR1A;ATIC,5461.5,0.2554605338682858,0.26744695187970097
57,PRKAR1A;TFG,5221.5,0.5862534257826875,0.5988806375821848
58,PRKAR1A;RARA,8945.5,3.525174712262069e-22,6.5387289865477595e-22
59,PRKAR1A;RANBP2,2999.0,6.662327335592231e-07,8.382698045605357e-07
60,PRKAR1A;NPM1,9998.5,1.2417009422664547e-34,1.660442380727053e-33
61,PRKAR1A;KIF5B,6480.5,0.00020715079189173688,0.0002445530182055227
62,PRKAR1A;PRKACA,4391.5,0.1336932657945787,0.14207728484420895
63,PRKAR1A;EML4,1558.5,2.3860630786189457e-17,3.869584429438054e-17
64,PRKAR1A;MEN1,8234.5,2.564724947749042e-15,3.960237051671315e-15
65,PRKAR1A;SUFU,7313.5,1.4801139475021443e-08,1.9360063968915446e-08
66,PRKAR1A;GNAS,9498.5,3.0536497311976217e-28,7.477043580504465e-28
67,PRKAR1A;NCOA4,9991.0,2.492404416484678e-34,1.693213213961912e-33
68,PRKAR1A;TPM3,10000.0,1.1685046956653494e-34,1.660442380727053e-33
69,PRKAR1A;PIK3R1,7642.5,7.522991521382911e-11,1.0407031670629163e-10
70,PRKAR1A;NUMA1,6379.0,0.0007101236048615487,0.0008273959756382927
71,PRKAR1A;CLTC,9821.5,1.6999034908312696e-32,6.0889519688304e-32
72,ITK;PLCG1,9349.5,1.5310087066010675e-26,3.4033007986088484e-26
73,ITK;PIK3CA,1694.5,5.808869201183981e-16,9.076887823851829e-16
74,ITK;CBL,1927.5,3.714909479697122e-14,5.5739255432272596e-14
75,ITK;EGFR,1925.0,5.349487103048275e-14,7.981750748627337e-14
76,ITK;IL7R,406.5,1.74368873346008e-30,4.977320451854333e-30
77,ITK;IKZF1,9032.0,1.539018497974487e-23,2.995799366286216e-23
78,ITK;SRC,166.0,2.6415378016029054e-32,9.221274398685502e-32
79,ITK;SYK,134.0,3.802453000346291e-33,1.5543615127369763e-32
80,ITK;WAS,3918.0,0.0064857262695558375,0.0073195077288664935
81,ITK;TEC,4597.0,0.32132560355539097,0.3339865308693941
82,ITK;PTPN6,2771.0,1.2750332490404741e-08,1.6710237514957758e-08
83,ITK;PIK3R1,9945.5,1.087292713419055e-33,5.098469772643642e-33
84,ITK;LYN,36.0,3.288053456190918e-34,2.0008552565798143e-33
85,ITK;VAV1,500.5,4.294072926342807e-29,1.1108579961625957e-28
86,ITK;PTPRC,1251.0,1.8337964630075845e-20,3.223893650494293e-20
87,ITK;PTPN11,1943.0,7.04127683367208e-14,1.0476809514952484e-13
88,ITK;PIK3CB,1386.0,7.958104202570826e-19,1.3388516495371277e-18
89,ARHGAP5;SRC,9154.5,2.7772313474868176e-24,5.563813642271571e-24
90,ARHGAP5;RHOA,9656.0,3.820516356997748e-30,1.066677012081488e-29
91,ARHGAP5;CTNND1,25.5,2.0567409228564375e-34,1.660442380727053e-33
92,ARHGAP5;AKT1,9994.0,2.5329838727842656e-34,1.700169994734428e-33
93,ARHGAP5;ARHGAP35,63.5,4.114193136218498e-34,2.338800875207012e-33
94,NONO;DDX5,4458.0,0.18142858052773791,0.19136301924877616
95,NONO;FUS,9976.0,2.882099653758215e-34,1.8351538223395054e-33
96,NONO;PRCC,8894.5,1.5238618107961341e-21,2.7737185577203595e-21
97,NONO;MYC,5712.0,0.07845197522316182,0.08461436602618963
98,NONO;SFPQ,5203.5,0.6140082156820292,0.6256682801186082
99,NONO;CHD4,10000.0,1.7103770993368076e-34,1.660442380727053e-33
100,NONO;TFE3,4985.0,0.9714518387880184,0.9729052920721598
101,NONO;SMARCA4,9893.5,3.115888348476858e-33,1.2974791684365143e-32
102,NONO;DDX3X,9998.0,1.7638847308563285e-34,1.660442380727053e-33
103,NONO;EWSR1,6041.5,0.00993601981874925,0.011117297561513211
104,NONO;TOP1,9847.0,1.3811821691973396e-32,5.021201979668536e-32
105,NONO;SRSF3,362.5,2.6969959661242647e-30,7.601270209787072e-30
106,NONO;CTCF,1250.5,2.6563971838008146e-20,4.639597821021971e-20
107,NONO;NPM1,6872.0,3.3927227597531773e-06,4.183290439437777e-06
108,NONO;HNRNPA2B1,9918.5,1.8520854413945758e-33,8.116135465358391e-33
109,NONO;CTNNB1,6852.0,4.829602256477456e-06,5.94130946093195e-06
110,NONO;ASPSCR1,1052.0,4.109343833086736e-22,7.601221494362513e-22
111,PTEN;MAPK1,9827.5,6.355993355829223e-33,2.4416315940075673e-32
112,PTEN;TSC2,8404.0,3.3550172113878155e-17,5.4147429677461575e-17
113,PTEN;COL1A1,6520.0,0.0001998162957639061,0.0002359982937396818
114,PTEN;CCND1,9930.0,5.081280439533635e-34,2.762462614589098e-33
115,PTEN;CDKN1B,9993.5,1.0119986277175302e-34,1.660442380727053e-33
116,PTEN;MLH1,6956.5,1.2775665160403505e-06,1.5947246371552625e-06
117,PTEN;MSH2,1542.5,1.887804088899359e-17,3.077379268205804e-17
118,PTEN;MSH6,9928.5,1.1692184287118237e-33,5.454869098965839e-33
119,PTEN;PLCG1,8965.0,2.2336825680305288e-22,4.1662731284581966e-22
120,PTEN;KRAS,6847.5,1.1436968399499684e-06,1.4306228866928477e-06
121,PTEN;CDK4,10000.0,1.5358212248239053e-34,1.660442380727053e-33
122,PTEN;MDM2,3482.5,0.00010537327560908508,0.00012531065753645362
123,PTEN;BARD1,7324.5,1.0374468957987941e-08,1.3633197857674952e-08
124,PTEN;PALB2,8060.5,4.909909822710897e-14,7.334049400451006e-14
125,PTEN;CDH1,948.5,2.710473734593847e-23,5.2248332788877067e-23
126,PTEN;PDGFRB,9984.0,1.7304569559597082e-34,1.660442380727053e-33
127,PTEN;SMAD2,2608.0,2.4301018722616648e-09,3.2435681769594255e-09
128,PTEN;KMT2C,9435.5,1.3395359116087901e-27,3.1489090459460366e-27
129,PTEN;KDR,9914.5,9.805265509826941e-34,4.68396046432857e-33
130,PTEN;PIK3CA,6400.5,0.00044794706261396677,0.0005250068987300924
131,PTEN;CBL,1510.5,8.873296037033047e-18,1.460248932953656e-17
132,PTEN;STAT3,5112.0,0.7821537239317272,0.7908672944966766
133,PTEN;CDK6,9884.5,5.454189248724218e-33,2.1460090688404253e-32
134,PTEN;PMS2,2232.5,1.0975665396273302e-11,1.5487401369444936e-11
135,PTEN;DAXX,3293.0,2.7439830886066187e-05,3.3146919556707524e-05
136,PTEN;RB1,7231.0,3.162515042853925e-08,4.0995565370328657e-08
137,PTEN;TP53,9894.0,2.5199357205651183e-33,1.0675835271856177e-32
138,PTEN;ERBB2,3065.0,1.5934879205809675e-06,1.9826040461689313e-06
139,PTEN;EGFR,9941.0,7.003982893764975e-34,3.545021587534163e-33
140,PTEN;ATM,2487.5,3.3595673106173606e-10,4.5835625346129855e-10
141,PTEN;PPARG,5926.5,0.021036758799637147,0.02321760992828873
142,PTEN;PREX2,2527.5,1.3608088793265777e-09,1.8272646812421824e-09
143,PTEN;TSC1,56.5,8.255951235165617e-34,4.0411900241601354e-33
144,PTEN;MGMT,9968.0,4.832334803528668e-34,2.6677477188552595e-33
145,PTEN;MAP2K1,9998.5,9.774441194560472e-35,1.660442380727053e-33
146,PTEN;PPM1D,5814.5,0.0421148964272384,0.04590377984283771
147,PTEN;CASP3,0.0,5.599449748974333e-35,1.660442380727053e-33
148,PTEN;MET,9781.0,9.690260873924418e-32,3.1660370335488257e-31
149,PTEN;EZH2,1504.5,9.82418206459353e-18,1.614252683519434e-17
150,PTEN;ARID1A,9231.0,2.0807628327821316e-25,4.378186628506214e-25
151,PTEN;POLE,9518.0,2.117262775359646e-28,5.23934480686271e-28
152,PTEN;STK11,5053.0,0.8959079197894347,0.9006170284348457
153,PTEN;PHF6,1127.5,1.6046805055243159e-21,2.918839710286247e-21
154,PTEN;CASP9,76.5,1.1679533419088205e-33,5.454869098965839e-33
155,PTEN;IDH2,9228.0,4.171649344962542e-25,8.638508214336586e-25
156,PTEN;SMAD3,689.5,3.3696093289494556e-26,7.345418174571631e-26
157,PTEN;HSP90AA1,9999.5,8.206487019196763e-35,1.660442380727053e-33
158,PTEN;FOXO3,7244.0,1.806057274344735e-08,2.3577368854500378e-08
159,PTEN;SMAD4,2518.5,1.818760956517401e-10,2.493462601677082e-10
160,PTEN;SMARCA4,9490.0,3.660455690467713e-28,8.917989182190448e-28
161,PTEN;NF2,8719.0,7.984140444749654e-20,1.3769749462684183e-19
162,PTEN;NF1,5069.0,0.8559010280950474,0.862018056319161
163,PTEN;CASP8,6080.0,0.007450548380807609,0.008378346614704903
164,PTEN;TGFBR2,9867.5,3.985036091601984e-33,1.617882355612481e-32
165,PTEN;MSN,10000.0,1.8809782811044638e-34,1.660442380727053e-33
166,PTEN;ZEB1,9951.5,2.4022530395654656e-34,1.675008467040764e-33
167,PTEN;MTOR,218.5,5.713905273019287e-32,1.9256112483963677e-31
168,PTEN;MDM4,1440.0,1.4768002384369937e-18,2.4667078218434503e-18
169,PTEN;SGK1,6471.5,0.0002477332518447745,0.00029194796734788016
170,PTEN;SDHC,5172.5,0.6717647149201761,0.6827291798059486
171,PTEN;NRAS,9973.0,1.975362607479954e-34,1.660442380727053e-33
172,PTEN;JUN,10000.0,5.911268444406078e-35,1.660442380727053e-33
173,PTEN;HSP90AB1,10000.0,6.610725929080815e-35,1.660442380727053e-33
174,PTEN;CTNNB1,9694.0,2.936911602248399e-31,9.064646472645635e-31
175,PTEN;PIK3R1,9982.0,5.989104667622128e-35,1.660442380727053e-33
176,PTEN;NOTCH1,5362.5,0.37186615282540925,0.38524729123235957
177,PTEN;DICER1,3873.5,0.004700609818254128,0.0053307423923657045
178,PTEN;SDHD,9833.5,2.932758577189708e-32,1.0164998175308017e-31
179,PTEN;PBRM1,0.0,1.7833295084195124e-34,1.660442380727053e-33
180,PTEN;ABL1,9272.5,8.137177802049499e-26,1.740894411904717e-25
181,PTEN;BRAF,2472.5,8.342146617591765e-11,1.1537240479649768e-10
182,PTEN;DROSHA,2690.0,1.2937479648405049e-08,1.695135882486152e-08
183,PTEN;PTPN11,3782.0,0.002209960695332858,0.00253140952374491
184,PTEN;AKT1,10000.0,1.188083865674569e-34,1.660442380727053e-33
185,PTEN;RHOA,10000.0,7.7877330350543e-35,1.660442380727053e-33
186,PTEN;SPOP,8372.0,4.48462659843354e-17,7.222609153266648e-17
187,PTEN;AKT2,9710.5,8.262285294564073e-31,2.4377155786441108e-30
188,PTEN;HIF1A,9830.0,6.745094097887992e-33,2.57448174584392e-32
189,PTEN;BRCA2,9422.0,2.1736801740771053e-27,5.052108217093272e-27
190,PTEN;MAP3K1,157.0,1.2075529987048585e-32,4.4290728137428207e-32
191,PTEN;CREB1,6580.5,5.796552802387519e-05,6.931786569179357e-05
192,PTEN;BAP1,6969.5,1.3563436426167456e-06,1.6914811844929371e-06
193,PTEN;FBXW7,1.0,1.7317898076094667e-34,1.660442380727053e-33
194,PTEN;NFE2L2,1.5,8.331958734913308e-35,1.660442380727053e-33
195,PTEN;SRC,9440.0,1.2304536685789774e-27,2.902678147683006e-27
196,PTEN;PIK3CB,2514.5,6.759155238396014e-10,9.137913734312207e-10
197,PTEN;SDHB,9707.0,1.0785062666762111e-30,3.1405117227031597e-30
198,PTEN;AKT3,4182.5,0.03410309699573292,0.037338393868769124
199,PTEN;RAF1,44.0,2.574387690534447e-34,1.71679278739875e-33
200,PTEN;FGFR1,9755.0,2.145544560623489e-31,6.742600423790366e-31
201,PTEN;BRCA1,1589.0,6.344990483225776e-17,1.0178976644000608e-16
202,PTEN;IKBKB,1914.5,2.699639391811528e-14,4.063196070118136e-14
203,PTEN;ATRX,9841.0,6.081263416817908e-33,2.3546757481605132e-32
204,PTEN;JAK2,6978.0,8.445069333303273e-07,1.0595910562286556e-06
205,PTEN;IDH1,7683.5,4.6664720292891285e-11,6.495699952389728e-11
206,PTEN;CDKN1A,9444.5,5.644003076057976e-28,1.359587785528136e-27
207,PTEN;HRAS,9999.0,1.4240664512920806e-34,1.660442380727053e-33
208,PTEN;TRIM27,1868.5,1.5808010582661095e-14,2.391296516105937e-14
209,PTEN;MYC,10000.0,8.871277733994591e-35,1.660442380727053e-33
210,PTEN;BMPR1A,1375.5,2.0983147281998005e-19,3.5807760897099847e-19
211,PTEN;CHEK2,1003.0,1.2247970421235235e-22,2.3013291791478836e-22
212,PTEN;TCF7L2,9967.0,2.382569790456894e-34,1.6674223800132802e-33
213,RNF213;MYH9,7867.0,2.050318569434133e-12,2.949088353295671e-12
214,RNF213;NF1,4005.0,0.014754488818060386,0.01637858366930211
215,PRKD1;PLCG1,8488.0,1.0736253281017594e-17,1.762496515016837e-17
216,PRKD1;ATF1,175.5,2.6682530124837547e-32,9.308465721075249e-32
217,PRKD1;CREB3L2,39.0,5.197377573849684e-34,2.8084719382406716e-33
218,PRKD1;MTOR,6961.0,1.4735720795301435e-06,1.8351112757869577e-06
219,PRKD1;JUN,9537.0,1.1080749802582604e-28,2.8015776767152904e-28
220,PRKD1;CREB1,9998.5,1.644100161555504e-34,1.660442380727053e-33
221,FUS;DDX5,483.5,4.080759646190018e-29,1.0592568058820912e-28
222,FUS;ATM,0.0,1.5121482422976516e-34,1.660442380727053e-33
223,FUS;SFPQ,9642.5,1.7275970386535418e-30,4.934017142394516e-30
224,FUS;CREB3L2,44.0,7.268440421683623e-34,3.665018687204878e-33
225,FUS;MYC,8200.0,4.459665922524394e-15,6.850691627974219e-15
226,FUS;PABPC1,5006.0,0.9892115079008814,0.9897659986564312
227,FUS;ATF1,6014.5,0.012432336830454253,0.013852510138802022
228,FUS;SMARCA4,9826.5,3.3557195369515806e-32,1.1556191717283417e-31
229,FUS;TAF15,931.0,9.325443390857162e-24,1.8298918782718984e-23
