,Gene,U,pval,adj_pvals
0,NSD1,1559.5,3.8419230092679946e-17,6.520446797419625e-17
1,DICER1,9820.5,4.7043375982448836e-32,1.631288289463334e-31
2,BIRC6,1247.0,4.4046441506224654e-20,8.072389660076154e-20
3,SDHC,9978.0,4.467824726842851e-34,2.6586315041213013e-33
4,TFG,8551.0,3.429523861558845e-18,6.0110200046231394e-18
5,MAP2K2,3364.5,6.342808841123344e-05,7.548725583756671e-05
6,TFRC,7873.0,2.187546168210124e-12,3.2048548725753184e-12
7,CREB1,9155.5,3.1015759809381997e-24,6.5857252106264855e-24
8,FAS,25.5,5.158882943591361e-34,2.925390092718866e-33
9,ETV5,3082.5,1.1443227555239926e-06,1.4438836862894358e-06
10,POLG,5117.0,0.7524927619401244,0.7635821289581893
11,SETD2,2264.5,2.2188431535466437e-11,3.127141520495562e-11
12,NAB2,10000.0,1.429847687587211e-34,1.9708692442711736e-33
13,HIF1A,9152.5,3.3885955969693335e-24,7.163609990084292e-24
14,FLCN,1047.0,4.1924779670833793e-22,8.214530000545484e-22
15,MAP2K4,9993.5,2.0398446888600163e-34,1.9708692442711736e-33
16,PTPN6,6819.0,8.456813371800686e-06,1.0345644784791703e-05
17,ID3,9107.5,1.7238608056011898e-24,3.6928929257767705e-24
18,CNOT3,288.0,7.458689615703472e-31,2.2329741582416606e-30
19,CIITA,313.5,2.1770518437272812e-30,6.398408467539936e-30
20,LSM14A,5246.0,0.5447240910936222,0.5574458851531335
21,AKAP9,6209.0,0.0029012517931251715,0.0032749493308813415
22,RAD51B,0.0,2.2927822118164747e-34,1.9708692442711736e-33
23,TEC,9883.5,3.571548301224394e-33,1.4969445923392677e-32
24,MSN,9864.0,1.3236877594014197e-32,5.145302419608745e-32
25,BCR,10000.0,2.380651218289944e-34,1.9708692442711736e-33
26,TRRAP,3701.5,0.0015090194704143929,0.001727665997006502
27,SDC4,1272.5,7.686310395611678e-20,1.3980383436546523e-19
28,ACVR1,6134.5,0.00553084217507547,0.00610037969882466
29,PPP6C,10000.0,1.5043078409723669e-34,1.9708692442711736e-33
30,NCOA4,7066.0,4.3514674382647124e-07,5.563414602768147e-07
31,BCL9,10000.0,2.0979523780182e-34,1.9708692442711736e-33
32,PRCC,3341.0,4.901521766940902e-05,5.8623659842816736e-05
33,LARP4B,1098.0,2.205324540777514e-23,4.4662454985494186e-23
34,CHD2,331.5,6.221793467959521e-34,3.3321160572849875e-33
35,ASXL1,9447.0,1.5759120546536639e-27,3.79794805171533e-27
36,SMARCA4,9912.0,3.4464649309677925e-33,1.4571895585319964e-32
37,ERC1,1717.5,2.3968945161366345e-16,3.929602574074346e-16
38,DCTN1,5776.5,0.05763656655605952,0.06132632467995737
39,ZEB1,6488.5,0.00027026014101001544,0.000314650695572047
40,PIK3R1,9922.5,2.5386529921001073e-33,1.1023700380110376e-32
41,SPECC1,7194.5,3.99575143567764e-11,5.615020967920182e-11
42,EED,1373.0,7.318178629220456e-19,1.3016096307321992e-18
43,JAZF1,8531.5,3.9303128811302884e-18,6.863807277915939e-18
44,CNBP,9745.0,5.169447237157269e-32,1.7517778115652092e-31
45,SGK1,9817.0,4.8523334862182326e-32,1.6679273183885244e-31
46,MLLT10,7869.5,2.1502711233934066e-12,3.1598496386451886e-12
47,KDR,9984.5,3.6560803246653808e-34,2.3187246269588337e-33
48,BRD4,9998.0,2.6497338358477766e-34,1.9708692442711736e-33
49,RANBP2,843.0,3.0558657242312278e-24,6.517377341059521e-24
50,FBXO11,7362.0,5.688295979520125e-09,7.491143885597542e-09
51,PML,9745.0,4.360988156231477e-31,1.3388511409576892e-30
52,IL7R,4324.0,0.09783575453096283,0.10318781987729558
53,AKT2,9766.5,2.352675840716649e-31,7.411697746571405e-31
54,CEP89,5379.0,0.30759720375596356,0.31679882950934707
55,LZTR1,8986.0,1.5643728060448505e-22,3.0902774283345e-22
56,MLLT3,8728.0,8.307188827267903e-20,1.505287599527492e-19
57,YWHAE,329.0,3.315604762196821e-30,9.569589792687831e-30
58,DNAJB1,3922.5,0.007673088573412039,0.008386459619919734
59,PRDM2,917.5,1.74505609050038e-25,3.8761153715261895e-25
60,TPM4,5122.0,0.765125721063381,0.7743548682428151
61,CREBBP,986.5,1.0478840586783656e-22,2.0785189970492684e-22
62,PMS2,9085.0,1.6324508054410767e-23,3.3200054355383925e-23
63,DDR2,10000.0,1.6716623190474661e-34,1.9708692442711736e-33
64,PPARG,6248.5,0.0022874008190214364,0.0026064472689558684
65,CDK6,8363.5,2.0456916244482294e-16,3.3883964363712945e-16
66,MAP3K13,6254.0,5.834715129411442e-06,7.2111094676315774e-06
67,FANCA,1.5,2.560979951736176e-34,1.9708692442711736e-33
68,PDE4DIP,0.0,2.0191178092378643e-34,1.9708692442711736e-33
69,TET2,417.0,3.9831915283069295e-29,1.0846883144881015e-28
70,GPHN,1296.0,4.465013720172849e-24,9.397976476521018e-24
71,ALDH2,2229.0,9.86788977168321e-12,1.4155722827236035e-11
72,USP8,9983.0,2.774262438058335e-34,1.9708692442711736e-33
73,MYH9,7830.5,4.4130287768344365e-12,6.40686707962108e-12
74,MYC,6975.5,1.3940199063605865e-06,1.7459556367305042e-06
75,NBN,3159.5,6.7169509760737455e-06,8.28023112651546e-06
76,CCND3,7016.0,8.069152596785941e-07,1.0235083030660063e-06
77,TRIP11,8931.5,6.171703218959783e-22,1.2043566605419496e-21
78,CNTRL,7.5,1.949776525189492e-34,1.9708692442711736e-33
79,PIK3CA,8794.0,1.817533873725994e-20,3.382437556509379e-20
80,DDX5,6693.0,3.501542290547266e-05,4.2088363691864894e-05
81,JAK2,2934.0,4.4341664968468654e-07,5.654148813439654e-07
82,RARA,8716.0,1.0523532892136945e-19,1.8997538779063697e-19
83,PICALM,9674.0,2.391303557606561e-30,6.985504937977954e-30
84,DDX6,2095.0,1.2011600660851671e-12,1.7759483185676396e-12
85,COL1A1,1.5,2.6378652817926245e-34,1.9708692442711736e-33
86,MAPK1,9018.5,9.27150490384828e-23,1.846638580022674e-22
87,VHL,1734.0,1.4344709998091018e-15,2.2743915194341682e-15
88,BIRC3,8267.0,1.3725480198225518e-15,2.1833932196517163e-15
89,SRC,9638.5,8.892472110032598e-30,2.50653307428989e-29
90,NFE2L2,1702.5,7.423730252044087e-16,1.1887833825532392e-15
91,MITF,1574.0,5.3740526582803606e-17,9.08874870628468e-17
92,SMAD3,459.5,1.3403227144602768e-28,3.5110627628796384e-28
93,ATR,8680.0,2.3221809999369514e-19,4.176459858095562e-19
