,Edge,U,pval,adj_pvals
0,NSD1;NUP98,9979.5,1.2264875009723147e-36,2.485849924651104e-35
1,DICER1;DGCR8,4720.0,0.44595976384992353,0.46193724748627485
2,DICER1;DROSHA,7.0,1.0510769389263737e-36,2.2202132073324952e-35
3,DICER1;DDX6,4601.0,0.29903887137975493,0.3143905995361488
4,BIRC6;CASP3,1034.0,5.8639561623415485e-24,1.3990943950441122e-23
5,BIRC6;CASP9,6434.0,4.358894813774932e-05,5.434107294788533e-05
6,BIRC6;USP8,1319.0,1.0429521181099344e-21,2.2532350156089355e-21
7,TFG;TPM3,4677.5,0.3542197136315026,0.37002973273088957
8,TFG;TPR,10000.0,2.447779742200669e-35,2.0051395721527143e-34
9,SDHC;TMEM127,8727.5,3.0782082700573065e-23,7.144932064855567e-23
10,SDHC;SDHA,5458.0,0.11643725795736265,0.1267528511318798
11,SDHC;FH,5196.0,0.2058546213437097,0.21959315548656172
12,SDHC;SDHB,4650.0,0.32349767994737444,0.33919810068082035
13,SDHC;SDHD,5000.0,1.0,1.0
14,MAP2K2;MAPK1,3870.5,0.0026181921593503295,0.003085950710601168
15,MAP2K2;KRAS,6820.5,2.1584130737324894e-06,2.8046530753192824e-06
16,MAP2K2;PRKACA,7160.0,1.1749786905145675e-10,1.7407747592702636e-10
17,MAP2K2;ARAF,3500.0,3.141287251599923e-09,4.4558230423127345e-09
18,MAP2K2;MAP2K1,3451.0,8.642063422579062e-08,1.1717445992269265e-07
19,MAP2K2;BRAF,6369.0,7.137027013624387e-07,9.391830728772118e-07
20,MAP2K2;NRAS,2622.5,6.788926647900365e-10,9.821213973342251e-10
21,MAP2K2;MAP3K1,7784.0,2.5432190561611203e-13,4.1050645849037457e-13
22,MAP2K2;PPP2R1A,3305.0,2.103451944534061e-06,2.7350439966626745e-06
23,MAP2K2;RAF1,304.0,2.160912060116834e-33,1.028656927406706e-32
24,MAP2K2;HRAS,2890.0,3.759178595124987e-09,5.320766823625432e-09
25,TFRC;B2M,9561.5,2.287559751421291e-29,7.300880635217951e-29
26,TFRC;PTPRC,3209.5,6.374739882896292e-06,8.196689738243368e-06
27,CREB1;MAPK1,8938.0,1.3820074838024036e-24,3.40053405901818e-24
28,CREB1;CCND1,6610.0,1.7152180083016334e-05,2.1643893480879404e-05
29,CREB1;ATF1,9147.0,3.9381986094070457e-26,1.0505425327129244e-25
30,CREB1;CREBBP,2607.0,1.6265664009319324e-11,2.4827869132237414e-11
31,CREB1;EP300,2992.5,3.06659159160728e-09,4.356155396748491e-09
32,CREB1;STAT3,184.0,1.1378339339962962e-34,7.05672401967419e-34
33,CREB1;CRTC3,9876.0,2.671901675745839e-35,2.161711396920296e-34
34,CREB1;TP53,5273.5,0.3974877105196517,0.414128690451317
35,CREB1;REL,9385.0,2.7160716019384645e-28,8.164826864542846e-28
36,CREB1;PRKACA,4134.0,0.01279401172017124,0.01461535563152624
37,CREB1;MAF,657.5,3.792226500049491e-27,1.0711950142381177e-26
38,CREB1;CREB3L2,376.5,4.214200445838915e-31,1.5457309844252438e-30
39,CREB1;SMAD3,670.0,1.0701518505976016e-28,3.2822442094771996e-28
40,CREB1;CRTC1,1287.0,6.04417769491031e-22,1.3188516479682208e-21
41,CREB1;SGK1,7925.5,8.301293467155506e-14,1.3611628821040636e-13
42,CREB1;JUN,9408.0,9.47523109727828e-30,3.094402713828754e-29
43,CREB1;AKT2,2119.5,4.037417096899148e-14,6.664619657853673e-14
44,CREB1;NFATC2,4379.5,0.03129266952350492,0.03507490780114634
45,CREB1;AKT1,8254.0,1.161472050203301e-18,2.227760049463112e-18
46,CREB1;KMT2A,903.5,9.228369035674655e-28,2.6958355905106048e-27
47,CREB1;CTNNB1,4548.5,0.12355379999120657,0.13420263579155364
48,CREB1;CIITA,1482.0,1.3565521172678085e-20,2.786814485421642e-20
49,FAS;DAXX,74.5,3.4807919762220574e-34,1.896331477558499e-33
50,FAS;TP53,8006.0,3.3621457387954666e-15,5.7528098541965946e-15
51,FAS;CASP3,6441.0,0.00015792372184677555,0.00019356486106655906
52,FAS;CASP8,9977.5,7.4998962976056325e-37,1.714511176871241e-35
53,FAS;PTPN13,48.0,1.8303153496205861e-34,1.0583529345159036e-33
54,POLG;POLE,3130.5,1.828528460206387e-07,2.452173910481417e-07
55,POLG;POLD1,8393.0,2.0699936055250085e-20,4.225968253854794e-20
56,SETD2;KDM5C,5029.0,0.9251363054353292,0.9346443866833798
57,SETD2;KDM6A,968.5,1.2579227401574365e-25,3.275597492913272e-25
58,SETD2;PBRM1,4054.0,0.001695362865993117,0.0020200505421469504
59,SETD2;POLR2A,6391.0,0.00031020336723049287,0.00037832495035679215
60,NAB2;STAT6,5918.0,0.015621739075924174,0.017783635798070022
61,NAB2;CHD4,9959.5,4.3251325788511294e-36,5.745412601365757e-35
62,HIF1A;MAPK1,2646.5,3.5143323164543704e-10,5.121702990473902e-10
63,HIF1A;CCND1,8458.0,7.221672626357034e-20,1.4443345252714069e-19
