,Gene,U,pval,adj_pvals
0,MLLT1,4700.0,0.4642935510866477,0.4755628120353528
1,MUTYH,404.0,2.951387515180395e-29,7.594423971988577e-29
2,SS18,7518.0,7.688358732580582e-10,1.0365774393447302e-09
3,PRKAR1A,4629.0,0.3653194087241537,0.37785487863135503
4,ITK,2749.0,3.822833176198695e-08,4.963801847248767e-08
5,ARHGAP5,8192.0,6.285833409526137e-15,9.610948184130543e-15
6,NONO,8813.0,1.2147083747433841e-20,2.1358622255904505e-20
7,PTEN,9988.0,3.6728188105276527e-34,2.8577677766676554e-33
8,RNF213,8348.0,2.7974766137127295e-16,4.3886064348950627e-16
9,FUS,6272.0,0.0018914415449272836,0.0021749000870825985
10,MAF,361.0,8.939040453812737e-30,2.4181250458390867e-29
11,SND1,968.0,6.763197290781683e-23,1.2684752252043868e-22
12,EP300,9893.0,6.166561207343943e-33,2.6553967647950445e-32
13,TOP1,8192.5,6.159962716013909e-15,9.452742786028617e-15
14,DDR2,1922.0,5.4973797938353104e-14,8.16864180633275e-14
15,BRCA2,670.0,3.7430373982161e-26,7.897808910235971e-26
16,MAP2K1,8916.0,1.0995784060445712e-21,2.0000952040983146e-21
17,TFRC,9097.0,1.3867095829824658e-23,2.6479250860570164e-23
18,MAML2,612.0,8.167705415971547e-27,1.7675752233538424e-26
19,KDM6A,43.0,9.274824166313639e-34,5.083085452187475e-33
20,COL3A1,9983.0,4.2653810690681665e-34,2.8577677766676554e-33
21,BCL7A,4854.0,0.7222052453789496,0.7291163003586525
22,SPEN,694.0,6.986553589504298e-26,1.4595671360251552e-25
23,ELK4,847.0,3.438507251586448e-24,6.717824352636486e-24
24,CAMTA1,9344.5,2.5628132519035552e-26,5.434709509061811e-26
25,MRTFA,4333.0,0.10341494880909963,0.11190027794215396
26,TRRAP,4.0,2.8891939979927045e-34,2.8055956741078715e-33
27,SRSF2,9998.0,2.7207913829411556e-34,2.8055956741078715e-33
28,FOXO3,3193.0,1.014863891342933e-05,1.2449783783334817e-05
29,CDK4,8470.0,2.304053594581006e-17,3.7396562188968635e-17
30,KAT7,1573.0,5.65177929195745e-17,9.06863445325492e-17
31,KMT2C,6875.0,4.646815183814183e-06,5.717072908366138e-06
32,HIF1A,7702.0,4.089033451621261e-11,5.657613496997286e-11
33,TNFAIP3,9502.0,3.8675697550293327e-28,9.220985517640556e-28
34,ARID1A,2182.0,5.8093515209652805e-12,8.25436478736481e-12
35,FANCA,113.0,7.355866130826688e-33,3.0433093207930025e-32
36,NF1,6805.0,1.0380336763464742e-05,1.2697107577339483e-05
37,ASXL1,729.0,1.7253368165415135e-25,3.5866607713326045e-25
38,MSH2,146.0,1.9329733381632723e-32,7.093171727868704e-32
39,PTPN6,877.0,7.28209913771206e-24,1.4096540532635272e-23
40,BRD4,9935.0,1.7836580112650533e-33,8.96075810421253e-33
41,GNAQ,9856.0,1.823374486553972e-32,6.809416224121913e-32
42,TFEB,62.0,1.6317623900204506e-33,8.397606446202806e-33
43,CASP3,34.0,7.091892275062724e-34,4.044295324427662e-33
44,PRCC,9780.0,1.647914847990066e-31,5.113382837145646e-31
45,KEAP1,9917.0,3.0391547440970026e-33,1.4250258911210388e-32
46,TCF3,7451.0,2.1305889938789332e-09,2.827385394392798e-09
47,SS18L1,2390.0,1.8174528624115042e-10,2.490146454343035e-10
48,BRD3,1296.0,1.441637384536202e-19,2.473052749082428e-19
49,EPS15,91.0,3.8489983180194756e-33,1.784920099125515e-32
