,Edge,U,pval,adj_pvals
0,XPC;MLH1,350.0,1.8110989428544633e-36,2.0767526421810817e-35
1,XPC;MSH2,2815.0,2.114813125804585e-11,3.27970584670824e-11
2,XPC;MSH6,8986.5,1.1163531436620357e-25,2.9275568483399616e-25
3,XPC;DDB2,1182.0,1.097829100383885e-26,3.047628218017472e-26
4,XPC;PMS2,1149.0,2.2765184937521744e-28,7.051053971912222e-28
5,XPC;ATM,658.0,6.81498327744385e-29,2.172275919685227e-28
6,XPC;BRCA1,993.5,1.4688548768766335e-24,3.648292145489041e-24
7,XPC;FANCD2,2208.0,6.409954178930702e-16,1.149156499101905e-15
8,XPC;XPA,4500.0,0.0012246717281887125,0.0014661562943104306
9,XPC;ERCC4,1925.0,1.0291234346694855e-17,1.9618924858152703e-17
10,XPC;ERCC3,0.0,9.602599166715102e-41,2.3230525565067497e-38
11,XPC;FEN1,9861.0,4.128228398267951e-35,2.6570508500871245e-34
12,XPC;BRCA2,5509.5,0.16389923855177124,0.17585261920351333
13,XPC;POLD1,2404.0,2.6521591330368944e-13,4.3915622008078447e-13
14,XPC;SMARCB1,1560.0,1.0399350824690906e-19,2.1344777181379765e-19
15,XPC;ERCC5,748.5,2.4921943263033537e-33,1.1455537010604686e-32
16,XPC;ERCC2,2525.0,2.04748293019315e-15,3.625751022217037e-15
17,XPC;PMS1,150.0,2.7618201587423443e-39,1.7606603511982446e-37
18,XPC;ATR,5626.5,0.051165154833007105,0.056871587566239036
19,PABPC1;EIF3E,9221.5,3.178672160704725e-32,1.2875786248542966e-31
20,PABPC1;DDX5,931.5,6.9604290973055815e-25,1.754853946142721e-24
21,PABPC1;FUS,5715.5,0.052850173240594725,0.05870414389201094
22,PABPC1;NAB2,9992.5,8.349549441400964e-35,4.924211151839445e-34
23,PABPC1;PCBP1,9984.0,2.5076479795291326e-35,1.7193924366681824e-34
24,PABPC1;DDX6,9895.5,7.844604984032477e-37,1.0608045376134828e-35
25,PABPC1;LARP4B,1098.0,2.205324540777514e-23,5.2323938484109825e-23
26,PABPC1;HNRNPA2B1,278.5,2.3794765460079749e-32,9.786556761806994e-32
27,PABPC1;CNOT3,470.0,4.8754346029039785e-30,1.694221434039637e-29
28,PABPC1;SRSF3,3282.5,6.675878466932395e-06,8.700250472237277e-06
29,PABPC1;PSIP1,1463.0,7.697151164922114e-19,1.5249073062581547e-18
30,PABPC1;RPL5,271.0,2.476543677734775e-34,1.316970346997986e-33
31,PABPC1;RPL10,9742.5,2.936665077670785e-32,1.195881482199776e-31
32,PABPC1;EIF4A2,7531.5,1.0798912415464323e-12,1.755560898142424e-12
33,PABPC1;UBR5,3475.0,2.3434526582501748e-05,3.0029167228833896e-05
34,PABPC1;LSM14A,9684.5,2.26720376527406e-32,9.360737211289585e-32
35,PABPC1;DDX3X,107.5,9.773380248782566e-37,1.264165488701223e-35
36,PABPC1;PPP2R1A,9982.0,5.441370471900077e-35,3.35697452500287e-34
37,PABPC1;SRSF2,3705.5,0.0006843121100546869,0.0008283208294174613
38,PABPC1;SFPQ,857.5,4.6622762622769156e-26,1.246454787044078e-25
39,CUL3;KRAS,3450.0,4.085823065543018e-08,5.726140412452986e-08
40,CUL3;PALB2,10000.0,4.6911867412667827e-38,1.2882720512555702e-36
41,CUL3;BRD4,9834.5,6.734002702603412e-35,4.065454844694619e-34
42,CUL3;BRCA1,9458.0,6.665963979777197e-30,2.2985342634711452e-29
43,CUL3;DAXX,8396.0,2.1444325758677644e-19,4.353084322885473e-19
44,CUL3;ZBTB16,9191.5,1.28468882696592e-25,3.357495689801123e-25
45,CUL3;NF1,8956.0,4.4064667940616805e-29,1.4240573133494448e-28
46,CUL3;CASP8,4763.0,0.501519038937841,0.5197666834743833
47,CUL3;KEAP1,9502.5,3.5487629884638056e-32,1.4318783372185695e-31
48,CUL3;FBXW7,0.0,2.9835827716006157e-36,3.04667517376485e-35
49,CUL3;NFE2L2,3400.0,2.5917485343472236e-06,3.42264202254732e-06
50,CUL3;SUFU,4796.5,0.6015355864699252,0.619465974143548
51,CUL3;RHOA,4494.0,0.10646121846877703,0.1160390443517812
52,CUL3;BCL6,8385.5,3.57135058643823e-18,6.901689783607622e-18
53,CUL3;SPOP,7622.0,2.8710138119690765e-14,4.9166226297071964e-14
54,CUL3;CTNNB1,5063.0,0.8424375259285297,0.8529500758833951
55,CUL3;LZTR1,9946.0,3.312358073467445e-36,3.2606024785695163e-35
56,CUL3;MAF,8958.5,3.1978680939516787e-24,7.844518388965295e-24
57,FANCA;MSH2,55.0,9.645342451313454e-38,2.1793590222271537e-36
58,FANCA;MSH6,22.0,9.573728897082502e-36,7.709371164492752e-35
59,FANCA;BRIP1,5100.0,0.1583356251099668,0.17005360458561414
60,FANCA;BARD1,4139.5,0.0010983918881873308,0.001317922599427102
61,FANCA;PALB2,898.0,1.3503629576254978e-27,3.9688219747994186e-27
62,FANCA;ATM,935.0,2.8505256728437815e-25,7.338733162537716e-25
63,FANCA;FANCD2,4900.0,0.1583356251099668,0.17005360458561414
64,FANCA;FANCC,9325.5,3.2200611347260134e-29,1.0488702783733456e-28
65,FANCA;WRN,76.0,3.933522679882531e-36,3.6954410439949045e-35
66,FANCA;ERCC4,1771.5,1.5593806281713287e-18,3.049847795419089e-18
67,FANCA;FANCF,2222.5,8.129101583422918e-17,1.5062747051636585e-16
68,FANCA;HSP90AA1,147.5,1.285731479048569e-33,6.16391411844681e-33
69,FANCA;ATR,4800.0,0.5735310604268052,0.5918787490047296
70,FANCA;SMARCA4,920.0,2.6491689533941983e-25,6.836770961651051e-25
71,FANCA;RFWD3,7446.0,9.844041198969927e-14,1.6540583815652323e-13
72,FANCA;HSP90AB1,100.5,4.716110337698111e-34,2.4167244840548693e-33
73,FANCA;FANCG,6300.0,5.346544220248148e-05,6.768497470314145e-05
74,FANCA;BRCA2,1950.0,9.313931762980703e-21,1.9815695109559662e-20
75,FANCA;CHEK2,4350.0,0.0645808773236978,0.07143784302177271
76,FANCA;RAD51B,34.0,5.2335590563502945e-37,7.941634025817144e-36
77,FANCA;NOTCH1,2222.0,1.0677180512593834e-12,1.7368256878778851e-12
78,FANCA;CTNNB1,45.5,1.3673137191783922e-34,7.58752846238372e-34
79,FANCA;AKT1,3893.0,0.004239184430657534,0.004967359436798927
80,FANCA;CDK12,4203.0,0.01868524330670028,0.02123052788189688
81,FANCA;BRCA1,1847.0,1.0454811981437901e-20,2.2172482439841567e-20
82,TRAF7;NF2,1180.0,7.322081901066389e-26,1.9401162088179372e-25
83,MDM4;CCND1,8202.5,8.698092557412872e-17,1.6094777347942617e-16
84,MDM4;CDK4,10000.0,1.7659075837198633e-36,2.046847426584387e-35
85,MDM4;MDM2,3672.0,0.00022748744558058083,0.0002820549365788401
86,MDM4;YWHAE,1082.5,5.046951514949561e-27,1.427703400029313e-26
87,MDM4;DAXX,9982.5,1.0679328311383564e-36,1.3616143597014044e-35
88,MDM4;RB1,1995.0,3.3166687981492584e-17,6.216577323797438e-17
89,MDM4;TP53,2584.0,7.272060018319646e-12,1.1456864194793088e-11
90,MDM4;ATM,1832.0,1.4093956455533676e-18,2.758521082579782e-18
91,MDM4;PPM1D,1012.0,1.4896957848569855e-25,3.8800199065706016e-25
92,MDM4;PTEN,2456.0,4.285984072859764e-14,7.293118751243736e-14
93,MDM4;CHEK2,8288.5,1.2356036855984077e-18,2.4299147030405704e-18
94,MDM4;IDH1,9934.0,2.7469811266927303e-34,1.4464192658249333e-33
95,MDM4;CDKN1A,6778.0,2.9087588944435037e-06,3.834663682852034e-06
96,MDM4;BRCA1,5810.0,0.027607639650073547,0.031058594606332743
