,Gene,U,pval,adj_pvals
0,XPC,1755.0,1.843080884376064e-15,2.9239854631830794e-15
1,PABPC1,1406.5,1.2631172166230498e-18,2.2302739138699873e-18
2,CUL3,9592.0,2.839662011574842e-29,9.435727314051837e-29
3,FANCA,441.0,4.7432164200359254e-29,1.5516568443838455e-28
4,MDM4,4015.5,0.012034621666227489,0.01340002729062797
5,BCL10,9953.0,6.584388362112425e-34,4.874757699669199e-33
6,CDKN2C,450.0,7.896683962735757e-29,2.543817276545412e-28
7,SMAD3,445.5,9.053612825616723e-29,2.8726500845189907e-28
8,KAT7,7898.0,1.1169481842046659e-16,1.8340549950753657e-16
9,MEN1,9780.5,1.4227211814951925e-31,5.829012996028847e-31
10,FAS,233.0,1.7095354857990572e-31,6.870704523878116e-31
11,TRIM24,7947.5,4.537283827115975e-13,6.765843728066931e-13
12,CHD4,2965.5,6.457201910726148e-07,8.232444732104031e-07
13,MAF,159.0,1.4714190891294636e-32,6.899320617918151e-32
14,TCF3,6054.0,0.009720123478935475,0.010851566423573466
15,CHEK2,4301.5,0.08644035686721116,0.09401502731433792
16,CBFB,668.0,2.4513267033971268e-26,6.673934637636048e-26
17,PBRM1,689.0,4.979648685901041e-26,1.3133823409063997e-25
18,TPM4,2229.0,1.8476737312421857e-12,2.7073552589729245e-12
19,TNC,3378.5,6.091775673011768e-05,7.365986630403915e-05
20,KDM6A,0.0,2.1513532383887177e-34,2.45903532502235e-33
21,SDHA,6259.0,0.0011908826977065122,0.0013768561600880772
22,SMARCA4,9991.5,3.208663833748186e-34,2.7443532706058392e-33
23,DDX6,6324.5,0.001151275332172045,0.0013347203026829752
24,ZMYM3,8438.0,6.843784017752102e-20,1.2779101130492864e-19
25,CREBBP,2696.5,1.8086774292010885e-08,2.3851933597589357e-08
26,PMS2,7459.5,1.778525500241288e-09,2.397884220772599e-09
27,CDKN1B,6647.0,5.730062093064191e-05,6.948523572623817e-05
28,FNBP1,9870.0,7.469955298547959e-38,3.1523211359872385e-35
29,PPM1D,258.5,2.534791311734236e-31,9.813595720659153e-31
30,CXCR4,790.5,7.660301185935477e-25,1.9015571179204535e-24
31,POU5F1,6668.0,4.437177000610469e-05,5.475113141104145e-05
32,MAML2,396.5,4.400061171421028e-30,1.573581198592944e-29
