,Gene,U,pval,adj_pvals
0,XPC,35.0,7.30670741953597e-34,5.054804149252753e-33
1,PABPC1,3697.0,0.0014600244424393754,0.0016834161604082417
2,CUL3,9555.0,9.124379906058799e-29,2.421690767520008e-28
3,FANCA,109.0,6.540088192304534e-33,3.209206066456411e-32
4,MDM4,1982.0,1.6692319511214315e-13,2.5430176295062966e-13
5,BCL10,9965.0,7.30670741953597e-34,5.054804149252753e-33
6,CDKN2C,624.0,1.120970005658428e-26,2.6725951547336536e-26
7,SMAD3,1410.0,1.778044869725315e-18,3.1793853178986564e-18
8,KAT7,2496.0,9.533896536888833e-10,1.314805339401009e-09
9,MEN1,10000.0,2.562143669163401e-34,3.148003535691194e-33
10,FAS,1792.0,4.6081452084925734e-15,7.366050295393432e-15
11,TRIM24,8363.0,2.1058743089277928e-16,3.540553618994138e-16
12,CHD4,7907.0,1.2322276886173622e-12,1.8245617003386907e-12
13,MAF,289.0,1.180473361334463e-30,3.8027462479629266e-30
14,TCF3,7890.0,1.662964073314769e-12,2.436704301870946e-12
15,CHEK2,1650.0,2.7427541649655037e-16,4.574870583460247e-16
16,CBFB,1328.0,2.94095236216174e-19,5.372648904035732e-19
17,PBRM1,266.0,6.142957618256329e-31,2.0738624919233366e-30
18,TPM4,4081.0,0.024816147462019777,0.02741469693448258
19,TNC,3519.5,0.00029742746918117363,0.00034865108887348686
20,KDM6A,289.0,1.180473361334463e-30,3.8027462479629266e-30
21,SDHA,9972.0,5.928577658624269e-34,4.4508747217477004e-33
22,SMARCA4,9999.0,2.640284031487027e-34,3.148003535691194e-33
23,DDX6,6843.0,6.733471755987733e-06,8.382079885034877e-06
24,ZMYM3,9656.0,5.557724827935764e-30,1.6633757995665903e-29
25,CREBBP,8011.0,1.897553916699776e-13,2.8804595426162064e-13
26,PMS2,7231.0,5.0375792790386104e-08,6.602044893646875e-08
27,CDKN1B,8114.0,2.7946732627616583e-14,4.4005676003187303e-14
28,FNBP1,9997.0,2.8035791846656575e-34,3.148003535691194e-33
29,PPM1D,75.0,2.3987946470332283e-33,1.2813814443645854e-32
30,CXCR4,2127.0,2.240468928849899e-12,3.249064907129407e-12
31,POU5F1,6986.0,1.2262477598709158e-06,1.5401087936474003e-06
32,MAML2,939.0,3.3607503593385204e-23,6.95214044921988e-23
33,SDHB,4859.0,0.7313756854272451,0.7383744958141086
34,CREB3L2,131.0,1.2469523584179836e-32,5.71971625274336e-32
35,MLH1,9608.0,2.117100730203922e-29,5.839323582653954e-29
36,STAG2,289.0,1.180473361334463e-30,3.8027462479629266e-30
37,JAK1,9496.0,4.54978144747587e-28,1.1779188778127713e-27
38,LYN,867.0,5.67814124416581e-24,1.198087802518986e-23
39,PPP2R1A,5672.0,0.10085230378791062,0.10912736461153405
40,GMPS,4537.0,0.25844784187809067,0.27198251688916275
41,NACA,4979.0,0.9600510891867798,0.9600510891867798
42,RUNX1,2.0,2.7207913829411556e-34,3.148003535691194e-33
43,BRD3,1995.0,2.117474601694228e-13,3.1913367211248724e-13
44,SH3GL1,9151.0,1.2032926431971412e-24,2.5907627317816e-24
45,SYK,764.0,4.229960178147959e-25,9.444672990362109e-25
46,BRIP1,8892.0,1.935284520881281e-21,3.746284714733489e-21
47,CTNNA1,9124.0,7.103348243692055e-24,1.4913497307651977e-23
48,HIP1,31.0,6.484371869888858e-34,4.717939532919135e-33
49,SDC4,8731.0,7.862532744976547e-20,1.4552582536754835e-19
50,POLR2A,9689.0,2.1985018973115024e-30,6.872354079003363e-30
51,CSF1R,7337.0,1.1365648982759602e-08,1.522636149436366e-08
52,CALR,154.0,2.4407473156855126e-32,1.0299953672192862e-31
53,GPHN,2291.0,3.4870656964754205e-11,4.938059476216871e-11
54,IKZF1,4070.0,0.023139111169186575,0.02569659187735983
55,MSN,4373.0,0.12582299840140035,0.13579873484754718
56,SETD1B,1889.0,2.9576225181853684e-14,4.639839043398608e-14
57,BCL6,5258.0,0.5292360397745484,0.5420815747205325
58,ATIC,3325.0,4.286757058890993e-05,5.198308847275859e-05
59,SRSF2,9997.0,2.8037369279891326e-34,3.148003535691194e-33
60,RAP1GDS1,8268.5,1.405179013812544e-15,2.2983935807321454e-15
61,NSD3,266.0,6.142957618256329e-31,2.0738624919233366e-30
62,TPM3,733.0,1.9122436256408045e-25,4.385689184893584e-25
63,NCOA1,6852.0,6.07005095470709e-06,7.578584328066248e-06
64,STK11,7457.0,1.9467993746387398e-09,2.676056469373121e-09
65,LATS1,249.0,3.7829163900019047e-31,1.364436509898123e-30
66,XPO1,9494.0,4.802721648013732e-28,1.2358222777206066e-27
67,FOXP1,961.0,5.608029418606492e-23,1.1269468641199713e-22
68,PREX2,2266.0,2.3988262771277783e-11,3.408433296120951e-11
69,MET,9994.0,3.0679470531105663e-34,3.148003535691194e-33
70,TRIM33,1743.0,1.7640899713777574e-15,2.8522834019977532e-15
71,SMAD2,4508.0,0.2297800480846246,0.24302551451556786
72,RPL5,9918.0,2.9506443116405802e-33,1.5564648743904062e-32
73,MAP2K2,1664.0,3.641541617548506e-16,6.026394363158704e-16
74,NIN,799.0,1.0295574791262635e-24,2.2280679804681188e-24
75,MLLT3,9884.0,8.03330830835044e-33,3.852336484231689e-32
76,HSP90AB1,10000.0,2.562143669163401e-34,3.148003535691194e-33
77,AFDN,9825.0,4.494105226172099e-32,1.8062022908996436e-31
78,ELL,3751.0,0.002284066505744882,0.002612130258602548
79,CASP3,45.0,9.844097774713204e-34,6.200312329744734e-33
80,MYD88,2881.0,2.2630595600568353e-07,2.8939731343757106e-07
81,PTPN11,10000.0,2.562143669163401e-34,3.148003535691194e-33
82,GNAQ,9743.0,4.753375636636279e-31,1.6442004251315654e-30
83,ATP1A1,9911.0,1.3997369012737815e-33,8.091629758048435e-33
84,CAMTA1,8785.5,2.2823991568578444e-20,4.299876983008974e-20
85,PRDM1,2.0,2.7207913829411556e-34,3.148003535691194e-33
86,DCTN1,2073.0,8.641352892251233e-13,1.2885692298692653e-12
87,DGCR8,9340.0,2.8830640744488393e-26,6.796944354287208e-26
88,CDK12,0.0,2.561999346290125e-34,3.148003535691194e-33
89,SUFU,321.0,2.9138983962592144e-30,8.910616834937598e-30
90,JUN,9996.0,2.8891939979927045e-34,3.148003535691194e-33
91,MECOM,9450.0,1.5696967852611716e-27,3.919597889823754e-27
92,VHL,4862.0,0.7368965269169423,0.7421726357015505
93,KLF6,6021.0,0.0008716324607636151,0.001013302750529602
94,FEN1,1006.0,1.7103363227499627e-22,3.4045373971720956e-22
