,Edge,U,pval,adj_pvals
0,MLLT1;TCEA1,4163.5,0.040804430649085476,0.04478535071241089
1,MLLT1;CDC73,156.5,2.514157563532072e-32,8.834382370597583e-32
2,MLLT1;BCOR,3994.0,0.013986923605169527,0.01573528905581572
3,MLLT1;MLLT6,10000.0,2.0738516398128658e-34,1.955775018087143e-33
4,MLLT1;AFDN,10000.0,2.438840763603497e-34,1.955775018087143e-33
5,MLLT1;AFF1,9746.0,3.680144444235599e-31,1.118475272267682e-30
6,MLLT1;KMT2A,5285.5,0.48597610512008016,0.4999532939841533
7,MLLT1;MLLT10,9838.0,2.886068229670405e-32,9.990236179628326e-32
8,MLLT1;AFF4,54.0,1.0980035207747721e-33,5.5902004068642596e-33
9,MUTYH;MLH1,1134.5,9.107545928532661e-22,1.6827849761990812e-21
10,MUTYH;MSH2,1350.5,1.5767339810058108e-19,2.7121379821246685e-19
11,MUTYH;MSH6,4425.0,0.14787225829970468,0.15686828922288062
12,MUTYH;PMS2,3682.0,0.0009460446917267837,0.0011136981813998845
13,SS18;ARID1A,9655.0,1.4838157623044144e-30,4.241645468062824e-30
14,SS18;SMARCE1,9132.0,1.622104348295586e-26,3.614753300115563e-26
15,SS18;ARID2,127.5,2.8998822174803155e-34,2.0227264483721936e-33
16,SS18;SMARCB1,295.5,3.5959328856247303e-31,1.0952677675647377e-30
17,SS18;SMARCA4,0.0,1.7424123883069338e-34,1.955775018087143e-33
18,SS18;SMARCD1,560.5,1.2846858136996159e-28,3.17192338072737e-28
19,SS18;PBRM1,2815.0,1.9207694626148097e-08,2.5567494278126523e-08
20,SS18;ARID1B,3.0,4.953828794392918e-36,1.72764779204453e-33
21,PRKAR1A;PRKACA,4252.0,0.06673771943471297,0.07222584841848301
22,PRKAR1A;GNAS,77.0,1.9546487741409837e-33,8.980843442447774e-33
23,NONO;FUS,196.0,1.1898412068320804e-32,4.4860229284614925e-32
24,NONO;SFPQ,9426.0,1.4068079588725088e-27,3.3150288895728885e-27
25,NONO;SMARCA4,5460.0,0.25434140061649413,0.26677161944361605
26,NONO;HNRNPA2B1,8897.5,1.1531787115817945e-21,2.116689871916583e-21
27,ARHGAP5;SRC,9122.0,6.491535896445832e-24,1.2899846973706462e-23
28,ARHGAP5;RHOA,9975.0,5.18347598254532e-34,2.975699175164906e-33
29,ARHGAP5;ARHGAP35,1796.0,1.4987049942566335e-15,2.3178419811396936e-15
30,PTEN;TSC2,420.0,1.483235151082459e-29,3.9262106940418036e-29
31,PTEN;CCND1,4933.5,0.8707435510416682,0.8763977299445362
32,PTEN;PLCG1,196.0,3.3338419284192397e-32,1.1454949483115366e-31
33,PTEN;CDK4,5352.5,0.388057227645897,0.4027826135163886
34,PTEN;MDM2,2.0,1.191487785975397e-34,1.955775018087143e-33
35,PTEN;PDGFRB,10000.0,1.7427098871631654e-34,1.955775018087143e-33
36,PTEN;PIK3CA,10000.0,1.4014964342422809e-34,1.955775018087143e-33
37,PTEN;TP53,10000.0,2.0105511922575477e-34,1.955775018087143e-33
38,PTEN;ERBB2,9846.0,1.769590545288772e-32,6.44537548479853e-32
39,PTEN;ATM,888.0,4.957988248833513e-24,9.894697578144134e-24
40,PTEN;STK11,850.0,2.731936945116644e-24,5.519029325758435e-24
41,PTEN;FOXO3,67.5,5.58963676557111e-34,3.144170680633749e-33
42,PTEN;SMAD4,9974.5,1.5689001091772516e-34,1.955775018087143e-33
43,PTEN;NF1,10000.0,2.2738173937478916e-34,1.955775018087143e-33
44,PTEN;MTOR,1313.0,1.0999603192281015e-19,1.8990651551029722e-19
45,PTEN;NRAS,10000.0,2.4878733750004768e-34,1.955775018087143e-33
46,PTEN;CTNNB1,8341.0,1.3236775238320994e-16,2.103109505405215e-16
47,PTEN;PIK3R1,10000.0,2.369925615564133e-34,1.955775018087143e-33
48,PTEN;AKT1,5085.0,0.835291119785611,0.8413221025999474
49,PTEN;SPOP,5964.0,0.018070555057489716,0.02023148018073688
50,PTEN;FBXW7,317.5,9.702509005142228e-31,2.8256785098483108e-30
51,PTEN;PIK3CB,9967.0,6.2461623666499675e-34,3.444030237737828e-33
52,PTEN;IKBKB,9521.0,1.2239443839596396e-28,3.027309247559747e-28
53,PTEN;TRIM27,9615.5,1.6960837601137688e-29,4.4642204629409575e-29
54,PTEN;MYC,9925.5,2.0111013618291864e-33,9.168256208338938e-33
55,RNF213;MYH9,2962.5,2.9508388567557085e-07,3.829228097836478e-07
56,FUS;DDX5,9500.0,1.7686186619805695e-28,4.3437025237022795e-28
57,FUS;SFPQ,9691.5,1.0126391357522578e-30,2.9247030939428564e-30
58,FUS;CREB3L2,9947.0,1.1972160634483075e-33,5.962943562495346e-33
59,FUS;PABPC1,1444.5,2.7177626171522205e-18,4.5241991061185534e-18
60,FUS;SMARCA4,8.5,1.4601888176406503e-34,1.955775018087143e-33
61,FUS;SRSF2,9376.5,1.0940228967639229e-26,2.4815641316840204e-26
62,FUS;EWSR1,7917.0,3.768445490446299e-13,5.59253346720488e-13
63,FUS;DROSHA,1305.5,6.219533023921123e-20,1.0818265047842851e-19
64,FUS;HNRNPA2B1,9082.0,1.203946288484325e-23,2.372182305700047e-23
65,MAF;KEAP1,716.5,1.1658345514676901e-25,2.490565389429445e-25
66,MAF;NFE2L2,9610.0,1.6690288759859295e-29,4.4013143327039163e-29
67,MAF;JUN,7479.5,1.1173455412880836e-09,1.5311365718043975e-09
68,MAF;CREB1,9995.5,2.2674276295064357e-34,1.955775018087143e-33
69,SND1;STAT6,9367.0,7.712523517519014e-27,1.7522752942897433e-26
70,EP300;DDX5,5104.0,0.7987301386578383,0.807997493421091
71,EP300;CCND1,4807.5,0.6333308415543097,0.6453590386912068
72,EP300;VHL,0.0,1.7865779654664055e-34,1.955775018087143e-33
73,EP300;MDM2,446.5,2.5999059230404873e-29,6.791889068617003e-29
74,EP300;SMAD2,10000.0,1.1774081365423939e-34,1.955775018087143e-33
75,EP300;KMT2C,1206.0,7.998138447837923e-21,1.43780968231107e-20
76,EP300;CREBBP,9479.5,1.8035877511187066e-28,4.414043706685255e-28
77,EP300;TCF3,6635.0,6.440730100105493e-05,7.881419727760668e-05
78,EP300;BRD4,1294.5,6.245445743176958e-20,1.0849809230052125e-19
79,EP300;XPA,26.0,4.284433697600955e-34,2.5541816274159537e-33
80,EP300;TCEA1,1651.0,2.369296248105766e-16,3.7388781290809313e-16
81,EP300;SRC,9999.0,2.301029556569943e-34,1.955775018087143e-33
82,EP300;STAT3,6840.0,4.510540386670144e-06,5.735828477123839e-06
83,EP300;NFE2L2,7705.0,3.315920916182341e-11,4.724933276889035e-11
84,EP300;TP53,2192.5,5.15617716321165e-12,7.461480438464991e-12
85,EP300;EZH2,0.0,1.619334860838669e-34,1.955775018087143e-33
86,EP300;JUN,9989.5,3.1032013041775897e-34,2.0934027574181126e-33
87,EP300;SMAD4,3471.0,0.00016360835682931586,0.0001974339600146156
88,EP300;FEN1,2575.0,3.075634960892163e-09,4.177712532078449e-09
89,EP300;HIF1A,6125.0,0.00547627614356042,0.006236249159401458
90,EP300;FOXO4,2727.5,2.5190173190636545e-08,3.340331901229846e-08
91,EP300;CREB1,637.5,5.748592396384137e-27,1.316795795230849e-26
92,EP300;SMAD3,4775.0,0.5813376424377198,0.5945498615840317
93,EP300;NCOA1,75.5,1.4748768129164059e-33,7.119215065807565e-33
94,EP300;ATM,2995.5,7.435228233667744e-07,9.577233043367039e-07
95,EP300;CHD4,2216.5,5.911808753439305e-12,8.537239348910797e-12
96,EP300;TCF7L2,167.5,9.578255554365723e-33,3.670787499544007e-32
97,EP300;CREB3L2,8049.0,8.19781545139845e-14,1.230995969289649e-13
98,EP300;MYC,9945.0,1.080323337779241e-33,5.5203335392016154e-33
99,EP300;LEF1,6634.0,5.6974955229453175e-05,7.002648682386536e-05
100,EP300;SMARCA4,375.0,3.523814297406446e-30,9.811818253257469e-30
101,EP300;ARID1A,155.5,1.1233844890768648e-32,4.2700854557553853e-32
102,EP300;CDKN1A,8363.5,1.971098768852706e-16,3.1140235362961777e-16
103,EP300;BRCA1,1307.0,1.0213339438832595e-19,1.765502914147642e-19
