,Gene,U,pval,adj_pvals
0,DICER1,439.5,6.650895028089386e-29,1.6822852129873154e-28
1,BIRC6,8939.5,5.203728626809556e-22,9.47133675990734e-22
2,SDHC,8480.5,4.595978838794733e-18,7.457626040308434e-18
3,TFG,1667.0,2.511724126061203e-16,3.909652033326035e-16
4,MAP2K2,4584.0,0.3096265172282765,0.31889677223511115
5,TFRC,4.0,3.536378810801136e-35,1.0137619257629923e-33
6,CREB1,1872.0,2.0132577961915122e-14,2.9596610337174366e-14
7,FAS,9947.0,1.0455393730906156e-33,5.065711892157349e-33
8,POLG,5800.0,0.0008122948107926615,0.000913168022590443
9,SETD2,3004.0,3.7051074723218243e-07,4.5519891802810984e-07
10,NAB2,1262.5,4.7166741133269746e-20,7.992787660022064e-20
11,HIF1A,9755.0,3.2577278092821636e-31,1.0005878271366645e-30
12,MAP2K4,7552.0,3.7622888567520566e-10,4.939799109628654e-10
13,PTPN6,34.0,6.766743257805152e-34,3.581168739515342e-33
14,CNOT3,29.0,1.0927787608416565e-35,4.176843263661442e-34
15,LSM14A,85.0,6.568630343557008e-37,5.649022095459027e-35
16,AKAP9,2661.0,2.497261794544667e-09,3.1816965086050573e-09
17,MSN,0.0,1.159400030408793e-34,1.8002626203929646e-33
18,BCR,5841.0,0.022320480974261446,0.02406973496910952
19,TRRAP,9999.0,1.8544588139034828e-34,1.8002626203929646e-33
20,PPP6C,341.5,1.388693659558677e-31,4.423246471186897e-31
21,ACVR1,9989.0,2.0200520743726394e-34,1.8002626203929646e-33
22,LARP4B,6392.0,0.00021526690501688412,0.0002476649342000272
23,PRCC,3337.0,4.166033667017482e-05,4.8911794588874197e-05
24,ASXL1,7833.5,4.33003143224306e-12,6.079717602822908e-12
25,SMARCA4,277.5,7.686350050048235e-31,2.240766455268299e-30
26,ERC1,253.0,4.294734893786625e-36,2.1105554335179983e-34
27,DCTN1,10000.0,1.4498591858070278e-34,1.8002626203929646e-33
28,PIK3R1,9998.0,2.6941196643946963e-34,1.8002626203929646e-33
29,EED,6402.5,0.000597256979963371,0.0006780739310475234
30,JAZF1,4362.0,0.10229253143672239,0.10761049178664372
31,SGK1,1895.5,2.1211573783805673e-14,3.091856517639471e-14
32,MLLT10,9482.5,5.806150880719448e-28,1.3870249326163125e-27
33,BRD4,2706.0,1.728067479959912e-08,2.185497107008124e-08
34,RANBP2,94.0,2.3098641555983555e-33,9.809793450936225e-33
35,PML,6824.5,6.34774179939355e-06,7.608443132374151e-06
36,AKT2,200.0,8.32788359827444e-32,2.702633922458875e-31
37,LZTR1,644.0,1.7496703069893903e-26,3.8582473436176304e-26
38,YWHAE,738.0,1.826821256518012e-25,3.7630330074383005e-25
39,DNAJB1,10000.0,2.051763687619515e-34,1.8002626203929646e-33
40,TPM4,10000.0,1.4645506142198478e-35,5.038054112916276e-34
41,CREBBP,8348.0,2.804614178017541e-16,4.3458886362073605e-16
42,PMS2,1108.0,1.3964186867074193e-21,2.450857286874246e-21
43,DDR2,9832.0,2.879099649769033e-35,9.003729813823157e-34
44,FANCA,9859.5,6.856056303051011e-33,2.6205370758328306e-32
45,PDE4DIP,9209.0,7.93068811959189e-27,1.7831089628363465e-26
46,GPHN,817.0,1.1964958366210577e-30,3.3146859441603285e-30
47,USP8,1619.0,1.1567261021009447e-19,1.9410428249889024e-19
48,MYH9,71.5,1.561339957314201e-33,6.97533695215695e-33
49,MYC,9978.0,4.934870652497381e-34,2.8293258407651652e-33
50,NBN,6634.5,5.841969978573064e-05,6.835502287854198e-05
51,CCND3,1438.0,2.8767153084109848e-18,4.712333648063709e-18
52,TRIP11,1600.0,8.796396898147209e-24,1.7192957573651363e-23
53,CNTRL,3256.5,1.1632789035936885e-06,1.4190352582844994e-06
54,PIK3CA,9947.0,1.195102600663996e-33,5.6317163647728036e-33
55,DDX5,6419.0,0.0004892044202552388,0.0005572394720788151
56,JAK2,9999.0,2.5281916385258535e-34,1.8002626203929646e-33
57,PICALM,2406.0,1.807542993234474e-10,2.410057324312632e-10
58,DDX6,10000.0,1.5983246226266761e-34,1.8002626203929646e-33
59,COL1A1,2806.0,2.779696984310707e-08,3.489838549645559e-08
60,MAPK1,2513.0,1.2259639608238033e-09,1.579519110574488e-09
61,VHL,11.0,1.8132684307278675e-34,1.8002626203929646e-33
62,SRC,787.0,7.49921184136296e-25,1.5174875726052107e-24
63,NFE2L2,8147.0,1.4420867799128247e-14,2.1382666046983264e-14
64,MITF,6896.5,3.362595543711996e-06,4.073003052946925e-06
65,SMAD3,9133.0,5.55365753382522e-24,1.104311093431142e-23
66,ATR,7158.5,7.911581502718066e-08,9.860811728025416e-08
67,EPAS1,7257.0,2.640792439485191e-08,3.327591938398922e-08
68,TPM3,578.5,2.6658402183137638e-27,6.124946411739944e-27
69,RPL10,9933.0,1.4084845233288778e-33,6.375245737172815e-33
70,STAG1,2583.5,7.24449476269338e-11,9.889310310978266e-11
71,KMT2D,2544.0,1.0436520291465735e-09,1.3496853309263958e-09
72,MED12,0.0,1.361396096143271e-34,1.8002626203929646e-33
73,BCLAF1,9916.5,1.5270136515414723e-39,2.45285779255072e-37
74,ASPSCR1,5589.0,0.14112420037100182,0.14755843443046998
75,CDK12,2586.0,1.2860863419835244e-10,1.728178522040361e-10
76,EWSR1,300.5,1.2044643692443053e-30,3.3146859441603285e-30
77,NDRG1,3530.0,0.00010571520527239821,0.0001228582115327871
78,PSIP1,1609.5,3.892366066067168e-17,6.142082232693146e-17
79,TRIM33,5926.5,0.02079473160315845,0.022565891708159327
80,MTOR,145.0,1.8216431437453634e-32,6.025435013926972e-32
81,SKI,1841.5,4.468248319066688e-15,6.7415676392935996e-15
82,ARHGAP35,9932.5,1.72196951996736e-33,7.404468935859648e-33
83,POT1,3651.5,0.00018187118284320814,0.0002099452580471933
84,IL6ST,322.0,6.633004943481917e-31,1.9670290522049822e-30
85,IDH2,225.5,7.792534167622952e-32,2.5529826225355194e-31
86,SMARCE1,1888.5,2.0327524102612718e-14,2.9756035282122444e-14
87,CRTC3,955.5,9.362422559268545e-28,2.2211540416471582e-27
88,TSC1,9052.5,6.1831875190980005e-24,1.2224232796377655e-23
89,BCOR,518.5,5.408647780561892e-28,1.3011012842750284e-27
90,SDHA,2490.0,3.2319801818604854e-10,4.2597746458237816e-10
91,EP300,705.0,8.834324468282372e-26,1.86442185097493e-25
92,HNRNPA2B1,6368.5,0.0007804458971432964,0.0008802406184173573
93,CDKN2C,8130.5,2.0086377686086956e-14,2.9596610337174366e-14
94,CLIP1,773.5,7.092542824709071e-26,1.506070822036988e-25
95,PATZ1,7419.0,2.2204929162386177e-09,2.8501849372615092e-09
96,FUBP1,2848.0,1.6219565087958504e-10,2.171023498154757e-10
97,ACVR2A,4806.0,0.633047917145837,0.6423849070742417
98,HLA-A,845.0,5.886550683457505e-25,1.1982091332008176e-24
99,CCNC,0.0,1.8870770489043004e-34,1.8002626203929646e-33
100,TCF7L2,9864.0,9.48495955015259e-33,3.457732591948983e-32
101,GNA11,0.0,2.1012815297405196e-34,1.8002626203929646e-33
102,LATS2,9970.5,5.271092359431792e-34,2.9246060832976397e-33
103,CANT1,10000.0,7.253709754774177e-35,1.559547597276448e-33
104,RPL5,9899.0,4.6556276259808905e-33,1.8408458659050878e-32
105,SMARCD1,3307.0,2.792891672964811e-05,3.312947363792741e-05
106,BCL10,5591.5,0.1285305566474301,0.13480033989852425
107,MAX,1096.5,1.1323769690448215e-21,1.9976291146226594e-21
108,RAC1,5702.0,0.06585096010762918,0.06970070854469058
109,FLNA,319.5,2.4301452234618513e-30,6.430538129775976e-30
110,TFE3,7688.5,4.701952497430779e-11,6.444110195682024e-11
111,NCOR2,3706.0,0.0014951823479388265,0.0016591700893256653
112,TFPT,10000.0,1.090388871232755e-34,1.8002626203929646e-33
113,MLH1,1248.0,1.4088092800403925e-20,2.4110964792731093e-20
114,ARHGAP5,9981.0,3.875464214061451e-34,2.2985511890295503e-33
115,LYN,421.0,3.181569090642122e-29,8.10710938652511e-29
116,TCF12,4095.5,0.0009323116942195911,0.0010446749928714636
117,KLF6,7342.0,2.0603654561654025e-11,2.8464486623329256e-11
118,KMT2C,1.0,1.6374523487045398e-34,1.8002626203929646e-33
119,PIM1,9999.5,1.301524096587949e-34,1.8002626203929646e-33
120,CCND1,2353.0,9.879746270217029e-11,1.3327971439037875e-10
121,MLLT1,7561.0,3.8946162989208797e-10,5.094098885280543e-10
122,MEN1,2247.0,1.5839780920056632e-11,2.1971309018143072e-11
123,CUL3,120.5,8.361162688257787e-33,3.126347787783347e-32
124,RB1,1716.0,9.739249289721929e-16,1.4890230025174858e-15
125,SMAD4,282.0,9.385823254400938e-31,2.7132127727007753e-30
126,FGFR1,10000.0,2.2258750710624796e-34,1.8002626203929646e-33
127,CDK4,9949.0,1.1397032511417891e-33,5.4452488665663255e-33
128,MSI2,5871.5,0.014204007154343352,0.015561077901573609
129,MSH6,4505.0,0.22541680254524865,0.23286300322992654
130,TCEA1,2474.0,6.549485635113164e-10,8.501973805580862e-10
131,STK11,2100.5,1.2404915385321416e-12,1.7488897100617077e-12
132,GMPS,2208.5,8.569069900310618e-13,1.213069977657141e-12
133,MDM2,446.5,9.194772061995494e-29,2.29203013719308e-28
134,NSD2,8602.0,8.486148981703038e-23,1.595210518964943e-22
135,CASP8,8115.0,2.6584304913538797e-14,3.8424373488476244e-14
136,UBR5,9846.0,2.673591297940346e-34,1.8002626203929646e-33
137,EIF3E,8943.5,2.194922435128096e-23,4.265837953017316e-23
138,BRD3,8024.0,5.171693542717519e-14,7.443776479894671e-14
139,PLCG1,551.5,1.3586809776766654e-27,3.201275728224472e-27
140,SF3B1,299.0,1.4048270346200356e-30,3.805200786687341e-30
141,DDB2,948.0,3.1800677193792297e-23,6.077462752591416e-23
142,SDHD,5183.0,0.6389683039232623,0.6464855780870654
143,PABPC1,1861.0,1.3810556875914564e-14,2.056637041261736e-14
144,ACVR1B,497.5,2.5154261686596047e-28,6.136926255453219e-28
145,CALR,892.0,7.55517006472997e-24,1.4851305727240627e-23
146,POLE,9705.0,1.1031636064003527e-30,3.1362667818324074e-30
147,PIK3CB,9714.5,1.0420576864280955e-30,2.9872320344272072e-30
148,PPM1D,748.0,1.065417616789518e-25,2.207853374551772e-25
149,CASP3,574.5,2.9606243809337565e-27,6.744733689014651e-27
150,ATRX,9873.0,1.012228799505418e-32,3.5897598662872556e-32
151,DGCR8,134.0,8.20504325397465e-33,3.101686680623384e-32
152,DROSHA,4116.0,0.02986020621102609,0.03190034452358067
153,BCL9L,3827.0,0.001110332864610159,0.0012401120306035542
154,QKI,5278.0,0.47626121607157945,0.4876007688351885
155,CHD4,7637.0,9.859075040718701e-11,1.3327971439037875e-10
156,NSD3,463.5,5.771381474085234e-33,2.2560854853242277e-32
157,NT5C2,1296.0,4.118544189794837e-22,7.536059581326723e-22
158,BMPR1A,3509.5,0.00016177080189156968,0.00018737089512020194
159,PCBP1,9711.0,1.1284473798837906e-30,3.181851628524787e-30
160,RALGDS,8.5,2.6331505376375574e-34,1.8002626203929646e-33
161,ARHGEF12,9988.5,3.4224676380056968e-34,2.1023729776320707e-33
162,XPA,714.0,1.0351551233544236e-25,2.171300990450742e-25
163,HSP90AB1,39.0,8.03491065594731e-34,4.064719508302757e-33
164,FOXO3,3.0,2.6027166948257875e-34,1.8002626203929646e-33
165,HIP1,6870.5,4.3801103401316616e-06,5.28687002457997e-06
166,CDC73,30.0,5.84863818592085e-34,3.143643024932457e-33
167,FEN1,2915.0,3.4853301404552266e-07,4.297324617622215e-07
168,NIN,1394.5,7.948600006256489e-21,1.367159201076116e-20
169,MDM4,41.5,4.910581819856972e-35,1.1261600973538655e-33
170,COL3A1,922.5,6.233731874187499e-30,1.6369494387179386e-29
171,CTNND1,8988.5,1.8684609174718083e-22,3.4371687465791557e-22
172,SPOP,6295.5,0.0015313669033269583,0.0016938592113970212
173,CASP9,8505.0,1.07688611187133e-17,1.723017778994128e-17
174,CREB3L2,8521.0,6.523066933525135e-18,1.0485677687535731e-17
175,MSH2,9994.0,2.721327216873086e-34,1.8002626203929646e-33
176,NRAS,9915.0,3.208053056174996e-33,1.2983179427343514e-32
