,Gene,U,pval,adj_pvals
0,XPC,2626.0,5.516080093861604e-09,7.079268915249094e-09
1,PABPC1,9214.0,7.305327628947515e-25,1.461065525789503e-24
2,CUL3,0.0,2.4912416548271964e-34,2.1974306192236327e-33
3,FANCA,9237.0,3.417678991444414e-25,6.905464218610764e-25
4,TRAF7,1144.0,7.88562656284869e-27,1.70710816800131e-26
5,FOXO4,1468.0,5.991674165362237e-18,9.36793500457429e-18
6,MDM4,1802.5,5.576215013534706e-15,8.107117030747874e-15
7,BCL10,461.0,1.3541036846198733e-28,3.398196507899555e-28
8,CDKN2C,6014.5,0.013158134262885928,0.01464492909485044
9,SMAD3,980.0,9.050534489324103e-23,1.686346272560307e-22
10,GOLPH3,8529.5,4.2738324225151736e-18,6.789878929318461e-18
11,KAT7,96.5,1.8442552366951502e-33,8.449262363463829e-33
12,MEN1,205.5,1.0685334473261642e-31,3.395178856826683e-31
13,FAS,8923.5,8.99560568248833e-22,1.6037414655657928e-21
14,TRIM24,97.0,4.4147407782405805e-33,1.7932039862131844e-32
15,CHD4,12.0,3.5094714429676803e-34,2.3122615803327423e-33
16,MAF,9014.0,9.073741365045305e-23,1.686346272560307e-22
17,TCF3,5482.5,0.23876041054672004,0.2495267951071822
18,FBXO11,8130.5,8.39010948961426e-15,1.2064609996014666e-14
19,CHEK2,6343.5,0.0010305270207243745,0.0011906969095759636
20,CBFB,9305.5,6.924976968184619e-26,1.413699961380694e-25
21,PBRM1,118.0,7.62566354745549e-33,2.88895330547833e-32
22,TPM4,7952.5,4.914061804388389e-13,6.746133626930402e-13
23,KDM6A,8186.0,6.947484719473158e-15,1.0063635953942737e-14
24,SDHA,260.5,5.050914342257991e-31,1.4851195901863048e-30
25,SMARCA4,53.5,1.240633777260782e-33,6.110121353009351e-33
26,DDX6,10000.0,2.5029245469970747e-34,2.1974306192236327e-33
27,CREBBP,1199.5,1.5817602401162284e-20,2.721456482994734e-20
28,PMS2,287.5,1.0128367229103905e-30,2.8917222378745932e-30
29,CDKN1B,0.0,2.5121110220188536e-34,2.1974306192236327e-33
30,FNBP1,4962.0,0.9266272745725227,0.931689323450139
31,PPM1D,990.0,7.22293935610183e-23,1.3616450269397708e-22
32,ZNF384,3320.0,3.7799051286101636e-05,4.54049579473294e-05
33,CXCR4,15.5,4.046618344043218e-34,2.530742265957187e-33
34,LMNA,2442.0,4.022080870469048e-10,5.250989591664643e-10
35,MAML2,630.0,8.799199242536602e-27,1.8944724052237273e-26
36,SDHB,2779.5,5.3573598892441846e-08,6.743769317451145e-08
37,CREB3L2,7173.0,1.0898023447715105e-07,1.354517740820111e-07
38,MLH1,10000.0,2.5099881574432074e-34,2.1974306192236327e-33
39,STAG2,8343.0,3.1440096190765905e-16,4.728014465328919e-16
40,JAK1,4267.5,0.07349264421688796,0.07933178581220235
41,LYN,2406.5,2.3040456850255575e-10,3.04628859026869e-10
42,PPP2R1A,26.0,5.499318104959955e-34,3.095330476220317e-33
43,GMPS,112.0,5.677571698521045e-33,2.236963249217292e-32
44,NACA,50.5,2.33274041071179e-34,2.1974306192236327e-33
45,BRD3,5615.5,0.1317698370946917,0.14069733283281444
46,GOLGA5,3828.5,0.003827474529379905,0.004345893269670555
47,SH3GL1,9893.5,5.4221030552964665e-33,2.1578874785725334e-32
48,RPN1,10000.0,2.2272598769007995e-34,2.1974306192236327e-33
49,CTNNA1,1948.5,6.166194395145594e-14,8.739138819019295e-14
50,HIP1,5609.0,0.13560604894428008,0.144012892948912
51,POLR2A,9934.0,1.8271940220661235e-33,8.449262363463829e-33
52,CSF1R,1260.5,6.079944822235792e-20,1.0193609616854903e-19
53,CALR,11.0,3.4876053810893413e-34,2.3122615803327423e-33
54,GPHN,1743.0,1.6246530583962208e-20,2.783101326122222e-20
55,MSN,4242.5,0.06421493602182593,0.06989139445469453
56,SETD1B,1384.0,5.835648488816395e-19,9.501014481791982e-19
57,BCL6,517.5,6.50671518390716e-28,1.5443649291924224e-27
58,SRSF2,9449.5,1.584828152369102e-27,3.609377410597839e-27
59,ATIC,4479.5,0.20376942362603445,0.2135243428421744
60,RAP1GDS1,9874.5,1.0097353713213408e-32,3.6166885118237114e-32
61,NSD3,645.5,1.464154496611456e-26,3.0849030570316244e-26
62,TPM3,8768.0,3.377673044768539e-20,5.71160162935109e-20
63,NCOA1,8332.0,3.5999684805114157e-16,5.372680232278401e-16
64,STK11,130.5,1.1946299296561347e-32,4.165346834376257e-32
65,LATS1,1501.5,8.407050345967364e-18,1.30924025150638e-17
66,XPO1,36.5,7.322798772978002e-34,3.852687404258732e-33
67,TRIM33,1890.5,2.6981915599568788e-14,3.851766212402211e-14
68,SMAD2,4256.5,0.06944712136876242,0.07537786727077794
69,RPL5,9991.0,3.2926651599677822e-34,2.3122615803327423e-33
70,MAP2K2,4803.0,0.6309165707360842,0.6390260382262652
71,NIN,5353.5,0.37703966215563767,0.38888384002440113
72,HSP90AB1,505.5,4.701841450129162e-28,1.1295887386285915e-27
73,AFDN,9998.0,2.687453777026763e-34,2.1974306192236327e-33
74,CASP3,111.0,6.873205253039273e-33,2.6812305640569046e-32
75,MYD88,5863.0,0.034771132030639765,0.038267670447128685
76,GNAQ,2849.0,1.3870883169419194e-07,1.7185937008651454e-07
77,PTPN11,9940.5,1.5015251619497421e-33,7.303714985286399e-33
78,ATP1A1,4763.5,0.5617554800568481,0.5719164318925016
79,CAMTA1,10000.0,7.657532300706719e-35,2.1974306192236327e-33
80,DCTN1,8998.0,1.47324190124102e-22,2.712417332191411e-22
81,DGCR8,36.5,5.747828968692995e-34,3.189640300936676e-33
82,CDK12,0.0,2.1984786655541953e-34,2.1974306192236327e-33
83,FLCN,2319.0,5.377144017787796e-11,7.157414672325648e-11
84,JUN,9620.5,1.4929559779615065e-29,4.0015282674614525e-29
85,VHL,0.0,2.3488805727439983e-34,2.1974306192236327e-33
86,RABEP1,374.5,7.458910849203068e-31,2.160890348960301e-30
87,KLF6,9544.5,9.737705997771285e-30,2.627846687069785e-29
88,FEN1,5331.5,0.41861714260184146,0.43064008925620245
89,MSH6,9609.0,2.0129510181190653e-29,5.358802034722377e-29
90,HOOK3,6585.5,8.176573215882254e-05,9.674383925097922e-05
91,ERCC3,593.0,4.3134747789093315e-27,9.494464038493165e-27
92,SGK1,5535.5,0.1905493151860187,0.2002038138221103
93,CASP8,669.5,3.604880675047433e-26,7.514936433696766e-26
94,TFG,9593.0,3.075989159436688e-29,8.079598192120367e-29
95,B2M,2822.5,1.036115208855728e-07,1.2918651654720152e-07
96,PER1,3470.0,0.00017224170500380716,0.00020257681125820901
97,BCL2L12,8807.0,1.135589257987285e-22,2.1005735570281236e-22
98,FANCG,8830.0,6.995511553935111e-21,1.2249918010001928e-20
99,PHF6,40.5,8.02062880135258e-34,4.158062825964364e-33
100,CIC,5450.0,0.13477935877987876,0.14352180367370873
101,KMT2A,212.0,1.268524239372687e-31,3.99838840250271e-31
