,Gene,U,pval,adj_pvals
0,CHD4,3580.0,0.0005235858058601791,0.0005983837781259189
1,SMC1A,1654.0,2.9744658998874794e-16,4.715282348208723e-16
2,ATP1A1,7786.0,9.629279333097203e-12,1.3410818180507845e-11
3,CSF1R,8136.0,1.8413796822718672e-14,2.7540635247892277e-14
4,CCNC,41.0,8.738263729916731e-34,4.2337503142131764e-33
5,JAK2,10000.0,2.562143669163401e-34,2.1146441176797666e-33
6,BCLAF1,9333.0,3.4611608872861225e-26,7.395275436188982e-26
7,ELK4,0.0,2.376891893190985e-34,2.1146441176797666e-33
8,DDR2,9946.0,1.2866619826841274e-33,5.98123948707216e-33
9,PCM1,62.0,1.6316727253927152e-33,7.19609509660377e-33
10,ATIC,10000.0,2.562143669163401e-34,2.1146441176797666e-33
11,XPC,6332.0,0.0011404397011462854,0.0012904975565602704
12,SPEN,9.0,3.3568758082015105e-34,2.124856842674394e-33
13,DDX3X,8992.0,1.7947264204696664e-22,3.2155515033414857e-22
14,EIF4A2,228.0,2.0735161918068323e-31,6.0448268642504265e-31
15,FUBP1,1902.0,3.7784925940486024e-14,5.602592467037583e-14
16,NCOA1,2246.0,1.721630893683434e-11,2.3880686589802474e-11
17,PIK3CA,9783.0,1.5117415068550996e-31,4.444778447505592e-31
18,NSD2,9960.0,8.48166306067233e-34,4.168131561244688e-33
19,RB1,2293.0,3.765269607847176e-11,5.1398918456326535e-11
20,PSIP1,2271.0,2.614648746001925e-11,3.583422982568375e-11
21,SRSF3,10.0,3.459069278772269e-34,2.124856842674394e-33
22,USP9X,866.0,5.538434499534957e-24,1.0411046272349865e-23
23,SFPQ,700.0,8.161901442467225e-26,1.6913819856679067e-25
24,IDH1,9523.0,2.186631231720176e-28,5.152062628162607e-28
25,CANT1,10000.0,2.562143669163401e-34,2.1146441176797666e-33
26,PIK3R1,10000.0,2.562143669163401e-34,2.1146441176797666e-33
27,KDM5A,6833.0,7.551864324214731e-06,9.051711942612777e-06
28,MALT1,625.0,1.15089341742546e-26,2.5217027744863583e-26
29,EED,7080.0,3.7539937383737226e-07,4.6285800931919736e-07
30,LATS2,9911.0,3.628394061180868e-33,1.3716127000507896e-32
31,FOXO3,0.0,2.562143669163401e-34,2.1146441176797666e-33
32,ARHGEF12,9683.0,2.603552064023899e-30,6.733999323490386e-30
33,DGCR8,83.0,3.0391547440970026e-33,1.1964708561879891e-32
34,LARP4B,6433.0,0.0004649884310517811,0.000533186734272709
35,CBLB,2.0,2.7207913829411556e-34,2.1146441176797666e-33
36,NOTCH1,1209.0,2.0126771322601292e-20,3.5324537423341044e-20
37,COL3A1,84.0,3.130131169145393e-33,1.1964708561879891e-32
38,TSC1,8328.0,4.2795904120971576e-16,6.722279003476813e-16
39,SUZ12,5220.0,0.5917347427049353,0.6004623937772795
40,AXIN1,10000.0,2.562143669163401e-34,2.1146441176797666e-33
41,NSD3,334.0,4.1989571941600174e-30,1.0779412498440642e-29
42,BRD4,6253.0,0.002210824710281327,0.0024772758968624638
43,CTCF,124.0,1.0158028716819519e-32,3.392584348141665e-32
44,AFDN,9916.0,3.130301658631367e-33,1.1964708561879891e-32
45,XPA,1634.0,1.981021898159054e-16,3.1696350370544867e-16
46,NFE2L2,9385.0,8.841139838764686e-27,1.9621626480871303e-26
47,NACA,0.0,2.562143669163401e-34,2.1146441176797666e-33
48,MSN,1.0,2.640284031487027e-34,2.1146441176797666e-33
49,RPL5,9961.0,8.232548687800576e-34,4.16470110088735e-33
50,MSH6,235.0,2.53438943659114e-31,7.265249718227934e-31
51,RPL22,9032.0,6.818869329140052e-23,1.2477080049064778e-22
52,TGFBR2,0.0,2.562143669163401e-34,2.1146441176797666e-33
53,AFF1,7256.0,3.566717339294765e-08,4.544262091545923e-08
54,DCTN1,9863.0,1.4861744528037037e-32,4.8230567147591893e-32
55,MEN1,4960.0,0.9231124657984326,0.9258037557861832
56,CDC73,49.0,1.1088823641360015e-33,5.225418263873761e-33
57,KEAP1,200.0,9.263651653132659e-32,2.7471518695496853e-31
58,YWHAE,375.0,1.3203949865031975e-29,3.2914193866456517e-29
59,PIM1,10000.0,2.561999346290125e-34,2.1146441176797666e-33
60,ERCC2,9758.0,3.096799722805142e-31,8.804124831776602e-31
61,SMARCA4,1005.0,1.6696263868354531e-22,3.0070757961853186e-22
62,RNF213,3001.0,1.044212407864295e-06,1.282889529661848e-06
63,TRRAP,55.0,1.3254780500722928e-33,6.079525989664916e-33
64,FANCD2,6209.0,0.003148697356628601,0.003505345924531517
65,WWTR1,8224.0,3.3731492780235403e-15,5.1117328266083606e-15
66,FOXO4,474.0,2.0151276605718374e-28,4.7807166568049105e-28
67,BCR,3881.0,0.006277358233351756,0.006965842684751625
68,MRTFA,3391.0,8.48784010541805e-05,9.965245721036892e-05
69,KDM6A,2852.0,1.544469684422618e-07,1.9249912008745675e-07
70,MYD88,9242.0,3.629066173161845e-25,7.2161778240906055e-25
71,HIP1,6018.0,0.012913417898559274,0.014283651952104147
72,TFG,983.0,9.81262305073903e-23,1.7860012325154637e-22
73,SH2B3,1806.0,6.04705660847164e-15,9.123629268922124e-15
74,ARID1B,0.0,2.562143669163401e-34,2.1146441176797666e-33
75,DDB2,4576.0,0.3007739102815823,0.3116452564363383
76,MED12,0.0,2.562143669163401e-34,2.1146441176797666e-33
77,CTNNA1,351.0,6.760406700245325e-30,1.7099852241797e-29
78,AFF4,2323.0,6.162984747855117e-11,8.313987267694746e-11
79,IL6ST,235.0,2.53438943659114e-31,7.265249718227934e-31
80,DNM2,116.0,8.03330830835044e-33,2.819855161298522e-32
81,RPL10,9823.0,4.7624845141694226e-32,1.4498182945790101e-31
82,CASP9,7524.0,7.008697397415273e-10,9.202259178285702e-10
83,MLLT6,9357.0,1.847291740169843e-26,3.996656343512113e-26
84,CDKN2C,4161.0,0.0404834775565249,0.043793447419637
85,NFKBIE,4424.0,0.15967355979503628,0.17005481290864544
86,ABL1,1625.0,1.6486241561582396e-16,2.650124811768385e-16
87,DDX6,9899.0,5.168440993868269e-33,1.8715196862007206e-32
88,SKI,1240.0,4.080223768376371e-20,7.088873617785211e-20
89,SIRPA,7844.0,3.7108879666208815e-12,5.210389634765645e-12
90,HIF1A,7741.0,2.140446649103838e-11,2.9570829208502824e-11
91,PATZ1,7844.0,3.71081945242846e-12,5.210389634765645e-12
92,CD74,9881.0,8.772671661515567e-33,2.9879198530310445e-32
93,ARID2,48.0,1.0763709066257036e-33,5.142660998322806e-33
94,TCF7L2,8029.0,1.3638642735968186e-13,1.988005551344515e-13
95,FUS,9514.0,2.792901232340912e-28,6.491608269765363e-28
96,ARNT,1717.0,1.0538075332010283e-15,1.6256044458347699e-15
97,ZMYM2,0.0,2.561999346290125e-34,2.1146441176797666e-33
