,Edge,U,pval,adj_pvals
0,NSD1;CREBBP,5789.5,0.001158811591814832,0.0014047186465493018
1,NSD1;EP300,9430.0,1.5867146822250164e-30,5.896436496526513e-30
2,NSD1;MLLT10,8915.0,2.3960039605740563e-25,6.603341058806969e-25
3,NSD1;DDX10,7748.5,1.298888441377741e-13,2.2377659289139948e-13
4,NSD1;NUP98,9950.0,2.5506216894061527e-44,4.4074742792938324e-41
5,NSD1;RAP1GDS1,6647.5,1.4007822631364778e-05,1.8289019650168747e-05
6,NSD1;ATRX,8574.0,2.070885398304764e-24,5.4842758134415815e-24
7,NSD1;KDM5C,6078.0,4.521606673214702e-06,6.0125712437976185e-06
8,NSD1;KDM6A,8612.0,3.7324548243047057e-25,1.0213273058429978e-24
9,NSD1;PSIP1,9036.5,2.900639283586513e-25,7.968687888771851e-25
10,NSD1;KDM5A,8100.0,7.035389438632468e-21,1.5922924623388218e-20
11,NSD1;PBRM1,3160.0,1.2469935079146667e-09,1.8750181179744683e-09
12,NSD1;SETD2,4750.0,0.08954358491260189,0.09877517697349254
13,DICER1;DDX5,8811.5,8.356258596678207e-27,2.5090555786376965e-26
14,DICER1;CCND1,9709.5,2.6126235262152653e-31,1.0414333225605485e-30
15,DICER1;FUS,2788.0,8.327511092093993e-10,1.2584118204755942e-09
16,DICER1;SMAD2,6411.0,6.254947303183251e-05,7.938706529490017e-05
17,DICER1;DGCR8,9632.5,2.302019490400954e-33,1.1927705185645723e-32
18,DICER1;TP53,3367.5,6.03080787678435e-06,7.979506899757547e-06
19,DICER1;HSP90AA1,3979.5,0.005018937376233208,0.005903828309142944
20,DICER1;HNRNPA2B1,4326.5,0.07028432716523436,0.07805354584930911
21,DICER1;SND1,7924.0,7.594312654920647e-15,1.3605984725456586e-14
22,DICER1;HSP90AB1,71.5,2.348843820220664e-34,1.5004813757269157e-33
23,DICER1;PTEN,4558.0,0.21171406936944803,0.2280809924379091
24,DICER1;XPO1,5797.5,0.001966370442391412,0.002355555025616887
25,DICER1;CREB1,6061.5,0.0005040549652574588,0.0006190525799324014
26,DICER1;DROSHA,7050.0,5.715158715939658e-11,8.94141626178699e-11
27,DICER1;AKT1,396.5,2.4520250858310477e-30,9.015104996417128e-30
28,DICER1;DDX6,9685.0,4.164423190622822e-34,2.4900080530782824e-33
29,DICER1;MYC,1910.5,1.82733234790238e-14,3.233620376011585e-14
30,DICER1;HIF1A,2160.0,2.2032834148686783e-15,4.022476218587507e-15
