,Gene,U,pval,adj_pvals
0,MLLT1,803.0,1.1392010513448666e-24,2.0505618924207596e-24
1,SS18,9893.0,6.166561207343943e-33,1.835049262507996e-32
2,PRKAR1A,9999.0,2.640284031487027e-34,2.099469785129419e-33
3,NONO,10000.0,2.562143669163401e-34,2.099469785129419e-33
4,ARHGAP5,8057.0,8.128801450148749e-14,1.1626076492654605e-13
5,PTEN,4978.0,0.9581041121246177,0.9581041121246177
6,RNF213,9989.0,3.564352686139979e-34,2.1213647438478262e-33
7,FUS,14.0,3.89968424397301e-34,2.2138207477323707e-33
8,SND1,9297.0,8.821060894896197e-26,1.6193887911525854e-25
9,EP300,10000.0,2.562143669163401e-34,2.099469785129419e-33
10,TOP1,9971.0,6.1083730958418285e-34,2.6209182236809708e-33
11,DDR2,574.0,2.980298616831062e-27,5.7277614042221965e-27
12,PER1,392.0,2.117100730203922e-29,4.41361677652682e-29
13,MAP2K1,870.0,6.118546734154591e-24,1.0599735891563586e-23
14,TFRC,9424.0,3.1433778114631896e-27,6.009877784610969e-27
15,KDM6A,9664.0,4.441331145750287e-30,9.473128281976045e-30
16,COL3A1,9989.0,3.564352686139979e-34,2.1213647438478262e-33
17,SPEN,9892.0,6.350597869226212e-33,1.8598179474162478e-32
18,ELK4,9892.0,6.350597869226212e-33,1.8598179474162478e-32
19,CAMTA1,10000.0,2.562143669163401e-34,2.099469785129419e-33
20,TRRAP,9982.0,4.396007364960204e-34,2.2529537745421044e-33
21,SRSF2,0.0,2.562143669163401e-34,2.099469785129419e-33
22,FOXO3,9977.0,5.1054809667146726e-34,2.3549030958971425e-33
23,SBDS,5275.0,0.5024051321430372,0.5107093492032526
24,CDK4,10000.0,2.562143669163401e-34,2.099469785129419e-33
25,KAT7,9981.0,4.529593338305166e-34,2.2896163586775427e-33
26,KMT2C,6478.0,0.0003060706238289137,0.00035515742199015456
27,HIF1A,9806.0,7.789967115305185e-32,1.9961790732969535e-31
28,TNFAIP3,7717.0,3.191217288954392e-11,4.3134035883669255e-11
29,ARID1A,9897.0,5.481898945846189e-33,1.685683925847703e-32
30,DDX10,9958.0,9.002574093068586e-34,3.496789305623483e-33
31,FANCA,9444.0,1.843171090814923e-27,3.5985721296862784e-27
32,NF1,10000.0,2.562143669163401e-34,2.099469785129419e-33
33,ASXL1,833.0,2.42612598915469e-24,4.324833285014882e-24
34,MSH2,9999.0,2.640284031487027e-34,2.099469785129419e-33
35,BRD4,9048.0,4.617934493981561e-23,7.962700132145774e-23
36,GNAQ,10000.0,2.562143669163401e-34,2.099469785129419e-33
37,PRCC,9805.0,8.018315853618141e-32,2.040523137920755e-31
38,BRD3,3828.0,0.004204060060758593,0.004744031077736761
39,WDCP,9979.0,4.808981311065035e-34,2.3045637711467508e-33
40,EPS15,9959.0,8.738263729916731e-34,3.467117544450832e-33
41,FNBP1,9327.0,4.0474826619066904e-26,7.505131167053109e-26
42,TFE3,3.0,2.8037369279891326e-34,2.099469785129419e-33
43,PIK3CA,5808.0,0.04849140097714208,0.05186471582772588
44,DGCR8,9894.0,5.987822313655892e-33,1.7963466940967676e-32
45,PRDM2,9991.0,3.3568758082015105e-34,2.099469785129419e-33
46,BRCA1,8933.0,7.352294189473676e-22,1.2388112127469343e-21
47,LEF1,9818.0,5.505089261138844e-32,1.44069357259591e-31
48,XPC,35.0,7.30670741953597e-34,2.9957500420097477e-33
49,CTCF,8513.0,9.29110948078956e-18,1.422580663241223e-17
50,CRTC1,8756.0,4.467923835620376e-20,7.23098199712245e-20
51,TCF7L2,7545.0,5.060947732839677e-10,6.69351151762667e-10
