,Gene,U,pval,adj_pvals
0,MLLT1,564.0,2.280326816223578e-27,5.621270756272075e-27
1,SS18,6776.5,1.3879090876154484e-05,1.7308042739675003e-05
2,PRKAR1A,9962.0,7.826120107563863e-34,3.714486857022848e-33
3,NONO,10000.0,2.505888903285529e-34,2.2622970976799784e-33
4,ARHGAP5,8377.5,1.5156801706963314e-16,2.605331320440181e-16
5,PTEN,9304.5,7.259073235474082e-26,1.6256234428737733e-25
6,RNF213,10000.0,1.0291184524810975e-34,2.2622970976799784e-33
7,FUS,0.0,2.5441645079844015e-34,2.2622970976799784e-33
8,SND1,1338.5,2.225669538780564e-19,3.998660527300674e-19
9,EP300,10000.0,2.5578174237488376e-34,2.2622970976799784e-33
10,TOP1,9975.5,4.155222060299461e-34,2.3181765178512784e-33
11,DDR2,2431.5,2.8035213786137926e-10,4.0523627199963005e-10
12,MAP2K1,209.0,1.1652994153400723e-31,3.9006864639804524e-31
13,TFRC,9487.5,5.574054443459227e-28,1.4180394504160273e-27
14,KDM6A,9939.5,1.51836701044593e-33,6.270658562620854e-33
15,COL3A1,3556.5,0.00034800848445200425,0.00040599998228560516
16,SPEN,6214.0,0.0027574229455931457,0.003131644631066501
17,ELK4,9567.0,1.9214342624455695e-29,5.455500852300814e-29
18,CAMTA1,10000.0,1.7473771640734042e-34,2.2622970976799784e-33
19,TRRAP,1043.5,4.1134725561977237e-22,8.124747036465069e-22
20,SRSF2,0.0,2.559114550158045e-34,2.2622970976799784e-33
21,FOXO3,9959.5,8.571872278708744e-34,3.894079120899115e-33
22,CDK4,10000.0,2.5552250907022405e-34,2.2622970976799784e-33
23,KAT7,7023.0,4.572694661840375e-07,5.911044318964387e-07
24,KMT2C,707.5,8.898584350207855e-26,1.9651040440042344e-25
25,HIF1A,4429.5,0.16368325318388355,0.1712212977384045
26,TNFAIP3,132.0,7.878859334430898e-33,3.0554600833524705e-32
27,ARID1A,2074.5,8.841596954659924e-13,1.405813915790928e-12
28,FANCA,451.0,1.0365408540090288e-28,2.769915895587153e-28
29,NF1,9997.5,2.7351928697281938e-34,2.2622970976799784e-33
30,ASXL1,475.5,2.087634864686464e-28,5.44154005713357e-28
31,MSH2,6926.0,2.5360552854187693e-06,3.23881759342638e-06
32,BRD4,9446.5,1.701131549917513e-27,4.226248694326321e-27
33,GNAQ,10000.0,2.521898731918523e-34,2.2622970976799784e-33
34,PRCC,1250.0,5.0032792743162123e-20,9.143924190991699e-20
35,BRD3,0.0,2.336842375786213e-34,2.2622970976799784e-33
36,EPS15,2487.0,8.00741863575953e-10,1.1267075779520047e-09
37,TFE3,3537.0,0.00035184758471800255,0.0004083486567165139
38,PIK3CA,9857.5,1.739500128837144e-32,6.358172884715078e-32
39,DGCR8,7385.5,5.553302895687351e-09,7.611854831157663e-09
40,BRCA1,3426.0,0.00012067597797359061,0.00014535970074091597
41,LEF1,9314.0,5.645339586688608e-26,1.2854684536106364e-25
42,XPC,10.0,3.4227694009513432e-34,2.2622970976799784e-33
43,CTCF,3543.5,0.00037349779723551906,0.0004303344185539676
44,TCF7L2,2370.0,1.3065932971680167e-10,1.905948020639584e-10
45,PMS1,6347.0,0.0010007770983797546,0.001144773803182597
46,CRTC1,9976.0,4.015677939021759e-34,2.2803314010873562e-33
47,PABPC1,6564.5,0.00013191285647137698,0.0001577003321725484
48,SDHD,10000.0,2.4560950327693486e-34,2.2622970976799784e-33
49,CANT1,29.5,6.043806921706987e-34,3.0325638561439865e-33
50,MED12,57.0,1.3613517174424352e-33,5.772131281955925e-33
