,Gene,U,pval,adj_pvals
0,NSD1,9832.0,3.6673319516055075e-32,1.1781154832161045e-31
1,DICER1,6575.0,0.00011951648724234196,0.0001456177890538879
2,TFG,512.0,5.6267550657818925e-28,1.3555364476656377e-27
3,SDHC,10000.0,2.562143669163401e-34,2.1875325984801905e-33
4,MAP2K2,4408.0,0.14838359779235358,0.15781265584604828
5,TFRC,8836.0,7.14289670965371e-21,1.290591564585159e-20
6,CREB1,9800.0,9.263651653132659e-32,2.779095495939798e-31
7,POLG,558.0,1.0265578522059566e-27,2.400333801481575e-27
8,SETD2,4067.0,0.022699176931258253,0.025416684028662408
9,NAB2,4.0,2.8891939979927045e-34,2.1875325984801905e-33
10,HIF1A,7536.0,5.820643816124032e-10,8.08281543025084e-10
11,MAP2K4,9686.0,2.392534110270904e-30,6.673910939176733e-30
12,CNOT3,7782.0,1.0735042775933275e-11,1.5377223435796315e-11
13,CIITA,53.0,1.2485619990577663e-33,5.5163072216586076e-33
14,LSM14A,1664.0,3.6411735031991196e-16,5.907618234782245e-16
15,AKAP9,9931.0,2.008237577874234e-33,8.083791769164637e-33
16,MSN,2164.0,4.2614097463787135e-12,6.187800453645804e-12
17,BCR,1757.0,2.324294070620327e-15,3.677241365459025e-15
18,TRRAP,4884.0,0.7777814048953103,0.7876894482697729
19,PPP6C,3590.0,0.0005732621613183173,0.0006853284484933266
20,BCL9,9976.0,5.260470429413558e-34,2.9871957081312703e-33
21,LARP4B,10000.0,1.1421859243771834e-34,2.1875325984801905e-33
22,PRCC,3401.0,9.393081518614658e-05,0.00011488461241997926
23,ASXL1,152.0,2.3025763075914121e-32,7.78956665759648e-32
24,SMARCA4,9690.0,2.1373612551387715e-30,6.0148750365852156e-30
25,ERC1,5120.0,0.7702980304352449,0.7826031107936354
26,DCTN1,3618.0,0.0007367051404631699,0.0008774240998774833
27,PIK3R1,9985.0,4.01828327422864e-34,2.4842787809628098e-33
28,EED,8998.0,1.5531637249189462e-22,2.939917050739434e-22
29,SGK1,9821.0,5.046771206402108e-32,1.588983409540466e-31
30,MLLT10,263.0,5.639953972480866e-31,1.6454177644485464e-30
31,BRD4,9373.0,1.2131363624538246e-26,2.6066038058129476e-26
32,RANBP2,3855.0,0.00516660328391746,0.005974472161039099
33,PML,352.0,6.95210323330244e-30,1.8735329052459117e-29
34,AKT2,9708.0,1.2851604934377338e-30,3.6818111433621565e-30
35,LZTR1,4961.0,0.9250531761491314,0.9279713249697912
36,YWHAE,2978.0,7.839923593863014e-07,1.0134535377432676e-06
37,DNAJB1,2488.0,8.432158692159552e-10,1.165837593089886e-09
38,TPM4,7345.5,1.0057929592957423e-08,1.3326756710668584e-08
39,CREBBP,7421.0,3.3344627603077757e-09,4.455290578898625e-09
40,PMS2,7885.0,1.8156601301434202e-12,2.6730551916000354e-12
41,DDR2,3255.0,2.0215403036051014e-05,2.5209796727310674e-05
42,FANCA,1271.0,8.224884010414658e-20,1.4292421395146783e-19
43,PDE4DIP,8957.0,4.1531635005401014e-22,7.678523216114839e-22
44,MYH9,2675.0,1.3496474742800245e-08,1.7808626424109867e-08
45,MYC,6753.0,1.8518849331052233e-05,2.3185016091632322e-05
46,NBN,9183.0,1.622186782719796e-24,3.1454597372249702e-24
47,CCND3,2150.0,3.3443704146164047e-12,4.878485283706499e-12
48,CNTRL,4314.0,0.09394527641857167,0.10126982339357896
49,TRIP11,8751.0,5.0034544539697826e-20,8.790599537913762e-20
50,PIK3CA,9965.0,7.30670741953597e-34,3.799839904964226e-33
51,DDX5,9996.0,2.8891939979927045e-34,2.1875325984801905e-33
52,PICALM,4523.0,0.24431266366178883,0.2572563809418836
53,RARA,0.0,2.562143669163401e-34,2.1875325984801905e-33
54,DDX6,4148.0,0.037475514225727445,0.04137921362424072
55,COL1A1,4334.0,0.1039336368052851,0.11165843413540764
56,MAPK1,7508.0,8.966539492227041e-10,1.2343547872416447e-09
57,VHL,8629.0,7.593177639897255e-19,1.2843779199400677e-18
58,SRC,8719.0,1.0299414630252758e-19,1.7800075284893354e-19
59,NFE2L2,9930.0,2.068638128908206e-33,8.222836562410119e-33
60,MITF,1442.0,3.549997488619365e-18,5.910467022936953e-18
61,SMAD3,9862.0,1.5302560323079166e-32,5.406904647487972e-32
62,RBM15,682.0,5.115978009662168e-26,1.0703164520214273e-25
63,ATR,8584.0,2.0250977653771278e-18,3.3893741546838243e-18
64,EPAS1,736.0,2.0654668743619013e-25,4.157078899032181e-25
65,TPM3,3564.0,0.0004523642853495367,0.0005448933437164874
66,RPL10,7960.0,4.78711503192117e-13,7.113563458649215e-13
67,STAG1,5322.0,0.43213144390482905,0.44761498098285224
68,KMT2D,8744.0,5.863068375034174e-20,1.0244262325609162e-19
69,MED12,0.0,2.562143669163401e-34,2.1875325984801905e-33
70,BCLAF1,71.0,2.1303760499549104e-33,8.363698566489648e-33
71,ASPSCR1,5594.0,0.14701633090062008,0.15688319874629927
72,CDK12,8678.0,2.5740596121016054e-19,4.424599765666544e-19
73,EWSR1,1671.0,4.1941749172638337e-16,6.770292506040097e-16
74,NDRG1,6755.0,1.4762899044296025e-05,1.8555738719708045e-05
75,PSIP1,6422.0,0.000514143841640829,0.0006169726099689947
76,TRIM33,10000.0,2.562143669163401e-34,2.1875325984801905e-33
77,MTOR,9950.0,1.1423690450516021e-33,5.2648312511073835e-33
78,ARHGAP35,3783.0,0.0029549821408487954,0.0034803122992219143
79,IL6ST,9807.0,7.568076513352708e-32,2.31408493389054e-31
80,IDH2,129.0,1.1760414145658931e-32,4.2497860208176595e-32
81,SMARCE1,5364.0,0.37444831283857816,0.3916926430350916
82,CRTC3,7151.0,1.4842085468539058e-07,1.934337368440746e-07
83,TSC1,9727.0,7.496501968506016e-31,2.167170569077194e-30
84,BCOR,4231.0,0.060416145135336434,0.06602176684892434
85,SDHA,9964.0,7.527984717381958e-34,3.799839904964226e-33
86,EP300,10000.0,2.562143669163401e-34,2.1875325984801905e-33
87,HNRNPA2B1,8778.0,2.7088083159463858e-20,4.7855613581719486e-20
88,CLIP1,3482.0,0.00020893610953893525,0.0002535942092877153
89,PATZ1,56.0,1.3653818112098529e-33,5.867451567090989e-33
90,FUBP1,9568.0,6.384200363775485e-29,1.6241405725444832e-28
91,HLA-A,4237.0,0.06245044523295058,0.0680111013153366
92,CCNC,163.0,3.171647439186722e-32,1.0397772017127603e-31
93,TCF7L2,5833.0,0.04193937208150358,0.04598869076523496
94,CANT1,63.0,1.680909704761725e-33,7.033280080450375e-33
95,RPL5,943.0,3.706359630484932e-23,7.100134713820532e-23
96,SMARCD1,8808.0,1.3627695098623653e-20,2.4483655600917074e-20
97,BCL10,9992.0,3.2576821808361544e-34,2.3020954077908826e-33
98,MAX,5179.0,0.6627315903118778,0.6776483785182544
99,RAC1,5015.0,0.9717375498391241,0.9717375498391241
100,FLNA,1205.0,1.8365101468176502e-20,3.262626964737502e-20
101,TFE3,2428.0,3.317283005232456e-10,4.626736823087373e-10
102,NCOR2,9901.0,4.87279115100913e-33,1.8669248024348234e-32
103,BCL3,3327.0,4.371629344950961e-05,5.388287332148859e-05
104,TFPT,1822.0,8.236994422259728e-15,1.284002071705193e-14
105,MLH1,4074.0,0.0237371954057347,0.026485712768503977
106,ARHGAP5,9923.0,2.5450625479006455e-33,9.869876710151285e-33
107,LYN,9323.0,4.491900359191308e-26,9.459763670349907e-26
108,TCF12,1193.0,1.3944559202822702e-20,2.4912190036503478e-20
109,KLF6,9991.0,1.7524460369958098e-34,2.1875325984801905e-33
