,Gene,U,pval,adj_pvals
0,CHD4,9983.0,4.266335780333229e-34,2.2529537745421044e-33
1,CEP89,2923.0,3.9016009900751126e-07,4.7514546710815725e-07
2,SMC1A,106.0,5.987822313655892e-33,1.7963466940967676e-32
3,ATP1A1,7779.0,1.1294786098591692e-11,1.5493591339703847e-11
4,CCNC,56.0,1.3654570237221296e-33,5.089430724782483e-33
5,BCLAF1,4671.0,0.42217518140544974,0.4303387898856656
6,ELK4,9892.0,6.350597869226212e-33,1.8598179474162478e-32
7,DDR2,574.0,2.980298616831062e-27,5.7277614042221965e-27
8,PCM1,7518.0,7.688358732580582e-10,1.0096100969118273e-09
9,ATIC,10000.0,2.562143669163401e-34,2.099469785129419e-33
10,TNFRSF14,1944.0,8.281090692611818e-14,1.1798156237736526e-13
11,CCNB1IP1,9394.0,6.969702665223625e-27,1.3256805584884113e-26
12,PER1,392.0,2.117100730203922e-29,4.41361677652682e-29
13,XPC,35.0,7.30670741953597e-34,2.9957500420097477e-33
14,LMNA,4618.0,0.35125753310248864,0.36003897143005087
15,SPEN,9892.0,6.350597869226212e-33,1.8598179474162478e-32
16,DDX3X,10000.0,2.562143669163401e-34,2.099469785129419e-33
17,FUBP1,6009.0,0.013733567455921388,0.015172713746212551
18,EIF4A2,470.0,1.8070461261221426e-28,3.584946346984251e-28
19,NCOA1,8696.0,1.7238920906852344e-19,2.7068773679270275e-19
20,PIK3CA,5808.0,0.04849140097714208,0.05186471582772588
21,NSD2,9906.0,4.20511924825744e-33,1.3854366094705317e-32
22,RB1,8705.0,1.409735857041841e-19,2.242209186415687e-19
23,PSIP1,9999.0,2.640284031487027e-34,2.099469785129419e-33
24,SRSF3,8132.0,1.9869111638035453e-14,2.8528024102860244e-14
25,GOLPH3,9590.0,3.4836109049880853e-29,7.062925406267052e-29
26,FBXO11,8373.0,1.7173772255668796e-16,2.586580392792566e-16
27,USP9X,7628.0,1.362704950985699e-10,1.815300097161455e-10
28,SFPQ,198.0,8.744003394154927e-32,2.194923300981747e-31
29,IDH1,4743.0,0.5308367273418755,0.5381284406295386
30,BTG1,299.0,1.5665648379565753e-30,3.482303766301062e-30
31,CANT1,103.0,5.481898945846189e-33,1.685683925847703e-32
32,ATF1,10000.0,2.562143669163401e-34,2.099469785129419e-33
