,Gene,U,pval,adj_pvals
0,CHD4,1088.5,1.2058233586355134e-21,2.323950473006626e-21
1,SMC1A,8017.5,1.6588279243678115e-13,2.705165538199816e-13
2,ATP1A1,2792.5,4.883373513488153e-08,6.390587560861039e-08
3,CCNC,2130.5,2.3504581912793767e-12,3.6283772078972903e-12
4,BCLAF1,453.5,5.247397356119453e-29,1.4385106545224018e-28
5,ELK4,9567.0,1.9214342624455695e-29,5.455500852300814e-29
6,DDR2,2431.5,2.8035213786137926e-10,4.0340262371003896e-10
7,PCM1,4504.5,0.21767555473186995,0.22621185099586485
8,ATIC,819.0,1.6814130827104284e-24,3.540989141072293e-24
9,XPC,10.0,3.4227694009513432e-34,2.282684543169529e-33
10,SPEN,6214.0,0.0027574229455931457,0.003131644631066501
11,DDX3X,9985.5,3.7771481265881495e-34,2.282684543169529e-33
12,EIF4A2,318.0,2.6307963329928344e-30,7.967554608492584e-30
13,FUBP1,9101.5,7.315192405764639e-24,1.5105397305410098e-23
14,NCOA1,2620.0,6.072600475174578e-09,8.25250833805776e-09
15,PIK3CA,9860.5,1.595082433314123e-32,5.898095509231292e-32
16,NSD2,7554.5,3.6732485093869115e-10,5.240532747281471e-10
17,RB1,3217.0,1.3255526135928947e-05,1.6465848871974238e-05
18,PSIP1,6056.5,0.009836377432147419,0.010975326397975015
19,SRSF3,10000.0,2.49841399569877e-34,2.282684543169529e-33
20,USP9X,5804.0,0.04891883215260767,0.05255469129908527
21,SFPQ,20.5,4.7145949256847706e-34,2.5183272376698037e-33
22,IDH1,693.0,6.76900459320174e-26,1.5485924177252901e-25
23,CANT1,29.5,6.043806921706987e-34,2.9865741735264333e-33
24,ATF1,9996.5,2.7959899041766144e-34,2.282684543169529e-33
25,PIK3R1,9282.0,1.2936738463911165e-25,2.8371605734646552e-25
26,KDM5A,4051.5,0.02037719225635577,0.02265715782350047
27,MALT1,9878.0,7.914774838232364e-33,3.0324077091058937e-32
28,EED,8536.5,5.5761334802155786e-18,9.796742799494774e-18
29,FOXO3,9957.0,9.23894232158736e-34,4.197119511806829e-33
30,ARHGEF12,5826.0,0.04364025393964432,0.047202723649003034
31,DGCR8,7385.5,5.553302895687351e-09,7.579185926302908e-09
32,LARP4B,10000.0,1.8082449672620076e-34,2.282684543169529e-33
33,CBLB,9893.0,5.127464615285545e-33,2.0639667691908903e-32
34,NOTCH1,9438.0,2.1583527163675912e-27,5.3621575297257345e-27
35,COL3A1,3556.5,0.00034800848445200425,0.0004030472551417098
36,TSC1,7961.0,4.437765649577396e-13,7.127320588715212e-13
37,SUZ12,5695.0,0.08966277255341627,0.09536040692972031
38,NSD3,9818.5,4.123664179725061e-32,1.441016713354472e-31
39,BRD4,9430.0,2.6430521656512034e-27,6.415958692191471e-27
40,CTCF,3542.0,0.000367954973410519,0.0004224176229044947
41,AFDN,105.0,5.7651353179101645e-33,2.263349421105472e-32
42,RUNX1,47.0,1.043075049975192e-33,4.592625901395625e-33
43,NFE2L2,9692.0,2.0035156037719267e-30,6.246254529406595e-30
44,NACA,213.0,1.0926669102784876e-31,3.657558710195359e-31
45,MSN,1693.0,6.495283928330082e-16,1.0986703666005139e-15
46,RPL5,313.5,2.3417057029071768e-30,7.160215514658484e-30
47,MSH6,634.0,1.4434540133284778e-26,3.350499096631065e-26
48,RPL22,5198.5,0.6274021937918248,0.6333774527803184
49,TGFBR2,13.5,3.826442524972198e-34,2.282684543169529e-33
50,AFF1,139.0,1.5677663515298026e-32,5.865290585723261e-32
51,DCTN1,4258.5,0.07004711987227621,0.0749999465299119
52,MEN1,3514.0,0.0002830342315880897,0.0003321213492435886
53,CDC73,8411.5,7.76972813914343e-17,1.3501494799167272e-16
