,Gene,U,pval,adj_pvals
0,MLLT1,9955.0,9.79845047196644e-34,7.918239432676006e-33
1,MUTYH,9279.0,1.3947108691329727e-25,3.4408435813340405e-25
2,SS18,594.0,4.903885771374968e-27,1.3469339585376578e-26
3,PRKAR1A,558.0,1.8569497477541085e-27,5.2762985936185705e-27
4,NONO,5992.0,0.015402251354301908,0.01701267441815653
5,ARHGAP5,1450.0,4.150843218929725e-18,7.339688438622518e-18
6,PTEN,9991.0,3.3478435590639425e-34,5.185247657872971e-33
7,RNF213,462.5,1.2553085434010311e-28,3.8886249615129684e-28
8,FUS,7467.0,1.6695559707313133e-09,2.233302142666562e-09
9,MAF,949.0,4.271128968877688e-23,9.070645026688698e-23
10,SND1,9178.5,1.4272018033554785e-24,3.2308084779255887e-24
11,EP300,790.0,8.180148081051541e-25,1.8828050331805783e-24
12,TOP1,2390.5,1.3336385341158032e-10,1.8500305591101378e-10
13,CLP1,2496.0,9.50485281756793e-10,1.2924090299795338e-09
14,MAP2K1,352.0,6.863896076839525e-30,2.3764077173595667e-29
15,TFRC,9898.0,5.24089781275129e-33,3.084642712647902e-32
16,CEBPA,7407.5,4.067449854869377e-09,5.4057720651812365e-09
17,MAML2,6157.0,0.004702405049218719,0.005264649131190523
18,KDM6A,9955.0,9.73305843129475e-34,7.918239432676006e-33
19,HNF1A,3421.5,0.00011317459773015756,0.00013398831685294517
20,COL3A1,8423.0,3.9089830836960186e-17,6.710420960344833e-17
21,BCL7A,14.0,3.7741193742539e-34,5.185247657872971e-33
22,SPEN,8615.0,8.391862353976971e-19,1.4967304285015204e-18
23,ELK4,9772.5,1.7255237459408281e-31,6.835728685842511e-31
24,CAMTA1,9994.5,2.6878467387976333e-34,5.185247657872971e-33
25,MRTFA,7285.0,2.3552007288240587e-08,3.090263376673606e-08
26,TRRAP,206.0,1.0836555100142066e-31,4.420456139859932e-31
27,SRSF2,9962.0,7.921831804696826e-34,7.54739936871133e-33
28,FOXO3,0.0,2.5526353153050436e-34,5.185247657872971e-33
29,CDK4,7896.5,1.4817782655262372e-12,2.2694893880922293e-12
30,KAT7,9822.0,3.038670448463887e-32,1.3910358052968018e-31
