,Gene,U,pval,adj_pvals
0,MLLT1,9960.0,8.464751887297935e-34,7.26557870326406e-33
1,MUTYH,9459.0,1.2311635346995294e-27,3.932088188342683e-27
2,SS18,167.0,3.5559499026042614e-32,1.6461251234527593e-31
3,PRKAR1A,528.0,8.68097247008721e-28,2.838540204504707e-27
4,NONO,5341.0,0.4054173276459795,0.42393893144706485
5,ARHGAP5,417.0,4.2186713300359406e-29,1.4855492204912886e-28
6,PTEN,10000.0,2.5569530283985383e-34,3.8320652661841804e-33
7,RNF213,420.0,4.5702354481706815e-29,1.5957093259714583e-28
8,FUS,6021.0,0.01264863006213042,0.014122589662866484
9,MAF,1462.0,5.446667816732856e-18,9.672530777991107e-18
10,SND1,9162.0,2.745847454075946e-24,6.539243647857166e-24
11,EP300,1616.0,1.370062664340908e-16,2.322904599623268e-16
12,TOP1,2113.0,1.7509661354094451e-12,2.531221220311198e-12
13,CLP1,6547.0,0.00015761634302965225,0.00018877306200063004
14,MAP2K1,994.0,1.2787866371727072e-22,2.817433660508852e-22
15,TFRC,9955.0,9.82450936556152e-34,7.495736775206198e-33
16,CEBPA,9082.0,2.004420928304864e-23,4.613527499785497e-23
17,MAML2,6190.0,0.0036555494235608202,0.004195226636509911
18,KDM6A,10000.0,2.5569530283985383e-34,3.8320652661841804e-33
19,HNF1A,2972.0,7.267100442287198e-07,9.385722201323905e-07
20,COL3A1,8152.0,1.3552374713643521e-14,2.0756796959186357e-14
21,BCL7A,75.0,2.394078567119761e-33,1.4944854085656688e-32
22,SPEN,9217.0,6.851369015680655e-25,1.721197581988067e-24
23,ELK4,9833.0,3.550149897380328e-32,1.6461251234527593e-31
24,CAMTA1,9985.0,4.008619409549613e-34,4.718717704955544e-33
25,MRTFA,4220.0,0.056825927058784954,0.06226670730909415
26,TRRAP,376.0,1.355287495374351e-29,4.8980565622301106e-29
27,SRSF2,9935.0,1.7801371555802704e-33,1.2023221444247073e-32
28,FOXO3,0.0,2.5569530283985383e-34,3.8320652661841804e-33
29,CDK4,8904.0,1.4575757987578266e-21,3.095470253032085e-21
30,KAT7,2548.0,2.0977528153169028e-09,2.8430071049689604e-09
31,KMT2C,1293.0,1.3465015262777227e-19,2.5564913770802847e-19
32,LMO2,9626.0,1.2819319145781748e-29,4.67394644961246e-29
33,HIF1A,1867.0,1.947934455387774e-14,2.972403687480603e-14
34,TNFAIP3,1537.0,2.6658025745962177e-17,4.634222197188362e-17
35,ARID1A,1606.0,1.1159228910158972e-16,1.9077188012387953e-16
36,FANCA,5162.0,0.6931287890705323,0.7086080920522564
37,NF1,9972.0,5.9167001199332195e-34,6.0942011235312165e-33
38,ASXL1,9202.0,1.0023815148472247e-24,2.4582213340300987e-24
39,MSH2,8872.0,3.0880496643074237e-21,6.425638695427568e-21
40,CDH11,9301.0,7.941268847338899e-26,2.1525018191471228e-25
41,PTPN6,1694.0,6.652607382828569e-16,1.087648508621179e-15
42,BRD4,4820.0,0.6609555812159652,0.6790865323216401
43,GNAQ,6687.0,3.775082901254232e-05,4.642788523333563e-05
44,TFEB,9359.0,1.7501389064775911e-26,5.007341871310886e-26
45,CASP3,9957.0,9.256353743873426e-34,7.477681847991866e-33
46,PRCC,2997.0,9.93344866115587e-07,1.270987841116838e-06
47,KEAP1,9836.0,3.2590273009435415e-32,1.5433554574583209e-31
48,TCF3,9071.0,2.6265912713760844e-23,6.01197557670526e-23
49,SS18L1,3051.0,1.9262886758364884e-06,2.4570617165468523e-06
50,BRD3,7655.0,8.810812228460551e-11,1.2263698101776172e-10
51,EPS15,9990.0,3.4520893544358128e-34,4.309881254628954e-33
52,XPA,84.0,3.1241697231720734e-33,1.8928793028630795e-32
53,TFE3,2822.0,1.034533669892564e-07,1.3661149743453087e-07
54,PIK3CA,4509.0,0.23072303409136308,0.245627622856955
55,DGCR8,1231.0,3.3214836835868383e-20,6.579092680950852e-20
56,BRCA1,2810.0,8.801636785563972e-08,1.166004615965388e-07
57,XPC,8430.0,5.3055872327258737e-17,9.146033221268034e-17
58,CTCF,10000.0,2.5569530283985383e-34,3.8320652661841804e-33
59,TCF7L2,10000.0,2.5569530283985383e-34,3.8320652661841804e-33
60,PMS1,9806.0,7.775377555522971e-32,3.482016905299417e-31
61,CRTC1,2476.0,7.005010798954121e-10,9.62021483056366e-10
62,SUFU,1679.0,4.922986439109264e-16,8.145664308887618e-16
63,PABPC1,525.0,8.007335488884305e-28,2.660501791468011e-27
64,SDHD,7904.0,1.298430565588539e-12,1.883638707825627e-12
65,CANT1,9086.0,1.8164342204613608e-23,4.204330892303824e-23
66,MED12,581.0,3.585125941136381e-27,1.1022924535434246e-26
67,SGK1,1790.0,4.42852730773074e-15,6.937464831882375e-15
68,AKAP9,5660.0,0.10708456786976812,0.11579748546547104
69,NFKB2,772.0,5.179440757395345e-25,1.3172404889178286e-24
70,AKT1,8247.0,2.1465818242248163e-15,3.401506583002401e-15
71,EIF1AX,9616.0,1.6927560711461e-29,6.064482620106028e-29
72,BTG2,10000.0,2.539152390702781e-34,3.8320652661841804e-33
73,PDGFRA,1177.0,9.635221243024705e-21,1.9459368392775385e-20
74,PDGFB,9858.0,1.7166582881310434e-32,8.625161154999876e-32
