,Edge,U,pval,adj_pvals
0,XPC;MLH1,5574.5,0.13398230752229745,0.14451931445885596
1,XPC;MSH2,7113.5,3.5203969835678526e-08,4.956484951670311e-08
2,XPC;MSH6,6482.0,5.7837531713296035e-05,7.263221469996272e-05
3,XPC;DDB2,4059.5,0.004058359094075776,0.004712325446768358
4,XPC;PMS2,432.5,2.67786769018461e-32,1.3818112943555752e-31
5,XPC;ATM,549.0,2.2202129820462013e-30,9.205034565658007e-30
6,XPC;BRCA1,5750.0,0.05571689294035291,0.06125593106230093
7,XPC;XPA,56.0,2.986224773552372e-38,1.393060474363036e-35
8,XPC;ERCC3,3320.5,7.462540180616504e-07,1.0066955205130583e-06
9,XPC;FEN1,8144.0,4.180941821842908e-15,7.414749287691018e-15
10,XPC;POLD1,9423.0,1.4816082709667077e-28,5.219911634733814e-28
11,XPC;SMARCB1,9155.0,7.806487294811829e-26,2.2744025379726307e-25
12,XPC;ERCC5,5231.5,0.48172221086388756,0.4982253935160467
13,XPC;ERCC2,1698.0,1.5839485860595056e-17,3.060125753060163e-17
14,XPC;PMS1,4047.0,0.0025062079430382216,0.0029438976575983404
15,XPC;ATR,8362.5,6.272359689972808e-17,1.183502350985171e-16
16,PABPC1;EIF3E,1231.5,4.3081873850147704e-21,9.671328347642133e-21
17,PABPC1;DDX5,5169.0,0.6688420476821033,0.6822188886357454
18,PABPC1;FUS,1377.5,5.680426565039527e-20,1.2204204804152408e-19
19,PABPC1;BTG2,8464.5,2.11307763612446e-17,4.064444094676598e-17
20,PABPC1;U2AF1,8261.5,5.687293617642077e-16,1.0376989709438635e-15
21,PABPC1;NAB2,9904.5,2.3575679411665978e-33,1.506606374081282e-32
22,PABPC1;PCBP1,9775.5,3.084518252672017e-32,1.5746330788421872e-31
23,PABPC1;DDX6,5300.0,0.43382792754612676,0.4504641437833176
24,PABPC1;LARP4B,5733.5,0.019729092004893783,0.02219206002177881
25,PABPC1;HNRNPA2B1,2882.0,7.759458325808179e-08,1.0777481381668526e-07
26,PABPC1;CNOT3,5962.5,0.007075411608023763,0.008115095453482277
27,PABPC1;IGF2BP2,6484.0,0.00014908483378599734,0.00018422550738128536
28,PABPC1;SRSF3,2434.0,1.5510125181197054e-10,2.363640486708098e-10
29,PABPC1;PSIP1,2060.5,4.110205055656507e-13,6.813160983705785e-13
