,Gene,U,pval,adj_pvals
0,XPC,6001.0,0.014374875918094476,0.016032214553357134
1,PABPC1,8192.5,6.136860978277678e-15,1.0135442870047455e-14
2,CUL3,9544.5,1.2001393050999198e-28,3.923214004257669e-28
3,FANCA,8875.5,2.768793538512339e-21,5.8852382836540296e-21
4,TRAF7,9735.5,4.280240268613023e-31,1.7489947304504938e-30
5,ERG,519.5,6.701323191081495e-28,2.036171277290147e-27
6,FOXO4,3528.5,0.00032447520366657337,0.0003825901655173029
7,MDM4,9081.0,2.0395535513456812e-23,4.785883085830955e-23
8,BCL10,5255.5,0.5325570019889679,0.5463896513912788
9,CDKN2C,9111.5,9.51398850277782e-24,2.2661460051842648e-23
10,SMAD3,7584.0,2.7215746718310903e-10,3.827971496878151e-10
11,GOLPH3,6681.0,3.806216853857815e-05,4.661878007050657e-05
12,KAT7,9678.5,1.3047635553480121e-30,4.947663401879662e-30
13,MEN1,9064.5,3.0635184611985195e-23,7.049066750524749e-23
14,FAS,7693.0,4.7174881411146347e-11,6.714983119784796e-11
15,TRIM24,335.5,4.249632305656853e-30,1.5376532159399604e-29
16,CHD4,3682.0,0.001284352238557983,0.0014848364904304487
17,MAF,1917.5,5.0299121068440226e-14,8.027536493751066e-14
18,TCF3,9372.5,1.2182760810751778e-26,3.457861451674456e-26
19,FBXO11,2700.0,1.6850640752969704e-08,2.243596549693157e-08
20,CHEK2,9029.5,7.177982228056999e-23,1.6357517192783738e-22
21,CBFB,7290.5,2.1934491993428296e-08,2.9041757555544728e-08
22,PBRM1,6849.5,6.088729118576885e-06,7.6149277103046e-06
23,TPM4,1573.0,5.56356592410284e-17,1.010394731043964e-16
24,TNC,8786.0,1.9689615589063636e-20,4.0577729518331145e-20
25,KDM6A,9239.5,3.852102737436538e-25,9.764153462807054e-25
26,SDHA,9536.0,1.4830157104080479e-28,4.8147222379001e-28
27,SMARCA4,9521.0,2.296612338473918e-28,7.355366543490791e-28
28,DDX6,9937.0,1.6326611170355218e-33,1.2481957572174795e-32
29,ZMYM3,9709.0,1.1039295631052755e-30,4.3244844042305836e-30
30,CREBBP,7680.5,5.7777327057220866e-11,8.199536833869068e-11
31,PMS2,3509.5,0.00027045864152296274,0.00031969425456829015
32,CDKN1B,9984.5,4.001097401964819e-34,3.8006827038406985e-33
33,FNBP1,10000.0,2.473468111574534e-34,3.3909828127364e-33
34,PPM1D,4296.0,0.08502560558406493,0.09201401152248122
35,ZNF384,1611.5,1.1374654165181856e-16,2.02691205800609e-16
36,LPP,9899.5,4.958267229023348e-33,3.241321724320384e-32
37,CXCR4,9859.5,1.6230736571706177e-32,8.945778063940382e-32
38,ARHGEF10L,3373.0,4.537845889202325e-05,5.543657091448201e-05
39,LMNA,4001.5,0.01473596089136171,0.01639635085095176
40,MAML2,10000.0,2.358448058730656e-34,3.3909828127364e-33
41,SDHB,9864.0,1.3852549095021615e-32,7.724833260047347e-32
42,CREB3L2,6821.0,8.106987241915385e-06,1.0112399875441821e-05
43,MLH1,8352.0,2.5987432286511094e-16,4.562238112520836e-16
44,STAG2,694.0,6.818855604858612e-26,1.8575503199442425e-25
45,JAK1,6068.5,0.009036236428571529,0.01014970632024385
46,LYN,518.0,6.094108616712314e-28,1.872196176519899e-27
47,PPP2R1A,9657.0,5.363134781434416e-30,1.911372846917228e-29
48,GMPS,9300.0,7.485064224701336e-26,2.0108098190197973e-25
49,NACA,26.0,1.04939263201867e-34,3.3909828127364e-33
50,RUNX1,26.5,5.644102078718109e-34,5.047744123230913e-33
51,BRD3,6420.5,0.0005059983292768159,0.0005936713071218087
52,GOLGA5,2555.5,2.240300888088183e-09,3.0869262237029037e-09
53,SH3GL1,2150.5,3.3195748467623813e-12,4.841472238047289e-12
54,RPN1,5155.0,0.7054588512209032,0.714503195467325
55,SYK,9808.0,7.170384250265359e-32,3.2369163186912195e-31
56,CTNNA1,9892.5,5.401894792196875e-33,3.4139975086684243e-32
57,HIP1,8931.5,6.9507254924305585e-22,1.5113045336752683e-21
58,SDC4,9897.0,5.307188158172734e-33,3.3994691715863186e-32
59,POLR2A,598.5,5.6382539891503536e-27,1.6295929212544315e-26
60,CSF1R,1587.0,7.470592824830985e-17,1.3464110262242915e-16
61,FSTL3,9838.5,2.002065194162136e-32,1.054421002258725e-31
62,CALR,9036.0,6.112831845363924e-23,1.3997499008224637e-22
63,GPHN,4505.5,0.21941829242145572,0.22959000134165566
64,MSN,3176.5,8.396588437107733e-06,1.0436505187311412e-05
