,Gene,U,pval,adj_pvals
0,CHD4,9822.0,4.902582199138201e-32,1.6242898599164948e-31
1,SMC1A,9815.0,6.004708647643356e-32,1.950043996462397e-31
2,ATP1A1,3141.0,5.58125665176195e-06,6.755174102501549e-06
3,CCNC,9975.0,5.420132830819629e-34,3.628170547977221e-33
4,BCLAF1,9586.0,3.8902763185770226e-29,9.451930611061211e-29
5,ELK4,1003.0,1.5910622058340987e-22,2.851739909910297e-22
6,PCM1,9958.0,9.000080979785356e-34,4.612541502139995e-33
7,ATIC,9072.0,2.5663643418951092e-23,4.78276990989543e-23
8,XPC,2.0,2.7207913829411556e-34,2.8721591220180756e-33
9,SPEN,10000.0,2.562143669163401e-34,2.8721591220180756e-33
10,DDX3X,9881.0,8.772671661515567e-33,3.2330744999742764e-32
11,FUBP1,808.5,1.3082948133912956e-24,2.616589626782591e-24
12,EIF4A2,1.0,2.640284031487027e-34,2.8721591220180756e-33
13,NCOA1,9874.0,1.0771158924754184e-32,3.8401523123036655e-32
14,PIK3CA,136.0,1.4433541583120448e-32,5.090539397057535e-32
15,RB1,9169.0,2.307266483537094e-24,4.53163716527046e-24
16,PSIP1,7574.0,3.2145498634036056e-10,4.2006866740891737e-10
17,SRSF3,7066.0,4.4922480042034194e-07,5.539313328491434e-07
18,USP9X,8932.0,7.277759536638022e-22,1.269736770221953e-21
19,SFPQ,1891.0,3.0714099498635964e-14,4.305224203227605e-14
20,IDH1,7575.0,3.164354892853115e-10,4.151633619423287e-10
21,BLM,8818.0,1.0825738264585493e-20,1.8116541585632866e-20
22,CANT1,9612.0,1.8948039170673232e-29,4.6380274984931495e-29
23,ATF1,1618.0,1.4286865296732854e-16,2.149583402444209e-16
24,PIK3R1,5838.0,0.04072310848413368,0.04482275027783841
25,KDM5A,749.0,2.8827655933138443e-25,5.946837198785792e-25
26,MALT1,8982.0,2.2825900315933466e-22,4.0689648389272695e-22
27,EED,7848.0,3.462414378174472e-12,4.7123316018308166e-12
28,FOXO3,219.0,1.6012221835957741e-31,4.954725247352961e-31
29,ARHGEF12,5742.0,0.0700213003206784,0.07604962418934606
30,DGCR8,1.0,2.640284031487027e-34,2.8721591220180756e-33
31,LARP4B,4.0,2.8891939979927045e-34,2.8721591220180756e-33
32,CBLB,6439.0,0.000440060573747999,0.0005118435042175308
33,TSC1,2711.0,2.2486295770036248e-08,2.8367326971430343e-08
34,SUZ12,9624.0,1.3576427099611074e-29,3.3735364308124487e-29
35,AXIN1,239.0,2.8420113476852e-31,8.323033232506657e-31
36,BRD4,8022.0,1.551118290250048e-13,2.146695355282767e-13
37,CTCF,9655.0,5.7155554769593175e-30,1.453257516622214e-29
38,XPA,0.0,2.562143669163401e-34,2.8721591220180756e-33
39,NFE2L2,161.0,2.992419436460368e-32,1.0441633778287243e-31
40,NACA,9779.0,1.6959590463860838e-31,5.198827730977902e-31
41,HRAS,9679.0,2.9138983962592144e-30,7.770395723357905e-30
42,RPL5,7252.0,3.7702231606095934e-08,4.738058224827381e-08
43,MSH6,2688.0,1.6242582441608837e-08,2.056975691446988e-08
44,RPL22,6474.0,0.0003178092558640246,0.00037229084258357165
45,AFF1,9995.0,2.9772381142870293e-34,2.8721591220180756e-33
46,DCTN1,0.0,2.562143669163401e-34,2.8721591220180756e-33
47,MEN1,233.0,2.3932147674893145e-31,7.13613130669541e-31
48,CDC73,1670.0,4.1104400143482813e-16,6.073082543721785e-16
49,YWHAE,4357.0,0.1164436456186547,0.12481541098993051
50,PIM1,1603.0,1.0501756784242259e-16,1.5873623157748666e-16
51,ERCC2,9999.0,2.640284031487027e-34,2.8721591220180756e-33
52,RNF213,3.0,2.8034214499813097e-34,2.8721591220180756e-33
53,RMI2,1781.0,3.719175042529116e-15,5.397740769688275e-15
54,TRRAP,9939.0,1.5840426755453e-33,7.216194410817478e-33
55,FANCD2,222.0,1.745393604232244e-31,5.3008250202608894e-31
56,WWTR1,7086.0,3.4747786730303533e-07,4.300858131147003e-07
57,FANCC,9670.0,3.752901331592365e-30,9.769457434621394e-30
58,BCR,5694.0,0.09017217365092015,0.09729102946546647
59,KDM6A,8672.0,2.94095236216174e-19,4.660059781589616e-19
60,MYD88,3420.0,0.00011369704013177466,0.0001346304301921375
61,TFG,303.0,1.754136869289211e-30,4.834931875015641e-30
62,DDB2,4647.0,0.389075818571608,0.4051329158459918
63,ARID1B,449.0,1.0181082460676186e-28,2.3683652816324744e-28
64,MED12,9983.0,4.266335780333229e-34,3.1803593998847706e-33
65,CTNNA1,3589.0,0.0005681087259128945,0.0006561255707726387
66,SDHAF2,3884.0,0.0064184671203374654,0.007284627043151172
67,AFF4,9305.0,7.17008239203398e-26,1.5172819513465454e-25
68,IL6ST,4863.0,0.7387398454996014,0.7478600905057693
69,DNM2,9648.0,6.95210323330244e-30,1.7540691234793847e-29
70,RPL10,9639.0,8.939040453812737e-30,2.2381719609546394e-29
71,CASP9,9937.0,1.680909704761725e-33,7.55258059125816e-33
72,MLLT6,53.0,1.2489752199981754e-33,6.0244687082264936e-33
73,CDKN2C,9936.0,1.731527026182182e-33,7.674876548483184e-33
74,NFKBIE,8168.0,9.986012406742518e-15,1.417927302775561e-14
75,MET,4437.0,0.16931559722602774,0.1797265886412204
76,ABL1,9568.0,6.386304541212485e-29,1.4962199210840681e-28
77,DDX6,6007.0,0.013921951647328085,0.015638356644943875
78,ELL,4255.0,0.06889571343357263,0.07507572759538812
79,SKI,1665.0,3.715855719134598e-16,5.5149351849599455e-16
80,HIF1A,9083.0,1.9583469429632918e-23,3.6915965361606877e-23
81,PATZ1,554.0,1.7470550963777613e-27,3.979403275082679e-27
82,TCF7L2,125.0,1.0459573084015425e-32,3.770245880060311e-32
83,FUS,317.0,2.603552064023899e-30,6.999713745900319e-30
84,ARNT,9884.0,8.03330830835044e-33,3.028649569125223e-32
85,LATS1,2615.0,5.668301266814424e-09,7.23425220044798e-09
86,FLNA,10000.0,2.562143669163401e-34,2.8721591220180756e-33
87,ERC1,0.0,2.5496171399859843e-34,2.8721591220180756e-33
88,RALGDS,8806.0,1.42687066027583e-20,2.3757034343678796e-20
89,CAMTA1,873.5,6.66627480772158e-24,1.2861989040780459e-23
90,SS18,608.0,7.348293170137731e-27,1.6176108455068294e-26
91,POLG,9239.0,3.9181147184314605e-25,8.032135172784494e-25
92,TPM4,10000.0,2.562143669163401e-34,2.8721591220180756e-33
93,STAG2,9695.0,1.8560717574251073e-30,5.073262803628627e-30
94,CTNNB1,821.0,1.7941784783503137e-24,3.566609338781229e-24
95,SET,9676.0,3.170505292706795e-30,8.386497871030877e-30
96,MYC,5917.0,0.025132117249196548,0.027943506636394805
97,PTEN,41.0,8.738263729916731e-34,4.549445243512202e-33
98,SETD1B,1592.0,8.372744214146591e-17,1.2714167140000378e-16
99,FANCA,0.0,2.562143669163401e-34,2.8721591220180756e-33
100,JAK1,3455.0,0.00016077055598405775,0.00018968612360708973
101,RAF1,1314.0,2.1545022295014346e-19,3.4641016239042674e-19
102,CREBBP,1836.0,1.0783356874495533e-14,1.524543558118334e-14
103,USP8,1781.0,3.7190874362674186e-15,5.397740769688275e-15
104,CYLD,7921.0,9.614384383927857e-13,1.3250075957682089e-12
105,MAP2K4,7561.0,3.942250459787098e-10,5.131183138135587e-10
106,GNA11,4657.0,0.4026708765689534,0.4166436830114092
107,CTNND1,2148.0,3.2302752001157862e-12,4.414709440158241e-12
108,TRIM33,4347.0,0.11086633943506762,0.11922675191705631
109,RAP1GDS1,259.0,5.032343074204837e-31,1.46071551180459e-30
110,RAD21,9875.0,1.0460133386752692e-32,3.770245880060311e-32
111,MAP2K1,2535.0,1.725605456281674e-09,2.2196023123936827e-09
112,KIF5B,9972.0,5.928577658624269e-34,3.739564369286077e-33
113,TRIM27,910.0,1.6481642828698223e-23,3.124843264631802e-23
114,DDIT3,76.0,2.4708538246238897e-33,1.0525195512683583e-32
115,PPP6C,587.0,4.2097384424342044e-27,9.32969060215148e-27
116,SETD2,41.0,8.738263729916731e-34,4.549445243512202e-33
117,SUFU,9805.0,8.018315853618141e-32,2.504769142844524e-31
118,MLLT1,34.0,7.091892275062724e-34,4.062033955267454e-33
119,CDK4,1752.0,2.1065581019210013e-15,3.0846029349557515e-15
120,ABL2,5863.0,0.035080937020574667,0.03874258364561781
121,ATRX,316.0,2.531236928353274e-30,6.861534814048544e-30
122,FH,34.0,7.091892275062724e-34,4.062033955267454e-33
123,TPM3,5462.0,0.2594787585825882,0.2727853615868235
124,CDK12,1293.0,1.3480111276391579e-19,2.199739551570367e-19
125,ARID1A,9775.0,1.9024444786543233e-31,5.724787055033193e-31
126,KTN1,9025.5,7.960707489334386e-23,1.442603346133524e-22
127,PICALM,9253.0,2.7388108988035587e-25,5.685632751946629e-25
128,PML,7708.0,3.7035954413037665e-11,4.938127255071689e-11
129,HNRNPA2B1,1223.0,2.771301140112259e-20,4.5677727334513615e-20
130,TBL1XR1,9443.0,1.8931351920211535e-27,4.2530708423488924e-27
131,ACVR1B,1570.0,5.310689040558256e-17,8.101888396758641e-17
132,PMS1,0.0,2.562143669163401e-34,2.8721591220180756e-33
133,MTOR,9316.0,5.389023733739263e-26,1.155293976906195e-25
134,AKT2,9078.0,2.2146486105207374e-23,4.150884252861725e-23
135,SDHC,341.0,5.109723335136928e-30,1.3196765778936317e-29
136,DEK,10000.0,2.562143669163401e-34,2.8721591220180756e-33
137,ERBB2,1546.0,3.221419189713731e-17,4.937502309467775e-17
138,BRD3,5603.0,0.1409825886167487,0.15013730216329083
139,PIK3CB,2320.0,5.86805871215147e-11,7.792401852573613e-11
140,CRTC3,82.0,2.9506443116405802e-33,1.2097641677726379e-32
141,CHEK2,9965.0,7.30670741953597e-34,4.062033955267454e-33
142,WRN,8980.0,2.394876066726082e-22,4.246050539925163e-22
143,FBXW7,5996.0,0.014999396187634823,0.016791132933598026
144,CHIC2,181.0,5.347900976908811e-32,1.75411152042609e-31
145,NT5C2,1038.0,3.6856759369025177e-22,6.4994715446453e-22
146,NUP214,9127.0,6.592759803260593e-24,1.2795415476150737e-23
147,BRCA1,8778.0,2.7088083159463858e-20,4.487318826416235e-20
148,BRCA2,5752.0,0.06632708495151683,0.07251761288032507
149,RBM15,9953.0,1.0436518761733951e-33,5.266427928998055e-33
150,FANCF,15.0,4.01828327422864e-34,3.065109102202311e-33
151,SS18L1,906.0,1.493310794804336e-23,2.8477089575338497e-23
152,EZR,9887.0,7.355866130826688e-33,2.805493128966458e-32
153,U2AF1,3238.0,1.6771929751350863e-05,2.02249741119231e-05
154,RANBP2,1327.0,2.8764161383090085e-19,4.602265821294413e-19
155,FANCG,686.0,5.676507825095247e-26,1.2090224458644423e-25
156,POLE,7248.0,3.984970322875172e-08,4.9888178087902916e-08
157,HSP90AB1,6047.0,0.010557725369518895,0.011900116567705146
158,EWSR1,9582.0,4.3440027188584264e-29,1.0324876027431623e-28
