,iter,Gene1,Gene2,Edge,Curvature,Response
0,0,FANCB,BRIP1,FANCB;BRIP1,0.19,1
1,0,FANCB,ERCC4,FANCB;ERCC4,0.19,1
2,0,FANCB,FANCI,FANCB;FANCI,0.03,1
3,0,SMC3,NCAPG,SMC3;NCAPG,0.06,1
4,0,SMC3,NDC80,SMC3;NDC80,-0.01,1
5,0,SMC3,PLK1,SMC3;PLK1,0.04,1
6,0,SMC3,RFC3,SMC3;RFC3,0.08,1
7,0,SMC3,RFC5,SMC3;RFC5,-0.03,1
8,0,PSMD4,CCNB2,PSMD4;CCNB2,-0.47,1
9,0,PSMD4,BRCC3,PSMD4;BRCC3,0.22,1
10,0,BRIP1,RAD51AP1,BRIP1;RAD51AP1,0.04,1
11,0,BRIP1,BLM,BRIP1;BLM,0.26,1
12,0,BRIP1,RFC3,BRIP1;RFC3,0.11,1
13,0,BRIP1,BRCC3,BRIP1;BRCC3,-0.42,1
14,0,BRIP1,PLK1,BRIP1;PLK1,-0.08,1
15,0,BRIP1,FANCI,BRIP1;FANCI,0.13,1
16,0,BRIP1,TCHP,BRIP1;TCHP,-0.1,1
17,0,BRIP1,KIF11,BRIP1;KIF11,-0.07,1
18,0,BRIP1,ERCC4,BRIP1;ERCC4,0.33,1
19,0,BRIP1,RFC5,BRIP1;RFC5,0.07,1
20,0,BRIP1,POLE,BRIP1;POLE,0.0,1
21,0,RFC5,RNASEH2A,RFC5;RNASEH2A,0.33,1
22,0,RFC5,RAD51AP1,RFC5;RAD51AP1,-0.01,1
23,0,RFC5,MCM4,RFC5;MCM4,0.12,1
24,0,RFC5,POLA2,RFC5;POLA2,0.29,1
25,0,RFC5,ERCC4,RFC5;ERCC4,0.11,1
26,0,RFC5,POLE,RFC5;POLE,0.37,1
27,0,RFC5,BLM,RFC5;BLM,0.34,1
28,0,RFC5,PRIM1,RFC5;PRIM1,0.24,1
29,0,RFC5,RFC3,RFC5;RFC3,0.34,1
30,0,NUSAP1,RAD51AP1,NUSAP1;RAD51AP1,0.28,1
31,0,NUSAP1,FBXO5,NUSAP1;FBXO5,0.25,1
32,0,NUSAP1,NCAPG,NUSAP1;NCAPG,0.38,1
33,0,NUSAP1,KIF11,NUSAP1;KIF11,0.33,1
34,0,NUSAP1,NDC80,NUSAP1;NDC80,0.31,1
35,0,NUSAP1,MCM4,NUSAP1;MCM4,0.09,1
36,0,NUSAP1,TMPO,NUSAP1;TMPO,0.06,1
37,0,NUSAP1,NUF2,NUSAP1;NUF2,0.34,1
38,0,NUSAP1,CCNB2,NUSAP1;CCNB2,0.32,1
39,0,NUSAP1,PLK1,NUSAP1;PLK1,0.26,1
40,0,NUSAP1,FANCI,NUSAP1;FANCI,0.14,1
41,0,NUSAP1,SPAG5,NUSAP1;SPAG5,0.31,1
42,0,NUSAP1,KNTC1,NUSAP1;KNTC1,0.28,1
43,0,NUSAP1,CENPF,NUSAP1;CENPF,0.35,1
44,0,NUSAP1,ZWINT,NUSAP1;ZWINT,0.3,1
45,0,NUSAP1,HELLS,NUSAP1;HELLS,0.12,1
46,0,NUSAP1,PRC1,NUSAP1;PRC1,0.38,1
47,0,NUSAP1,KPNA2,NUSAP1;KPNA2,0.12,1
48,0,NUSAP1,CCNA2,NUSAP1;CCNA2,0.32,1
49,0,CCNB2,MYBL2,CCNB2;MYBL2,0.19,1
50,0,CCNB2,RAD51AP1,CCNB2;RAD51AP1,0.2,1
51,0,CCNB2,NCAPG,CCNB2;NCAPG,0.34,1
52,0,CCNB2,KIF11,CCNB2;KIF11,0.28,1
53,0,CCNB2,NDC80,CCNB2;NDC80,0.32,1
54,0,CCNB2,MCM4,CCNB2;MCM4,0.02,1
55,0,CCNB2,NUF2,CCNB2;NUF2,0.34,1
56,0,CCNB2,KPNA2,CCNB2;KPNA2,0.13,1
57,0,CCNB2,INCENP,CCNB2;INCENP,0.26,1
58,0,CCNB2,CCNA2,CCNB2;CCNA2,0.33,1
59,0,CCNB2,KNTC1,CCNB2;KNTC1,0.25,1
60,0,CCNB2,SPAG5,CCNB2;SPAG5,0.34,1
61,0,CCNB2,ZWINT,CCNB2;ZWINT,0.36,1
62,0,CCNB2,LIN54,CCNB2;LIN54,0.07,1
63,0,CCNB2,PLK1,CCNB2;PLK1,0.32,1
64,0,CCNB2,PRC1,CCNB2;PRC1,0.38,1
65,0,CCNB2,CENPF,CCNB2;CENPF,0.41,1
66,0,KPNA2,NCAPG,KPNA2;NCAPG,0.13,1
67,0,KPNA2,PRC1,KPNA2;PRC1,0.13,1
68,0,NUF2,MYBL2,NUF2;MYBL2,0.14,1
69,0,NUF2,RAD51AP1,NUF2;RAD51AP1,0.29,1
70,0,NUF2,FBXO5,NUF2;FBXO5,0.26,1
71,0,NUF2,NCAPG,NUF2;NCAPG,0.4,1
72,0,NUF2,KIF11,NUF2;KIF11,0.36,1
73,0,NUF2,NDC80,NUF2;NDC80,0.42,1
74,0,NUF2,PLK1,NUF2;PLK1,0.37,1
75,0,NUF2,HELLS,NUF2;HELLS,0.1,1
76,0,NUF2,RFC3,NUF2;RFC3,0.01,1
77,0,NUF2,CENPF,NUF2;CENPF,0.42,1
