,Edge,U,pval,adj_pvals
0,FANCB;BRIP1,1740.0,1.945618013436054e-16,3.0535393821982513e-16
1,FANCB;ERCC4,9753.5,7.635330617356569e-32,2.1303515055834378e-31
2,FANCB;FANCI,1050.0,1.3831586485885266e-23,2.718207431139191e-23
3,SMC3;NCAPG,9998.5,2.8725831540860295e-35,1.4426750951632059e-34
4,SMC3;NDC80,9998.5,8.941374519357818e-35,3.6740920752270305e-34
5,SMC3;PLK1,10000.0,5.736976972084043e-35,2.593113591381987e-34
6,SMC3;RFC3,10000.0,7.473151646301428e-35,3.311631906008084e-34
7,SMC3;RFC5,10000.0,1.0347749037953307e-34,4.102791723820083e-34
8,PSMD4;CCNB2,2275.0,2.1461852303986738e-11,2.939623406485456e-11
9,PSMD4;BRCC3,6044.5,0.010217415362457018,0.011209397436481972
10,BRIP1;RAD51AP1,7358.0,7.821581027871868e-10,1.0337294223971008e-09
11,BRIP1;BLM,8412.5,1.3617162476462342e-19,2.29662591020932e-19
12,BRIP1;RFC3,7518.5,8.19589762151012e-11,1.1091454266235251e-10
13,BRIP1;BRCC3,7773.0,9.814136880703131e-12,1.3607330889809249e-11
14,BRIP1;PLK1,3416.5,4.042727889635469e-05,4.685417964398031e-05
15,BRIP1;FANCI,1901.0,6.705845558452573e-16,1.0240007406826226e-15
16,BRIP1;TCHP,780.0,4.0564634579010325e-25,8.488525384126234e-25
17,BRIP1;KIF11,8868.0,1.1425760788727519e-22,2.1340677175639826e-22
18,BRIP1;ERCC4,9964.5,4.971532264670915e-35,2.2929924322767896e-34
19,BRIP1;RFC5,4738.0,0.4911145627835922,0.506812288534666
20,BRIP1;POLE,9343.5,1.4852943404582359e-27,3.356765209435613e-27
21,RFC5;RNASEH2A,2768.5,1.827472703606605e-09,2.3873342833242357e-09
22,RFC5;RAD51AP1,7860.0,5.177114027394559e-13,7.40523905184285e-13
23,RFC5;MCM4,5110.0,0.7707554864502703,0.7776372318650048
24,RFC5;POLA2,1669.5,1.2916390103727892e-18,2.1152928720597852e-18
25,RFC5;ERCC4,9980.0,1.576929217364428e-34,6.040440730921368e-34
26,RFC5;POLE,84.0,4.3907779230167625e-37,3.423342554051051e-36
27,RFC5;BLM,2095.0,3.993333548490665e-15,5.9374564602558575e-15
28,RFC5;PRIM1,284.0,1.8689665655757592e-32,5.707924916488129e-32
29,RFC5;RFC3,5191.0,0.5788530105065564,0.5919492324637183
30,NUSAP1;RAD51AP1,510.0,3.4731357143268907e-31,9.127077574859038e-31
31,NUSAP1;FBXO5,7112.5,4.483825734830651e-11,6.104485638986307e-11
32,NUSAP1;NCAPG,745.5,7.047577111439364e-30,1.7126370184788134e-29
33,NUSAP1;KIF11,1492.5,6.879831494152075e-23,1.3176626421003127e-22
34,NUSAP1;NDC80,1739.5,3.78328867281844e-20,6.47744878831036e-20
35,NUSAP1;MCM4,3719.0,0.0005940794430655466,0.0006713097706640675
36,NUSAP1;TMPO,10000.0,3.6244601192700965e-36,2.2138594242028155e-35
37,NUSAP1;NUF2,3298.0,2.829288863687714e-10,3.7835460543989546e-10
38,NUSAP1;CCNB2,682.0,3.311063320081998e-29,7.635717452433995e-29
39,NUSAP1;PLK1,1744.0,2.896772581485856e-20,4.997485522258042e-20
40,NUSAP1;FANCI,1175.0,5.523690015180719e-24,1.1146017352061094e-23
41,NUSAP1;SPAG5,2114.0,2.0209608895209955e-18,3.2858788563434894e-18
42,NUSAP1;KNTC1,9943.0,1.3439825907934399e-37,1.446381264377702e-36
43,NUSAP1;CENPF,5000.0,1.0,1.0
44,NUSAP1;ZWINT,130.0,3.5574305923208663e-35,1.7477811170967733e-34
45,NUSAP1;HELLS,9995.0,7.705931632843322e-36,4.3538513725564773e-35
46,NUSAP1;PRC1,0.0,2.945052060518874e-42,2.5947312266530935e-40
47,NUSAP1;KPNA2,95.5,1.3546352920010917e-36,9.56711174975771e-36
48,NUSAP1;CCNA2,102.0,6.197830592273768e-39,1.1672580948782263e-37
49,CCNB2;MYBL2,1610.0,1.017242557536791e-18,1.678078963527845e-18
50,CCNB2;RAD51AP1,22.0,2.0709895237583192e-40,7.800727206156336e-39
51,CCNB2;NCAPG,2.0,4.95955555291114e-41,2.802148887394794e-39
52,CCNB2;KIF11,94.5,1.9606234182745065e-36,1.3427299773637528e-35
53,CCNB2;NDC80,1572.5,2.3577167521776997e-22,4.367573655673444e-22
54,CCNB2;MCM4,0.0,4.339224828350214e-36,2.5806968715977587e-35
55,CCNB2;NUF2,297.0,5.636597089898038e-38,7.398175855416204e-37
56,CCNB2;KPNA2,0.0,1.5426443541442786e-37,1.584716472893668e-36
57,CCNB2;INCENP,7872.5,5.884819237037302e-17,9.300483549443569e-17
58,CCNB2;CCNA2,40.0,3.675258558609085e-39,9.59076773411828e-38
59,CCNB2;KNTC1,9397.0,2.2880042752353253e-29,5.443041749507195e-29
60,CCNB2;SPAG5,3423.5,1.931310681696696e-06,2.32168198969922e-06
61,CCNB2;ZWINT,140.0,2.0288472429704552e-37,1.8389009150886492e-36
62,CCNB2;LIN54,6802.0,4.572083699096332e-06,5.438373242083006e-06
63,CCNB2;PLK1,147.0,2.7595608326837956e-39,8.909439259807683e-38
64,CCNB2;PRC1,2653.0,8.649543410223094e-13,1.221748006694012e-12
65,CCNB2;CENPF,5807.5,0.007733312658753973,0.008525505662821453
66,KPNA2;NCAPG,4227.5,0.027460132738736133,0.029412274876560975
67,KPNA2;PRC1,2720.0,6.483848105536993e-10,8.619703952066826e-10
68,NUF2;MYBL2,1826.0,3.0824024771318957e-16,4.804296274702127e-16
69,NUF2;RAD51AP1,6460.0,3.90068796763367e-07,4.7142004314717083e-07
70,NUF2;FBXO5,9839.0,8.687078399109559e-35,3.635703181849556e-34
71,NUF2;NCAPG,5051.5,0.7286171286427056,0.7384191527948496
72,NUF2;KIF11,1400.0,7.202818095395418e-26,1.535695178829589e-25
73,NUF2;NDC80,3784.0,3.650611062545955e-07,4.45966540613722e-07
74,NUF2;PLK1,378.0,7.4754694507701245e-34,2.5991632244216123e-33
75,NUF2;HELLS,6824.5,2.214336690700864e-06,2.6478311751237845e-06
76,NUF2;RFC3,6954.0,3.8164938417410383e-07,4.6372452055563155e-07
77,NUF2;CENPF,4902.0,0.42013064486742535,0.4375554181568577
78,NUF2;PRC1,1619.5,2.4740115097334533e-21,4.334314737982639e-21
79,NUF2;KNTC1,9990.5,4.742397101036583e-38,6.698635905214173e-37
80,NUF2;CCNA2,2550.0,9.412289953856557e-16,1.4276359258869676e-15
81,NUF2;INCENP,4485.0,0.15181011141452774,0.15883835731334847
82,NUF2;ZWINT,0.0,6.002142063344163e-38,7.398175855416204e-37
83,NUF2;SPAG5,4208.0,0.018335614722245645,0.01982702835994027
84,NUF2;DSN1,224.0,6.631598830726213e-33,2.1109032897804566e-32
85,LIN54;MYBL2,8982.0,3.4977102536247744e-23,6.756260831788025e-23
86,LIN54;PLK1,8199.5,5.910026979756428e-16,9.086163928060903e-16
87,LIN54;CCNA2,9793.5,8.697063656773496e-33,2.7299116478205695e-32
88,PRIM1;RNASEH2A,4163.5,0.01589141065400408,0.017266628883677512
89,PRIM1;MCM4,9902.0,4.4232360087545147e-35,2.0826069541219174e-34
90,PRIM1;POLA2,8955.0,4.420994916765428e-26,9.515665249418921e-26
91,PRIM1;CHAF1B,9217.5,2.5799359510381445e-26,5.606399278217507e-26
92,PRIM1;POLE,7152.0,6.70706080518842e-09,8.56381775125753e-09
93,PRIM1;CCNA2,10000.0,2.636315306983241e-35,1.3541074076777557e-34
94,PRIM1;RFC3,6707.0,6.106646807730547e-06,7.188032179932831e-06
95,PRIM1;HELLS,9657.5,3.2995751304960583e-31,8.877428327287013e-31
96,FANCI;RAD51AP1,294.5,6.606048953997171e-34,2.332761036880251e-33
97,FANCI;NCAPG,455.5,9.589679023930606e-32,2.6430090968394107e-31
98,FANCI;KIF11,1002.0,3.3771195562030353e-25,7.13298149254099e-25
99,FANCI;MCM4,162.5,6.0829133709318495e-34,2.1821244790961874e-33
100,FANCI;ERCC4,9607.0,1.1799317000666883e-29,2.8368570661177827e-29
101,FANCI;BLM,1652.0,2.228811990765876e-19,3.703761102302117e-19
102,FANCI;PRC1,2516.5,1.48875642892011e-11,2.051578981316737e-11
103,FANCI;HELLS,25.5,7.83015884404563e-37,5.8987196625143736e-36
104,FANCI;CCNA2,190.0,9.745504924851666e-34,3.2872897209201136e-33
105,FANCI;KNTC1,3475.5,1.0073576985710334e-05,1.1796002066168578e-05
106,PRC1;RAD51AP1,462.0,3.1871994844053447e-32,9.477724782573787e-32
107,PRC1;NCAPG,31.0,4.243702537220478e-39,9.59076773411828e-38
108,PRC1;KIF11,45.5,2.0467040189506552e-38,3.5581162175603697e-37
109,PRC1;NDC80,1710.0,1.2655565275867022e-21,2.2520927183826355e-21
110,PRC1;MCM4,200.0,2.1451517414772017e-33,6.925775622483537e-33
111,PRC1;PLK1,37.5,1.952621333491543e-37,1.8389009150886492e-36
112,PRC1;SPAG5,9736.0,4.6566642565883445e-38,6.698635905214173e-37
113,PRC1;KNTC1,9848.0,2.7353292525003996e-36,1.787436591884377e-35
114,PRC1;CENPF,7300.0,8.755412382346317e-13,1.2229380657594298e-12
115,PRC1;ZWINT,1518.0,1.0415407920795099e-23,2.0648089386839406e-23
116,PRC1;CIT,9745.5,1.6062310754912743e-33,5.3383562214857056e-33
117,PRC1;CCNA2,0.0,2.906862174392425e-42,2.5947312266530935e-40
118,PRC1;INCENP,9777.5,2.7681540139802297e-36,1.787436591884377e-35
119,ZWINT;RAD51AP1,0.5,3.200756761330559e-36,2.0093639668352954e-35
120,ZWINT;NCAPG,219.0,1.173393980261798e-34,4.5721903368821775e-34
121,ZWINT;KIF11,0.0,4.649049388221276e-38,6.698635905214173e-37
122,ZWINT;NDC80,36.0,2.0341824281954085e-37,1.8389009150886492e-36
123,ZWINT;MCM4,122.5,9.24770375025876e-35,3.7321090134972856e-34
124,ZWINT;PLK1,5.5,6.219705365172915e-38,7.398175855416204e-37
125,ZWINT;SPAG5,5012.0,0.9628135033821201,0.9670926745082629
126,ZWINT;KNTC1,3495.5,4.285242484639634e-05,4.941146946574272e-05
127,ZWINT;CENPF,4950.0,0.5656590880740384,0.5810861541124213
128,ZWINT;DSN1,591.5,2.772199645245729e-29,6.458939379644689e-29
129,ZWINT;INCENP,1670.0,1.9113899207082847e-19,3.1998083117042394e-19
130,ZWINT;CCNA2,15.0,3.9385886390776785e-39,9.59076773411828e-38
131,PLK1;MYBL2,1270.0,8.514978404704418e-23,1.6171303524900827e-22
132,PLK1;FBXO5,7467.5,8.766193214735735e-13,1.2229380657594298e-12
133,PLK1;NCAPG,3950.0,0.0013015655499581309,0.001463451812390734
134,PLK1;KIF11,549.0,1.1054547698479146e-31,3.01003346970637e-31
135,PLK1;NDC80,1950.0,1.2636881057730132e-17,2.011221914821838e-17
136,PLK1;MCM4,104.0,3.9479407938906203e-35,1.8983715306793197e-34
137,PLK1;BLM,3602.5,0.00015527041513793634,0.0001772278475816849
138,PLK1;CENPF,217.5,1.0478463820412895e-36,7.639138140042949e-36
139,PLK1;CENPJ,284.0,4.188385758037034e-31,1.0880174497889308e-30
140,PLK1;ERCC4,9375.0,7.354659681163664e-27,1.645696126676226e-26
141,PLK1;SPAG5,792.0,5.373399733082421e-29,1.2266548885622496e-28
142,PLK1;DSN1,39.5,8.035449068044343e-35,3.4264367724113616e-34
143,PLK1;CCNA2,190.0,8.894305616100167e-38,1.0050565346193189e-36
144,PLK1;INCENP,171.0,3.592048738273546e-34,1.330824614507904e-33
145,PLK1;KNTC1,8539.0,8.628551675131767e-23,1.6250438988164826e-22
146,RAD51AP1;FBXO5,9941.5,1.6396400831931167e-35,8.617643227945219e-35
147,RAD51AP1;KIF11,67.5,6.167603436352384e-39,1.1672580948782263e-37
148,RAD51AP1;KNTC1,8771.0,1.437276626904076e-24,2.9263470061290198e-24
149,RAD51AP1;NCAPG,1600.0,5.445874073254778e-22,9.84614032444464e-22
150,RAD51AP1;CCNA2,4668.0,0.11103795526868498,0.11671896693359445
151,RAD51AP1;RFC3,344.0,6.258456113730901e-32,1.7903937743078275e-31
152,RAD51AP1;CENPF,6642.0,1.231277783572506e-07,1.5205944212425482e-07
153,RAD51AP1;BLM,2732.5,1.3381152752179897e-09,1.7582212337166609e-09
154,RNASEH2A;POLE,4017.5,0.00757961850200628,0.008397028340457939
155,RNASEH2A;MCM4,159.0,3.2221377196208925e-34,1.2136718743905361e-33
156,RNASEH2A;RFC3,3305.5,4.959323132373455e-06,5.868099622598957e-06
157,RNASEH2A;BLM,12.0,1.262951084882101e-35,6.961632809350118e-35
158,CENPJ;KIF11,5998.0,0.01368473479675004,0.01494082156553386
159,CENPJ;RTTN,8523.0,3.736227770917013e-18,5.9885636611861345e-18
160,CHAF1A;MCM4,2109.0,5.342384357162623e-13,7.593577765526748e-13
161,CHAF1A;KNTC1,3256.5,1.2007234029347444e-05,1.398780871460063e-05
162,CHAF1A;CHAF1B,891.0,1.1959485884360162e-24,2.4571307362412696e-24
163,BLM;MCM4,1069.0,1.422676783603768e-23,2.771766837021134e-23
164,BLM;ERCC4,6427.5,0.0002992215154741073,0.0003398194095334083
165,BLM;POLE,473.5,4.293796111076316e-30,1.0547803490252688e-29
166,BLM;RFC3,521.0,5.472397074117732e-31,1.405411066762054e-30
167,BLM;HELLS,1175.5,4.1857130139548774e-22,7.6287995254338895e-22
168,CENPF;MYBL2,1241.5,6.402356094212793e-22,1.1483591089619772e-21
169,CENPF;NCAPG,3416.0,1.286966179117426e-08,1.6248846730756327e-08
170,CENPF;KIF11,4550.0,0.04720081993080831,0.05031785520925792
171,CENPF;NDC80,3915.0,0.000132180391519851,0.0001516384186979001
172,CENPF;SPAG5,5350.0,0.061226656915216754,0.06496349513069946
173,CENPF;KNTC1,9968.5,4.331827518201229e-37,3.423342554051051e-36
174,CENPF;HELLS,7302.5,2.345044055092012e-09,3.028456894004541e-09
175,CENPF;INCENP,9804.0,1.4056935896181144e-35,7.563970267945091e-35
176,CENPF;CCNA2,746.0,6.43355336773746e-32,1.8174788263858323e-31
177,HELLS;KIF11,9407.0,2.62468715161059e-29,6.178951002749931e-29
178,HELLS;MCM4,7898.0,4.509174258882869e-14,6.574666983919539e-14
179,HELLS;CCNA2,9609.5,3.356393472261129e-31,8.924057938011944e-31
180,CIT;KIF11,9736.0,1.8332124361899156e-33,6.0044349359263906e-33
181,CIT;INCENP,9675.0,4.524152960009747e-32,1.3108443191823114e-31
182,NDC80;FBXO5,8207.0,9.788459061806103e-20,1.663302066141488e-19
183,NDC80;NCAPG,7650.0,6.113902048935049e-14,8.857319634995648e-14
184,NDC80;KIF11,3362.0,1.7074784630011082e-08,2.1438340702125025e-08
185,NDC80;SPAG5,4854.0,0.4359074105487466,0.45190401277071895
186,NDC80;DSN1,3829.5,0.0013566354894231191,0.0015178199040080443
187,NDC80;KNTC1,8665.0,8.988791750743891e-24,1.7977583501487782e-23
188,NDC80;INCENP,427.0,2.0850797069758913e-32,6.283040183687352e-32
189,NDC80;CCNA2,3684.0,2.1750887494893502e-07,2.6715763988293103e-07
190,ERCC4;RFC3,9944.0,7.975847223020511e-34,2.7311234430342963e-33
191,ERCC4;POLE,1924.5,2.458891418876802e-14,3.608502991338684e-14
192,MYBL2;NCAPG,2556.5,8.508531388632104e-11,1.1446000558516997e-10
