,Gene,U,pval,adj_pvals
0,FANCB,7660.0,8.129061464223535e-11,9.987132656046057e-11
1,SMC3,10000.0,2.562143669163401e-34,1.5070085987941587e-33
2,PSMD4,4527.0,0.24829472672936692,0.26040666461860434
3,BRIP1,8924.0,9.100352185857592e-22,1.778705199963075e-21
4,RFC5,9707.0,1.322064398341603e-30,4.3729822406683794e-30
5,NUSAP1,5444.0,0.27852313017915076,0.28515463327865437
6,CCNB2,0.0,2.562143669163401e-34,1.5070085987941587e-33
7,KPNA2,63.0,1.680909704761725e-33,8.031013033861574e-33
8,NUF2,3278.0,2.5959252172782896e-05,2.7906196085741614e-05
9,LIN54,9559.0,8.176578277775121e-29,2.343952439628868e-28
10,PRIM1,10000.0,2.562143669163401e-34,1.5070085987941587e-33
11,FANCI,225.0,1.9024444786543233e-31,6.817092715177992e-31
12,PRC1,1652.0,2.8562949570837023e-16,3.838146348581225e-16
13,ZWINT,0.0,2.562143669163401e-34,1.5070085987941587e-33
14,PLK1,437.0,7.32653574025634e-29,2.25029312022159e-28
15,RAD51AP1,1946.0,8.594130405119949e-14,1.1198412346065388e-13
16,RNASEH2A,2323.0,6.162984747855117e-11,7.794363063463825e-11
17,TMPO,10000.0,2.553786010990682e-34,1.5070085987941587e-33
18,CENPJ,4640.0,0.3797276039463664,0.3797276039463664
19,CHAF1A,1406.0,1.630131482946874e-18,2.4170915091970893e-18
20,BLM,998.0,1.4103012256701596e-22,2.887759652562708e-22
21,CENPF,9105.0,1.137889284487879e-23,2.4464619616489398e-23
22,HELLS,9281.0,1.333529623046575e-25,3.017988094263301e-25
23,CIT,9997.0,2.8037369279891326e-34,1.5070085987941587e-33
24,NDC80,8419.0,6.670588303616214e-17,9.252751517919265e-17
25,BRCC3,7535.0,5.911628723705597e-10,7.061112086648351e-10
26,TCHP,661.5,2.9981800280494024e-26,7.162318955895794e-26
27,RTTN,8670.5,3.040262507678601e-19,4.84189954926592e-19
28,ERCC4,9924.0,2.4708538246238897e-33,1.0624671445882726e-32
29,MYBL2,2646.0,8.897161660760197e-09,1.0067840826649696e-08
30,POLA2,9901.0,4.87279115100913e-33,1.9048183590308417e-32
31,DSN1,1376.0,8.472577878807795e-19,1.301145888531197e-18
32,INCENP,8724.0,9.204563676103558e-20,1.583184952289812e-19
33,MCM4,1538.0,2.7249077643377893e-17,3.9057011288841646e-17
34,FBXO5,9999.0,2.640284031487027e-34,1.5070085987941587e-33
35,CCNA2,625.0,1.15089341742546e-26,2.911083349958517e-26
36,KNTC1,9999.0,2.640284031487027e-34,1.5070085987941587e-33
37,KIF11,1106.0,1.8464663162987842e-21,3.3082521500353217e-21
38,POLE,8707.0,1.3480111276391579e-19,2.229403018787838e-19
39,CHAF1B,9476.0,7.807218694149609e-28,2.0981900240527076e-27
40,SPAG5,7465.0,1.725605456281674e-09,2.005433368111135e-09
41,RFC3,8917.0,1.0739008444114559e-21,2.007727665638809e-21
42,NCAPG,2961.0,6.330616961933581e-07,6.979911009311385e-07
