,iter,Gene1,Gene2,Edge,Curvature,Response
0,0,ZWINT,RAD51AP1,ZWINT;RAD51AP1,0.02,1
1,0,ZWINT,NCAPG,ZWINT;NCAPG,0.07,1
2,0,ZWINT,KIF11,ZWINT;KIF11,0.06,1
3,0,ZWINT,NDC80,ZWINT;NDC80,0.08,1
4,0,ZWINT,NUF2,ZWINT;NUF2,0.07,1
5,0,ZWINT,CCNB2,ZWINT;CCNB2,0.05,1
6,0,ZWINT,PLK1,ZWINT;PLK1,0.01,1
7,0,ZWINT,KNTC1,ZWINT;KNTC1,0.01,1
8,0,ZWINT,CENPF,ZWINT;CENPF,0.06,1
9,0,ZWINT,NUSAP1,ZWINT;NUSAP1,0.06,1
10,0,ZWINT,DSN1,ZWINT;DSN1,0.02,1
11,0,ZWINT,INCENP,ZWINT;INCENP,0.03,1
12,0,ZWINT,CCNA2,ZWINT;CCNA2,0.03,1
13,0,SPAG5,KIF11,SPAG5;KIF11,0.04,1
14,0,SPAG5,NDC80,SPAG5;NDC80,0.06,1
15,0,SPAG5,PLK1,SPAG5;PLK1,0.03,1
16,0,SPAG5,NUSAP1,SPAG5;NUSAP1,0.06,1
17,0,SPAG5,CCNA2,SPAG5;CCNA2,0.05,1
18,0,SPAG5,CENPF,SPAG5;CENPF,0.07,1
19,0,BLM,BRIP1,BLM;BRIP1,0.07,1
20,0,CENPJ,PLK1,CENPJ;PLK1,0.0,1
21,0,MYBL2,CCNB2,MYBL2;CCNB2,-0.01,1
22,0,MYBL2,PLK1,MYBL2;PLK1,-0.01,1
23,0,MYBL2,LIN54,MYBL2;LIN54,0.02,1
24,0,MYBL2,CCNA2,MYBL2;CCNA2,-0.01,1
25,0,RFC5,MCM4,RFC5;MCM4,0.03,1
26,0,RFC5,POLA2,RFC5;POLA2,0.1,1
27,0,RFC5,PRIM1,RFC5;PRIM1,0.08,1
28,0,RFC5,RFC3,RFC5;RFC3,0.1,1
29,0,PLK1,FBXO5,PLK1;FBXO5,0.02,1
30,0,PLK1,KIF11,PLK1;KIF11,0.04,1
31,0,PLK1,NDC80,PLK1;NDC80,0.04,1
32,0,PLK1,MCM4,PLK1;MCM4,-0.08,1
33,0,PLK1,NUF2,PLK1;NUF2,0.03,1
34,0,PLK1,CCNB2,PLK1;CCNB2,0.05,1
35,0,PLK1,CENPF,PLK1;CENPF,0.04,1
36,0,PLK1,PRC1,PLK1;PRC1,0.04,1
37,0,PLK1,SMC3,PLK1;SMC3,0.01,1
38,0,PLK1,CCNA2,PLK1;CCNA2,0.07,1
39,0,PLK1,INCENP,PLK1;INCENP,0.03,1
40,0,DSN1,NDC80,DSN1;NDC80,0.04,1
41,0,DSN1,NUF2,DSN1;NUF2,0.04,1
42,0,NCAPG,RAD51AP1,NCAPG;RAD51AP1,0.05,1
43,0,NCAPG,KIF11,NCAPG;KIF11,0.07,1
44,0,NCAPG,NDC80,NCAPG;NDC80,0.07,1
45,0,NCAPG,NUF2,NCAPG;NUF2,0.08,1
46,0,NCAPG,CCNB2,NCAPG;CCNB2,0.07,1
47,0,NCAPG,PRC1,NCAPG;PRC1,0.07,1
48,0,NCAPG,CENPF,NCAPG;CENPF,0.08,1
49,0,NCAPG,CCNA2,NCAPG;CCNA2,0.06,1
50,0,NCAPG,NUSAP1,NCAPG;NUSAP1,0.09,1
51,0,ERCC4,FANCI,ERCC4;FANCI,0.03,1
52,0,PRIM1,RNASEH2A,PRIM1;RNASEH2A,0.05,1
53,0,PRIM1,MCM4,PRIM1;MCM4,0.02,1
54,0,PRIM1,POLA2,PRIM1;POLA2,0.1,1
55,0,PRIM1,POLE,PRIM1;POLE,0.1,1
56,0,PRIM1,RFC3,PRIM1;RFC3,0.09,1
57,0,PRC1,KIF11,PRC1;KIF11,0.05,1
58,0,PRC1,CCNB2,PRC1;CCNB2,0.07,1
59,0,PRC1,CENPF,PRC1;CENPF,0.08,1
60,0,PRC1,NUSAP1,PRC1;NUSAP1,0.07,1
61,0,PRC1,CCNA2,PRC1;CCNA2,0.06,1
62,0,PRC1,INCENP,PRC1;INCENP,0.06,1
63,0,KIF11,RAD51AP1,KIF11;RAD51AP1,0.03,1
64,0,KIF11,FANCI,KIF11;FANCI,-0.13,1
65,0,KIF11,NDC80,KIF11;NDC80,0.07,1
66,0,KIF11,NUF2,KIF11;NUF2,0.06,1
