,Gene,U,pval,adj_pvals
0,MYBL2,5214.0,0.6006193637147297,0.6006193637147297
1,MCM4,3570.0,0.00043221809398550856,0.0005093998964829208
2,SMC3,10000.0,3.508820193560116e-35,1.1129678875974444e-33
3,RFC3,9899.0,2.4916413717900167e-33,7.47492411537005e-33
4,DSN1,3931.0,0.008672835457565163,0.009869088624125876
5,POLE,9912.5,2.1158015963578695e-33,6.982145267980969e-33
6,BLM,7443.5,3.828004603478228e-10,5.052966076591261e-10
7,CENPJ,1290.5,1.494778447234305e-20,2.740427153262893e-20
8,NUSAP1,7936.0,5.39647445308865e-13,7.420152372996894e-13
9,KIF11,5763.5,0.06174760462023498,0.06367721726461732
10,NCAPG,8866.0,2.32008027657091e-21,4.503685242755296e-21
11,FBXO5,9938.0,3.450396080033562e-34,1.581690261485563e-33
12,SPAG5,9793.5,4.060546963959249e-32,1.0307542293127326e-31
13,KNTC1,10000.0,1.064618599579572e-34,1.1129678875974444e-33
14,RNASEH2A,2064.5,2.09175016379613e-13,3.001206756750969e-13
15,RFC5,7257.0,2.0822066138811932e-08,2.6428007022338223e-08
16,LIN54,9296.0,4.7473393221808433e-26,1.0444146508797856e-25
17,RAD51AP1,3478.5,0.0001094016329444389,0.000133713106932092
18,PLK1,102.5,4.3611271950964775e-33,1.1993099786515313e-32
19,NUF2,3946.0,0.009693190054507802,0.010662509059958582
20,NDC80,9973.0,3.834400633904395e-34,1.581690261485563e-33
21,PRC1,4216.0,0.05230646895263339,0.05568107985280328
22,ZWINT,0.0,2.279349066698581e-34,1.2536419866842196e-33
23,CCNB2,0.0,2.2009669373505044e-34,1.2536419866842196e-33
24,FANCB,1846.0,3.3077033998350806e-15,5.19781962831227e-15
25,POLA2,10000.0,1.0947951198738807e-34,1.1129678875974444e-33
26,CENPF,9067.0,1.670059620371205e-23,3.4444979670156106e-23
27,CCNA2,1918.5,4.141127406348023e-14,6.211691109522036e-14
28,ERCC4,9943.5,8.674954592602235e-34,3.180816683954153e-33
29,FANCI,8766.0,2.664108984775375e-20,4.627136657767756e-20
30,INCENP,8323.0,3.8439145424014833e-16,6.342458994962447e-16
31,BRIP1,330.5,9.890271709398532e-31,2.3312783315010826e-30
32,PRIM1,10000.0,1.3490519849665992e-34,1.1129678875974444e-33
