,Edge,U,pval,adj_pvals
0,ATR;RFC2,957.5,3.585343048836703e-27,2.0812255167197072e-26
1,ATR;MSH2,995.0,1.5462196572709782e-27,9.221165756072343e-27
2,ATR;RPA1,5746.0,0.03295720900359727,0.03955493435226784
3,ATR;HUS1,3625.0,6.070769278574879e-05,8.977797793726438e-05
4,ATR;KIF11,3533.0,4.475211343826582e-05,6.674821605488877e-05
5,ATR;TOPBP1,2873.0,5.3184761121500605e-11,1.1021150846154413e-10
6,ATR;NBN,474.0,1.0432449447959486e-33,1.5097073396529875e-32
7,ATR;DBF4,891.0,1.7436636273819926e-30,1.4581145802114656e-29
8,ATR;CDK2,7113.0,2.509474704364286e-09,4.773352001872037e-09
9,ATR;FANCM,915.0,1.5824902116825058e-28,1.0400926095460832e-27
10,ATR;TP53,7181.0,2.8760322300833648e-09,5.452287301166907e-09
11,ATR;ATM,2072.5,6.816389678223568e-17,1.9089597489854486e-16
12,ATR;FANCD2,6834.0,1.8456833485221635e-07,3.1667834679140875e-07
13,ATR;WRN,625.0,3.174791430270771e-31,2.941419599051358e-30
14,ATR;FANCI,2854.5,1.7145217439121186e-11,3.6483090854963787e-11
15,ATR;RAD9A,3751.0,5.023264510991463e-05,7.468653742821712e-05
16,ATR;CLSPN,3121.5,2.961291861105975e-10,5.925198318592937e-10
17,ATR;ATRIP,2148.0,3.914289019006349e-15,9.96020859518548e-15
18,ATR;PPP2R2A,1629.5,7.210384933637184e-19,2.2688384249664796e-18
19,ATR;MRE11,2720.0,1.2637843568668304e-10,2.5718284029558293e-10
20,ATR;RPA2,6198.0,0.0003030625122656773,0.0004284468280077841
21,ATR;XRCC5,6427.0,9.675735388152624e-05,0.00014124678907904842
22,ATR;RAD50,3637.5,2.8491571815557673e-06,4.576017012644706e-06
23,ATR;RAD1,352.0,5.045861043866041e-34,7.864463753513909e-33
24,ATR;MDC1,1960.0,2.875785637311933e-17,8.222439327878251e-17
25,ATR;RAD17,3334.5,6.4947811409433e-08,1.1425611723028805e-07
26,ATR;CHEK2,3179.0,1.5899629626009968e-08,2.8964421751176676e-08
27,ATR;FANCG,6735.5,2.2780299598587433e-07,3.890919124986346e-07
28,ATR;CDC7,260.0,3.308277099583779e-33,4.2694860837566973e-32
29,ATR;CHEK1,1093.5,2.3551938998725137e-26,1.272613356197208e-25
30,ATR;BLM,1496.0,1.4897211624144846e-21,5.523570186949779e-21
31,ATR;FANCA,2069.0,1.4308949447831945e-16,3.946803948232321e-16
32,ATR;BRCA1,4827.5,0.6314074013348375,0.6580645018878811
33,ATR;EXO1,2624.5,3.866154262323222e-12,8.507942114271592e-12
34,ATR;H2AX,3298.5,4.393694775990064e-06,6.979525516156374e-06
35,ATR;RAD52,7561.0,2.4919342774391266e-14,6.091932534555068e-14
36,ATR;TP53BP1,7795.0,2.3513467562932953e-14,5.759427171543306e-14
37,ATR;RBBP8,7.0,8.611577527520444e-37,5.391103571596389e-35
38,ATR;RAD51,7892.5,4.4062076989186104e-15,1.118681143545749e-14
39,ATR;TIMELESS,4711.0,0.2919999879719647,0.31847645237369643
40,ATR;DNA2,4534.5,0.1191450163204597,0.13577714773480126
