,Gene,U,pval,adj_pvals
0,ATR,1786.0,4.069773572186857e-15,1.2781874413027925e-14
1,MAPK3,8005.5,1.9791959575655652e-13,5.413297552811778e-13
2,UIMC1,6455.0,0.00037591228480308655,0.0004984005573793732
3,BAP1,7308.5,1.6768774993077624e-08,3.044177614127938e-08
4,CEP152,8100.5,2.7845008103084663e-14,8.156020103953167e-14
5,POLD1,8111.0,2.952350555341068e-14,8.617107981313505e-14
6,TP53,8349.5,2.7683162885348727e-16,9.689107009872055e-16
7,CBX1,8897.0,1.3781325773826402e-21,7.96040216026616e-21
8,MCM5,7687.0,5.186752647242872e-11,1.1642004583213622e-10
9,S100A6,1822.5,3.413573698661665e-16,1.1797539226336967e-15
10,TGFB1,8400.0,9.821257702938765e-17,3.6054928278344087e-16
11,PRPF3,8727.0,8.559723259625644e-20,4.0172337570743076e-19
12,RPS25,6304.0,0.0014458478307668365,0.0018317029267076793
13,RPL18A,8485.0,1.6737593811471564e-17,6.552252364111617e-17
14,SLC27A4,9307.5,3.768352203081637e-27,4.863529562102238e-26
15,OFD1,7668.0,4.362495335853413e-11,9.845412971079014e-11
16,SKP1,6795.5,1.1530768741488643e-05,1.6651075140681153e-05
17,RHOA,8867.0,3.153358083359302e-21,1.7468037297502558e-20
18,MCPH1,8386.0,1.1404424626239609e-16,4.1316029566990866e-16
19,POLG,4471.5,0.1967231888588895,0.21437117941615136
20,TOP3A,8653.0,4.409651571045846e-19,1.9582646224106823e-18
21,MAPRE1,8383.0,1.3008460320760012e-16,4.671734010846857e-16
22,MDM4,7897.5,1.35000384221717e-12,3.4310866882196384e-12
23,GORASP1,937.5,3.0256584842779953e-25,2.7165151174061132e-24
24,DCP2,7868.0,3.962221035089553e-14,1.1403465418062615e-13
25,PSMD4,5587.5,0.1514871488784153,0.167060594090215
26,PHC3,4063.0,0.02210873407591955,0.026051090366204777
27,FOXM1,3138.0,5.161050524279563e-06,7.69499590804137e-06
28,CPEB2,2305.0,3.814835587821312e-11,8.656742295440669e-11
29,PDCD11,6311.0,0.0013634169760263072,0.0017325883418426611
30,MAPK1,7268.5,2.890677181905206e-08,5.1570180394248384e-08
31,GSK3A,2945.0,4.5567221348064867e-07,7.467961276488408e-07
32,KNSTRN,4641.0,0.24431094661846897,0.2631040963583512
33,PSEN2,7454.0,1.957830445993144e-09,3.832151536469992e-09
34,CDC23,5840.5,0.04011087903602633,0.04627316492144937
35,PSMD10,2517.5,1.3132687777970852e-09,2.601342950744346e-09
36,CEP89,6881.0,2.3599096056520507e-06,3.6571957490967994e-06
37,SNRNP27,8770.5,3.1835372412491296e-20,1.5559773735335984e-19
38,GMNN,5754.5,0.06166946056273194,0.0699711187154074
39,GALM,2027.0,2.409003894204165e-13,6.502736002002093e-13
40,HES1,8.0,2.9813030326442742e-34,1.8942740807416694e-32
41,RPL27A,7204.5,7.217713597832093e-08,1.2577703442635673e-07
42,CDKN3,5882.5,0.03061175841724359,0.035764232606284585
43,RUVBL2,4736.0,0.5196565028160411,0.5426501533831226
44,ZWINT,3743.0,0.0021291003410332204,0.00266057016897646
45,PSMA2,4653.5,0.39772688724393657,0.41903368477486175
46,DHFR2,7677.5,5.253125782774352e-11,1.1727248369112472e-10
47,WEE1,9155.0,2.80484999044008e-24,2.1451908260217647e-23
48,RPS19,6873.0,4.753262804705489e-06,7.125580901427829e-06
49,LIG4,8176.0,8.515773453848905e-15,2.6148806218881766e-14
50,SNAP29,716.0,3.390309124918972e-29,6.223100749295713e-28
51,FLT1,9820.5,8.960057988718056e-33,3.8952673150953233e-31
52,RPS12,2270.5,2.580773563305437e-11,5.921441564695253e-11
53,THBS1,8611.0,9.388658216881123e-19,4.0602260142114176e-18
54,PSMC6,943.5,3.718747683797141e-23,2.625372296424306e-22
55,UBE3A,8896.5,1.6363415445958983e-21,9.38623691552925e-21
56,SNRPD1,6558.5,0.00014063690418200629,0.00019043620140055277
57,SF3A1,5942.5,0.02134859172504576,0.025191338235553997
58,PRIM2,7023.5,7.667818088251893e-07,1.2443256858341972e-06
59,TERF1,6587.0,0.0001021564240832849,0.00013970398392846578
60,CDC25B,9965.5,6.531793917486654e-34,3.372038609902485e-32
61,H2BC11,6475.5,0.0002981000971571562,0.0003965067314843978
62,EFTUD2,6615.0,7.981548623938824e-05,0.0001102468087520647
63,NCAPG,8118.5,1.3911177645238299e-14,4.193661582104684e-14
64,KIF23,6753.5,1.3598207216313254e-05,1.9466411023699735e-05
65,CBR1,8952.5,2.4287375437669844e-22,1.5921723898028008e-21
66,HSP90AB1,8705.5,1.3704815421704014e-19,6.359650302431188e-19
67,KAT8,8861.0,3.911154068773781e-21,2.097800818705937e-20
68,FANCA,832.5,2.3336501398874698e-24,1.8184858637236322e-23
69,ORC5,162.0,2.8857631304243755e-32,9.931834773877225e-31
70,ERLEC1,1434.0,1.8993895697693945e-19,8.667932511765303e-19
71,ERCC6,7923.5,9.034757183181353e-13,2.3176116252508688e-12
72,SCAPER,9271.5,2.899797148973564e-27,3.926610565659285e-26
73,ARFGAP3,6233.0,0.0023099392076085527,0.0028735087130793142
74,PSMC2,3340.5,5.030136753507461e-05,7.030275733328532e-05
75,NFRKB,5712.5,0.0817710630278057,0.09177024193066237
76,PSMB2,3256.5,2.0477399631674684e-05,2.8962897424252205e-05
77,MSH6,7550.5,4.634556901150834e-10,9.452207408273059e-10
78,CLSPN,8199.0,5.3752921529143025e-15,1.6754684220027222e-14
