,Gene,U,pval,adj_pvals
0,ATR,68.0,1.949589053100956e-33,1.376376545180675e-32
1,MAPK3,9397.0,6.437787391455455e-27,1.8856781508305693e-26
2,UIMC1,5587.0,0.15184423975585998,0.16246546896158076
3,BAP1,6204.0,0.0032755765731472208,0.0038486859877946006
4,CEP152,8639.0,6.096034022424586e-19,1.258831025630677e-18
5,POLD1,9041.0,5.477494034732389e-23,1.3307088449085155e-22
6,TP53,9518.0,2.505219211571784e-28,8.310486219912827e-28
7,CBX1,9968.0,6.6809039490269405e-34,6.492266661054415e-33
8,MCM5,8689.0,2.0152215494864819e-19,4.246359693560801e-19
9,S100A6,536.0,1.0782165045963857e-27,3.335606115343126e-27
10,TGFB1,9847.0,2.3706624105297404e-32,1.2882678625641878e-31
11,PRPF3,9792.0,1.166720475651742e-31,5.770725226876281e-31
12,RPS25,8445.0,3.88717266289587e-17,7.449662690375844e-17
13,RPL18A,9072.0,2.5663643418951092e-23,6.365816655871953e-23
14,SLC27A4,9717.0,9.95778052896887e-31,4.3984634849883886e-30
15,OFD1,8261.0,1.6300789720636694e-15,2.9527307695714714e-15
16,SKP1,4749.0,0.5404921621464461,0.5601587527389769
17,RHOA,9613.0,1.8429498975249981e-29,6.951034773313464e-29
18,MCPH1,8655.0,4.2846222793527454e-19,8.91460454092032e-19
19,POLG,2465.0,5.911628723705597e-10,8.68862157612246e-10
20,TOP3A,9940.0,1.5377093699197553e-33,1.1546799450488345e-32
21,MAPRE1,9396.0,6.610460914609678e-27,1.9294136803772417e-26
22,MDM4,8767.0,3.480143481909753e-20,7.604757978987979e-20
23,GORASP1,337.0,4.56745051859075e-30,1.8314146254155145e-29
24,DCP2,7410.0,3.9244769303010725e-09,5.6278089312998025e-09
25,PSMD4,2637.0,7.810104846022465e-09,1.1084444334732915e-08
26,PHC3,1456.0,4.794885276149044e-18,9.52061355312286e-18
27,FOXM1,5947.0,0.020740922711062044,0.023340602396917234
28,CPEB2,1460.0,5.223794488394526e-18,1.0347372295956541e-17
29,PDCD11,7764.0,1.4551437856665354e-11,2.255063352646451e-11
30,MAPK1,6341.0,0.0010552635688740857,0.0012687739561717537
31,GSK3A,146.0,1.9329733381632723e-32,1.0935862858375773e-31
32,KNSTRN,6042.0,0.01093436232912395,0.012440472842777387
33,PSEN2,7361.0,8.039908915690889e-09,1.13910201790063e-08
34,CDC23,2416.0,2.745719989800791e-10,4.101202010082194e-10
35,PSMD10,290.0,1.2143927255828937e-30,5.3073459858807946e-30
36,CEP89,6062.0,0.00949610876195903,0.010819014948107806
37,SNRNP27,9751.0,3.7829163900019047e-31,1.7263474796362284e-30
38,GMNN,2177.0,5.331244216242429e-12,8.419900043243302e-12
39,GALM,227.0,2.014859924890284e-31,9.564794815858473e-31
40,HES1,0.0,2.562143669163401e-34,4.295125874354793e-33
41,RPL27A,8273.0,1.2853667629388694e-15,2.3334350465659477e-15
42,CDKN3,4893.0,0.7946933708679246,0.806408752256641
43,RUVBL2,1340.0,3.8363955236656203e-19,8.00217854178738e-19
44,ZWINT,230.0,2.195962157548368e-31,1.0247823401892385e-30
45,PSMA2,816.0,1.5818060752860683e-24,4.095836420646685e-24
46,DHFR2,7126.0,2.0646226733525284e-07,2.795702177359325e-07
47,WEE1,9770.0,2.195962157548368e-31,1.0247823401892385e-30
48,RPS19,9999.0,2.640284031487027e-34,4.295125874354793e-33
49,LIG4,8793.0,1.9225996162037513e-20,4.2689980725384374e-20
50,SNAP29,5.0,2.9770707426686497e-34,4.295125874354793e-33
51,FLT1,10000.0,2.562143669163401e-34,4.295125874354793e-33
52,RPS12,8621.0,9.04773830697311e-19,1.845291812730812e-18
53,THBS1,7919.0,9.962026313323588e-13,1.6166274528104684e-12
54,PSMC6,48.0,1.0763709066257036e-33,8.631867658959527e-33
55,UBE3A,9731.0,6.69046510885309e-31,2.9872022594122444e-30
56,SNRPD1,5756.0,0.06489506529274011,0.07053068938395175
57,SF3A1,4116.0,0.030870803077019872,0.03427323029787421
58,PRIM2,7434.0,2.7479619698481036e-09,3.961285492311577e-09
59,TERF1,4580.0,0.30536241471358205,0.3209024867091842
60,CDC25B,10000.0,2.562143669163401e-34,4.295125874354793e-33
61,H2BC11,5936.0,0.02226652920193773,0.024887893262247045
