,iter,Gene1,Gene2,Edge,Curvature,Response
0,0,BLM,RAD51AP1,BLM;RAD51AP1,-0.0,1
1,0,BLM,ERCC4,BLM;ERCC4,0.03,1
2,0,BLM,POLE,BLM;POLE,0.03,1
3,0,BLM,RFC5,BLM;RFC5,0.06,1
4,0,BLM,RFC3,BLM;RFC3,0.05,1
5,0,BLM,HELLS,BLM;HELLS,0.0,1
6,0,NUF2,MYBL2,NUF2;MYBL2,0.01,1
7,0,NUF2,RAD51AP1,NUF2;RAD51AP1,0.05,1
8,0,NUF2,NCAPG,NUF2;NCAPG,0.07,1
9,0,NUF2,KIF11,NUF2;KIF11,0.07,1
10,0,NUF2,HELLS,NUF2;HELLS,0.0,1
11,0,NUF2,RFC3,NUF2;RFC3,-0.03,1
12,0,NUF2,PRC1,NUF2;PRC1,0.06,1
13,0,NUF2,CCNB2,NUF2;CCNB2,0.06,1
14,0,NUF2,INCENP,NUF2;INCENP,0.03,1
15,0,NUF2,ZWINT,NUF2;ZWINT,0.07,1
16,0,NUF2,NUSAP1,NUF2;NUSAP1,0.05,1
17,0,NUF2,SPAG5,NUF2;SPAG5,0.06,1
18,0,NUF2,DSN1,NUF2;DSN1,0.02,1
19,0,CIT,KIF11,CIT;KIF11,0.03,1
20,0,CIT,PRC1,CIT;PRC1,0.04,1
21,0,CIT,INCENP,CIT;INCENP,0.06,1
22,0,MYBL2,CCNB2,MYBL2;CCNB2,0.03,1
23,0,MYBL2,NCAPG,MYBL2;NCAPG,0.01,1
24,0,MYBL2,LIN54,MYBL2;LIN54,0.06,1
25,0,RFC3,RAD51AP1,RFC3;RAD51AP1,0.01,1
26,0,RFC3,NCAPG,RFC3;NCAPG,-0.03,1
27,0,RFC3,KIF11,RFC3;KIF11,-0.03,1
28,0,RFC3,POLA2,RFC3;POLA2,0.03,1
29,0,RFC3,ERCC4,RFC3;ERCC4,-0.02,1
30,0,RFC3,POLE,RFC3;POLE,0.01,1
31,0,RFC3,PRIM1,RFC3;PRIM1,0.01,1
32,0,RFC3,SMC3,RFC3;SMC3,0.04,1
33,0,RFC3,RFC5,RFC3;RFC5,0.06,1
34,0,POLA2,POLE,POLA2;POLE,0.08,1
35,0,POLA2,RFC5,POLA2;RFC5,0.05,1
36,0,POLA2,PRIM1,POLA2;PRIM1,0.07,1
37,0,ERCC4,POLE,ERCC4;POLE,0.01,1
38,0,ERCC4,FANCB,ERCC4;FANCB,0.04,1
39,0,ERCC4,RFC5,ERCC4;RFC5,0.02,1
40,0,TMPO,NUSAP1,TMPO;NUSAP1,0.02,1
41,0,ZWINT,RAD51AP1,ZWINT;RAD51AP1,0.02,1
42,0,ZWINT,NCAPG,ZWINT;NCAPG,0.05,1
43,0,ZWINT,KIF11,ZWINT;KIF11,0.06,1
