,Edge,U,pval,adj_pvals
0,RFC3;RAD51AP1,67.5,1.4972499861088705e-34,5.988999944435482e-34
1,RFC3;KIF11,1855.0,2.6434124258188822e-15,3.759519894497966e-15
2,RFC3;POLA2,3494.0,3.3251048461492595e-05,3.6690812095440105e-05
3,RFC3;NUF2,4833.5,0.6685021974694608,0.6685021974694608
4,RFC3;ERCC4,9718.0,5.35801817870714e-31,1.558696197442077e-30
5,RFC3;POLE,9404.0,2.607258011625256e-28,5.959446883714871e-28
6,RFC3;BLM,691.5,2.184654085328084e-28,5.178439313370273e-28
7,RFC3;PRIM1,8712.0,7.030554318109564e-21,1.2431489759422937e-20
8,RFC3;RFC5,8155.0,4.288972972228437e-17,6.535577862443332e-17
9,MYBL2;NUF2,743.0,7.170323770439008e-26,1.4340647540878016e-25
10,MYBL2;LIN54,9336.5,1.4580451188862937e-26,3.110496253624093e-26
11,KPNA2;PRC1,2388.0,6.758902367557264e-13,8.827954112727855e-13
12,KPNA2;NUSAP1,42.0,1.3242153538058687e-36,1.059372283044695e-35
13,NUSAP1;RAD51AP1,4126.0,0.013534343135126255,0.014199966568001316
14,NUSAP1;KIF11,3685.0,1.5325013850219423e-05,1.7514301543107912e-05
15,NUSAP1;NUF2,6587.5,5.671033325238193e-06,6.599020596640807e-06
16,NUSAP1;SPAG5,7025.5,3.818628530446692e-09,4.6998504990113134e-09
17,NUSAP1;ZWINT,42.0,3.746867815290604e-37,3.996659002976644e-36
18,NUSAP1;HELLS,10000.0,5.43316607617993e-35,2.483733063396539e-34
19,NUSAP1;PRC1,90.0,2.0625301482564396e-41,1.3200192948841213e-39
20,CIT;KIF11,9527.0,6.636459187369699e-31,1.8466669043115683e-30
21,CIT;PRC1,9926.5,8.905523271511123e-37,8.142192705381598e-36
22,CIT;INCENP,9031.0,4.700735477691219e-25,9.116577896128425e-25
23,POLA2;POLE,8794.0,2.2331880491758298e-23,4.2036480925662677e-23
24,POLA2;RFC5,2852.5,1.301673321604241e-09,1.6334724035817924e-09
25,POLA2;PRIM1,9492.5,4.308024821991487e-31,1.378567943037276e-30
26,BLM;RAD51AP1,2025.5,3.0268029613260185e-14,4.211204120105765e-14
27,BLM;ERCC4,2907.5,1.746921411521543e-07,2.070425376618125e-07
28,BLM;POLE,210.0,1.2385953497344813e-32,4.1721106517372e-32
29,BLM;RFC5,2558.0,2.218795835059069e-11,2.8400586688756082e-11
30,BLM;HELLS,736.5,2.9842868040021036e-26,6.161108240520472e-26
31,PRC1;RAD51AP1,95.0,6.521392719593786e-35,2.782460893693349e-34
32,PRC1;KIF11,70.0,4.4553032695349334e-38,9.504646975007859e-37
33,PRC1;NUF2,160.0,8.158146555244665e-36,5.801348661507317e-35
34,PRC1;SPAG5,10000.0,1.5829928450937176e-37,2.0262308417199584e-36
35,PRC1;ZWINT,671.0,4.667459488473023e-30,1.1948696290490939e-29
36,PRC1;INCENP,9910.0,2.5045296333964246e-35,1.4571808776124652e-34
37,CHAF1B;POLE,8523.5,1.7572095270977505e-19,2.959510782480422e-19
38,CHAF1B;PRIM1,5284.5,0.43871291959462555,0.4528649492589683
39,KIF11;RAD51AP1,569.0,4.899131077961253e-31,1.4930685189977151e-30
40,KIF11;HELLS,9873.0,1.0150854623312688e-33,3.609192754955623e-33
41,KIF11;NUF2,1196.5,1.3045319581011553e-27,2.878967079947377e-27
42,KIF11;INCENP,7022.5,1.6503820057173753e-07,1.9929141201115476e-07
43,KIF11;ZWINT,0.0,2.800796066050635e-39,8.962547411362032e-38
44,KIF11;SPAG5,2018.5,1.3933597383710037e-16,2.0267050739941874e-16
45,NUF2;RAD51AP1,8802.0,2.142633006905325e-22,3.9179574983411658e-22
46,NUF2;HELLS,8308.0,1.1014638130098527e-16,1.6393880007588507e-16
47,NUF2;INCENP,4763.5,0.5395320638241886,0.548096064837271
48,NUF2;ZWINT,9.0,9.375377581024097e-38,1.5000604129638556e-36
49,NUF2;SPAG5,3665.5,2.329383783124434e-05,2.6154484582449783e-05
50,NUF2;DSN1,17.5,3.197738026408896e-35,1.7054602807514111e-34
51,RAD51AP1;RFC5,8393.0,2.853828366416643e-17,4.4547564744064666e-17
52,RAD51AP1;ZWINT,0.0,1.8445238237381896e-35,1.1804952471924413e-34
53,ERCC4;POLE,487.5,1.0121546407696453e-28,2.491457577279127e-28
54,ERCC4;FANCB,8559.5,7.111053776365151e-19,1.1669421581727427e-18
55,ERCC4;RFC5,9948.0,4.964135504786749e-34,1.8688510135667763e-33
56,HELLS;PRIM1,9654.5,1.0500629970574049e-30,2.8001679921530798e-30
57,PRIM1;POLE,6090.5,0.001991712429127771,0.002124493257736289
58,PRIM1;RFC5,2210.0,6.098834577443606e-13,8.131779436591476e-13
59,INCENP;ZWINT,1737.0,1.6531545412462272e-17,2.6450472659939636e-17
60,INCENP;DSN1,9957.0,4.251662048469615e-35,2.093125931554272e-34
61,DSN1;ZWINT,2181.0,6.752806701135029e-14,9.195311252609401e-14
62,ZWINT;SPAG5,5962.0,0.0016620017183337698,0.0018028493215823944
63,RFC5;POLE,1439.5,7.186955017166385e-21,1.2431489759422937e-20
