,Gene,U,pval,adj_pvals
0,RFC3,7503.0,9.68111758612979e-10,1.113328522404926e-09
1,MYBL2,8334.0,3.791664048980987e-16,4.589909111924353e-16
2,KPNA2,95.0,4.33095192810115e-33,1.4230270620903778e-32
3,NUSAP1,5525.0,0.19999792710822928,0.19999792710822928
4,CIT,9996.0,2.8891939979927045e-34,2.2150487317944067e-33
5,POLA2,9910.0,3.737079803736133e-33,1.4230270620903778e-32
6,BLM,264.0,5.802904906587157e-31,1.1122234404292052e-30
7,PRC1,2805.0,8.229783241462156e-08,9.013572121601409e-08
8,CHAF1B,9827.0,4.240749285991117e-32,9.75372335777957e-32
9,KIF11,870.0,6.118546734154591e-24,8.795410930347225e-24
10,NUF2,46.0,1.0141616215996905e-33,4.6651434593585764e-33
11,RAD51AP1,44.0,9.555250779146626e-34,4.6651434593585764e-33
12,ERCC4,9437.0,2.2224064681311443e-27,3.6510963405011655e-27
13,HELLS,9882.0,8.519000368969605e-33,2.4492126060787614e-32
14,PRIM1,9997.0,2.8037369279891326e-34,2.2150487317944067e-33
15,INCENP,9836.0,3.2652185994750007e-32,8.344447531991668e-32
16,DSN1,3975.0,0.012305791918566905,0.012865146096683582
17,ZWINT,0.0,2.562143669163401e-34,2.2150487317944067e-33
18,RFC5,9537.0,1.4929211551825288e-28,2.6413220437844744e-28
19,POLE,8423.0,6.140378386435492e-17,7.84603904933424e-17
20,SPAG5,8751.0,5.0040921159257395e-20,6.770242274487766e-20
21,LIN54,9249.0,3.034091140148503e-25,4.652273081561038e-25
22,FANCB,9757.0,3.186507285632657e-31,6.662697051777373e-31
