,iter,Gene,Raw,Normalized,Response
0,0,RAD51AP1,0.16,0.1370073,1
1,0,ZWINT,0.39,0.3120676,1
2,0,CCNB2,0.31,0.28120819999999996,1
3,0,NUF2,0.37,0.32454140000000004,1
4,0,NCAPG,0.53,0.4808852,1
5,0,NUSAP1,0.46,0.42113690000000004,1
6,0,SPAG5,0.07,0.061429199999999996,1
7,0,KIF11,0.53,0.47280089999999997,1
8,0,INCENP,0.15000000000000002,0.1330458,1
9,0,LIN54,0.08,0.0565856,1
10,0,MYBL2,0.03,0.012580599999999997,1
11,0,PRC1,0.34,0.3142051,1
12,0,DSN1,0.08,0.064587,1
13,0,RAD51AP1,0.16,0.140105,0
14,0,ZWINT,0.43000000000000005,0.3644993,0
15,0,CCNB2,0.32,0.2996899,0
16,0,NUF2,0.37,0.3307529,0
17,0,NCAPG,0.53,0.480883,0
18,0,NUSAP1,0.47000000000000003,0.42884920000000004,0
19,0,SPAG5,0.07,0.0594417,0
20,0,KIF11,0.52,0.46590760000000003,0
21,0,INCENP,0.13,0.10842740000000001,0
22,0,LIN54,0.07,0.045565100000000004,0
23,0,MYBL2,0.010000000000000009,-0.0049596999999999974,0
24,0,PRC1,0.33,0.2994518,0
25,0,DSN1,0.07,0.0570054,0
26,1,RAD51AP1,0.16,0.1361957,1
27,1,ZWINT,0.4,0.3101588,1
28,1,CCNB2,0.32,0.2860488,1
29,1,NUF2,0.36,0.30563130000000005,1
30,1,NCAPG,0.55,0.4881588,1
31,1,NUSAP1,0.48000000000000004,0.43515489999999996,1
32,1,SPAG5,0.08,0.0710008,1
33,1,KIF11,0.52,0.45250460000000003,1
34,1,INCENP,0.14,0.11939369999999999,1
35,1,LIN54,0.07,0.043764000000000004,1
36,1,MYBL2,0.010000000000000009,-0.004267799999999995,1
37,1,PRC1,0.35000000000000003,0.31432590000000005,1
38,1,DSN1,0.06,0.0448005,1
39,1,RAD51AP1,0.16,0.1411802,0
40,1,ZWINT,0.43000000000000005,0.3625528,0
41,1,CCNB2,0.33,0.30859060000000005,0
42,1,NUF2,0.37,0.3277879,0
43,1,NCAPG,0.54,0.4914524,0
44,1,NUSAP1,0.47000000000000003,0.4276007,0
45,1,SPAG5,0.07,0.05975849999999999,0
46,1,KIF11,0.53,0.4756408,0
47,1,INCENP,0.13,0.106158,0
48,1,LIN54,0.07,0.04682300000000001,0
49,1,MYBL2,0.010000000000000009,-0.0038931999999999856,0
50,1,PRC1,0.34,0.3092075,0
51,1,DSN1,0.07,0.05684,0
52,2,RAD51AP1,0.16,0.1396696,1
53,2,ZWINT,0.4,0.3186084,1
54,2,CCNB2,0.31,0.28149179999999996,1
55,2,NUF2,0.36,0.3126548,1
56,2,NCAPG,0.54,0.48672869999999996,1
57,2,NUSAP1,0.47000000000000003,0.4285621,1
58,2,SPAG5,0.07,0.0600108,1
59,2,KIF11,0.52,0.45885919999999997,1
60,2,INCENP,0.13,0.11027110000000001,1
61,2,LIN54,0.08,0.0545256,1
62,2,MYBL2,0.020000000000000004,0.0041244,1
63,2,PRC1,0.33,0.29731050000000003,1
64,2,DSN1,0.07,0.054083000000000006,1
65,2,RAD51AP1,0.16,0.1424883,0
66,2,ZWINT,0.43000000000000005,0.3679087,0
67,2,CCNB2,0.32,0.29868969999999995,0
68,2,NUF2,0.37,0.3296687,0
69,2,NCAPG,0.53,0.4810767,0
70,2,NUSAP1,0.47000000000000003,0.4291254,0
71,2,SPAG5,0.07,0.060918,0
72,2,KIF11,0.52,0.46792170000000005,0
73,2,INCENP,0.13,0.109555,0
74,2,LIN54,0.07,0.04737040000000001,0
75,2,MYBL2,0.010000000000000009,-0.0038539999999999963,0
76,2,PRC1,0.33,0.29899960000000003,0
77,2,DSN1,0.07,0.0570266,0
78,3,RAD51AP1,0.16,0.1405824,1
79,3,ZWINT,0.4,0.3225623,1
80,3,CCNB2,0.3,0.2676208,1
81,3,NUF2,0.36,0.3103497,1
82,3,NCAPG,0.53,0.4745728,1
83,3,NUSAP1,0.48000000000000004,0.4371391,1
84,3,SPAG5,0.08,0.07013710000000001,1
85,3,KIF11,0.52,0.4591739,1
86,3,INCENP,0.14,0.12068390000000001,1
87,3,LIN54,0.08,0.0562168,1
88,3,MYBL2,0.020000000000000004,0.006722199999999998,1
89,3,PRC1,0.34,0.30744380000000004,1
90,3,DSN1,0.07,0.054346399999999996,1
91,3,RAD51AP1,0.16,0.1415201,0
92,3,ZWINT,0.43000000000000005,0.3682864,0
93,3,CCNB2,0.32,0.3002171,0
94,3,NUF2,0.37,0.3306773,0
95,3,NCAPG,0.53,0.48163609999999996,0
96,3,NUSAP1,0.47000000000000003,0.42892870000000005,0
97,3,SPAG5,0.07,0.060441499999999995,0
98,3,KIF11,0.52,0.4695175000000001,0
99,3,INCENP,0.13,0.10829130000000001,0
100,3,LIN54,0.07,0.046283300000000006,0
101,3,MYBL2,0.010000000000000009,-0.003907899999999992,0
102,3,PRC1,0.33,0.2994814,0
103,3,DSN1,0.07,0.058764800000000006,0
104,4,RAD51AP1,0.16,0.14098080000000002,1
105,4,ZWINT,0.4,0.3252624,1
106,4,CCNB2,0.31,0.28616590000000003,1
107,4,NUF2,0.36,0.3157543,1
108,4,NCAPG,0.53,0.4846351,1
109,4,NUSAP1,0.47000000000000003,0.43228750000000005,1
110,4,SPAG5,0.07,0.0603689,1
111,4,KIF11,0.52,0.46495960000000003,1
112,4,INCENP,0.13,0.1119569,1
113,4,LIN54,0.08,0.0556048,1
114,4,MYBL2,0.020000000000000004,0.003485800000000004,1
115,4,PRC1,0.33,0.3031138,1
116,4,DSN1,0.08,0.06546679999999999,1
117,4,RAD51AP1,0.16,0.1428035,0
118,4,ZWINT,0.42000000000000004,0.3614405,0
119,4,CCNB2,0.32,0.2983737000000001,0
120,4,NUF2,0.36,0.32174810000000004,0
121,4,NCAPG,0.53,0.4837085000000001,0
122,4,NUSAP1,0.47000000000000003,0.42965049999999994,0
123,4,SPAG5,0.07,0.0600136,0
124,4,KIF11,0.52,0.4715406,0
125,4,INCENP,0.13,0.1116443,0
126,4,LIN54,0.07,0.0473396,0
127,4,MYBL2,0.010000000000000009,-0.004715199999999996,0
128,4,PRC1,0.33,0.3002635,0
129,4,DSN1,0.07,0.05849,0
130,5,RAD51AP1,0.16,0.1383452,1
131,5,ZWINT,0.4,0.3182317,1
132,5,CCNB2,0.3,0.272305,1
133,5,NUF2,0.36,0.3101226,1
134,5,NCAPG,0.54,0.48788919999999997,1
135,5,NUSAP1,0.47000000000000003,0.4266573,1
136,5,SPAG5,0.07,0.06088349999999999,1
137,5,KIF11,0.52,0.4575477,1
138,5,INCENP,0.14,0.11944690000000001,1
