,Gene,U,pval,adj_pvals
0,RAD51AP1,4701.5,0.031966636003503995,0.037778751640504725
1,ZWINT,7.0,8.118684219764043e-36,1.0554289485693255e-34
2,CCNB2,470.0,4.5507800296175044e-32,2.9580070192513776e-31
3,NUF2,2929.0,2.6897932162944872e-09,5.827885301971389e-09
4,NCAPG,7019.5,4.501717517381833e-09,8.360332532280547e-09
5,NUSAP1,6300.0,2.0476487212437533e-06,2.9577148195743105e-06
6,SPAG5,5500.0,0.0012246717281887125,0.0015920732466453262
7,KIF11,5040.5,0.9123106213029399,0.9123106213029399
8,INCENP,7416.0,7.4239444489597e-14,2.4127819459119025e-13
9,LIN54,9218.5,6.94030440428974e-32,3.007465241858887e-31
10,MYBL2,7050.5,3.910107918329567e-08,6.353925367285546e-08
11,PRC1,7192.0,8.079144982600334e-11,2.1005776954760868e-10
12,DSN1,5504.5,0.03491672231455872,0.03782644917410528
